exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
48,93,5,high,none,105.0,0.813953488372093
48,36,5,high,none,128.0,0.9922480620155039
48,28,5,high,none,118.0,0.9147286821705426
48,12,5,high,none,136.0,0.9714285714285714
48,5,5,high,none,155.0,0.9393939393939394
48,30,5,high,none,143.0,0.9794520547945206
48,3,5,high,none,125.0,0.9328358208955224
48,96,5,high,none,208.0,0.9327354260089686
48,110,5,high,none,122.0,0.9457364341085271
48,201,5,high,none,128.0,0.9922480620155039
48,181,5,high,none,140.0,0.9859154929577465
48,204,5,high,none,122.0,0.9457364341085271
48,163,5,high,none,145.0,0.9119496855345912
48,189,5,high,none,175.0,0.9776536312849162
68,3,5,high,none,136.0,0.8607594936708861
68,28,5,high,none,126.0,0.7974683544303798
68,12,5,high,none,144.0,0.9113924050632911
48,154,5,high,none,323.0,0.9176136363636364
48,211,5,high,none,201.0,0.9481132075471698
68,30,5,high,none,152.0,0.9620253164556962
68,5,5,high,none,137.0,0.8303030303030303
68,93,5,high,none,142.0,0.8987341772151899
68,36,5,high,none,141.0,0.8924050632911392
68,110,5,high,none,132.0,0.8354430379746836
68,163,5,high,none,156.0,0.9811320754716981
68,181,5,high,none,134.0,0.8481012658227848
48,196,5,high,none,574.0,0.9471947194719472
68,204,5,high,none,150.0,0.9493670886075949
68,96,5,high,none,206.0,0.9237668161434978
68,201,5,high,none,130.0,0.8227848101265823
68,189,5,high,none,173.0,0.9664804469273743
68,154,5,high,none,303.0,0.8607954545454546
68,211,5,high,none,178.0,0.839622641509434
69,28,5,high,none,260.0,0.8227848101265823
69,3,5,high,none,294.0,0.930379746835443
69,12,5,high,none,285.0,0.9018987341772152
69,5,5,high,none,277.0,0.8765822784810127
69,30,5,high,none,299.0,0.9462025316455697
69,93,5,high,none,302.0,0.9556962025316456
69,36,5,high,none,286.0,0.9050632911392406
68,196,5,high,none,581.0,0.9587458745874587
69,110,5,high,none,269.0,0.8512658227848101
69,204,5,high,none,308.0,0.9746835443037974
69,96,5,high,none,296.0,0.9367088607594937
69,163,5,high,none,302.0,0.9556962025316456
69,181,5,high,none,270.0,0.8544303797468354
69,201,5,high,none,272.0,0.8607594936708861
80,3,5,high,none,125.0,0.9328358208955224
80,5,5,high,none,160.0,0.9696969696969697
80,12,5,high,none,125.0,0.8928571428571429
80,28,5,high,none,108.0,0.9557522123893806
