exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
13,82,5,low,high,519.0,0.9402173913043478
21,48,5,low,high,338.0,0.9548022598870056
13,118,5,low,high,483.0,0.875
13,86,5,low,high,471.0,0.8532608695652174
10,178,5,low,high,120.0,0.75
10,69,5,low,high,260.0,0.8227848101265823
10,80,5,low,high,128.0,0.9481481481481482
13,69,5,low,high,449.0,0.8134057971014492
10,87,5,low,high,206.0,0.8174603174603174
13,87,5,low,high,480.0,0.8695652173913043
10,68,5,low,high,118.0,0.7468354430379747
21,69,5,low,high,287.0,0.8107344632768362
10,48,5,low,high,128.0,0.9481481481481482
10,118,5,low,high,98.0,0.725925925925926
13,178,5,low,high,476.0,0.8623188405797102
21,80,5,low,high,340.0,0.96045197740113
21,68,5,low,high,309.0,0.8728813559322034
13,68,5,low,high,472.0,0.855072463768116
10,82,5,low,high,174.0,0.93048128342246
21,82,5,low,high,334.0,0.943502824858757
13,80,5,low,high,534.0,0.967391304347826
10,86,5,low,high,242.0,0.8344827586206897
13,48,5,low,high,520.0,0.9420289855072463
21,86,5,low,high,309.0,0.8728813559322034
27,80,5,low,high,105.0,0.963302752293578
27,48,5,low,high,119.0,0.9224806201550387
27,82,5,low,high,170.0,0.9090909090909091
27,68,5,low,high,145.0,0.9177215189873418
27,118,5,low,high,108.0,0.9473684210526315
27,69,5,low,high,298.0,0.9430379746835443
27,178,5,low,high,143.0,0.89375
21,118,5,low,high,306.0,0.864406779661017
27,87,5,low,high,240.0,0.9523809523809523
27,86,5,low,high,265.0,0.9137931034482759
29,80,5,low,high,151.0,0.893491124260355
21,178,5,low,high,310.0,0.8757062146892656
29,48,5,low,high,163.0,0.9644970414201184
29,68,5,low,high,167.0,0.9881656804733728
29,82,5,low,high,162.0,0.8663101604278075
29,118,5,low,high,158.0,0.9349112426035503
21,87,5,low,high,315.0,0.8898305084745762
29,178,5,low,high,162.0,0.9585798816568047
29,69,5,low,high,296.0,0.9367088607594937
29,86,5,low,high,270.0,0.9310344827586207
29,87,5,low,high,230.0,0.9126984126984127
31,48,5,low,high,250.0,0.946969696969697
31,80,5,low,high,251.0,0.9507575757575758
31,68,5,low,high,213.0,0.8068181818181818
31,118,5,low,high,212.0,0.803030303030303
31,82,5,low,high,247.0,0.9356060606060606
31,178,5,low,high,223.0,0.8446969696969697
34,48,5,low,high,232.0,0.9586776859504132
31,87,5,low,high,241.0,0.9128787878787878
34,80,5,low,high,215.0,0.8884297520661157
31,69,5,low,high,270.0,0.8544303797468354
34,68,5,low,high,231.0,0.9545454545454546
31,86,5,low,high,265.0,0.9137931034482759
34,118,5,low,high,223.0,0.9214876033057852
34,82,5,low,high,215.0,0.8884297520661157
34,178,5,low,high,231.0,0.9545454545454546
35,48,5,low,high,252.0,0.9509433962264151
35,68,5,low,high,217.0,0.8188679245283019
34,69,5,low,high,300.0,0.9493670886075949
34,86,5,low,high,266.0,0.9172413793103448
34,87,5,low,high,237.0,0.9404761904761905
35,80,5,low,high,253.0,0.9547169811320755
35,118,5,low,high,210.0,0.7924528301886793
35,82,5,low,high,248.0,0.9358490566037736
37,48,5,low,high,232.0,0.8992248062015504
35,178,5,low,high,230.0,0.8679245283018868
37,68,5,low,high,208.0,0.8062015503875969
35,86,5,low,high,253.0,0.8724137931034482
37,80,5,low,high,250.0,0.9689922480620154
35,69,5,low,high,267.0,0.8449367088607594
35,87,5,low,high,240.0,0.9056603773584906
37,118,5,low,high,212.0,0.8217054263565892
37,82,5,low,high,250.0,0.9689922480620154
37,178,5,low,high,207.0,0.8023255813953488
41,48,5,low,high,317.0,0.9519519519519519
37,69,5,low,high,269.0,0.8512658227848101
37,87,5,low,high,232.0,0.8992248062015504
41,68,5,low,high,277.0,0.8318318318318318
41,80,5,low,high,321.0,0.963963963963964
37,86,5,low,high,267.0,0.9206896551724137
43,48,5,low,high,146.0,0.9419354838709677
43,68,5,low,high,154.0,0.9746835443037974
41,118,5,low,high,275.0,0.8258258258258259
41,82,5,low,high,313.0,0.93993993993994
43,80,5,low,high,142.0,0.9161290322580645
41,178,5,low,high,274.0,0.8228228228228228
43,82,5,low,high,170.0,0.9090909090909091
43,118,5,low,high,149.0,0.9612903225806452
41,69,5,low,high,301.0,0.9039039039039038
43,69,5,low,high,299.0,0.9462025316455697
41,86,5,low,high,296.0,0.8888888888888888
41,87,5,low,high,258.0,0.7747747747747747
43,86,5,low,high,271.0,0.9344827586206896
43,87,5,low,high,222.0,0.8809523809523809
44,80,5,low,high,135.0,0.8490566037735849
43,178,5,low,high,155.0,0.96875
44,48,5,low,high,156.0,0.9811320754716981
44,68,5,low,high,155.0,0.9748427672955975
44,82,5,low,high,159.0,0.8502673796791443
44,118,5,low,high,152.0,0.9559748427672956
56,48,5,low,high,139.0,0.9788732394366197
56,68,5,low,high,150.0,0.9493670886075949
44,178,5,low,high,155.0,0.96875
44,87,5,low,high,239.0,0.9484126984126984
44,69,5,low,high,301.0,0.9525316455696202
56,80,5,low,high,128.0,0.9014084507042254
44,86,5,low,high,273.0,0.9413793103448276
56,118,5,low,high,139.0,0.9788732394366197
56,82,5,low,high,152.0,0.8128342245989305
56,178,5,low,high,153.0,0.95625
56,69,5,low,high,301.0,0.9525316455696202
56,87,5,low,high,235.0,0.9325396825396826
56,86,5,low,high,267.0,0.9206896551724137
60,48,5,low,high,247.0,0.96484375
60,68,5,low,high,243.0,0.94921875
60,80,5,low,high,229.0,0.89453125
60,118,5,low,high,237.0,0.92578125
60,82,5,low,high,199.0,0.77734375
63,48,5,low,high,255.0,0.9074733096085409
60,178,5,low,high,244.0,0.953125
63,68,5,low,high,267.0,0.9501779359430605
60,69,5,low,high,297.0,0.939873417721519
60,87,5,low,high,253.0,0.98828125
60,86,5,low,high,271.0,0.9344827586206896
63,80,5,low,high,254.0,0.9039145907473309
63,82,5,low,high,251.0,0.8932384341637011
63,118,5,low,high,259.0,0.9217081850533808
63,69,5,low,high,299.0,0.9462025316455697
64,48,5,low,high,338.0,0.9159891598915989
63,178,5,low,high,265.0,0.9430604982206405
63,87,5,low,high,252.0,0.896797153024911
64,68,5,low,high,347.0,0.940379403794038
64,80,5,low,high,343.0,0.9295392953929539
63,86,5,low,high,273.0,0.9413793103448276
65,48,5,low,high,122.0,0.9457364341085271
65,68,5,low,high,139.0,0.879746835443038
65,80,5,low,high,97.0,0.9797979797979798
64,118,5,low,high,351.0,0.9512195121951219
65,69,5,low,high,277.0,0.8765822784810127
64,82,5,low,high,345.0,0.9349593495934959
65,82,5,low,high,182.0,0.9732620320855615
65,118,5,low,high,95.0,0.8333333333333334
64,178,5,low,high,351.0,0.9512195121951219
65,86,5,low,high,258.0,0.8896551724137931
64,69,5,low,high,355.0,0.962059620596206
65,87,5,low,high,220.0,0.873015873015873
65,178,5,low,high,140.0,0.875
64,87,5,low,high,354.0,0.959349593495935
74,80,5,low,high,95.0,0.979381443298969
64,86,5,low,high,350.0,0.948509485094851
74,48,5,low,high,122.0,0.9457364341085271
74,68,5,low,high,120.0,0.759493670886076
74,82,5,low,high,173.0,0.9251336898395722
74,118,5,low,high,84.0,0.7368421052631579
74,178,5,low,high,129.0,0.80625
74,86,5,low,high,248.0,0.8551724137931035
74,69,5,low,high,274.0,0.8670886075949367
74,87,5,low,high,213.0,0.8452380952380952
77,80,5,low,high,327.0,0.9289772727272727
77,48,5,low,high,329.0,0.9346590909090909
77,68,5,low,high,337.0,0.9573863636363636
77,118,5,low,high,335.0,0.9517045454545454
78,48,5,low,high,205.0,0.8798283261802575
77,82,5,low,high,316.0,0.8977272727272727
78,68,5,low,high,222.0,0.9527896995708155
77,178,5,low,high,334.0,0.9488636363636364
78,80,5,low,high,203.0,0.871244635193133
77,86,5,low,high,338.0,0.9602272727272727
77,87,5,low,high,333.0,0.9460227272727273
77,69,5,low,high,337.0,0.9573863636363636
78,82,5,low,high,193.0,0.8283261802575107
78,118,5,low,high,217.0,0.9313304721030042
78,69,5,low,high,301.0,0.9525316455696202
79,48,5,low,high,250.0,0.946969696969697
78,178,5,low,high,216.0,0.927038626609442
78,87,5,low,high,242.0,0.9603174603174603
78,86,5,low,high,276.0,0.9517241379310345
79,80,5,low,high,239.0,0.9053030303030303
79,68,5,low,high,248.0,0.9393939393939394
94,48,5,low,high,129.0,0.9485294117647058
94,68,5,low,high,147.0,0.930379746835443
79,82,5,low,high,220.0,0.8333333333333334
79,118,5,low,high,246.0,0.9318181818181818
79,178,5,low,high,252.0,0.9545454545454546
94,80,5,low,high,132.0,0.9705882352941176
79,69,5,low,high,296.0,0.9367088607594937
94,82,5,low,high,180.0,0.9625668449197861
79,87,5,low,high,260.0,0.9848484848484849
94,118,5,low,high,129.0,0.9485294117647058
94,69,5,low,high,257.0,0.8132911392405063
79,86,5,low,high,276.0,0.9517241379310345
