exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
10,19,5,low,medium,119.0,0.8686131386861314
10,42,5,low,medium,131.0,0.9703703703703703
10,51,5,low,medium,140.0,0.9655172413793104
10,16,5,low,medium,305.0,0.7984293193717278
10,88,5,low,medium,120.0,0.8888888888888888
10,17,5,low,medium,234.0,0.8153310104529616
10,66,5,low,medium,129.0,0.9555555555555556
10,84,5,low,medium,251.0,0.9543726235741445
10,62,5,low,medium,116.0,0.8592592592592593
10,75,5,low,medium,189.0,0.9545454545454546
10,70,5,low,medium,122.0,0.9037037037037037
10,25,5,low,medium,252.0,0.863013698630137
10,73,5,low,medium,250.0,0.9259259259259259
10,54,5,low,medium,304.0,0.9712460063897763
10,61,5,low,medium,326.0,0.9560117302052786
10,32,5,low,medium,180.0,0.7894736842105263
10,20,5,low,medium,199.0,0.8024193548387096
10,57,5,low,medium,156.0,0.8253968253968254
10,33,5,low,medium,143.0,0.9862068965517241
10,81,5,low,medium,121.0,0.8962962962962963
10,24,5,low,medium,167.0,0.8652849740932642
10,55,5,low,medium,310.0,0.8288770053475936
10,53,5,low,medium,117.0,0.8666666666666667
10,40,5,low,medium,157.0,0.8971428571428571
10,91,5,low,medium,137.0,0.9647887323943662
10,83,5,low,medium,327.0,0.9342857142857143
10,89,5,low,medium,211.0,0.9419642857142857
10,6,5,low,medium,156.0,0.7536231884057971
10,4,5,low,medium,208.0,0.8666666666666667
10,108,5,low,medium,143.0,0.9225806451612903
10,105,5,low,medium,137.0,0.8253012048192772
10,121,5,low,medium,167.0,0.943502824858757
10,97,5,low,medium,209.0,0.908695652173913
10,143,5,low,medium,129.0,0.9555555555555556
10,115,5,low,medium,248.0,0.8641114982578397
10,133,5,low,medium,211.0,0.7902621722846442
10,117,5,low,medium,282.0,0.9494949494949495
10,135,5,low,medium,250.0,0.8591065292096219
10,147,5,low,medium,138.0,0.7796610169491526
10,155,5,low,medium,165.0,0.9705882352941176
10,142,5,low,medium,322.0,0.9252873563218391
10,145,5,low,medium,206.0,0.8142292490118577
10,168,5,low,medium,215.0,0.849802371541502
10,158,5,low,medium,225.0,0.7867132867132867
10,166,5,low,medium,272.0,0.8918032786885246
10,171,5,low,medium,147.0,0.9363057324840764
10,203,5,low,medium,119.0,0.8814814814814815
10,192,5,low,medium,130.0,0.8496732026143791
10,202,5,low,medium,179.0,0.9470899470899471
10,169,5,low,medium,277.0,0.9518900343642611
10,210,5,low,medium,124.0,0.9185185185185185
10,215,5,low,medium,181.0,0.9526315789473684
10,207,5,low,medium,237.0,0.9080459770114943
10,151,5,low,medium,566.0,0.8927444794952681
10,206,5,low,medium,346.0,0.9226666666666666
10,214,5,low,medium,486.0,0.9067164179104478
13,19,5,low,medium,480.0,0.8695652173913043
13,6,5,low,medium,466.0,0.8442028985507246
13,4,5,low,medium,458.0,0.8297101449275363
13,24,5,low,medium,504.0,0.9130434782608695
13,20,5,low,medium,483.0,0.875
13,42,5,low,medium,540.0,0.9782608695652174
13,17,5,low,medium,474.0,0.8586956521739131
13,33,5,low,medium,532.0,0.9637681159420289
13,16,5,low,medium,467.0,0.8460144927536232
13,40,5,low,medium,485.0,0.8786231884057971
13,32,5,low,medium,464.0,0.8405797101449275
13,25,5,low,medium,470.0,0.8514492753623188
13,53,5,low,medium,490.0,0.8876811594202898
13,51,5,low,medium,521.0,0.9438405797101449
13,62,5,low,medium,499.0,0.9039855072463768
13,66,5,low,medium,528.0,0.9565217391304348
13,57,5,low,medium,493.0,0.8931159420289855
13,70,5,low,medium,502.0,0.9094202898550725
13,54,5,low,medium,525.0,0.9510869565217391
13,81,5,low,medium,520.0,0.9420289855072463
13,75,5,low,medium,513.0,0.9293478260869565
13,55,5,low,medium,440.0,0.7971014492753623
13,73,5,low,medium,521.0,0.9438405797101449
13,61,5,low,medium,522.0,0.9456521739130435
13,88,5,low,medium,499.0,0.9039855072463768
13,91,5,low,medium,522.0,0.9456521739130435
13,84,5,low,medium,518.0,0.9384057971014492
13,89,5,low,medium,511.0,0.9257246376811594
13,108,5,low,medium,521.0,0.9438405797101449
13,105,5,low,medium,479.0,0.8677536231884058
13,83,5,low,medium,513.0,0.9293478260869565
13,97,5,low,medium,501.0,0.907608695652174
13,121,5,low,medium,517.0,0.9365942028985508
13,143,5,low,medium,530.0,0.9601449275362319
13,115,5,low,medium,479.0,0.8677536231884058
13,117,5,low,medium,515.0,0.9329710144927537
13,133,5,low,medium,468.0,0.8478260869565217
13,135,5,low,medium,462.0,0.8369565217391305
13,145,5,low,medium,473.0,0.8568840579710145
13,147,5,low,medium,478.0,0.8659420289855072
13,155,5,low,medium,524.0,0.9492753623188406
13,142,5,low,medium,506.0,0.9166666666666666
13,192,5,low,medium,477.0,0.8641304347826086
13,171,5,low,medium,525.0,0.9510869565217391
13,203,5,low,medium,521.0,0.9438405797101449
13,158,5,low,medium,451.0,0.8170289855072463
13,168,5,low,medium,475.0,0.8605072463768116
13,166,5,low,medium,483.0,0.875
13,202,5,low,medium,508.0,0.9202898550724637
13,169,5,low,medium,512.0,0.927536231884058
13,210,5,low,medium,523.0,0.947463768115942
21,4,5,low,medium,295.0,0.8333333333333334
21,6,5,low,medium,306.0,0.864406779661017
13,215,5,low,medium,515.0,0.9329710144927537
13,151,5,low,medium,575.0,0.9069400630914827
13,207,5,low,medium,504.0,0.9130434782608695
21,19,5,low,medium,316.0,0.8926553672316384
13,206,5,low,medium,495.0,0.8967391304347826
21,17,5,low,medium,325.0,0.9180790960451978
21,16,5,low,medium,351.0,0.918848167539267
21,24,5,low,medium,333.0,0.940677966101695
21,20,5,low,medium,318.0,0.8983050847457628
