exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
6,68,5,medium,high,162.0,0.782608695652174
6,86,5,medium,high,241.0,0.8310344827586207
6,178,5,medium,high,173.0,0.8357487922705314
6,82,5,medium,high,197.0,0.9516908212560387
6,118,5,medium,high,162.0,0.782608695652174
4,178,5,medium,high,214.0,0.8916666666666667
4,118,5,medium,high,210.0,0.875
4,86,5,medium,high,234.0,0.8068965517241379
6,80,5,medium,high,199.0,0.961352657004831
4,69,5,medium,high,260.0,0.8227848101265823
4,68,5,medium,high,217.0,0.9041666666666667
6,69,5,medium,high,264.0,0.8354430379746836
4,80,5,medium,high,223.0,0.9291666666666667
4,82,5,medium,high,225.0,0.9375
6,48,5,medium,high,189.0,0.9130434782608695
6,87,5,medium,high,226.0,0.8968253968253969
4,48,5,medium,high,228.0,0.95
4,87,5,medium,high,223.0,0.8849206349206349
16,80,5,medium,high,368.0,0.9633507853403142
16,118,5,medium,high,320.0,0.837696335078534
16,48,5,medium,high,364.0,0.9528795811518325
16,68,5,medium,high,315.0,0.824607329842932
16,82,5,medium,high,361.0,0.9450261780104712
17,48,5,medium,high,268.0,0.9337979094076655
16,178,5,medium,high,312.0,0.8167539267015707
17,80,5,medium,high,272.0,0.9477351916376306
16,87,5,medium,high,301.0,0.7879581151832461
17,68,5,medium,high,246.0,0.8571428571428571
16,86,5,medium,high,324.0,0.8481675392670157
16,69,5,medium,high,323.0,0.8455497382198953
17,118,5,medium,high,244.0,0.8501742160278746
17,82,5,medium,high,270.0,0.9407665505226481
19,48,5,medium,high,133.0,0.9708029197080292
19,68,5,medium,high,136.0,0.8607594936708861
19,80,5,medium,high,126.0,0.9197080291970803
17,178,5,medium,high,252.0,0.8780487804878049
17,69,5,medium,high,286.0,0.9050632911392406
19,82,5,medium,high,175.0,0.9358288770053476
19,118,5,medium,high,112.0,0.8175182481751825
17,87,5,medium,high,256.0,0.89198606271777
19,69,5,medium,high,272.0,0.8607594936708861
17,86,5,medium,high,267.0,0.9206896551724137
19,178,5,medium,high,144.0,0.9
19,86,5,medium,high,247.0,0.8517241379310345
19,87,5,medium,high,214.0,0.8492063492063492
20,80,5,medium,high,237.0,0.9556451612903226
20,48,5,medium,high,242.0,0.9758064516129032
20,68,5,medium,high,200.0,0.8064516129032258
20,118,5,medium,high,203.0,0.8185483870967742
20,82,5,medium,high,238.0,0.9596774193548387
24,48,5,medium,high,172.0,0.8911917098445595
24,68,5,medium,high,179.0,0.927461139896373
20,178,5,medium,high,212.0,0.8548387096774194
24,80,5,medium,high,176.0,0.9119170984455959
20,86,5,medium,high,250.0,0.8620689655172413
20,69,5,medium,high,287.0,0.9082278481012658
20,87,5,medium,high,230.0,0.9126984126984127
24,118,5,medium,high,173.0,0.8963730569948186
24,82,5,medium,high,162.0,0.8393782383419689
24,178,5,medium,high,175.0,0.9067357512953368
25,48,5,medium,high,284.0,0.9726027397260274
24,69,5,medium,high,299.0,0.9462025316455697
24,87,5,medium,high,233.0,0.9246031746031746
24,86,5,medium,high,272.0,0.9379310344827586
25,68,5,medium,high,245.0,0.839041095890411
25,80,5,medium,high,285.0,0.976027397260274
25,118,5,medium,high,253.0,0.8664383561643836
32,48,5,medium,high,222.0,0.9736842105263158
32,68,5,medium,high,177.0,0.7763157894736842
25,178,5,medium,high,259.0,0.886986301369863
25,82,5,medium,high,281.0,0.9623287671232876
32,80,5,medium,high,217.0,0.9517543859649122
25,69,5,medium,high,281.0,0.8892405063291139
25,87,5,medium,high,282.0,0.9657534246575342
25,86,5,medium,high,276.0,0.9452054794520548
32,82,5,medium,high,214.0,0.9385964912280702
32,118,5,medium,high,176.0,0.7719298245614035
33,48,5,medium,high,139.0,0.9586206896551724
33,80,5,medium,high,135.0,0.9310344827586207
33,68,5,medium,high,154.0,0.9746835443037974
32,87,5,medium,high,214.0,0.8492063492063492
32,69,5,medium,high,257.0,0.8132911392405063
32,178,5,medium,high,179.0,0.7850877192982456
32,86,5,medium,high,246.0,0.8482758620689655
33,82,5,medium,high,169.0,0.9037433155080213
33,118,5,medium,high,140.0,0.9655172413793104
33,69,5,medium,high,301.0,0.9525316455696202
33,178,5,medium,high,157.0,0.98125
40,48,5,medium,high,171.0,0.9771428571428571
33,87,5,medium,high,242.0,0.9603174603174603
40,80,5,medium,high,163.0,0.9314285714285714
40,68,5,medium,high,164.0,0.9371428571428572
33,86,5,medium,high,275.0,0.9482758620689655
42,48,5,medium,high,121.0,0.937984496124031
42,68,5,medium,high,148.0,0.9367088607594937
42,80,5,medium,high,83.0,0.8924731182795699
40,118,5,medium,high,152.0,0.8685714285714285
40,82,5,medium,high,179.0,0.9572192513368984
40,69,5,medium,high,277.0,0.8765822784810127
40,178,5,medium,high,170.0,0.9714285714285714
42,69,5,medium,high,309.0,0.9778481012658228
42,82,5,medium,high,167.0,0.893048128342246
42,118,5,medium,high,108.0,0.9473684210526315
40,87,5,medium,high,234.0,0.9285714285714286
42,86,5,medium,high,281.0,0.9689655172413794
42,178,5,medium,high,153.0,0.95625
42,87,5,medium,high,241.0,0.9563492063492064
40,86,5,medium,high,253.0,0.8724137931034482
51,80,5,medium,high,128.0,0.8827586206896552
51,48,5,medium,high,142.0,0.9793103448275862
51,68,5,medium,high,149.0,0.9430379746835443
51,118,5,medium,high,136.0,0.9379310344827586
51,82,5,medium,high,146.0,0.7807486631016043
51,178,5,medium,high,151.0,0.94375
53,48,5,medium,high,128.0,0.9624060150375939
53,80,5,medium,high,128.0,0.9624060150375939
51,87,5,medium,high,238.0,0.9444444444444444
51,86,5,medium,high,271.0,0.9344827586206896
51,69,5,medium,high,298.0,0.9430379746835443
53,68,5,medium,high,146.0,0.9240506329113924
53,118,5,medium,high,115.0,0.8646616541353384
53,82,5,medium,high,182.0,0.9732620320855615
53,69,5,medium,high,275.0,0.870253164556962
53,178,5,medium,high,135.0,0.84375
53,87,5,medium,high,208.0,0.8253968253968254
53,86,5,medium,high,256.0,0.8827586206896552
54,80,5,medium,high,285.0,0.9105431309904153
54,48,5,medium,high,304.0,0.9712460063897763
54,68,5,medium,high,305.0,0.9744408945686901
