exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
4,60,5,medium,low,244.0,0.953125
4,124,5,medium,low,233.0,0.9708333333333333
4,37,5,medium,low,238.0,0.9224806201550387
4,10,5,medium,low,208.0,0.8666666666666667
4,99,5,medium,low,256.0,0.8648648648648649
4,114,5,medium,low,213.0,0.8875
4,44,5,medium,low,229.0,0.9541666666666667
4,63,5,medium,low,260.0,0.9252669039145908
4,74,5,medium,low,208.0,0.8666666666666667
4,13,5,medium,low,458.0,0.8297101449275363
4,29,5,medium,low,223.0,0.9291666666666667
4,104,5,medium,low,225.0,0.9375
4,77,5,medium,low,330.0,0.9375
4,35,5,medium,low,226.0,0.8528301886792453
4,43,5,medium,low,226.0,0.9416666666666667
4,41,5,medium,low,292.0,0.8768768768768769
4,65,5,medium,low,219.0,0.9125
4,64,5,medium,low,346.0,0.9376693766937669
4,79,5,medium,low,255.0,0.9659090909090909
4,56,5,medium,low,219.0,0.9125
4,31,5,medium,low,244.0,0.9242424242424242
4,132,5,medium,low,247.0,0.8344594594594594
4,27,5,medium,low,223.0,0.9291666666666667
4,94,5,medium,low,196.0,0.8166666666666667
4,21,5,medium,low,295.0,0.8333333333333334
4,126,5,medium,low,278.0,0.9328859060402684
4,78,5,medium,low,234.0,0.975
4,34,5,medium,low,228.0,0.9421487603305785
4,101,5,medium,low,737.0,0.8490783410138248
4,128,5,medium,low,409.0,0.8296146044624746
4,139,5,medium,low,195.0,0.8125
4,140,5,medium,low,222.0,0.925
4,180,5,medium,low,226.0,0.9416666666666667
4,164,5,medium,low,230.0,0.9583333333333334
6,10,5,medium,low,156.0,0.7536231884057971
4,182,5,medium,low,266.0,0.95
4,170,5,medium,low,270.0,0.8359133126934984
4,200,5,medium,low,225.0,0.9375
6,27,5,medium,low,192.0,0.927536231884058
4,176,5,medium,low,327.0,0.8014705882352942
4,208,5,medium,low,249.0,0.950381679389313
6,29,5,medium,low,197.0,0.9516908212560387
4,179,5,medium,low,467.0,0.9396378269617707
6,21,5,medium,low,306.0,0.864406779661017
6,31,5,medium,low,222.0,0.8409090909090909
6,34,5,medium,low,239.0,0.987603305785124
6,35,5,medium,low,221.0,0.8339622641509434
6,43,5,medium,low,199.0,0.961352657004831
6,37,5,medium,low,223.0,0.8643410852713178
6,13,5,medium,low,466.0,0.8442028985507246
