exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
4,30,5,medium,none,224.0,0.9333333333333333
4,196,5,medium,none,570.0,0.9405940594059405
4,154,5,medium,none,324.0,0.9204545454545454
4,5,5,medium,none,226.0,0.9416666666666667
6,5,5,medium,none,176.0,0.8502415458937198
4,28,5,medium,none,215.0,0.8958333333333334
6,3,5,medium,none,183.0,0.8840579710144928
6,36,5,medium,none,190.0,0.9178743961352657
6,93,5,medium,none,192.0,0.927536231884058
4,189,5,medium,none,224.0,0.9333333333333333
4,181,5,medium,none,219.0,0.9125
4,36,5,medium,none,217.0,0.9041666666666667
4,204,5,medium,none,232.0,0.9666666666666667
6,12,5,medium,none,188.0,0.9082125603864735
4,93,5,medium,none,223.0,0.9291666666666667
6,30,5,medium,none,196.0,0.9468599033816425
6,28,5,medium,none,166.0,0.8019323671497585
4,3,5,medium,none,217.0,0.9041666666666667
4,110,5,medium,none,215.0,0.8958333333333334
4,12,5,medium,none,216.0,0.9
6,96,5,medium,none,213.0,0.9551569506726457
4,201,5,medium,none,199.0,0.8291666666666667
4,163,5,medium,none,227.0,0.9458333333333333
4,96,5,medium,none,234.0,0.975
4,211,5,medium,none,205.0,0.8541666666666666
6,204,5,medium,none,199.0,0.961352657004831
6,201,5,medium,none,179.0,0.8647342995169082
6,110,5,medium,none,175.0,0.8454106280193237
6,181,5,medium,none,175.0,0.8454106280193237
6,163,5,medium,none,195.0,0.9420289855072463
6,189,5,medium,none,191.0,0.9227053140096618
6,211,5,medium,none,186.0,0.8773584905660378
6,154,5,medium,none,327.0,0.9289772727272727
16,28,5,medium,none,309.0,0.8089005235602095
16,3,5,medium,none,349.0,0.9136125654450262
16,12,5,medium,none,350.0,0.9162303664921466
16,30,5,medium,none,351.0,0.918848167539267
16,5,5,medium,none,316.0,0.8272251308900523
16,36,5,medium,none,336.0,0.8795811518324608
16,93,5,medium,none,356.0,0.9319371727748691
6,196,5,medium,none,582.0,0.9603960396039604
16,110,5,medium,none,309.0,0.8089005235602095
16,163,5,medium,none,357.0,0.9345549738219895
16,204,5,medium,none,373.0,0.9764397905759162
16,181,5,medium,none,311.0,0.8141361256544503
16,201,5,medium,none,321.0,0.8403141361256544
16,189,5,medium,none,345.0,0.9031413612565445
16,96,5,medium,none,357.0,0.9345549738219895
17,3,5,medium,none,264.0,0.9198606271777003
17,28,5,medium,none,232.0,0.8083623693379791
17,12,5,medium,none,261.0,0.9094076655052264
17,5,5,medium,none,246.0,0.8571428571428571
17,30,5,medium,none,262.0,0.9128919860627178
16,154,5,medium,none,362.0,0.9476439790575916
17,93,5,medium,none,262.0,0.9128919860627178
16,211,5,medium,none,308.0,0.806282722513089
17,36,5,medium,none,241.0,0.8397212543554007
17,110,5,medium,none,231.0,0.8048780487804879
17,163,5,medium,none,265.0,0.9233449477351916
17,96,5,medium,none,272.0,0.9477351916376306
17,181,5,medium,none,242.0,0.8432055749128919
17,201,5,medium,none,247.0,0.8606271777003485
17,204,5,medium,none,277.0,0.9651567944250871
17,189,5,medium,none,262.0,0.9128919860627178
19,28,5,medium,none,116.0,0.8467153284671532
19,3,5,medium,none,128.0,0.9343065693430657
19,5,5,medium,none,140.0,0.8484848484848485
19,12,5,medium,none,138.0,0.9857142857142858
17,154,5,medium,none,328.0,0.9318181818181818
19,93,5,medium,none,129.0,0.9416058394160584
19,36,5,medium,none,121.0,0.8832116788321168
19,30,5,medium,none,134.0,0.9178082191780822
17,211,5,medium,none,237.0,0.8257839721254355
19,110,5,medium,none,106.0,0.7737226277372263
16,196,5,medium,none,582.0,0.9603960396039604
19,96,5,medium,none,200.0,0.8968609865470852
19,181,5,medium,none,116.0,0.8169014084507042
19,163,5,medium,none,150.0,0.9433962264150944
19,204,5,medium,none,126.0,0.9197080291970803
19,189,5,medium,none,165.0,0.9217877094972067
19,201,5,medium,none,116.0,0.8467153284671532
19,211,5,medium,none,168.0,0.7924528301886793
19,154,5,medium,none,319.0,0.90625
20,3,5,medium,none,233.0,0.9395161290322581
20,28,5,medium,none,208.0,0.8387096774193549
20,12,5,medium,none,230.0,0.9274193548387096
20,5,5,medium,none,203.0,0.8185483870967742
17,196,5,medium,none,574.0,0.9471947194719472
20,36,5,medium,none,214.0,0.8629032258064516
20,93,5,medium,none,228.0,0.9193548387096774
19,196,5,medium,none,577.0,0.9521452145214522
20,30,5,medium,none,229.0,0.9233870967741935
