exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
3,29,5,none,low,150.0,0.8875739644970414
3,41,5,none,low,308.0,0.924924924924925
3,31,5,none,low,238.0,0.9015151515151515
3,65,5,none,low,123.0,0.917910447761194
3,78,5,none,low,191.0,0.8197424892703863
3,27,5,none,low,116.0,0.8656716417910447
3,132,5,none,low,268.0,0.9054054054054054
3,21,5,none,low,328.0,0.9265536723163842
3,101,5,none,low,832.0,0.9585253456221198
3,43,5,none,low,137.0,0.8838709677419355
3,126,5,none,low,277.0,0.9295302013422819
3,124,5,none,low,180.0,0.8256880733944955
3,99,5,none,low,277.0,0.9358108108108109
3,37,5,none,low,234.0,0.9069767441860465
3,94,5,none,low,132.0,0.9705882352941176
3,35,5,none,low,235.0,0.8867924528301887
3,79,5,none,low,233.0,0.8825757575757576
3,34,5,none,low,213.0,0.8801652892561983
3,104,5,none,low,213.0,0.922077922077922
3,13,5,none,low,508.0,0.9202898550724637
3,10,5,none,low,123.0,0.9111111111111111
3,77,5,none,low,326.0,0.9261363636363636
3,114,5,none,low,110.0,0.8208955223880597
3,64,5,none,low,333.0,0.9024390243902439
3,44,5,none,low,150.0,0.9433962264150944
3,60,5,none,low,226.0,0.8828125
3,74,5,none,low,121.0,0.9029850746268657
3,128,5,none,low,468.0,0.949290060851927
3,56,5,none,low,132.0,0.9295774647887324
3,63,5,none,low,248.0,0.8825622775800712
3,139,5,none,low,122.0,0.9104477611940298
3,140,5,none,low,110.0,0.8208955223880597
3,180,5,none,low,133.0,0.8525641025641025
3,164,5,none,low,183.0,0.8672985781990521
3,170,5,none,low,290.0,0.8978328173374613
3,182,5,none,low,248.0,0.8857142857142857
5,10,5,none,low,137.0,0.8303030303030303
3,200,5,none,low,210.0,0.9130434782608695
3,176,5,none,low,380.0,0.9313725490196079
5,27,5,none,low,148.0,0.896969696969697
3,208,5,none,low,226.0,0.8625954198473282
3,179,5,none,low,451.0,0.9074446680080482
5,29,5,none,low,162.0,0.9585798816568047
5,31,5,none,low,227.0,0.8598484848484849
5,34,5,none,low,233.0,0.9628099173553719
5,21,5,none,low,307.0,0.867231638418079
5,43,5,none,low,159.0,0.9636363636363636
5,37,5,none,low,210.0,0.813953488372093
5,35,5,none,low,220.0,0.8301886792452831
5,44,5,none,low,159.0,0.9636363636363636
5,56,5,none,low,160.0,0.9696969696969697
5,65,5,none,low,138.0,0.8363636363636363
5,13,5,none,low,473.0,0.8568840579710145
5,41,5,none,low,267.0,0.8018018018018018
5,74,5,none,low,134.0,0.8121212121212121
5,60,5,none,low,239.0,0.93359375
5,94,5,none,low,156.0,0.9454545454545454
5,63,5,none,low,260.0,0.9252669039145908
5,64,5,none,low,349.0,0.94579945799458
5,79,5,none,low,245.0,0.928030303030303
5,78,5,none,low,219.0,0.9399141630901288
5,114,5,none,low,132.0,0.8
5,77,5,none,low,327.0,0.9289772727272727
5,104,5,none,low,196.0,0.8484848484848485
5,99,5,none,low,256.0,0.8648648648648649
5,124,5,none,low,200.0,0.9174311926605505
5,139,5,none,low,141.0,0.8545454545454545
5,140,5,none,low,151.0,0.9151515151515152
5,126,5,none,low,279.0,0.9362416107382551
5,132,5,none,low,263.0,0.8885135135135135
5,164,5,none,low,191.0,0.9052132701421801
5,180,5,none,low,156.0,0.9454545454545454
5,128,5,none,low,451.0,0.9148073022312373
5,170,5,none,low,266.0,0.8235294117647058
5,182,5,none,low,268.0,0.9571428571428572
5,200,5,none,low,217.0,0.9434782608695652
12,10,5,none,low,132.0,0.9428571428571428
5,176,5,none,low,359.0,0.8799019607843137
5,208,5,none,low,236.0,0.9007633587786259
5,101,5,none,low,808.0,0.9308755760368663
12,27,5,none,low,122.0,0.8714285714285714
5,179,5,none,low,462.0,0.9295774647887324
12,29,5,none,low,154.0,0.9112426035502958
12,31,5,none,low,247.0,0.9356060606060606
12,21,5,none,low,325.0,0.9180790960451978
12,34,5,none,low,214.0,0.8842975206611571
12,43,5,none,low,137.0,0.8838709677419355
12,35,5,none,low,242.0,0.9132075471698113
12,37,5,none,low,227.0,0.8798449612403101
12,56,5,none,low,130.0,0.9154929577464789
12,41,5,none,low,303.0,0.9099099099099099
12,44,5,none,low,144.0,0.9056603773584906
12,13,5,none,low,512.0,0.927536231884058
12,65,5,none,low,130.0,0.9285714285714286
12,74,5,none,low,122.0,0.8714285714285714
12,60,5,none,low,231.0,0.90234375
12,63,5,none,low,248.0,0.8825622775800712
12,64,5,none,low,337.0,0.9132791327913279
12,78,5,none,low,197.0,0.8454935622317596
12,94,5,none,low,134.0,0.9571428571428572
12,79,5,none,low,236.0,0.8939393939393939
12,114,5,none,low,118.0,0.8428571428571429
12,77,5,none,low,319.0,0.90625
12,99,5,none,low,271.0,0.9155405405405406
12,104,5,none,low,217.0,0.9393939393939394
12,124,5,none,low,185.0,0.8486238532110092
12,139,5,none,low,125.0,0.8928571428571429
12,140,5,none,low,129.0,0.9214285714285714
12,126,5,none,low,263.0,0.8825503355704698
12,132,5,none,low,266.0,0.8986486486486487
12,164,5,none,low,186.0,0.8815165876777251
12,180,5,none,low,144.0,0.9230769230769231
12,170,5,none,low,286.0,0.8854489164086687
12,128,5,none,low,452.0,0.9168356997971603
12,200,5,none,low,203.0,0.8826086956521739
28,10,5,none,low,95.0,0.7037037037037037
12,176,5,none,low,376.0,0.9215686274509803
12,182,5,none,low,259.0,0.925
12,101,5,none,low,814.0,0.9377880184331797
28,27,5,none,low,105.0,0.9292035398230089
12,208,5,none,low,228.0,0.8702290076335878
12,179,5,none,low,443.0,0.8913480885311871
28,29,5,none,low,164.0,0.9704142011834319
28,31,5,none,low,206.0,0.7803030303030303
28,34,5,none,low,230.0,0.9504132231404959
28,43,5,none,low,143.0,0.9225806451612903
28,21,5,none,low,308.0,0.8700564971751412
28,35,5,none,low,215.0,0.8113207547169812
28,13,5,none,low,482.0,0.8731884057971014
28,37,5,none,low,204.0,0.7906976744186046
28,44,5,none,low,157.0,0.9874213836477987
28,65,5,none,low,101.0,0.8938053097345132
28,41,5,none,low,261.0,0.7837837837837838
28,74,5,none,low,97.0,0.8584070796460177
28,56,5,none,low,140.0,0.9859154929577465
28,60,5,none,low,237.0,0.92578125
28,94,5,none,low,130.0,0.9558823529411765
28,63,5,none,low,265.0,0.9430604982206405
28,78,5,none,low,219.0,0.9399141630901288
28,114,5,none,low,90.0,0.7964601769911505
28,64,5,none,low,353.0,0.9566395663956639
28,79,5,none,low,247.0,0.9356060606060606
28,99,5,none,low,270.0,0.9121621621621622
28,77,5,none,low,336.0,0.9545454545454546
28,104,5,none,low,197.0,0.8528138528138528
28,124,5,none,low,202.0,0.926605504587156
28,139,5,none,low,103.0,0.911504424778761
28,140,5,none,low,123.0,0.9609375
28,164,5,none,low,191.0,0.9052132701421801
28,126,5,none,low,284.0,0.9530201342281879
28,132,5,none,low,244.0,0.8243243243243243
28,128,5,none,low,434.0,0.8803245436105477
28,180,5,none,low,146.0,0.9358974358974359
28,170,5,none,low,278.0,0.8606811145510835
28,182,5,none,low,266.0,0.95
28,176,5,none,low,357.0,0.875
28,200,5,none,low,225.0,0.9782608695652174
30,10,5,none,low,133.0,0.910958904109589
28,208,5,none,low,228.0,0.8702290076335878
28,179,5,none,low,459.0,0.9235412474849095
28,101,5,none,low,812.0,0.9354838709677419
30,27,5,none,low,131.0,0.8972602739726028
30,29,5,none,low,153.0,0.9053254437869822
30,34,5,none,low,221.0,0.9132231404958677
30,43,5,none,low,153.0,0.9870967741935484
30,31,5,none,low,253.0,0.9583333333333334
30,21,5,none,low,339.0,0.9576271186440678
30,35,5,none,low,249.0,0.939622641509434
30,37,5,none,low,243.0,0.9418604651162791
30,41,5,none,low,311.0,0.933933933933934
30,13,5,none,low,523.0,0.947463768115942
30,44,5,none,low,147.0,0.9245283018867925
30,56,5,none,low,140.0,0.958904109589041
30,65,5,none,low,138.0,0.9452054794520548
30,74,5,none,low,135.0,0.9246575342465754
30,60,5,none,low,228.0,0.890625
30,94,5,none,low,145.0,0.9931506849315068
30,63,5,none,low,255.0,0.9074733096085409
30,78,5,none,low,206.0,0.8841201716738197
30,64,5,none,low,345.0,0.9349593495934959
30,79,5,none,low,241.0,0.9128787878787878
30,114,5,none,low,132.0,0.9041095890410958
30,77,5,none,low,316.0,0.8977272727272727
30,104,5,none,low,218.0,0.9437229437229437
30,124,5,none,low,189.0,0.8669724770642202
30,99,5,none,low,288.0,0.972972972972973
30,139,5,none,low,140.0,0.958904109589041
30,126,5,none,low,277.0,0.9295302013422819
30,140,5,none,low,131.0,0.8972602739726028
30,132,5,none,low,280.0,0.9459459459459459
30,164,5,none,low,198.0,0.9383886255924171
30,180,5,none,low,146.0,0.9358974358974359
30,170,5,none,low,303.0,0.9380804953560371
30,128,5,none,low,472.0,0.9574036511156186
30,176,5,none,low,392.0,0.9607843137254902
30,182,5,none,low,258.0,0.9214285714285714
36,10,5,none,low,117.0,0.8666666666666667
30,200,5,none,low,211.0,0.9173913043478261
36,27,5,none,low,117.0,0.9669421487603306
30,208,5,none,low,236.0,0.9007633587786259
30,101,5,none,low,841.0,0.9688940092165899
30,179,5,none,low,459.0,0.9235412474849095
36,29,5,none,low,152.0,0.8994082840236687
36,31,5,none,low,221.0,0.8371212121212122
36,21,5,none,low,324.0,0.9152542372881356
36,34,5,none,low,228.0,0.9421487603305785
36,43,5,none,low,144.0,0.9290322580645162
36,35,5,none,low,228.0,0.8603773584905661
36,44,5,none,low,151.0,0.949685534591195
36,13,5,none,low,500.0,0.9057971014492754
36,37,5,none,low,219.0,0.8488372093023255
36,56,5,none,low,139.0,0.9788732394366197
36,65,5,none,low,99.0,0.8181818181818182
36,41,5,none,low,288.0,0.8648648648648649
36,74,5,none,low,106.0,0.8760330578512396
36,60,5,none,low,234.0,0.9140625
36,63,5,none,low,252.0,0.896797153024911
36,94,5,none,low,131.0,0.9632352941176471
36,78,5,none,low,219.0,0.9399141630901288
36,79,5,none,low,243.0,0.9204545454545454
36,64,5,none,low,348.0,0.943089430894309
36,114,5,none,low,98.0,0.8099173553719008
36,77,5,none,low,325.0,0.9232954545454546
36,99,5,none,low,271.0,0.9155405405405406
36,104,5,none,low,202.0,0.8744588744588745
36,139,5,none,low,105.0,0.8677685950413223
36,124,5,none,low,203.0,0.9311926605504587
36,140,5,none,low,126.0,0.984375
36,126,5,none,low,276.0,0.9261744966442953
36,132,5,none,low,267.0,0.902027027027027
36,164,5,none,low,191.0,0.9052132701421801
36,180,5,none,low,140.0,0.8974358974358975
36,170,5,none,low,273.0,0.8452012383900929
36,128,5,none,low,449.0,0.9107505070993914
36,182,5,none,low,269.0,0.9607142857142857
36,176,5,none,low,357.0,0.875
36,200,5,none,low,212.0,0.9217391304347826
36,101,5,none,low,815.0,0.9389400921658986
36,179,5,none,low,469.0,0.9436619718309859
36,208,5,none,low,246.0,0.9389312977099237
93,10,5,none,low,125.0,0.9259259259259259
93,29,5,none,low,152.0,0.8994082840236687
93,27,5,none,low,99.0,0.908256880733945
93,34,5,none,low,225.0,0.9297520661157025
93,31,5,none,low,250.0,0.946969696969697
