exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
3,53,5,none,medium,128.0,0.9552238805970149
3,91,5,none,medium,130.0,0.9154929577464789
3,32,5,none,medium,203.0,0.8903508771929824
3,4,5,none,medium,217.0,0.9041666666666667
3,17,5,none,medium,264.0,0.9198606271777003
3,61,5,none,medium,318.0,0.9325513196480938
3,6,5,none,medium,183.0,0.8840579710144928
3,42,5,none,medium,115.0,0.8582089552238806
3,25,5,none,medium,273.0,0.934931506849315
3,84,5,none,medium,248.0,0.9429657794676806
3,55,5,none,medium,338.0,0.9037433155080213
3,88,5,none,medium,123.0,0.917910447761194
3,51,5,none,medium,127.0,0.8758620689655172
3,16,5,none,medium,349.0,0.9136125654450262
3,75,5,none,medium,186.0,0.9393939393939394
3,57,5,none,medium,174.0,0.9206349206349206
3,54,5,none,medium,294.0,0.939297124600639
3,33,5,none,medium,143.0,0.9862068965517241
3,83,5,none,medium,319.0,0.9114285714285715
3,20,5,none,medium,233.0,0.9395161290322581
3,62,5,none,medium,125.0,0.9328358208955224
3,81,5,none,medium,119.0,0.8880597014925373
3,89,5,none,medium,197.0,0.8794642857142857
3,19,5,none,medium,128.0,0.9343065693430657
3,24,5,none,medium,152.0,0.7875647668393783
3,66,5,none,medium,118.0,0.8805970149253731
3,40,5,none,medium,169.0,0.9657142857142857
3,70,5,none,medium,131.0,0.9776119402985075
3,73,5,none,medium,234.0,0.8666666666666667
3,108,5,none,medium,135.0,0.8709677419354839
3,105,5,none,medium,148.0,0.891566265060241
3,121,5,none,medium,160.0,0.903954802259887
3,97,5,none,medium,199.0,0.8652173913043478
3,143,5,none,medium,118.0,0.8805970149253731
3,115,5,none,medium,260.0,0.9059233449477352
3,133,5,none,medium,243.0,0.9101123595505618
3,135,5,none,medium,267.0,0.9175257731958762
3,117,5,none,medium,270.0,0.9090909090909091
3,147,5,none,medium,160.0,0.903954802259887
3,145,5,none,medium,229.0,0.9051383399209486
3,155,5,none,medium,151.0,0.888235294117647
3,142,5,none,medium,304.0,0.8735632183908046
3,168,5,none,medium,232.0,0.9169960474308301
3,158,5,none,medium,257.0,0.8986013986013986
3,171,5,none,medium,145.0,0.9235668789808917
3,166,5,none,medium,286.0,0.9377049180327869
3,203,5,none,medium,125.0,0.9328358208955224
3,192,5,none,medium,138.0,0.9019607843137255
3,169,5,none,medium,267.0,0.9175257731958762
3,202,5,none,medium,160.0,0.8465608465608465
3,210,5,none,medium,120.0,0.8955223880597015
3,207,5,none,medium,221.0,0.8467432950191571
3,215,5,none,medium,180.0,0.9473684210526315
3,151,5,none,medium,601.0,0.9479495268138801
5,6,5,none,medium,176.0,0.8502415458937198
3,206,5,none,medium,324.0,0.864
5,4,5,none,medium,226.0,0.9416666666666667
5,19,5,none,medium,140.0,0.8484848484848485
3,214,5,none,medium,498.0,0.9291044776119403
5,33,5,none,medium,159.0,0.9636363636363636
5,16,5,none,medium,316.0,0.8272251308900523
5,20,5,none,medium,203.0,0.8185483870967742
5,24,5,none,medium,178.0,0.9222797927461139
5,17,5,none,medium,246.0,0.8571428571428571
5,42,5,none,medium,154.0,0.9333333333333333
5,32,5,none,medium,199.0,0.8728070175438597
5,25,5,none,medium,241.0,0.8253424657534246
5,40,5,none,medium,165.0,0.9428571428571428
5,53,5,none,medium,145.0,0.8787878787878788
5,51,5,none,medium,156.0,0.9454545454545454
5,62,5,none,medium,142.0,0.8606060606060606
5,66,5,none,medium,159.0,0.9636363636363636
5,57,5,none,medium,171.0,0.9047619047619048
5,70,5,none,medium,146.0,0.8848484848484849
5,54,5,none,medium,301.0,0.9616613418530351
5,81,5,none,medium,150.0,0.9090909090909091
5,61,5,none,medium,331.0,0.9706744868035191
5,75,5,none,medium,192.0,0.9696969696969697
5,55,5,none,medium,339.0,0.9064171122994652
5,88,5,none,medium,137.0,0.8303030303030303
5,73,5,none,medium,253.0,0.937037037037037
5,84,5,none,medium,252.0,0.9581749049429658
5,91,5,none,medium,156.0,0.9454545454545454
5,83,5,none,medium,333.0,0.9514285714285714
5,105,5,none,medium,153.0,0.9216867469879518
5,108,5,none,medium,156.0,0.9454545454545454
5,89,5,none,medium,207.0,0.9241071428571429
5,97,5,none,medium,208.0,0.9043478260869565
5,143,5,none,medium,155.0,0.9393939393939394
5,121,5,none,medium,167.0,0.943502824858757
5,115,5,none,medium,253.0,0.8815331010452961
5,117,5,none,medium,279.0,0.9393939393939394
5,145,5,none,medium,213.0,0.841897233201581
5,133,5,none,medium,210.0,0.7865168539325843
5,147,5,none,medium,153.0,0.864406779661017
5,135,5,none,medium,259.0,0.8900343642611683
5,155,5,none,medium,167.0,0.9823529411764705
5,142,5,none,medium,318.0,0.9137931034482759
5,171,5,none,medium,160.0,0.9696969696969697
5,168,5,none,medium,233.0,0.9209486166007905
5,192,5,none,medium,151.0,0.9151515151515152
5,158,5,none,medium,225.0,0.7867132867132867
5,166,5,none,medium,262.0,0.8590163934426229
5,203,5,none,medium,148.0,0.896969696969697
5,202,5,none,medium,181.0,0.9576719576719577
5,169,5,none,medium,271.0,0.9312714776632303
5,210,5,none,medium,153.0,0.9272727272727272
5,215,5,none,medium,180.0,0.9473684210526315
5,151,5,none,medium,579.0,0.9132492113564669
12,4,5,none,medium,216.0,0.9
5,207,5,none,medium,235.0,0.9003831417624522
12,6,5,none,medium,188.0,0.9082125603864735
5,206,5,none,medium,345.0,0.92
12,19,5,none,medium,138.0,0.9857142857142858
12,24,5,none,medium,166.0,0.8601036269430051
12,17,5,none,medium,261.0,0.9094076655052264
12,20,5,none,medium,230.0,0.9274193548387096
12,16,5,none,medium,350.0,0.9162303664921466
12,42,5,none,medium,124.0,0.8857142857142857
12,25,5,none,medium,276.0,0.9452054794520548
12,33,5,none,medium,143.0,0.9862068965517241
12,32,5,none,medium,206.0,0.9035087719298246
5,214,5,none,medium,480.0,0.8955223880597015
12,40,5,none,medium,164.0,0.9371428571428572
12,53,5,none,medium,131.0,0.9357142857142857
12,51,5,none,medium,129.0,0.8896551724137931
12,62,5,none,medium,126.0,0.9
12,57,5,none,medium,174.0,0.9206349206349206
12,66,5,none,medium,127.0,0.9071428571428571
12,70,5,none,medium,131.0,0.9357142857142857
12,54,5,none,medium,285.0,0.9105431309904153
12,81,5,none,medium,128.0,0.9142857142857143
12,55,5,none,medium,348.0,0.93048128342246
12,75,5,none,medium,179.0,0.9040404040404041
12,73,5,none,medium,246.0,0.9111111111111111
12,88,5,none,medium,129.0,0.9214285714285714
12,61,5,none,medium,319.0,0.9354838709677419
12,91,5,none,medium,140.0,0.9859154929577465
12,84,5,none,medium,243.0,0.9239543726235742
12,108,5,none,medium,150.0,0.967741935483871
12,89,5,none,medium,195.0,0.8705357142857143
12,105,5,none,medium,155.0,0.9337349397590361
12,83,5,none,medium,317.0,0.9057142857142857
12,97,5,none,medium,202.0,0.8782608695652174
12,121,5,none,medium,159.0,0.8983050847457628
12,115,5,none,medium,261.0,0.9094076655052264
12,143,5,none,medium,124.0,0.8857142857142857
12,117,5,none,medium,269.0,0.9057239057239057
12,133,5,none,medium,239.0,0.8951310861423221
12,135,5,none,medium,270.0,0.9278350515463918
12,145,5,none,medium,226.0,0.8932806324110671
12,155,5,none,medium,152.0,0.8941176470588236
12,147,5,none,medium,163.0,0.9209039548022598
12,142,5,none,medium,309.0,0.8879310344827587
12,171,5,none,medium,142.0,0.9044585987261147
12,158,5,none,medium,262.0,0.916083916083916
12,192,5,none,medium,143.0,0.934640522875817
12,168,5,none,medium,232.0,0.9169960474308301
12,166,5,none,medium,285.0,0.9344262295081968
12,203,5,none,medium,127.0,0.9071428571428571
12,202,5,none,medium,165.0,0.873015873015873
12,169,5,none,medium,263.0,0.9037800687285223
12,210,5,none,medium,127.0,0.9071428571428571
12,151,5,none,medium,597.0,0.9416403785488959
28,4,5,none,medium,215.0,0.8958333333333334
12,215,5,none,medium,178.0,0.9368421052631579
28,6,5,none,medium,166.0,0.8019323671497585
12,207,5,none,medium,231.0,0.8850574712643678
28,19,5,none,medium,116.0,0.8467153284671532
12,206,5,none,medium,331.0,0.8826666666666667
28,24,5,none,medium,174.0,0.9015544041450777
28,17,5,none,medium,232.0,0.8083623693379791
28,16,5,none,medium,309.0,0.8089005235602095
28,20,5,none,medium,208.0,0.8387096774193549
28,42,5,none,medium,109.0,0.9646017699115044
28,33,5,none,medium,141.0,0.9724137931034482
28,32,5,none,medium,176.0,0.7719298245614035
28,25,5,none,medium,255.0,0.8732876712328768
12,214,5,none,medium,499.0,0.9309701492537313
28,51,5,none,medium,141.0,0.9724137931034482
28,40,5,none,medium,156.0,0.8914285714285715
28,53,5,none,medium,100.0,0.7518796992481203
28,62,5,none,medium,104.0,0.9203539823008849
28,57,5,none,medium,160.0,0.8465608465608465
28,70,5,none,medium,113.0,0.875968992248062
28,66,5,none,medium,114.0,0.991304347826087
28,54,5,none,medium,307.0,0.9808306709265175
28,81,5,none,medium,119.0,0.9444444444444444
28,55,5,none,medium,320.0,0.8556149732620321
28,73,5,none,medium,250.0,0.9259259259259259
28,75,5,none,medium,188.0,0.9494949494949495
28,61,5,none,medium,326.0,0.9560117302052786
28,88,5,none,medium,103.0,0.911504424778761
28,84,5,none,medium,253.0,0.9619771863117871
28,91,5,none,medium,135.0,0.9507042253521126
28,108,5,none,medium,144.0,0.9290322580645162
28,105,5,none,medium,137.0,0.8253012048192772
28,89,5,none,medium,212.0,0.9464285714285714
28,83,5,none,medium,327.0,0.9342857142857143
28,97,5,none,medium,211.0,0.9173913043478261
28,121,5,none,medium,170.0,0.96045197740113
28,115,5,none,medium,252.0,0.8780487804878049
28,143,5,none,medium,109.0,0.9646017699115044
28,133,5,none,medium,220.0,0.8239700374531835
28,117,5,none,medium,283.0,0.9528619528619529
28,135,5,none,medium,257.0,0.8831615120274914
28,147,5,none,medium,149.0,0.8418079096045198
28,145,5,none,medium,200.0,0.7905138339920948
28,155,5,none,medium,166.0,0.9764705882352941
28,142,5,none,medium,322.0,0.9252873563218391
28,171,5,none,medium,153.0,0.9745222929936306
28,158,5,none,medium,224.0,0.7832167832167832
28,203,5,none,medium,96.0,0.8495575221238938
28,168,5,none,medium,215.0,0.849802371541502
28,192,5,none,medium,132.0,0.8627450980392157
28,166,5,none,medium,274.0,0.898360655737705
28,169,5,none,medium,269.0,0.9243986254295533
28,202,5,none,medium,178.0,0.9417989417989417
28,210,5,none,medium,120.0,0.9917355371900827
28,215,5,none,medium,181.0,0.9526315789473684
28,151,5,none,medium,587.0,0.9258675078864353
28,207,5,none,medium,238.0,0.9118773946360154
30,4,5,none,medium,224.0,0.9333333333333333
30,6,5,none,medium,196.0,0.9468599033816425
28,206,5,none,medium,346.0,0.9226666666666666
30,19,5,none,medium,134.0,0.9178082191780822
28,214,5,none,medium,491.0,0.9160447761194029
30,20,5,none,medium,229.0,0.9233870967741935
30,17,5,none,medium,262.0,0.9128919860627178
30,24,5,none,medium,157.0,0.8134715025906736
30,33,5,none,medium,143.0,0.9794520547945206
30,42,5,none,medium,131.0,0.8972602739726028
30,16,5,none,medium,351.0,0.918848167539267
30,32,5,none,medium,214.0,0.9385964912280702
30,25,5,none,medium,279.0,0.9554794520547946
30,53,5,none,medium,136.0,0.9315068493150684
30,40,5,none,medium,166.0,0.9485714285714286
30,51,5,none,medium,138.0,0.9452054794520548
30,62,5,none,medium,133.0,0.910958904109589
30,66,5,none,medium,132.0,0.9041095890410958
30,57,5,none,medium,174.0,0.9206349206349206
30,70,5,none,medium,141.0,0.9657534246575342
30,54,5,none,medium,283.0,0.9041533546325878
30,81,5,none,medium,128.0,0.8767123287671232
30,55,5,none,medium,349.0,0.9331550802139037
30,75,5,none,medium,188.0,0.9494949494949495
30,61,5,none,medium,308.0,0.9032258064516129
30,73,5,none,medium,237.0,0.8777777777777778
30,88,5,none,medium,132.0,0.9041095890410958
30,84,5,none,medium,241.0,0.9163498098859315
30,91,5,none,medium,135.0,0.9246575342465754
30,105,5,none,medium,159.0,0.9578313253012049
30,89,5,none,medium,203.0,0.90625
30,83,5,none,medium,318.0,0.9085714285714286
30,108,5,none,medium,145.0,0.9354838709677419
30,97,5,none,medium,199.0,0.8652173913043478
30,143,5,none,medium,135.0,0.9246575342465754
30,121,5,none,medium,164.0,0.9265536723163842
30,115,5,none,medium,271.0,0.9442508710801394
30,117,5,none,medium,264.0,0.8888888888888888
30,133,5,none,medium,252.0,0.9438202247191011
30,135,5,none,medium,277.0,0.9518900343642611
30,147,5,none,medium,171.0,0.9661016949152542
30,145,5,none,medium,239.0,0.9446640316205533
30,155,5,none,medium,164.0,0.9647058823529412
30,142,5,none,medium,315.0,0.9051724137931034
30,171,5,none,medium,138.0,0.8789808917197452
30,158,5,none,medium,261.0,0.9125874125874126
30,192,5,none,medium,149.0,0.9738562091503268
30,203,5,none,medium,141.0,0.9657534246575342
30,168,5,none,medium,241.0,0.9525691699604744
30,202,5,none,medium,169.0,0.8941798941798942
30,166,5,none,medium,296.0,0.9704918032786886
30,169,5,none,medium,268.0,0.9209621993127147
30,210,5,none,medium,135.0,0.9246575342465754
30,151,5,none,medium,613.0,0.9668769716088328
30,215,5,none,medium,174.0,0.9157894736842105
30,207,5,none,medium,225.0,0.8620689655172413
36,6,5,none,medium,190.0,0.9178743961352657
36,4,5,none,medium,217.0,0.9041666666666667
30,206,5,none,medium,342.0,0.912
36,19,5,none,medium,121.0,0.8832116788321168
36,24,5,none,medium,179.0,0.927461139896373
36,17,5,none,medium,241.0,0.8397212543554007
36,16,5,none,medium,336.0,0.8795811518324608
36,42,5,none,medium,115.0,0.9504132231404959
36,20,5,none,medium,214.0,0.8629032258064516
36,33,5,none,medium,141.0,0.9724137931034482
36,25,5,none,medium,260.0,0.8904109589041096
30,214,5,none,medium,518.0,0.9664179104477612
36,32,5,none,medium,202.0,0.8859649122807017
36,40,5,none,medium,158.0,0.9028571428571428
36,53,5,none,medium,120.0,0.9022556390977443
36,51,5,none,medium,136.0,0.9379310344827586
36,62,5,none,medium,106.0,0.8760330578512396
36,66,5,none,medium,117.0,0.9669421487603306
36,57,5,none,medium,174.0,0.9206349206349206
36,54,5,none,medium,300.0,0.9584664536741214
36,70,5,none,medium,114.0,0.8837209302325582
36,81,5,none,medium,124.0,0.9841269841269841
36,55,5,none,medium,338.0,0.9037433155080213
36,75,5,none,medium,180.0,0.9090909090909091
36,61,5,none,medium,325.0,0.9530791788856305
36,88,5,none,medium,115.0,0.9504132231404959
36,73,5,none,medium,257.0,0.9518518518518518
36,91,5,none,medium,133.0,0.9366197183098591
36,108,5,none,medium,150.0,0.967741935483871
36,83,5,none,medium,329.0,0.94
36,105,5,none,medium,135.0,0.8132530120481928
