exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
26,35,vehicle,high,low,223.0,0.8415094339622642
26,140,vehicle,high,low,197.0,0.8873873873873874
48,180,vehicle,high,low,180.0,0.9
48,31,vehicle,high,low,214.0,0.8106060606060606
48,77,vehicle,high,low,324.0,0.8329048843187661
48,114,vehicle,high,low,165.0,0.825
26,31,vehicle,high,low,231.0,0.875
26,139,vehicle,high,low,157.0,0.8674033149171271
1,64,vehicle,high,low,523.0,0.8834459459459459
68,37,vehicle,high,low,208.0,0.8062015503875969
48,29,vehicle,high,low,186.0,0.93
48,74,vehicle,high,low,171.0,0.855
48,179,vehicle,high,low,299.0,0.7806788511749347
26,29,vehicle,high,low,168.0,0.9180327868852459
1,126,vehicle,high,low,283.0,0.8871473354231975
48,27,vehicle,high,low,176.0,0.88
48,104,vehicle,high,low,211.0,0.9134199134199135
26,74,vehicle,high,low,154.0,0.850828729281768
26,27,vehicle,high,low,156.0,0.861878453038674
26,132,vehicle,high,low,265.0,0.8952702702702703
1,128,vehicle,high,low,441.0,0.8945233265720081
48,21,vehicle,high,low,321.0,0.9067796610169492
48,101,vehicle,high,low,786.0,0.9055299539170507
26,21,vehicle,high,low,317.0,0.8954802259887006
1,132,vehicle,high,low,256.0,0.8648648648648649
68,34,vehicle,high,low,193.0,0.946078431372549
48,13,vehicle,high,low,477.0,0.8641304347826086
48,65,vehicle,high,low,167.0,0.835
1,74,vehicle,high,low,113.0,0.849624060150376
26,13,vehicle,high,low,480.0,0.8695652173913043
48,10,vehicle,high,low,154.0,0.77
48,64,vehicle,high,low,533.0,0.9003378378378378
26,10,vehicle,high,low,161.0,0.8895027624309392
1,139,vehicle,high,low,113.0,0.849624060150376
48,63,vehicle,high,low,217.0,0.8346153846153846
1,60,vehicle,high,low,258.0,0.8431372549019608
1,164,vehicle,high,low,210.0,0.8936170212765957
1,41,vehicle,high,low,284.0,0.8528528528528528
26,200,vehicle,high,low,167.0,0.9226519337016574
48,60,vehicle,high,low,274.0,0.8954248366013072
1,200,vehicle,high,low,161.0,0.9096045197740112
48,37,vehicle,high,low,212.0,0.8217054263565892
1,56,vehicle,high,low,137.0,0.9383561643835616
48,56,vehicle,high,low,168.0,0.84
1,29,vehicle,high,low,160.0,0.8743169398907104
26,183,vehicle,high,low,244.0,0.8714285714285714
