exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
1,53,vehicle,high,medium,131.0,0.9849624060150376
26,117,vehicle,high,medium,216.0,0.8888888888888888
26,81,vehicle,high,medium,251.0,0.8122977346278317
26,210,vehicle,high,medium,153.0,0.8453038674033149
48,25,vehicle,high,medium,247.0,0.8458904109589042
1,171,vehicle,high,medium,238.0,0.8439716312056738
1,73,vehicle,high,medium,271.0,0.8041543026706232
1,54,vehicle,high,medium,126.0,0.8689655172413793
26,115,vehicle,high,medium,258.0,0.8989547038327527
26,171,vehicle,high,medium,242.0,0.8581560283687943
1,62,vehicle,high,medium,119.0,0.8947368421052632
26,18,vehicle,high,medium,260.0,0.8609271523178808
26,75,vehicle,high,medium,241.0,0.8607142857142858
1,55,vehicle,high,medium,321.0,0.8582887700534759
26,169,vehicle,high,medium,159.0,0.8784530386740331
1,66,vehicle,high,medium,126.0,0.9473684210526315
26,73,vehicle,high,medium,300.0,0.8902077151335311
48,33,vehicle,high,medium,227.0,0.88671875
26,168,vehicle,high,medium,227.0,0.8972332015810277
26,108,vehicle,high,medium,158.0,0.8729281767955801
1,214,vehicle,high,medium,472.0,0.8805970149253731
1,207,vehicle,high,medium,281.0,0.8541033434650456
1,75,vehicle,high,medium,241.0,0.8607142857142858
1,70,vehicle,high,medium,128.0,0.9624060150375939
26,72,vehicle,high,medium,292.0,0.8929663608562691
26,105,vehicle,high,medium,168.0,0.9281767955801105
1,215,vehicle,high,medium,228.0,0.8837209302325582
26,166,vehicle,high,medium,260.0,0.8524590163934426
1,72,vehicle,high,medium,281.0,0.8593272171253823
26,70,vehicle,high,medium,169.0,0.9337016574585635
1,84,vehicle,high,medium,209.0,0.8326693227091634
1,18,vehicle,high,medium,264.0,0.8741721854304636
1,81,vehicle,high,medium,262.0,0.8478964401294499
26,4,vehicle,high,medium,216.0,0.9
1,6,vehicle,high,medium,171.0,0.8260869565217391
26,158,vehicle,high,medium,244.0,0.8531468531468531
26,66,vehicle,high,medium,166.0,0.9171270718232044
1,88,vehicle,high,medium,123.0,0.924812030075188
26,6,vehicle,high,medium,185.0,0.893719806763285
26,62,vehicle,high,medium,155.0,0.856353591160221
1,89,vehicle,high,medium,372.0,0.8899521531100478
1,61,vehicle,high,medium,171.0,0.8181818181818182
26,91,vehicle,high,medium,195.0,0.8705357142857143
1,19,vehicle,high,medium,121.0,0.8832116788321168
1,33,vehicle,high,medium,204.0,0.796875
26,61,vehicle,high,medium,176.0,0.8421052631578947
1,91,vehicle,high,medium,193.0,0.8616071428571429
26,203,vehicle,high,medium,166.0,0.9171270718232044
1,40,vehicle,high,medium,153.0,0.8742857142857143
1,143,vehicle,high,medium,123.0,0.924812030075188
1,145,vehicle,high,medium,214.0,0.8458498023715415
26,16,vehicle,high,medium,326.0,0.8534031413612565
1,115,vehicle,high,medium,245.0,0.8536585365853658
26,155,vehicle,high,medium,178.0,0.8811881188118812
1,147,vehicle,high,medium,148.0,0.8361581920903954
26,57,vehicle,high,medium,174.0,0.9206349206349206
26,17,vehicle,high,medium,242.0,0.8432055749128919
1,17,vehicle,high,medium,242.0,0.8432055749128919
48,32,vehicle,high,medium,180.0,0.7894736842105263
26,55,vehicle,high,medium,334.0,0.893048128342246
48,73,vehicle,high,medium,305.0,0.9050445103857567
1,133,vehicle,high,medium,229.0,0.8576779026217228
1,117,vehicle,high,medium,209.0,0.8600823045267489
1,4,vehicle,high,medium,199.0,0.8291666666666667
1,151,vehicle,high,medium,567.0,0.8943217665615142
48,72,vehicle,high,medium,283.0,0.8654434250764526
1,20,vehicle,high,medium,209.0,0.842741935483871
1,155,vehicle,high,medium,165.0,0.8168316831683168
48,70,vehicle,high,medium,162.0,0.81
1,158,vehicle,high,medium,239.0,0.8356643356643356
26,206,vehicle,high,medium,239.0,0.8951310861423221
26,147,vehicle,high,medium,174.0,0.9613259668508287
1,166,vehicle,high,medium,278.0,0.9114754098360656
48,66,vehicle,high,medium,179.0,0.895
1,142,vehicle,high,medium,188.0,0.8430493273542601
1,169,vehicle,high,medium,130.0,0.8125
48,62,vehicle,high,medium,175.0,0.875
1,25,vehicle,high,medium,253.0,0.8664383561643836
1,206,vehicle,high,medium,214.0,0.8014981273408239
48,61,vehicle,high,medium,182.0,0.8708133971291866
1,83,vehicle,high,medium,271.0,0.865814696485623
48,58,vehicle,high,medium,168.0,0.84
1,168,vehicle,high,medium,225.0,0.8893280632411067
48,57,vehicle,high,medium,177.0,0.885
1,210,vehicle,high,medium,125.0,0.9057971014492754
1,105,vehicle,high,medium,154.0,0.927710843373494
48,24,vehicle,high,medium,191.0,0.9182692307692307
48,55,vehicle,high,medium,319.0,0.8529411764705882
48,20,vehicle,high,medium,226.0,0.9112903225806451
1,51,vehicle,high,medium,114.0,0.8571428571428571
48,54,vehicle,high,medium,171.0,0.855
48,53,vehicle,high,medium,158.0,0.79
48,19,vehicle,high,medium,162.0,0.81
26,19,vehicle,high,medium,164.0,0.9060773480662984
26,24,vehicle,high,medium,195.0,0.9375
48,51,vehicle,high,medium,160.0,0.8
26,207,vehicle,high,medium,275.0,0.8358662613981763
1,190,vehicle,high,medium,114.0,0.8571428571428571
48,18,vehicle,high,medium,256.0,0.847682119205298
26,25,vehicle,high,medium,251.0,0.8595890410958904
48,50,vehicle,high,medium,296.0,0.9107692307692308
1,191,vehicle,high,medium,196.0,0.7935222672064778
26,20,vehicle,high,medium,201.0,0.8104838709677419
48,17,vehicle,high,medium,243.0,0.8466898954703833
26,151,vehicle,high,medium,573.0,0.9037854889589906
26,32,vehicle,high,medium,203.0,0.8903508771929824
1,16,vehicle,high,medium,324.0,0.8481675392670157
48,42,vehicle,high,medium,175.0,0.875
1,192,vehicle,high,medium,125.0,0.8169934640522876
48,16,vehicle,high,medium,315.0,0.824607329842932
26,145,vehicle,high,medium,233.0,0.9209486166007905
1,32,vehicle,high,medium,188.0,0.8245614035087719
26,143,vehicle,high,medium,165.0,0.9116022099447514
26,33,vehicle,high,medium,215.0,0.83984375
48,40,vehicle,high,medium,188.0,0.94
1,24,vehicle,high,medium,186.0,0.8942307692307693
26,142,vehicle,high,medium,191.0,0.8565022421524664
26,97,vehicle,high,medium,235.0,0.8392857142857143
26,40,vehicle,high,medium,160.0,0.8839779005524862
26,202,vehicle,high,medium,531.0,0.9123711340206185
1,197,vehicle,high,medium,208.0,0.8221343873517787
26,135,vehicle,high,medium,260.0,0.8934707903780069
26,42,vehicle,high,medium,162.0,0.8950276243093923
26,197,vehicle,high,medium,219.0,0.8656126482213439
26,89,vehicle,high,medium,363.0,0.868421052631579
1,202,vehicle,high,medium,514.0,0.8831615120274914
48,6,vehicle,high,medium,186.0,0.8985507246376812
26,133,vehicle,high,medium,227.0,0.850187265917603
26,50,vehicle,high,medium,295.0,0.9076923076923077
1,203,vehicle,high,medium,121.0,0.9097744360902256
48,4,vehicle,high,medium,223.0,0.9291666666666667
1,108,vehicle,high,medium,114.0,0.8571428571428571
1,50,vehicle,high,medium,296.0,0.9107692307692308
26,51,vehicle,high,medium,159.0,0.8784530386740331
26,192,vehicle,high,medium,160.0,0.8839779005524862
26,88,vehicle,high,medium,164.0,0.9060773480662984
26,215,vehicle,high,medium,239.0,0.9263565891472868
1,97,vehicle,high,medium,237.0,0.8464285714285714
26,53,vehicle,high,medium,174.0,0.9613259668508287
26,191,vehicle,high,medium,217.0,0.8785425101214575
26,84,vehicle,high,medium,222.0,0.8844621513944223
26,214,vehicle,high,medium,484.0,0.9029850746268657
1,42,vehicle,high,medium,108.0,0.8120300751879699
1,135,vehicle,high,medium,247.0,0.8487972508591065
26,58,vehicle,high,medium,163.0,0.9005524861878453
26,54,vehicle,high,medium,165.0,0.9116022099447514
26,190,vehicle,high,medium,153.0,0.8453038674033149
1,58,vehicle,high,medium,136.0,0.8774193548387097
1,57,vehicle,high,medium,166.0,0.8783068783068783
26,83,vehicle,high,medium,273.0,0.8722044728434505
48,108,vehicle,high,medium,176.0,0.88
48,88,vehicle,high,medium,164.0,0.82
48,84,vehicle,high,medium,214.0,0.852589641434263
48,145,vehicle,high,medium,216.0,0.8537549407114624
48,133,vehicle,high,medium,218.0,0.8164794007490637
48,75,vehicle,high,medium,258.0,0.9214285714285714
48,105,vehicle,high,medium,167.0,0.835
48,115,vehicle,high,medium,254.0,0.8850174216027874
48,155,vehicle,high,medium,193.0,0.9554455445544554
48,83,vehicle,high,medium,282.0,0.9009584664536742
48,190,vehicle,high,medium,155.0,0.775
48,117,vehicle,high,medium,191.0,0.7860082304526749
48,143,vehicle,high,medium,160.0,0.8
48,91,vehicle,high,medium,182.0,0.8125
48,81,vehicle,high,medium,243.0,0.7864077669902912
48,192,vehicle,high,medium,178.0,0.89
48,158,vehicle,high,medium,243.0,0.8496503496503497
48,142,vehicle,high,medium,204.0,0.9147982062780269
48,168,vehicle,high,medium,230.0,0.9090909090909091
48,169,vehicle,high,medium,180.0,0.9
48,166,vehicle,high,medium,265.0,0.8688524590163934
48,191,vehicle,high,medium,209.0,0.8461538461538461
48,147,vehicle,high,medium,174.0,0.87
48,203,vehicle,high,medium,181.0,0.905
48,210,vehicle,high,medium,156.0,0.78
48,97,vehicle,high,medium,255.0,0.9107142857142857
48,151,vehicle,high,medium,576.0,0.9085173501577287
68,4,vehicle,high,medium,217.0,0.9041666666666667
68,17,vehicle,high,medium,246.0,0.8571428571428571
48,215,vehicle,high,medium,224.0,0.8682170542635659
68,18,vehicle,high,medium,256.0,0.847682119205298
68,20,vehicle,high,medium,200.0,0.8064516129032258
48,197,vehicle,high,medium,228.0,0.9011857707509882
48,135,vehicle,high,medium,266.0,0.9140893470790378
68,42,vehicle,high,medium,132.0,0.8354430379746836
68,19,vehicle,high,medium,136.0,0.8607594936708861
68,25,vehicle,high,medium,245.0,0.839041095890411
68,40,vehicle,high,medium,164.0,0.9371428571428572
68,32,vehicle,high,medium,177.0,0.7763157894736842
68,24,vehicle,high,medium,178.0,0.8557692307692307
48,202,vehicle,high,medium,530.0,0.9106529209621993
68,33,vehicle,high,medium,222.0,0.8671875
68,54,vehicle,high,medium,138.0,0.8734177215189873
68,51,vehicle,high,medium,130.0,0.8227848101265823
68,6,vehicle,high,medium,162.0,0.782608695652174
68,66,vehicle,high,medium,145.0,0.9177215189873418
