exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
86,28,vehicle,high,none,251.0,0.8655172413793103
69,216,vehicle,high,none,282.0,0.8924050632911392
82,154,vehicle,high,none,383.0,0.8906976744186047
80,30,vehicle,high,none,121.0,0.8962962962962963
68,189,vehicle,high,none,124.0,0.7848101265822784
69,93,vehicle,high,none,295.0,0.9335443037974683
86,12,vehicle,high,none,327.0,0.8605263157894737
69,211,vehicle,high,none,255.0,0.8069620253164557
26,216,vehicle,high,none,160.0,0.8839779005524862
68,181,vehicle,high,none,134.0,0.8481012658227848
1,106,vehicle,high,none,164.0,0.841025641025641
69,59,vehicle,high,none,266.0,0.8417721518987342
86,5,vehicle,high,none,261.0,0.9
69,204,vehicle,high,none,306.0,0.9683544303797469
68,163,vehicle,high,none,153.0,0.8453038674033149
1,59,vehicle,high,none,243.0,0.8617021276595744
86,3,vehicle,high,none,260.0,0.896551724137931
69,201,vehicle,high,none,272.0,0.8607594936708861
68,154,vehicle,high,none,372.0,0.8651162790697674
69,36,vehicle,high,none,286.0,0.9050632911392406
1,154,vehicle,high,none,376.0,0.8744186046511628
1,3,vehicle,high,none,165.0,0.9065934065934066
82,216,vehicle,high,none,219.0,0.876
69,196,vehicle,high,none,340.0,0.8564231738035264
68,141,vehicle,high,none,190.0,0.8407079646017699
69,30,vehicle,high,none,260.0,0.8227848101265823
82,211,vehicle,high,none,211.0,0.844
69,189,vehicle,high,none,271.0,0.8575949367088608
26,204,vehicle,high,none,168.0,0.9281767955801105
68,116,vehicle,high,none,160.0,0.7407407407407407
69,28,vehicle,high,none,260.0,0.8227848101265823
82,204,vehicle,high,none,236.0,0.944
69,181,vehicle,high,none,270.0,0.8544303797468354
26,201,vehicle,high,none,164.0,0.9060773480662984
26,36,vehicle,high,none,160.0,0.8839779005524862
69,12,vehicle,high,none,315.0,0.8289473684210527
82,201,vehicle,high,none,214.0,0.856
26,196,vehicle,high,none,345.0,0.8690176322418136
26,154,vehicle,high,none,380.0,0.8837209302325582
48,106,vehicle,high,none,188.0,0.94
82,196,vehicle,high,none,358.0,0.9017632241813602
26,30,vehicle,high,none,161.0,0.8895027624309392
26,189,vehicle,high,none,174.0,0.9613259668508287
48,204,vehicle,high,none,191.0,0.955
68,106,vehicle,high,none,165.0,0.8461538461538461
1,216,vehicle,high,none,111.0,0.8345864661654135
82,141,vehicle,high,none,216.0,0.864
69,5,vehicle,high,none,277.0,0.8765822784810127
82,189,vehicle,high,none,201.0,0.804
26,181,vehicle,high,none,152.0,0.8397790055248618
82,116,vehicle,high,none,204.0,0.816
26,141,vehicle,high,none,200.0,0.8849557522123894
26,110,vehicle,high,none,160.0,0.8839779005524862
48,5,vehicle,high,none,168.0,0.84
26,163,vehicle,high,none,174.0,0.9613259668508287
68,216,vehicle,high,none,137.0,0.8670886075949367
26,106,vehicle,high,none,184.0,0.9435897435897436
82,110,vehicle,high,none,192.0,0.768
48,196,vehicle,high,none,356.0,0.8967254408060453
48,201,vehicle,high,none,167.0,0.835
26,96,vehicle,high,none,217.0,0.8821138211382114
48,3,vehicle,high,none,185.0,0.925
48,12,vehicle,high,none,329.0,0.8657894736842106
26,211,vehicle,high,none,185.0,0.8726415094339622
82,106,vehicle,high,none,228.0,0.912
80,216,vehicle,high,none,95.0,0.95
48,189,vehicle,high,none,160.0,0.8
82,163,vehicle,high,none,210.0,0.84
26,93,vehicle,high,none,161.0,0.8895027624309392
48,28,vehicle,high,none,149.0,0.745
82,96,vehicle,high,none,218.0,0.872
48,181,vehicle,high,none,170.0,0.85
80,211,vehicle,high,none,189.0,0.8915094339622641
69,141,vehicle,high,none,253.0,0.8006329113924051
48,30,vehicle,high,none,168.0,0.84
48,93,vehicle,high,none,180.0,0.9
1,201,vehicle,high,none,118.0,0.8872180451127819
82,93,vehicle,high,none,234.0,0.936
48,163,vehicle,high,none,172.0,0.86
1,28,vehicle,high,none,117.0,0.8796992481203008
26,28,vehicle,high,none,162.0,0.8950276243093923
48,36,vehicle,high,none,163.0,0.815
1,30,vehicle,high,none,117.0,0.8666666666666667
82,59,vehicle,high,none,244.0,0.8652482269503546
48,154,vehicle,high,none,382.0,0.8883720930232558
1,204,vehicle,high,none,126.0,0.9473684210526315
1,93,vehicle,high,none,119.0,0.8947368421052632
26,59,vehicle,high,none,257.0,0.9113475177304965
26,12,vehicle,high,none,340.0,0.8947368421052632
1,116,vehicle,high,none,174.0,0.8055555555555556
1,110,vehicle,high,none,118.0,0.8872180451127819
48,141,vehicle,high,none,209.0,0.9247787610619469
69,116,vehicle,high,none,259.0,0.819620253164557
26,5,vehicle,high,none,158.0,0.8729281767955801
48,59,vehicle,high,none,241.0,0.8546099290780141
82,36,vehicle,high,none,213.0,0.852
48,116,vehicle,high,none,191.0,0.8842592592592593
80,201,vehicle,high,none,85.0,0.9042553191489362
1,36,vehicle,high,none,127.0,0.9548872180451128
68,96,vehicle,high,none,189.0,0.7682926829268293
26,3,vehicle,high,none,179.0,0.9835164835164835
82,30,vehicle,high,none,214.0,0.856
48,110,vehicle,high,none,147.0,0.735
1,211,vehicle,high,none,173.0,0.8160377358490566
80,196,vehicle,high,none,357.0,0.8992443324937027
68,211,vehicle,high,none,178.0,0.839622641509434
82,28,vehicle,high,none,198.0,0.792
48,211,vehicle,high,none,183.0,0.8632075471698113
