exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
10,70,vehicle,low,medium,122.0,0.9037037037037037
13,168,vehicle,low,medium,475.0,0.8605072463768116
13,166,vehicle,low,medium,483.0,0.875
10,32,vehicle,low,medium,180.0,0.7894736842105263
13,17,vehicle,low,medium,474.0,0.8586956521739131
13,158,vehicle,low,medium,451.0,0.8170289855072463
13,16,vehicle,low,medium,467.0,0.8460144927536232
10,19,vehicle,low,medium,119.0,0.8686131386861314
13,19,vehicle,low,medium,480.0,0.8695652173913043
10,166,vehicle,low,medium,272.0,0.8918032786885246
13,117,vehicle,low,medium,465.0,0.842391304347826
13,155,vehicle,low,medium,473.0,0.8568840579710145
13,145,vehicle,low,medium,473.0,0.8568840579710145
13,53,vehicle,low,medium,490.0,0.8876811594202898
10,135,vehicle,low,medium,250.0,0.8591065292096219
10,20,vehicle,low,medium,199.0,0.8024193548387096
10,142,vehicle,low,medium,187.0,0.8385650224215246
21,6,vehicle,low,medium,306.0,0.864406779661017
10,145,vehicle,low,medium,206.0,0.8142292490118577
13,6,vehicle,low,medium,466.0,0.8442028985507246
21,4,vehicle,low,medium,295.0,0.8333333333333334
10,168,vehicle,low,medium,215.0,0.849802371541502
13,4,vehicle,low,medium,458.0,0.8297101449275363
13,215,vehicle,low,medium,491.0,0.8894927536231884
10,206,vehicle,low,medium,224.0,0.8389513108614233
10,215,vehicle,low,medium,215.0,0.8333333333333334
10,81,vehicle,low,medium,248.0,0.8025889967637541
13,72,vehicle,low,medium,452.0,0.8188405797101449
10,53,vehicle,low,medium,117.0,0.8666666666666667
13,70,vehicle,low,medium,502.0,0.9094202898550725
10,214,vehicle,low,medium,486.0,0.9067164179104478
10,72,vehicle,low,medium,273.0,0.8348623853211009
10,4,vehicle,low,medium,208.0,0.8666666666666667
13,66,vehicle,low,medium,522.0,0.9456521739130435
10,97,vehicle,low,medium,232.0,0.8285714285714286
13,55,vehicle,low,medium,440.0,0.7971014492753623
13,210,vehicle,low,medium,487.0,0.8822463768115942
13,62,vehicle,low,medium,499.0,0.9039855072463768
10,158,vehicle,low,medium,225.0,0.7867132867132867
10,91,vehicle,low,medium,174.0,0.7767857142857143
10,105,vehicle,low,medium,137.0,0.8253012048192772
10,155,vehicle,low,medium,164.0,0.8118811881188119
13,61,vehicle,low,medium,468.0,0.8478260869565217
10,89,vehicle,low,medium,362.0,0.8660287081339713
10,151,vehicle,low,medium,566.0,0.8927444794952681
10,143,vehicle,low,medium,108.0,0.8
10,171,vehicle,low,medium,246.0,0.8723404255319149
13,58,vehicle,low,medium,475.0,0.8605072463768116
10,24,vehicle,low,medium,175.0,0.8413461538461539
10,17,vehicle,low,medium,234.0,0.8153310104529616
10,88,vehicle,low,medium,120.0,0.8888888888888888
13,143,vehicle,low,medium,485.0,0.8786231884057971
13,142,vehicle,low,medium,475.0,0.8605072463768116
10,169,vehicle,low,medium,135.0,0.84375
10,133,vehicle,low,medium,211.0,0.7902621722846442
13,203,vehicle,low,medium,521.0,0.9438405797101449
10,55,vehicle,low,medium,310.0,0.8288770053475936
10,210,vehicle,low,medium,119.0,0.8623188405797102
10,16,vehicle,low,medium,305.0,0.7984293193717278
13,135,vehicle,low,medium,462.0,0.8369565217391305
10,84,vehicle,low,medium,194.0,0.7729083665338645
10,108,vehicle,low,medium,112.0,0.8296296296296296
10,25,vehicle,low,medium,252.0,0.863013698630137
10,203,vehicle,low,medium,119.0,0.8814814814814815
13,115,vehicle,low,medium,479.0,0.8677536231884058
10,207,vehicle,low,medium,277.0,0.8419452887537994
13,133,vehicle,low,medium,468.0,0.8478260869565217
10,202,vehicle,low,medium,531.0,0.9123711340206185
10,197,vehicle,low,medium,198.0,0.782608695652174
13,73,vehicle,low,medium,462.0,0.8369565217391305
13,57,vehicle,low,medium,493.0,0.8931159420289855
13,108,vehicle,low,medium,507.0,0.9184782608695652
13,147,vehicle,low,medium,478.0,0.8659420289855072
13,105,vehicle,low,medium,479.0,0.8677536231884058
10,192,vehicle,low,medium,130.0,0.8496732026143791
13,97,vehicle,low,medium,444.0,0.8043478260869565
13,18,vehicle,low,medium,460.0,0.8333333333333334
