exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
13,5,vehicle,low,none,473.0,0.8568840579710145
13,216,vehicle,low,none,500.0,0.9057971014492754
27,12,vehicle,low,none,342.0,0.9
13,106,vehicle,low,none,494.0,0.894927536231884
21,154,vehicle,low,none,362.0,0.8418604651162791
31,201,vehicle,low,none,217.0,0.821969696969697
13,12,vehicle,low,none,482.0,0.8731884057971014
21,3,vehicle,low,none,306.0,0.864406779661017
31,110,vehicle,low,none,199.0,0.7537878787878788
10,196,vehicle,low,none,350.0,0.8816120906801007
31,196,vehicle,low,none,364.0,0.9168765743073047
21,5,vehicle,low,none,307.0,0.867231638418079
31,106,vehicle,low,none,238.0,0.9015151515151515
10,201,vehicle,low,none,111.0,0.8222222222222222
34,110,vehicle,low,none,178.0,0.8725490196078431
21,59,vehicle,low,none,318.0,0.8983050847457628
27,196,vehicle,low,none,371.0,0.9345088161209067
31,116,vehicle,low,none,207.0,0.7840909090909091
21,12,vehicle,low,none,343.0,0.9026315789473685
31,96,vehicle,low,none,218.0,0.8257575757575758
35,28,vehicle,low,none,215.0,0.8113207547169812
21,28,vehicle,low,none,308.0,0.8700564971751412
31,93,vehicle,low,none,240.0,0.9090909090909091
21,36,vehicle,low,none,324.0,0.9152542372881356
27,28,vehicle,low,none,94.0,0.831858407079646
35,12,vehicle,low,none,335.0,0.881578947368421
31,59,vehicle,low,none,247.0,0.875886524822695
13,116,vehicle,low,none,461.0,0.8351449275362319
35,5,vehicle,low,none,220.0,0.8301886792452831
29,211,vehicle,low,none,192.0,0.9056603773584906
10,116,vehicle,low,none,165.0,0.7638888888888888
31,36,vehicle,low,none,221.0,0.8371212121212122
35,3,vehicle,low,none,234.0,0.8830188679245283
13,163,vehicle,low,none,473.0,0.8568840579710145
27,36,vehicle,low,none,101.0,0.8347107438016529
29,204,vehicle,low,none,170.0,0.9289617486338798
10,28,vehicle,low,none,95.0,0.7037037037037037
10,141,vehicle,low,none,186.0,0.8230088495575221
31,30,vehicle,low,none,216.0,0.8181818181818182
13,141,vehicle,low,none,462.0,0.8369565217391305
34,216,vehicle,low,none,178.0,0.8725490196078431
29,201,vehicle,low,none,172.0,0.9398907103825137
31,28,vehicle,low,none,206.0,0.7803030303030303
10,12,vehicle,low,none,311.0,0.8184210526315789
27,181,vehicle,low,none,115.0,0.8098591549295775
34,96,vehicle,low,none,226.0,0.9186991869918699
29,36,vehicle,low,none,163.0,0.8907103825136612
29,196,vehicle,low,none,342.0,0.8614609571788413
21,93,vehicle,low,none,329.0,0.9293785310734464
10,93,vehicle,low,none,123.0,0.9111111111111111
31,12,vehicle,low,none,325.0,0.8552631578947368
34,211,vehicle,low,none,192.0,0.9056603773584906
34,116,vehicle,low,none,208.0,0.9629629629629629
21,189,vehicle,low,none,316.0,0.8926553672316384
29,30,vehicle,low,none,174.0,0.9508196721311475
29,189,vehicle,low,none,161.0,0.8797814207650273
34,204,vehicle,low,none,195.0,0.9558823529411765
21,96,vehicle,low,none,326.0,0.9209039548022598
10,181,vehicle,low,none,123.0,0.8661971830985915
31,181,vehicle,low,none,212.0,0.803030303030303
29,28,vehicle,low,none,159.0,0.8688524590163934
29,181,vehicle,low,none,163.0,0.8907103825136612
21,106,vehicle,low,none,332.0,0.9378531073446328
10,216,vehicle,low,none,110.0,0.8148148148148148
29,12,vehicle,low,none,327.0,0.8605263157894737
34,201,vehicle,low,none,178.0,0.8725490196078431
29,96,vehicle,low,none,221.0,0.8983739837398373
29,163,vehicle,low,none,177.0,0.9672131147540983
21,110,vehicle,low,none,310.0,0.8757062146892656
29,5,vehicle,low,none,167.0,0.912568306010929
34,196,vehicle,low,none,350.0,0.8816120906801007
29,154,vehicle,low,none,371.0,0.8627906976744186
21,116,vehicle,low,none,301.0,0.8502824858757062
10,59,vehicle,low,none,232.0,0.8226950354609929
29,3,vehicle,low,none,172.0,0.9398907103825137
34,189,vehicle,low,none,172.0,0.8431372549019608
29,141,vehicle,low,none,190.0,0.8407079646017699
21,141,vehicle,low,none,298.0,0.8418079096045198
34,106,vehicle,low,none,197.0,0.9656862745098039
27,216,vehicle,low,none,87.0,0.87
34,181,vehicle,low,none,189.0,0.9264705882352942
29,116,vehicle,low,none,195.0,0.9027777777777778
10,189,vehicle,low,none,103.0,0.762962962962963
27,211,vehicle,low,none,191.0,0.9009433962264151
34,163,vehicle,low,none,169.0,0.8284313725490197
29,110,vehicle,low,none,165.0,0.9016393442622951
31,163,vehicle,low,none,212.0,0.803030303030303
34,154,vehicle,low,none,377.0,0.8767441860465116
29,106,vehicle,low,none,185.0,0.9487179487179487
21,181,vehicle,low,none,314.0,0.8870056497175142
10,163,vehicle,low,none,138.0,0.7624309392265194
27,204,vehicle,low,none,61.0,0.8591549295774648
27,59,vehicle,low,none,258.0,0.9148936170212766
13,201,vehicle,low,none,491.0,0.8894927536231884
34,141,vehicle,low,none,199.0,0.8805309734513275
29,93,vehicle,low,none,160.0,0.8743169398907104
27,93,vehicle,low,none,62.0,0.8732394366197183
34,93,vehicle,low,none,188.0,0.9215686274509803
27,96,vehicle,low,none,212.0,0.8617886178861789
34,59,vehicle,low,none,241.0,0.8546099290780141
10,211,vehicle,low,none,160.0,0.7547169811320755
21,30,vehicle,low,none,298.0,0.8418079096045198
27,106,vehicle,low,none,174.0,0.8923076923076924
27,110,vehicle,low,none,98.0,0.7967479674796748
34,36,vehicle,low,none,184.0,0.9019607843137255
21,163,vehicle,low,none,314.0,0.8870056497175142
27,116,vehicle,low,none,183.0,0.8472222222222222
34,30,vehicle,low,none,188.0,0.9215686274509803
27,141,vehicle,low,none,202.0,0.8938053097345132
13,204,vehicle,low,none,537.0,0.9728260869565217
31,5,vehicle,low,none,227.0,0.8598484848484849
21,196,vehicle,low,none,356.0,0.8967254408060453
13,154,vehicle,low,none,482.0,0.8731884057971014
13,110,vehicle,low,none,491.0,0.8894927536231884
34,28,vehicle,low,none,175.0,0.8578431372549019
27,154,vehicle,low,none,401.0,0.9325581395348838
10,5,vehicle,low,none,137.0,0.8303030303030303
27,189,vehicle,low,none,96.0,0.8727272727272727
13,3,vehicle,low,none,484.0,0.8768115942028986
21,201,vehicle,low,none,313.0,0.884180790960452
34,12,vehicle,low,none,320.0,0.8421052631578947
27,163,vehicle,low,none,146.0,0.8066298342541437
10,154,vehicle,low,none,361.0,0.8395348837209302
21,204,vehicle,low,none,342.0,0.9661016949152542
13,211,vehicle,low,none,456.0,0.8260869565217391
34,5,vehicle,low,none,191.0,0.9362745098039216
10,3,vehicle,low,none,153.0,0.8406593406593407
13,30,vehicle,low,none,482.0,0.8731884057971014
31,3,vehicle,low,none,236.0,0.8939393939393939
13,181,vehicle,low,none,478.0,0.8659420289855072
21,211,vehicle,low,none,295.0,0.8333333333333334
10,30,vehicle,low,none,108.0,0.8
34,3,vehicle,low,none,185.0,0.9068627450980392
31,189,vehicle,low,none,214.0,0.8106060606060606
13,189,vehicle,low,none,485.0,0.8786231884057971
10,106,vehicle,low,none,157.0,0.8051282051282052
31,154,vehicle,low,none,385.0,0.8953488372093024
10,96,vehicle,low,none,187.0,0.7601626016260162
21,216,vehicle,low,none,319.0,0.9011299435028248
10,36,vehicle,low,none,117.0,0.8666666666666667
13,196,vehicle,low,none,491.0,0.8894927536231884
31,216,vehicle,low,none,229.0,0.8674242424242424
13,36,vehicle,low,none,500.0,0.9057971014492754
10,204,vehicle,low,none,124.0,0.9185185185185185
13,28,vehicle,low,none,482.0,0.8731884057971014
13,59,vehicle,low,none,459.0,0.8315217391304348
27,3,vehicle,low,none,160.0,0.8791208791208791
31,211,vehicle,low,none,208.0,0.7878787878787878
13,93,vehicle,low,none,526.0,0.9528985507246377
29,216,vehicle,low,none,168.0,0.9180327868852459
10,110,vehicle,low,none,97.0,0.7185185185185186
27,30,vehicle,low,none,111.0,0.8222222222222222
29,59,vehicle,low,none,245.0,0.8687943262411347
31,141,vehicle,low,none,229.0,0.8674242424242424
27,5,vehicle,low,none,133.0,0.806060606060606
27,201,vehicle,low,none,90.0,0.9574468085106383
31,204,vehicle,low,none,252.0,0.9545454545454546
13,96,vehicle,low,none,465.0,0.842391304347826
35,204,vehicle,low,none,256.0,0.9660377358490566
35,93,vehicle,low,none,246.0,0.9283018867924528
35,216,vehicle,low,none,232.0,0.8754716981132076
35,110,vehicle,low,none,223.0,0.8415094339622642
35,36,vehicle,low,none,228.0,0.8603773584905661
35,201,vehicle,low,none,224.0,0.8452830188679246
35,106,vehicle,low,none,232.0,0.8754716981132076
35,189,vehicle,low,none,224.0,0.8452830188679246
35,211,vehicle,low,none,214.0,0.8075471698113208
37,28,vehicle,low,none,204.0,0.7906976744186046
35,96,vehicle,low,none,238.0,0.8981132075471698
37,5,vehicle,low,none,210.0,0.813953488372093
35,181,vehicle,low,none,226.0,0.8528301886792453
35,30,vehicle,low,none,226.0,0.8528301886792453
37,30,vehicle,low,none,205.0,0.7945736434108527
35,59,vehicle,low,none,252.0,0.8936170212765957
37,93,vehicle,low,none,234.0,0.9069767441860465
37,36,vehicle,low,none,219.0,0.8488372093023255
35,163,vehicle,low,none,219.0,0.8264150943396227
37,110,vehicle,low,none,205.0,0.7945736434108527
37,3,vehicle,low,none,212.0,0.8217054263565892
35,141,vehicle,low,none,231.0,0.8716981132075472
37,204,vehicle,low,none,244.0,0.9457364341085271
35,116,vehicle,low,none,227.0,0.8566037735849057
35,196,vehicle,low,none,360.0,0.906801007556675
37,181,vehicle,low,none,211.0,0.8178294573643411
37,106,vehicle,low,none,224.0,0.8682170542635659
35,154,vehicle,low,none,368.0,0.8558139534883721
37,12,vehicle,low,none,311.0,0.8184210526315789
37,216,vehicle,low,none,221.0,0.8565891472868217
37,116,vehicle,low,none,226.0,0.875968992248062
37,201,vehicle,low,none,222.0,0.8604651162790697
37,59,vehicle,low,none,256.0,0.9078014184397163
37,189,vehicle,low,none,211.0,0.8178294573643411
37,96,vehicle,low,none,224.0,0.8682170542635659
37,163,vehicle,low,none,226.0,0.875968992248062
41,93,vehicle,low,none,313.0,0.93993993993994
41,28,vehicle,low,none,261.0,0.7837837837837838
41,36,vehicle,low,none,288.0,0.8648648648648649
