exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
18,181,vehicle,medium,none,251.0,0.8311258278145696
17,201,vehicle,medium,none,247.0,0.8606271777003485
16,28,vehicle,medium,none,309.0,0.8089005235602095
18,59,vehicle,medium,none,258.0,0.8543046357615894
6,106,vehicle,medium,none,190.0,0.9178743961352657
18,189,vehicle,medium,none,260.0,0.8609271523178808
4,201,vehicle,medium,none,199.0,0.8291666666666667
16,36,vehicle,medium,none,336.0,0.8795811518324608
17,36,vehicle,medium,none,241.0,0.8397212543554007
6,110,vehicle,medium,none,175.0,0.8454106280193237
4,196,vehicle,medium,none,342.0,0.8614609571788413
6,141,vehicle,medium,none,195.0,0.8628318584070797
16,30,vehicle,medium,none,320.0,0.837696335078534
18,196,vehicle,medium,none,361.0,0.9093198992443325
17,204,vehicle,medium,none,274.0,0.9547038327526133
6,96,vehicle,medium,none,208.0,0.8455284552845529
18,96,vehicle,medium,none,253.0,0.8377483443708609
16,116,vehicle,medium,none,280.0,0.7329842931937173
17,196,vehicle,medium,none,369.0,0.929471032745592
17,181,vehicle,medium,none,242.0,0.8432055749128919
18,204,vehicle,medium,none,290.0,0.9602649006622517
17,59,vehicle,medium,none,252.0,0.8780487804878049
18,93,vehicle,medium,none,284.0,0.9403973509933775
18,201,vehicle,medium,none,257.0,0.8509933774834437
17,189,vehicle,medium,none,249.0,0.867595818815331
6,59,vehicle,medium,none,248.0,0.8794326241134752
17,211,vehicle,medium,none,237.0,0.8257839721254355
16,93,vehicle,medium,none,360.0,0.9424083769633508
18,106,vehicle,medium,none,260.0,0.8609271523178808
17,154,vehicle,medium,none,381.0,0.8860465116279069
18,211,vehicle,medium,none,245.0,0.8112582781456954
6,93,vehicle,medium,none,192.0,0.927536231884058
17,163,vehicle,medium,none,241.0,0.8397212543554007
16,59,vehicle,medium,none,309.0,0.8089005235602095
18,110,vehicle,medium,none,252.0,0.8344370860927153
4,216,vehicle,medium,none,218.0,0.9083333333333333
16,106,vehicle,medium,none,327.0,0.856020942408377
6,3,vehicle,medium,none,185.0,0.893719806763285
17,141,vehicle,medium,none,246.0,0.8571428571428571
16,96,vehicle,medium,none,310.0,0.8115183246073299
