exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
26,35,vehicle,high,low,223.0,0.8415094339622642,Java_high_Java_low_results.csv
26,140,vehicle,high,low,197.0,0.8873873873873874,Java_high_Java_low_results.csv
48,180,vehicle,high,low,180.0,0.9,Java_high_Java_low_results.csv
48,31,vehicle,high,low,214.0,0.8106060606060606,Java_high_Java_low_results.csv
48,77,vehicle,high,low,324.0,0.8329048843187661,Java_high_Java_low_results.csv
48,114,vehicle,high,low,165.0,0.825,Java_high_Java_low_results.csv
26,31,vehicle,high,low,231.0,0.875,Java_high_Java_low_results.csv
26,139,vehicle,high,low,157.0,0.8674033149171271,Java_high_Java_low_results.csv
1,64,vehicle,high,low,523.0,0.8834459459459459,Java_high_Java_low_results.csv
68,37,vehicle,high,low,208.0,0.8062015503875969,Java_high_Java_low_results.csv
48,29,vehicle,high,low,186.0,0.93,Java_high_Java_low_results.csv
48,74,vehicle,high,low,171.0,0.855,Java_high_Java_low_results.csv
48,179,vehicle,high,low,299.0,0.7806788511749347,Java_high_Java_low_results.csv
26,29,vehicle,high,low,168.0,0.918032786885246,Java_high_Java_low_results.csv
1,126,vehicle,high,low,283.0,0.8871473354231975,Java_high_Java_low_results.csv
48,27,vehicle,high,low,176.0,0.88,Java_high_Java_low_results.csv
48,104,vehicle,high,low,211.0,0.9134199134199136,Java_high_Java_low_results.csv
26,74,vehicle,high,low,154.0,0.850828729281768,Java_high_Java_low_results.csv
26,27,vehicle,high,low,156.0,0.861878453038674,Java_high_Java_low_results.csv
26,132,vehicle,high,low,265.0,0.8952702702702703,Java_high_Java_low_results.csv
1,128,vehicle,high,low,441.0,0.8945233265720081,Java_high_Java_low_results.csv
48,21,vehicle,high,low,321.0,0.9067796610169492,Java_high_Java_low_results.csv
48,101,vehicle,high,low,786.0,0.9055299539170508,Java_high_Java_low_results.csv
26,21,vehicle,high,low,317.0,0.8954802259887006,Java_high_Java_low_results.csv
1,132,vehicle,high,low,256.0,0.8648648648648649,Java_high_Java_low_results.csv
68,34,vehicle,high,low,193.0,0.946078431372549,Java_high_Java_low_results.csv
48,13,vehicle,high,low,477.0,0.8641304347826086,Java_high_Java_low_results.csv
48,65,vehicle,high,low,167.0,0.835,Java_high_Java_low_results.csv
1,74,vehicle,high,low,113.0,0.849624060150376,Java_high_Java_low_results.csv
26,13,vehicle,high,low,480.0,0.8695652173913043,Java_high_Java_low_results.csv
48,10,vehicle,high,low,154.0,0.77,Java_high_Java_low_results.csv
48,64,vehicle,high,low,533.0,0.9003378378378378,Java_high_Java_low_results.csv
