exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
48,80,rectangle,high,high,124.0,0.9612403100775194
68,87,rectangle,high,high,217.0,0.9156118143459916
86,178,rectangle,high,high,505.0,0.9099099099099099
80,87,rectangle,high,high,215.0,0.9071729957805907
69,82,rectangle,high,high,242.0,0.852112676056338
87,123,rectangle,high,high,207.0,0.8734177215189873
69,80,rectangle,high,high,256.0,0.9014084507042254
68,86,rectangle,high,high,516.0,0.9297297297297298
86,123,rectangle,high,high,510.0,0.918918918918919
80,86,rectangle,high,high,526.0,0.9477477477477477
69,178,rectangle,high,high,259.0,0.9119718309859155
48,69,rectangle,high,high,267.0,0.9401408450704225
87,178,rectangle,high,high,214.0,0.9029535864978903
68,82,rectangle,high,high,188.0,0.8744186046511628
48,87,rectangle,high,high,216.0,0.9113924050632911
82,123,rectangle,high,high,179.0,0.9572192513368984
48,68,rectangle,high,high,198.0,0.9209302325581395
68,80,rectangle,high,high,196.0,0.9116279069767442
48,178,rectangle,high,high,218.0,0.9396551724137931
48,86,rectangle,high,high,518.0,0.9333333333333333
80,82,rectangle,high,high,166.0,0.8877005347593583
82,87,rectangle,high,high,214.0,0.9029535864978903
68,123,rectangle,high,high,194.0,0.9023255813953488
68,69,rectangle,high,high,257.0,0.9049295774647887
48,123,rectangle,high,high,160.0,0.8743169398907104
69,123,rectangle,high,high,261.0,0.9190140845070423
48,82,rectangle,high,high,177.0,0.946524064171123
82,86,rectangle,high,high,497.0,0.8954954954954955
80,178,rectangle,high,high,204.0,0.8793103448275862
68,178,rectangle,high,high,212.0,0.9137931034482759
69,87,rectangle,high,high,268.0,0.9436619718309859
80,123,rectangle,high,high,174.0,0.9508196721311475
69,86,rectangle,high,high,491.0,0.8846846846846846
82,178,rectangle,high,high,209.0,0.9008620689655172
86,87,rectangle,high,high,530.0,0.954954954954955
123,178,rectangle,high,high,198.0,0.853448275862069
