exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
27,64,rectangle,low,low,335.0,0.907859078590786
21,79,rectangle,low,low,290.0,0.9148264984227129
27,94,rectangle,low,low,128.0,0.9846153846153847
21,140,rectangle,low,low,280.0,0.8832807570977917
27,67,rectangle,low,low,142.0,0.9044585987261147
13,43,rectangle,low,low,235.0,0.9215686274509803
13,140,rectangle,low,low,231.0,0.9058823529411765
21,43,rectangle,low,low,294.0,0.9274447949526814
13,71,rectangle,low,low,238.0,0.9333333333333333
21,94,rectangle,low,low,281.0,0.886435331230284
27,99,rectangle,low,low,155.0,0.8959537572254336
21,41,rectangle,low,low,313.0,0.9842767295597484
13,74,rectangle,low,low,233.0,0.9137254901960784
21,99,rectangle,low,low,276.0,0.8706624605678234
27,101,rectangle,low,low,136.0,0.8607594936708861
21,138,rectangle,low,low,294.0,0.9274447949526814
13,186,rectangle,low,low,227.0,0.8901960784313725
21,37,rectangle,low,low,301.0,0.9495268138801262
21,101,rectangle,low,low,273.0,0.861198738170347
13,162,rectangle,low,low,250.0,0.946969696969697
27,104,rectangle,low,low,256.0,0.9014084507042254
21,132,rectangle,low,low,362.0,0.8850855745721271
21,35,rectangle,low,low,288.0,0.9085173501577287
13,138,rectangle,low,low,233.0,0.9137254901960784
21,104,rectangle,low,low,309.0,0.9747634069400631
13,164,rectangle,low,low,240.0,0.9411764705882353
21,63,rectangle,low,low,285.0,0.8990536277602523
27,107,rectangle,low,low,176.0,0.8461538461538461
27,71,rectangle,low,low,103.0,0.944954128440367
13,79,rectangle,low,low,253.0,0.9583333333333334
27,65,rectangle,low,low,103.0,0.944954128440367
21,34,rectangle,low,low,296.0,0.9337539432176656
21,107,rectangle,low,low,275.0,0.8675078864353313
21,31,rectangle,low,low,304.0,0.9589905362776026
27,124,rectangle,low,low,196.0,0.8990825688073395
21,29,rectangle,low,low,282.0,0.889589905362776
13,176,rectangle,low,low,457.0,0.9067460317460317
21,126,rectangle,low,low,277.0,0.8738170347003155
27,126,rectangle,low,low,268.0,0.8993288590604027
21,27,rectangle,low,low,275.0,0.8675078864353313
13,179,rectangle,low,low,449.0,0.903420523138833
27,128,rectangle,low,low,224.0,0.9218106995884774
13,180,rectangle,low,low,232.0,0.9098039215686274
13,182,rectangle,low,low,253.0,0.9035714285714286
27,132,rectangle,low,low,373.0,0.9119804400977995
27,138,rectangle,low,low,140.0,0.8695652173913043
13,77,rectangle,low,low,319.0,0.90625
13,21,rectangle,low,low,290.0,0.9148264984227129
13,94,rectangle,low,low,241.0,0.9450980392156862
13,27,rectangle,low,low,230.0,0.9019607843137255
13,99,rectangle,low,low,220.0,0.8627450980392157
21,128,rectangle,low,low,305.0,0.9621451104100947
13,41,rectangle,low,low,289.0,0.9088050314465409
13,29,rectangle,low,low,220.0,0.8627450980392157
13,101,rectangle,low,low,228.0,0.8941176470588236
21,65,rectangle,low,low,300.0,0.9463722397476341
13,31,rectangle,low,low,252.0,0.9032258064516129
13,200,rectangle,low,low,237.0,0.9294117647058824
13,104,rectangle,low,low,265.0,0.9330985915492958
21,208,rectangle,low,low,301.0,0.9495268138801262
13,208,rectangle,low,low,253.0,0.9656488549618321
13,34,rectangle,low,low,246.0,0.9647058823529412
13,107,rectangle,low,low,230.0,0.9019607843137255
13,67,rectangle,low,low,219.0,0.8588235294117647
21,200,rectangle,low,low,294.0,0.9274447949526814
13,35,rectangle,low,low,227.0,0.8901960784313725
27,29,rectangle,low,low,149.0,0.8816568047337278
13,37,rectangle,low,low,247.0,0.9686274509803922
21,186,rectangle,low,low,287.0,0.9053627760252366
13,124,rectangle,low,low,238.0,0.9333333333333333
13,126,rectangle,low,low,272.0,0.912751677852349
13,128,rectangle,low,low,239.0,0.9372549019607843
27,31,rectangle,low,low,240.0,0.8602150537634409
27,34,rectangle,low,low,212.0,0.8760330578512396
21,44,rectangle,low,low,278.0,0.8769716088328076
27,35,rectangle,low,low,147.0,0.8596491228070176
