exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
6,202,rectangle,medium,medium,177.0,0.9365079365079365
14,84,rectangle,medium,medium,237.0,0.9011406844106464
6,14,rectangle,medium,medium,140.0,0.89171974522293
6,143,rectangle,medium,medium,119.0,0.9296875
4,42,rectangle,medium,medium,187.0,0.9166666666666666
4,210,rectangle,medium,medium,176.0,0.8627450980392157
4,215,rectangle,medium,medium,197.0,0.9656862745098039
6,214,rectangle,medium,medium,252.0,0.8842105263157894
6,142,rectangle,medium,medium,301.0,0.8649425287356322
4,40,rectangle,medium,medium,187.0,0.9166666666666666
4,105,rectangle,medium,medium,188.0,0.9215686274509803
6,155,rectangle,medium,medium,154.0,0.9058823529411765
4,206,rectangle,medium,medium,330.0,0.88
4,16,rectangle,medium,medium,202.0,0.9395348837209302
4,214,rectangle,medium,medium,268.0,0.9403508771929825
6,135,rectangle,medium,medium,347.0,0.8943298969072165
14,81,rectangle,medium,medium,144.0,0.9171974522292994
4,33,rectangle,medium,medium,188.0,0.9215686274509803
4,203,rectangle,medium,medium,182.0,0.8921568627450981
6,192,rectangle,medium,medium,276.0,0.8961038961038961
4,75,rectangle,medium,medium,192.0,0.9411764705882353
14,75,rectangle,medium,medium,179.0,0.9040404040404041
4,202,rectangle,medium,medium,181.0,0.8872549019607843
4,81,rectangle,medium,medium,172.0,0.8431372549019608
6,125,rectangle,medium,medium,110.0,0.859375
14,42,rectangle,medium,medium,135.0,0.8598726114649682
14,53,rectangle,medium,medium,161.0,0.930635838150289
14,73,rectangle,medium,medium,231.0,0.8555555555555555
6,61,rectangle,medium,medium,308.0,0.9032258064516129
4,84,rectangle,medium,medium,250.0,0.9505703422053232
6,121,rectangle,medium,medium,168.0,0.9491525423728814
14,40,rectangle,medium,medium,165.0,0.9269662921348315
4,51,rectangle,medium,medium,187.0,0.9166666666666666
4,194,rectangle,medium,medium,456.0,0.8958742632612967
6,185,rectangle,medium,medium,113.0,0.8828125
6,120,rectangle,medium,medium,199.0,0.868995633187773
14,33,rectangle,medium,medium,149.0,0.9490445859872612
4,25,rectangle,medium,medium,335.0,0.925414364640884
4,192,rectangle,medium,medium,281.0,0.9123376623376623
6,171,rectangle,medium,medium,145.0,0.9235668789808917
6,212,rectangle,medium,medium,144.0,0.8888888888888888
6,117,rectangle,medium,medium,267.0,0.898989898989899
14,66,rectangle,medium,medium,148.0,0.9426751592356688
14,32,rectangle,medium,medium,149.0,0.9490445859872612
6,24,rectangle,medium,medium,163.0,0.844559585492228
14,51,rectangle,medium,medium,141.0,0.8980891719745223
6,169,rectangle,medium,medium,274.0,0.9415807560137457
14,25,rectangle,medium,medium,308.0,0.850828729281768
6,115,rectangle,medium,medium,126.0,0.875
4,57,rectangle,medium,medium,185.0,0.9068627450980392
14,62,rectangle,medium,medium,145.0,0.9235668789808917
6,210,rectangle,medium,medium,123.0,0.9609375
14,24,rectangle,medium,medium,169.0,0.8756476683937824
4,55,rectangle,medium,medium,333.0,0.8560411311053985
4,135,rectangle,medium,medium,356.0,0.9175257731958762
14,61,rectangle,medium,medium,311.0,0.9120234604105572
4,171,rectangle,medium,medium,182.0,0.8921568627450981
6,168,rectangle,medium,medium,458.0,0.9233870967741935
4,108,rectangle,medium,medium,190.0,0.9313725490196079
6,194,rectangle,medium,medium,463.0,0.9096267190569745
4,142,rectangle,medium,medium,324.0,0.9310344827586207
14,20,rectangle,medium,medium,183.0,0.9104477611940298
4,54,rectangle,medium,medium,293.0,0.9361022364217252
4,168,rectangle,medium,medium,457.0,0.9213709677419355
4,17,rectangle,medium,medium,189.0,0.863013698630137
4,53,rectangle,medium,medium,187.0,0.9166666666666666
6,25,rectangle,medium,medium,312.0,0.861878453038674
14,57,rectangle,medium,medium,145.0,0.9235668789808917
6,57,rectangle,medium,medium,121.0,0.9453125
