exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
36,201,rectangle,none,none,92.0,0.7666666666666667
36,196,rectangle,none,none,570.0,0.9405940594059405
12,93,rectangle,none,none,121.0,0.8642857142857143
36,189,rectangle,none,none,149.0,0.8324022346368715
12,28,rectangle,none,none,243.0,0.8709677419354839
12,96,rectangle,none,none,192.0,0.8609865470852018
3,189,rectangle,none,none,162.0,0.9050279329608939
12,154,rectangle,none,none,307.0,0.8721590909090909
36,181,rectangle,none,none,82.0,0.8723404255319149
12,189,rectangle,none,none,159.0,0.888268156424581
12,181,rectangle,none,none,115.0,0.8214285714285714
3,12,rectangle,none,none,125.0,0.8928571428571429
5,163,rectangle,none,none,177.0,0.946524064171123
36,163,rectangle,none,none,133.0,0.8364779874213837
12,196,rectangle,none,none,555.0,0.9158415841584159
12,110,rectangle,none,none,134.0,0.9241379310344827
12,38,rectangle,none,none,198.0,0.9124423963133641
3,181,rectangle,none,none,109.0,0.8134328358208955
36,154,rectangle,none,none,318.0,0.9034090909090909
12,201,rectangle,none,none,126.0,0.9
5,110,rectangle,none,none,165.0,0.8823529411764706
5,211,rectangle,none,none,242.0,0.8175675675675675
5,28,rectangle,none,none,236.0,0.8458781362007168
12,204,rectangle,none,none,124.0,0.8857142857142857
38,211,rectangle,none,none,280.0,0.9459459459459459
5,30,rectangle,none,none,164.0,0.8770053475935828
3,163,rectangle,none,none,143.0,0.89937106918239
12,211,rectangle,none,none,250.0,0.8445945945945946
38,204,rectangle,none,none,205.0,0.9447004608294931
5,36,rectangle,none,none,157.0,0.839572192513369
3,154,rectangle,none,none,291.0,0.8267045454545454
36,110,rectangle,none,none,128.0,0.8827586206896552
5,154,rectangle,none,none,297.0,0.84375
38,201,rectangle,none,none,202.0,0.9308755760368663
5,189,rectangle,none,none,168.0,0.8983957219251337
5,38,rectangle,none,none,208.0,0.9585253456221198
3,196,rectangle,none,none,565.0,0.9323432343234324
28,30,rectangle,none,none,248.0,0.8888888888888888
3,110,rectangle,none,none,130.0,0.896551724137931
38,196,rectangle,none,none,568.0,0.9372937293729373
3,201,rectangle,none,none,117.0,0.8731343283582089
38,189,rectangle,none,none,202.0,0.9308755760368663
3,93,rectangle,none,none,120.0,0.8955223880597015
3,204,rectangle,none,none,118.0,0.8805970149253731
38,181,rectangle,none,none,202.0,0.9308755760368663
36,96,rectangle,none,none,190.0,0.852017937219731
96,154,rectangle,none,none,305.0,0.8664772727272727
28,93,rectangle,none,none,254.0,0.910394265232975
3,30,rectangle,none,none,137.0,0.9383561643835616
38,163,rectangle,none,none,201.0,0.9262672811059908
93,96,rectangle,none,none,206.0,0.9237668161434978
3,28,rectangle,none,none,243.0,0.8709677419354839
38,154,rectangle,none,none,328.0,0.9318181818181818
28,96,rectangle,none,none,256.0,0.9175627240143369
3,211,rectangle,none,none,241.0,0.8141891891891891
96,110,rectangle,none,none,194.0,0.8699551569506726
38,93,rectangle,none,none,182.0,0.8387096774193549
28,201,rectangle,none,none,252.0,0.9032258064516129
5,196,rectangle,none,none,560.0,0.9240924092409241
38,110,rectangle,none,none,205.0,0.9447004608294931
3,36,rectangle,none,none,110.0,0.8208955223880597
28,110,rectangle,none,none,241.0,0.8637992831541219
36,93,rectangle,none,none,82.0,0.8913043478260869
5,12,rectangle,none,none,169.0,0.9037433155080213
93,211,rectangle,none,none,271.0,0.9155405405405406
93,204,rectangle,none,none,75.0,0.8823529411764706
36,38,rectangle,none,none,191.0,0.880184331797235
28,154,rectangle,none,none,318.0,0.9034090909090909
93,201,rectangle,none,none,104.0,0.8666666666666667
28,163,rectangle,none,none,250.0,0.8960573476702509
28,38,rectangle,none,none,266.0,0.953405017921147
93,196,rectangle,none,none,579.0,0.9554455445544554
3,38,rectangle,none,none,201.0,0.9262672811059908
30,211,rectangle,none,none,256.0,0.8648648648648649
28,181,rectangle,none,none,240.0,0.8602150537634409
93,189,rectangle,none,none,165.0,0.9217877094972067
30,204,rectangle,none,none,131.0,0.8972602739726028
12,30,rectangle,none,none,144.0,0.9863013698630136
28,196,rectangle,none,none,559.0,0.9224422442244224
93,181,rectangle,none,none,84.0,0.8936170212765957
30,201,rectangle,none,none,137.0,0.9383561643835616
5,96,rectangle,none,none,203.0,0.9103139013452914
28,211,rectangle,none,none,252.0,0.8513513513513513
93,163,rectangle,none,none,139.0,0.8742138364779874
12,36,rectangle,none,none,112.0,0.8
30,196,rectangle,none,none,566.0,0.933993399339934
38,96,rectangle,none,none,219.0,0.9820627802690582
93,154,rectangle,none,none,316.0,0.8977272727272727
30,189,rectangle,none,none,159.0,0.888268156424581
30,154,rectangle,none,none,306.0,0.8693181818181818
28,36,rectangle,none,none,239.0,0.8566308243727598
30,36,rectangle,none,none,129.0,0.8835616438356164
5,93,rectangle,none,none,169.0,0.9037433155080213
30,181,rectangle,none,none,128.0,0.8767123287671232
30,38,rectangle,none,none,205.0,0.9447004608294931
3,96,rectangle,none,none,195.0,0.874439461883408
28,204,rectangle,none,none,255.0,0.9139784946236559
28,189,rectangle,none,none,221.0,0.7921146953405018
