exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
48,80,rectangle,high,high,124.0,0.9612403100775194,Java_high_results.csv
68,87,rectangle,high,high,217.0,0.9156118143459916,Java_high_results.csv
86,178,rectangle,high,high,505.0,0.90990990990991,Java_high_results.csv
80,87,rectangle,high,high,215.0,0.9071729957805909,Java_high_results.csv
69,82,rectangle,high,high,242.0,0.852112676056338,Java_high_results.csv
87,123,rectangle,high,high,207.0,0.8734177215189873,Java_high_results.csv
69,80,rectangle,high,high,256.0,0.9014084507042254,Java_high_results.csv
68,86,rectangle,high,high,516.0,0.9297297297297298,Java_high_results.csv
86,123,rectangle,high,high,510.0,0.918918918918919,Java_high_results.csv
80,86,rectangle,high,high,526.0,0.9477477477477476,Java_high_results.csv
69,178,rectangle,high,high,259.0,0.9119718309859156,Java_high_results.csv
48,69,rectangle,high,high,267.0,0.9401408450704224,Java_high_results.csv
87,178,rectangle,high,high,214.0,0.9029535864978904,Java_high_results.csv
68,82,rectangle,high,high,188.0,0.8744186046511628,Java_high_results.csv
48,87,rectangle,high,high,216.0,0.9113924050632912,Java_high_results.csv
82,123,rectangle,high,high,179.0,0.9572192513368984,Java_high_results.csv
48,68,rectangle,high,high,198.0,0.9209302325581395,Java_high_results.csv
68,80,rectangle,high,high,196.0,0.9116279069767442,Java_high_results.csv
48,178,rectangle,high,high,218.0,0.9396551724137931,Java_high_results.csv
48,86,rectangle,high,high,518.0,0.9333333333333332,Java_high_results.csv
80,82,rectangle,high,high,166.0,0.8877005347593583,Java_high_results.csv
82,87,rectangle,high,high,214.0,0.9029535864978904,Java_high_results.csv
68,123,rectangle,high,high,194.0,0.9023255813953488,Java_high_results.csv
68,69,rectangle,high,high,257.0,0.9049295774647887,Java_high_results.csv
48,123,rectangle,high,high,160.0,0.8743169398907104,Java_high_results.csv
69,123,rectangle,high,high,261.0,0.9190140845070424,Java_high_results.csv
48,82,rectangle,high,high,177.0,0.946524064171123,Java_high_results.csv
82,86,rectangle,high,high,497.0,0.8954954954954955,Java_high_results.csv
80,178,rectangle,high,high,204.0,0.8793103448275862,Java_high_results.csv
68,178,rectangle,high,high,212.0,0.913793103448276,Java_high_results.csv
69,87,rectangle,high,high,268.0,0.943661971830986,Java_high_results.csv
80,123,rectangle,high,high,174.0,0.9508196721311476,Java_high_results.csv
69,86,rectangle,high,high,491.0,0.8846846846846846,Java_high_results.csv
82,178,rectangle,high,high,209.0,0.9008620689655172,Java_high_results.csv
86,87,rectangle,high,high,530.0,0.954954954954955,Java_high_results.csv
123,178,rectangle,high,high,198.0,0.853448275862069,Java_high_results.csv
27,64,rectangle,low,low,335.0,0.907859078590786,Java_low_results.csv
21,79,rectangle,low,low,290.0,0.9148264984227128,Java_low_results.csv
27,94,rectangle,low,low,128.0,0.9846153846153848,Java_low_results.csv
21,140,rectangle,low,low,280.0,0.8832807570977917,Java_low_results.csv
27,67,rectangle,low,low,142.0,0.9044585987261148,Java_low_results.csv
13,43,rectangle,low,low,235.0,0.9215686274509804,Java_low_results.csv
13,140,rectangle,low,low,231.0,0.9058823529411764,Java_low_results.csv
21,43,rectangle,low,low,294.0,0.9274447949526814,Java_low_results.csv
13,71,rectangle,low,low,238.0,0.9333333333333332,Java_low_results.csv
21,94,rectangle,low,low,281.0,0.886435331230284,Java_low_results.csv
27,99,rectangle,low,low,155.0,0.8959537572254336,Java_low_results.csv
21,41,rectangle,low,low,313.0,0.9842767295597484,Java_low_results.csv
13,74,rectangle,low,low,233.0,0.9137254901960784,Java_low_results.csv
21,99,rectangle,low,low,276.0,0.8706624605678234,Java_low_results.csv
27,101,rectangle,low,low,136.0,0.8607594936708861,Java_low_results.csv
21,138,rectangle,low,low,294.0,0.9274447949526814,Java_low_results.csv
13,186,rectangle,low,low,227.0,0.8901960784313725,Java_low_results.csv
21,37,rectangle,low,low,301.0,0.9495268138801262,Java_low_results.csv
21,101,rectangle,low,low,273.0,0.861198738170347,Java_low_results.csv
13,162,rectangle,low,low,250.0,0.946969696969697,Java_low_results.csv
27,104,rectangle,low,low,256.0,0.9014084507042254,Java_low_results.csv
21,132,rectangle,low,low,362.0,0.8850855745721271,Java_low_results.csv
21,35,rectangle,low,low,288.0,0.9085173501577288,Java_low_results.csv
13,138,rectangle,low,low,233.0,0.9137254901960784,Java_low_results.csv
21,104,rectangle,low,low,309.0,0.9747634069400632,Java_low_results.csv
13,164,rectangle,low,low,240.0,0.9411764705882352,Java_low_results.csv
21,63,rectangle,low,low,285.0,0.8990536277602523,Java_low_results.csv
27,107,rectangle,low,low,176.0,0.8461538461538461,Java_low_results.csv
27,71,rectangle,low,low,103.0,0.944954128440367,Java_low_results.csv
13,79,rectangle,low,low,253.0,0.9583333333333334,Java_low_results.csv
27,65,rectangle,low,low,103.0,0.944954128440367,Java_low_results.csv
21,34,rectangle,low,low,296.0,0.9337539432176656,Java_low_results.csv
21,107,rectangle,low,low,275.0,0.8675078864353313,Java_low_results.csv
21,31,rectangle,low,low,304.0,0.9589905362776026,Java_low_results.csv
27,124,rectangle,low,low,196.0,0.8990825688073395,Java_low_results.csv
21,29,rectangle,low,low,282.0,0.889589905362776,Java_low_results.csv
13,176,rectangle,low,low,457.0,0.9067460317460316,Java_low_results.csv
21,126,rectangle,low,low,277.0,0.8738170347003155,Java_low_results.csv
27,126,rectangle,low,low,268.0,0.8993288590604027,Java_low_results.csv
21,27,rectangle,low,low,275.0,0.8675078864353313,Java_low_results.csv
13,179,rectangle,low,low,449.0,0.903420523138833,Java_low_results.csv
27,128,rectangle,low,low,224.0,0.9218106995884774,Java_low_results.csv
13,180,rectangle,low,low,232.0,0.9098039215686274,Java_low_results.csv
13,182,rectangle,low,low,253.0,0.9035714285714286,Java_low_results.csv
27,132,rectangle,low,low,373.0,0.9119804400977995,Java_low_results.csv
27,138,rectangle,low,low,140.0,0.8695652173913043,Java_low_results.csv
13,77,rectangle,low,low,319.0,0.90625,Java_low_results.csv
13,21,rectangle,low,low,290.0,0.9148264984227128,Java_low_results.csv
13,94,rectangle,low,low,241.0,0.9450980392156862,Java_low_results.csv
