exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
26,87,2,high,high,223.0,0.9409282700421941
1,123,2,high,high,170.0,0.9289617486338798
48,123,2,high,high,188.0,0.94
1,86,2,high,high,526.0,0.9477477477477477
26,69,2,high,high,264.0,0.9295774647887324
26,48,2,high,high,186.0,0.93
48,68,2,high,high,206.0,0.958139534883721
26,86,2,high,high,524.0,0.9441441441441442
68,86,2,high,high,516.0,0.9297297297297298
26,68,2,high,high,207.0,0.9627906976744186
1,48,2,high,high,173.0,0.865
48,178,2,high,high,219.0,0.9439655172413793
48,87,2,high,high,209.0,0.8818565400843882
68,87,2,high,high,217.0,0.9156118143459916
68,82,2,high,high,236.0,0.944
48,86,2,high,high,536.0,0.9657657657657658
68,80,2,high,high,206.0,0.958139534883721
1,87,2,high,high,209.0,0.8818565400843882
1,26,2,high,high,160.0,0.8839779005524862
48,82,2,high,high,205.0,0.82
1,68,2,high,high,195.0,0.9069767441860465
48,69,2,high,high,271.0,0.954225352112676
1,178,2,high,high,213.0,0.9181034482758621
68,69,2,high,high,257.0,0.9049295774647887
48,80,2,high,high,179.0,0.895
26,123,2,high,high,179.0,0.9781420765027322
1,80,2,high,high,117.0,0.8796992481203008
1,69,2,high,high,263.0,0.926056338028169
26,178,2,high,high,221.0,0.9525862068965517
1,82,2,high,high,202.0,0.808
26,82,2,high,high,209.0,0.836
26,80,2,high,high,157.0,0.8674033149171271
69,80,2,high,high,274.0,0.9647887323943662
68,123,2,high,high,194.0,0.9023255813953488
80,82,2,high,high,226.0,0.904
68,178,2,high,high,212.0,0.9137931034482759
69,123,2,high,high,261.0,0.9190140845070423
80,87,2,high,high,223.0,0.9409282700421941
80,123,2,high,high,171.0,0.9344262295081968
69,178,2,high,high,259.0,0.9119718309859155
69,87,2,high,high,268.0,0.9436619718309859
69,82,2,high,high,276.0,0.971830985915493
80,178,2,high,high,219.0,0.9439655172413793
80,86,2,high,high,544.0,0.9801801801801802
82,123,2,high,high,231.0,0.924
82,87,2,high,high,236.0,0.944
82,178,2,high,high,237.0,0.948
69,86,2,high,high,491.0,0.8846846846846846
87,123,2,high,high,207.0,0.8734177215189873
123,178,2,high,high,198.0,0.853448275862069
87,178,2,high,high,214.0,0.9029535864978903
86,123,2,high,high,510.0,0.918918918918919
86,87,2,high,high,530.0,0.954954954954955
82,86,2,high,high,525.0,0.9459459459459459
86,178,2,high,high,505.0,0.9099099099099099
