exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
13,27,2,low,low,229.0,0.8980392156862745
13,35,2,low,low,227.0,0.8901960784313725
13,29,2,low,low,246.0,0.9647058823529412
13,34,2,low,low,245.0,0.9607843137254902
13,37,2,low,low,247.0,0.9686274509803922
13,31,2,low,low,252.0,0.9032258064516129
13,21,2,low,low,290.0,0.9148264984227129
13,56,2,low,low,247.0,0.9686274509803922
13,41,2,low,low,289.0,0.9088050314465409
13,65,2,low,low,245.0,0.9607843137254902
13,43,2,low,low,278.0,0.9586206896551724
13,71,2,low,low,238.0,0.9333333333333333
13,44,2,low,low,277.0,0.9453924914675768
13,74,2,low,low,233.0,0.9137254901960784
13,63,2,low,low,246.0,0.9461538461538461
13,67,2,low,low,219.0,0.8588235294117647
13,60,2,low,low,287.0,0.9379084967320261
13,78,2,low,low,241.0,0.9450980392156862
13,94,2,low,low,241.0,0.9450980392156862
13,101,2,low,low,228.0,0.8941176470588236
13,99,2,low,low,220.0,0.8627450980392157
13,77,2,low,low,364.0,0.9357326478149101
13,107,2,low,low,230.0,0.9019607843137255
13,104,2,low,low,265.0,0.9330985915492958
13,79,2,low,low,295.0,0.9516129032258065
13,64,2,low,low,563.0,0.9510135135135135
13,124,2,low,low,274.0,0.9614035087719298
13,128,2,low,low,239.0,0.9372549019607843
13,138,2,low,low,233.0,0.9137254901960784
13,126,2,low,low,308.0,0.9655172413793104
13,140,2,low,low,246.0,0.9647058823529412
13,162,2,low,low,250.0,0.946969696969697
13,172,2,low,low,238.0,0.9333333333333333
13,164,2,low,low,244.0,0.9568627450980393
13,132,2,low,low,371.0,0.9070904645476773
13,180,2,low,low,241.0,0.9450980392156862
21,27,2,low,low,300.0,0.9463722397476341
13,200,2,low,low,244.0,0.9568627450980393
13,186,2,low,low,227.0,0.8901960784313725
13,179,2,low,low,365.0,0.9530026109660574
13,183,2,low,low,271.0,0.9678571428571429
21,29,2,low,low,289.0,0.9116719242902208
13,176,2,low,low,457.0,0.9067460317460317
13,182,2,low,low,381.0,0.9525
21,35,2,low,low,288.0,0.9085173501577287
21,34,2,low,low,292.0,0.9211356466876972
21,31,2,low,low,304.0,0.9589905362776026
21,37,2,low,low,301.0,0.9495268138801262
21,56,2,low,low,297.0,0.9369085173501577
21,65,2,low,low,300.0,0.9463722397476341
21,43,2,low,low,312.0,0.9842271293375394
21,71,2,low,low,296.0,0.9337539432176656
21,41,2,low,low,313.0,0.9842767295597484
21,44,2,low,low,297.0,0.9369085173501577
21,67,2,low,low,287.0,0.9053627760252366
21,74,2,low,low,291.0,0.917981072555205
21,63,2,low,low,307.0,0.9684542586750788
21,78,2,low,low,293.0,0.9242902208201893
21,60,2,low,low,303.0,0.9558359621451105
21,94,2,low,low,281.0,0.886435331230284
21,99,2,low,low,276.0,0.8706624605678234
21,101,2,low,low,273.0,0.861198738170347
21,79,2,low,low,308.0,0.9716088328075709
21,107,2,low,low,275.0,0.8675078864353313
21,104,2,low,low,309.0,0.9747634069400631
21,77,2,low,low,365.0,0.9383033419023136
21,64,2,low,low,548.0,0.9256756756756757
21,128,2,low,low,305.0,0.9621451104100947
21,124,2,low,low,306.0,0.9652996845425867
21,138,2,low,low,294.0,0.9274447949526814
21,126,2,low,low,305.0,0.9561128526645768
21,140,2,low,low,310.0,0.9779179810725552
21,164,2,low,low,307.0,0.9684542586750788
21,172,2,low,low,282.0,0.889589905362776
21,162,2,low,low,303.0,0.9558359621451105
21,180,2,low,low,286.0,0.9022082018927445
21,132,2,low,low,362.0,0.8850855745721271
27,29,2,low,low,165.0,0.9016393442622951
27,31,2,low,low,253.0,0.9068100358422939
27,34,2,low,low,187.0,0.9166666666666666
21,200,2,low,low,299.0,0.943217665615142
27,35,2,low,low,154.0,0.9005847953216374
21,179,2,low,low,366.0,0.9556135770234987
27,37,2,low,low,190.0,0.8715596330275229
21,186,2,low,low,287.0,0.9053627760252366
27,41,2,low,low,288.0,0.9056603773584906
21,183,2,low,low,310.0,0.9779179810725552
27,56,2,low,low,130.0,0.8904109589041096
27,43,2,low,low,262.0,0.903448275862069
27,44,2,low,low,257.0,0.8771331058020477
27,65,2,low,low,64.0,0.9014084507042254
27,60,2,low,low,274.0,0.8954248366013072
27,71,2,low,low,87.0,0.9775280898876404
21,176,2,low,low,430.0,0.8531746031746031
27,74,2,low,low,91.0,0.91
27,63,2,low,low,226.0,0.8692307692307693
27,67,2,low,low,141.0,0.8980891719745223
27,78,2,low,low,79.0,0.8404255319148937
27,94,2,low,low,116.0,0.8923076923076924
27,99,2,low,low,157.0,0.9075144508670521
27,101,2,low,low,147.0,0.930379746835443
21,182,2,low,low,391.0,0.9775
27,79,2,low,low,283.0,0.9129032258064517
27,77,2,low,low,341.0,0.8766066838046273
27,64,2,low,low,540.0,0.9121621621621622
27,104,2,low,low,260.0,0.9154929577464789
27,107,2,low,low,187.0,0.8990384615384616
27,128,2,low,low,222.0,0.9135802469135802
27,124,2,low,low,257.0,0.9017543859649123
27,138,2,low,low,142.0,0.8819875776397516
27,126,2,low,low,293.0,0.9184952978056427
27,162,2,low,low,244.0,0.9242424242424242
27,164,2,low,low,196.0,0.8340425531914893
27,140,2,low,low,199.0,0.8963963963963963
27,132,2,low,low,380.0,0.9290953545232273
27,172,2,low,low,156.0,0.896551724137931
27,180,2,low,low,138.0,0.8734177215189873
27,186,2,low,low,215.0,0.9388646288209607
27,200,2,low,low,153.0,0.864406779661017
27,179,2,low,low,357.0,0.9321148825065274
27,183,2,low,low,250.0,0.8928571428571429
27,176,2,low,low,470.0,0.9325396825396826
27,182,2,low,low,361.0,0.9025
29,34,2,low,low,188.0,0.9215686274509803
29,35,2,low,low,176.0,0.9617486338797814
29,31,2,low,low,259.0,0.9283154121863799
29,56,2,low,low,163.0,0.8907103825136612
29,37,2,low,low,198.0,0.908256880733945
29,65,2,low,low,168.0,0.9180327868852459
29,41,2,low,low,305.0,0.9591194968553459
29,43,2,low,low,257.0,0.8862068965517241
29,44,2,low,low,259.0,0.8839590443686007
29,71,2,low,low,174.0,0.9508196721311475
29,67,2,low,low,179.0,0.9781420765027322
29,74,2,low,low,171.0,0.9344262295081968
29,78,2,low,low,166.0,0.907103825136612
29,63,2,low,low,226.0,0.8692307692307693
29,60,2,low,low,268.0,0.8758169934640523
29,94,2,low,low,165.0,0.9016393442622951
29,99,2,low,low,174.0,0.9508196721311475
29,101,2,low,low,173.0,0.9453551912568307
29,107,2,low,low,197.0,0.9471153846153846
29,79,2,low,low,269.0,0.867741935483871
29,77,2,low,low,341.0,0.8766066838046273
29,104,2,low,low,266.0,0.9366197183098591
29,64,2,low,low,532.0,0.8986486486486487
29,124,2,low,low,245.0,0.8596491228070176
29,138,2,low,low,177.0,0.9672131147540983
29,128,2,low,low,226.0,0.9300411522633745
29,126,2,low,low,274.0,0.8589341692789969
29,140,2,low,low,204.0,0.918918918918919
29,172,2,low,low,155.0,0.8469945355191257
29,164,2,low,low,211.0,0.8978723404255319
29,162,2,low,low,248.0,0.9393939393939394
29,132,2,low,low,378.0,0.9242053789731052
29,180,2,low,low,165.0,0.9016393442622951
29,200,2,low,low,168.0,0.9180327868852459
29,186,2,low,low,217.0,0.9475982532751092
29,179,2,low,low,320.0,0.835509138381201
29,183,2,low,low,240.0,0.8571428571428571
31,35,2,low,low,225.0,0.8064516129032258
29,176,2,low,low,468.0,0.9285714285714286
29,182,2,low,low,357.0,0.8925
31,34,2,low,low,259.0,0.9283154121863799
31,37,2,low,low,251.0,0.899641577060932
31,56,2,low,low,262.0,0.9390681003584229
31,65,2,low,low,265.0,0.9498207885304659
31,43,2,low,low,276.0,0.9517241379310345
31,44,2,low,low,280.0,0.9556313993174061
31,41,2,low,low,282.0,0.8867924528301887
31,71,2,low,low,262.0,0.9390681003584229
31,63,2,low,low,256.0,0.9175627240143369
31,60,2,low,low,295.0,0.9640522875816994
31,67,2,low,low,247.0,0.8853046594982079
31,74,2,low,low,250.0,0.8960573476702509
31,78,2,low,low,255.0,0.9139784946236559
31,94,2,low,low,252.0,0.9032258064516129
31,101,2,low,low,244.0,0.8745519713261649
31,99,2,low,low,235.0,0.8422939068100358
31,107,2,low,low,242.0,0.8673835125448028
31,79,2,low,low,290.0,0.9354838709677419
31,104,2,low,low,264.0,0.9295774647887324
31,64,2,low,low,553.0,0.9341216216216216
31,77,2,low,low,354.0,0.910025706940874
31,124,2,low,low,272.0,0.9543859649122807
31,128,2,low,low,249.0,0.8924731182795699
31,138,2,low,low,242.0,0.8673835125448028
31,126,2,low,low,308.0,0.9655172413793104
31,140,2,low,low,258.0,0.9247311827956989
31,162,2,low,low,256.0,0.9175627240143369
31,164,2,low,low,260.0,0.931899641577061
31,180,2,low,low,256.0,0.9175627240143369
31,172,2,low,low,253.0,0.9068100358422939
31,132,2,low,low,377.0,0.921760391198044
34,35,2,low,low,198.0,0.9705882352941176
31,200,2,low,low,259.0,0.9283154121863799
34,37,2,low,low,207.0,0.9495412844036697
31,186,2,low,low,238.0,0.8530465949820788
31,179,2,low,low,350.0,0.9138381201044387
31,183,2,low,low,273.0,0.975
31,176,2,low,low,447.0,0.8869047619047619
31,182,2,low,low,373.0,0.9325
34,56,2,low,low,172.0,0.8431372549019608
34,65,2,low,low,192.0,0.9411764705882353
34,41,2,low,low,295.0,0.9276729559748428
34,43,2,low,low,257.0,0.8862068965517241
34,44,2,low,low,245.0,0.8361774744027304
34,71,2,low,low,192.0,0.9411764705882353
34,63,2,low,low,232.0,0.8923076923076924
34,74,2,low,low,194.0,0.9509803921568627
34,60,2,low,low,275.0,0.8986928104575164
34,67,2,low,low,191.0,0.9362745098039216
34,78,2,low,low,188.0,0.9215686274509803
34,94,2,low,low,182.0,0.8921568627450981
34,101,2,low,low,190.0,0.9313725490196079
34,99,2,low,low,187.0,0.9166666666666666
34,104,2,low,low,257.0,0.9049295774647887
34,107,2,low,low,201.0,0.9663461538461539
34,79,2,low,low,264.0,0.8516129032258064
34,77,2,low,low,323.0,0.8303341902313625
34,64,2,low,low,518.0,0.875
34,124,2,low,low,253.0,0.887719298245614
34,128,2,low,low,230.0,0.9465020576131687
34,138,2,low,low,196.0,0.9607843137254902
34,126,2,low,low,278.0,0.8714733542319749
34,140,2,low,low,206.0,0.9279279279279279
34,162,2,low,low,251.0,0.9507575757575758
34,172,2,low,low,186.0,0.9117647058823529
34,164,2,low,low,220.0,0.9361702127659575
34,180,2,low,low,177.0,0.8676470588235294
34,132,2,low,low,381.0,0.9315403422982885
34,200,2,low,low,195.0,0.9558823529411765
34,186,2,low,low,218.0,0.9519650655021834
35,37,2,low,low,186.0,0.8532110091743119
34,179,2,low,low,343.0,0.8955613577023499
34,183,2,low,low,259.0,0.925
34,182,2,low,low,361.0,0.9025
35,41,2,low,low,262.0,0.8238993710691824
34,176,2,low,low,472.0,0.9365079365079365
35,56,2,low,low,161.0,0.9415204678362573
35,65,2,low,low,160.0,0.935672514619883
35,71,2,low,low,158.0,0.9239766081871345
35,43,2,low,low,271.0,0.9344827586206896
35,44,2,low,low,275.0,0.9385665529010239
35,74,2,low,low,146.0,0.8538011695906432
35,67,2,low,low,159.0,0.9298245614035088
35,63,2,low,low,237.0,0.9115384615384615
35,60,2,low,low,279.0,0.9117647058823529
35,78,2,low,low,155.0,0.9064327485380117
35,94,2,low,low,165.0,0.9649122807017544
35,101,2,low,low,165.0,0.9649122807017544
35,99,2,low,low,157.0,0.9075144508670521
35,107,2,low,low,186.0,0.8942307692307693
35,79,2,low,low,283.0,0.9129032258064517
35,104,2,low,low,247.0,0.8697183098591549
35,77,2,low,low,357.0,0.9177377892030848
35,64,2,low,low,555.0,0.9375
35,124,2,low,low,264.0,0.9263157894736842
35,128,2,low,low,197.0,0.8106995884773662
35,138,2,low,low,144.0,0.8421052631578947
35,126,2,low,low,302.0,0.9467084639498433
35,172,2,low,low,173.0,0.9942528735632183
35,140,2,low,low,207.0,0.9324324324324325
35,164,2,low,low,215.0,0.9148936170212766
35,162,2,low,low,224.0,0.8484848484848485
35,180,2,low,low,164.0,0.9590643274853801
35,132,2,low,low,375.0,0.9168704156479217
35,200,2,low,low,168.0,0.9491525423728814
35,186,2,low,low,198.0,0.8646288209606987
35,183,2,low,low,250.0,0.8928571428571429
35,179,2,low,low,352.0,0.9190600522193212
35,176,2,low,low,435.0,0.8630952380952381
35,182,2,low,low,365.0,0.9125
37,65,2,low,low,200.0,0.9174311926605505
37,56,2,low,low,199.0,0.9128440366972477
37,43,2,low,low,266.0,0.9172413793103448
37,41,2,low,low,286.0,0.89937106918239
37,71,2,low,low,201.0,0.9220183486238532
37,74,2,low,low,191.0,0.8761467889908257
37,63,2,low,low,238.0,0.9153846153846154
37,44,2,low,low,277.0,0.9453924914675768
37,60,2,low,low,289.0,0.9444444444444444
37,67,2,low,low,202.0,0.926605504587156
37,78,2,low,low,192.0,0.8807339449541285
37,94,2,low,low,196.0,0.8990825688073395
37,99,2,low,low,189.0,0.8669724770642202
37,101,2,low,low,193.0,0.8853211009174312
37,107,2,low,low,195.0,0.8944954128440367
37,79,2,low,low,283.0,0.9129032258064517
37,77,2,low,low,353.0,0.9074550128534704
37,64,2,low,low,544.0,0.918918918918919
37,104,2,low,low,244.0,0.8591549295774648
37,124,2,low,low,261.0,0.9157894736842105
37,128,2,low,low,227.0,0.934156378600823
37,138,2,low,low,190.0,0.8715596330275229
37,126,2,low,low,300.0,0.9404388714733543
37,140,2,low,low,209.0,0.9414414414414415
37,162,2,low,low,240.0,0.9090909090909091
37,164,2,low,low,219.0,0.9319148936170213
37,172,2,low,low,194.0,0.8899082568807339
37,132,2,low,low,368.0,0.8997555012224939
37,180,2,low,low,201.0,0.9220183486238532
37,186,2,low,low,216.0,0.9432314410480349
37,200,2,low,low,197.0,0.9036697247706422
37,179,2,low,low,346.0,0.9033942558746736
37,183,2,low,low,252.0,0.9
37,182,2,low,low,365.0,0.9125
37,176,2,low,low,441.0,0.875
41,56,2,low,low,298.0,0.9371069182389937
41,65,2,low,low,302.0,0.949685534591195
41,43,2,low,low,308.0,0.9685534591194969
41,44,2,low,low,299.0,0.940251572327044
41,71,2,low,low,301.0,0.9465408805031447
41,63,2,low,low,309.0,0.9716981132075472
41,67,2,low,low,282.0,0.8867924528301887
41,74,2,low,low,289.0,0.9088050314465409
41,78,2,low,low,288.0,0.9056603773584906
41,60,2,low,low,309.0,0.9716981132075472
41,94,2,low,low,290.0,0.9119496855345912
41,101,2,low,low,285.0,0.8962264150943396
41,99,2,low,low,268.0,0.8427672955974843
41,107,2,low,low,280.0,0.8805031446540881
41,77,2,low,low,349.0,0.897172236503856
41,79,2,low,low,308.0,0.9685534591194969
41,104,2,low,low,289.0,0.9088050314465409
41,64,2,low,low,556.0,0.9391891891891891
41,128,2,low,low,262.0,0.8238993710691824
41,124,2,low,low,312.0,0.9811320754716981
41,138,2,low,low,284.0,0.8930817610062893
41,126,2,low,low,309.0,0.9686520376175548
41,140,2,low,low,298.0,0.9371069182389937
41,172,2,low,low,297.0,0.9339622641509434
41,164,2,low,low,296.0,0.9308176100628931
41,162,2,low,low,295.0,0.9276729559748428
41,180,2,low,low,295.0,0.9276729559748428
41,132,2,low,low,388.0,0.9486552567237164
43,56,2,low,low,254.0,0.8758620689655172
41,200,2,low,low,298.0,0.9371069182389937
41,186,2,low,low,272.0,0.8553459119496856
41,179,2,low,low,353.0,0.9216710182767625
41,183,2,low,low,307.0,0.9654088050314465
43,65,2,low,low,279.0,0.9620689655172414
41,176,2,low,low,454.0,0.9007936507936508
43,44,2,low,low,269.0,0.9180887372013652
41,182,2,low,low,383.0,0.9575
43,71,2,low,low,276.0,0.9517241379310345
