exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld
3,116,2,none,none,194.0,0.8981481481481481
5,110,2,none,none,165.0,0.8823529411764706
5,28,2,none,none,236.0,0.8458781362007168
3,204,2,none,none,172.0,0.945054945054945
3,12,2,none,none,295.0,0.7763157894736842
5,12,2,none,none,350.0,0.9210526315789473
3,211,2,none,none,279.0,0.9425675675675675
5,154,2,none,none,401.0,0.9325581395348838
3,36,2,none,none,158.0,0.8681318681318682
3,216,2,none,none,157.0,0.8626373626373627
3,93,2,none,none,166.0,0.9120879120879121
3,38,2,none,none,199.0,0.9170506912442397
3,110,2,none,none,177.0,0.9725274725274725
3,59,2,none,none,256.0,0.9078014184397163
5,141,2,none,none,206.0,0.911504424778761
3,141,2,none,none,191.0,0.8451327433628318
3,106,2,none,none,188.0,0.9641025641025641
3,201,2,none,none,164.0,0.9010989010989011
5,116,2,none,none,199.0,0.9212962962962963
3,154,2,none,none,364.0,0.8465116279069768
5,59,2,none,none,253.0,0.8971631205673759
3,163,2,none,none,173.0,0.9505494505494505
3,196,2,none,none,342.0,0.8614609571788413
3,30,2,none,none,153.0,0.8406593406593407
5,96,2,none,none,229.0,0.9308943089430894
5,106,2,none,none,186.0,0.9538461538461539
3,189,2,none,none,139.0,0.7637362637362637
3,28,2,none,none,272.0,0.974910394265233
5,38,2,none,none,208.0,0.9585253456221198
3,181,2,none,none,166.0,0.9120879120879121
3,96,2,none,none,218.0,0.8861788617886179
3,5,2,none,none,183.0,0.9786096256684492
5,36,2,none,none,157.0,0.839572192513369
5,30,2,none,none,179.0,0.9572192513368984
5,93,2,none,none,184.0,0.983957219251337
5,204,2,none,none,183.0,0.9786096256684492
5,201,2,none,none,173.0,0.9251336898395722
5,181,2,none,none,152.0,0.8128342245989305
5,216,2,none,none,175.0,0.9358288770053476
5,189,2,none,none,171.0,0.9144385026737968
5,163,2,none,none,181.0,0.9679144385026738
5,211,2,none,none,242.0,0.8175675675675675
12,93,2,none,none,354.0,0.9315789473684211
12,36,2,none,none,343.0,0.9026315789473685
12,30,2,none,none,308.0,0.8105263157894737
5,196,2,none,none,375.0,0.9445843828715366
12,38,2,none,none,353.0,0.9289473684210526
12,28,2,none,none,352.0,0.9263157894736842
12,110,2,none,none,344.0,0.9052631578947369
12,59,2,none,none,333.0,0.8763157894736842
12,106,2,none,none,332.0,0.8736842105263158
12,96,2,none,none,314.0,0.8263157894736842
12,181,2,none,none,344.0,0.9052631578947369
12,116,2,none,none,295.0,0.7763157894736842
12,141,2,none,none,311.0,0.8184210526315789
12,204,2,none,none,365.0,0.9605263157894737
12,189,2,none,none,312.0,0.8210526315789474
12,163,2,none,none,315.0,0.8289473684210527
12,201,2,none,none,345.0,0.9078947368421053
28,36,2,none,none,239.0,0.8566308243727598
12,216,2,none,none,332.0,0.8736842105263158
28,30,2,none,none,266.0,0.953405017921147
28,93,2,none,none,268.0,0.9605734767025089
28,38,2,none,none,266.0,0.953405017921147
12,211,2,none,none,355.0,0.9342105263157895
28,110,2,none,none,241.0,0.8637992831541219
28,106,2,none,none,253.0,0.9068100358422939
12,154,2,none,none,378.0,0.8790697674418605
28,59,2,none,none,270.0,0.9574468085106383
28,96,2,none,none,263.0,0.942652329749104
12,196,2,none,none,351.0,0.8841309823677582
28,181,2,none,none,240.0,0.8602150537634409
28,116,2,none,none,260.0,0.931899641577061
28,204,2,none,none,271.0,0.9713261648745519
28,189,2,none,none,253.0,0.9068100358422939
28,163,2,none,none,258.0,0.9247311827956989
30,36,2,none,none,118.0,0.8740740740740741
28,201,2,none,none,252.0,0.9032258064516129
28,141,2,none,none,259.0,0.9283154121863799
30,93,2,none,none,119.0,0.8814814814814815
28,216,2,none,none,261.0,0.9354838709677419
30,38,2,none,none,204.0,0.9400921658986175
30,110,2,none,none,137.0,0.9448275862068966
30,59,2,none,none,249.0,0.8829787234042553
30,106,2,none,none,166.0,0.8512820512820513
30,96,2,none,none,191.0,0.7764227642276422
30,181,2,none,none,118.0,0.8740740740740741
28,196,2,none,none,381.0,0.9596977329974811
30,116,2,none,none,157.0,0.7268518518518519
30,141,2,none,none,193.0,0.8539823008849557
30,163,2,none,none,158.0,0.8729281767955801
28,211,2,none,none,252.0,0.8513513513513513
28,154,2,none,none,406.0,0.9441860465116279
30,204,2,none,none,124.0,0.9185185185185185
30,189,2,none,none,110.0,0.8148148148148148
30,201,2,none,none,125.0,0.9259259259259259
36,93,2,none,none,87.0,0.9456521739130435
30,216,2,none,none,115.0,0.8518518518518519
36,38,2,none,none,191.0,0.880184331797235
30,154,2,none,none,375.0,0.872093023255814
36,110,2,none,none,128.0,0.8827586206896552
36,59,2,none,none,257.0,0.9113475177304965
36,96,2,none,none,225.0,0.9146341463414634
36,106,2,none,none,173.0,0.8871794871794871
36,181,2,none,none,82.0,0.8723404255319149
30,211,2,none,none,265.0,0.8952702702702703
36,116,2,none,none,191.0,0.8842592592592593
30,196,2,none,none,348.0,0.8765743073047859
36,189,2,none,none,95.0,0.8636363636363636
36,204,2,none,none,87.0,0.9456521739130435
36,163,2,none,none,153.0,0.8453038674033149
36,141,2,none,none,207.0,0.915929203539823
36,201,2,none,none,92.0,0.7666666666666667
36,216,2,none,none,95.0,0.95
38,93,2,none,none,207.0,0.9539170506912442
36,154,2,none,none,409.0,0.9511627906976744
36,211,2,none,none,264.0,0.8918918918918919
36,196,2,none,none,380.0,0.9571788413098237
38,110,2,none,none,205.0,0.9447004608294931
38,106,2,none,none,204.0,0.9400921658986175
38,96,2,none,none,236.0,0.959349593495935
38,59,2,none,none,271.0,0.9609929078014184
