exp_a,exp_b,trial_id,expertise_a,expertise_b,original_distance,original_nld,source_file
26,87,2,high,high,223.0,0.940928270042194,Java_high_results.csv
1,123,2,high,high,170.0,0.9289617486338798,Java_high_results.csv
48,123,2,high,high,188.0,0.94,Java_high_results.csv
1,86,2,high,high,526.0,0.9477477477477476,Java_high_results.csv
26,69,2,high,high,264.0,0.9295774647887324,Java_high_results.csv
26,48,2,high,high,186.0,0.93,Java_high_results.csv
48,68,2,high,high,206.0,0.958139534883721,Java_high_results.csv
26,86,2,high,high,524.0,0.9441441441441442,Java_high_results.csv
68,86,2,high,high,516.0,0.9297297297297298,Java_high_results.csv
26,68,2,high,high,207.0,0.9627906976744186,Java_high_results.csv
1,48,2,high,high,173.0,0.865,Java_high_results.csv
48,178,2,high,high,219.0,0.9439655172413792,Java_high_results.csv
48,87,2,high,high,209.0,0.8818565400843882,Java_high_results.csv
68,87,2,high,high,217.0,0.9156118143459916,Java_high_results.csv
68,82,2,high,high,236.0,0.944,Java_high_results.csv
48,86,2,high,high,536.0,0.9657657657657658,Java_high_results.csv
68,80,2,high,high,206.0,0.958139534883721,Java_high_results.csv
1,87,2,high,high,209.0,0.8818565400843882,Java_high_results.csv
1,26,2,high,high,160.0,0.8839779005524862,Java_high_results.csv
48,82,2,high,high,205.0,0.82,Java_high_results.csv
1,68,2,high,high,195.0,0.9069767441860463,Java_high_results.csv
48,69,2,high,high,271.0,0.954225352112676,Java_high_results.csv
1,178,2,high,high,213.0,0.918103448275862,Java_high_results.csv
68,69,2,high,high,257.0,0.9049295774647887,Java_high_results.csv
48,80,2,high,high,179.0,0.895,Java_high_results.csv
26,123,2,high,high,179.0,0.9781420765027322,Java_high_results.csv
1,80,2,high,high,117.0,0.8796992481203008,Java_high_results.csv
1,69,2,high,high,263.0,0.926056338028169,Java_high_results.csv
26,178,2,high,high,221.0,0.9525862068965516,Java_high_results.csv
1,82,2,high,high,202.0,0.808,Java_high_results.csv
26,82,2,high,high,209.0,0.836,Java_high_results.csv
26,80,2,high,high,157.0,0.8674033149171271,Java_high_results.csv
69,80,2,high,high,274.0,0.9647887323943662,Java_high_results.csv
68,123,2,high,high,194.0,0.9023255813953488,Java_high_results.csv
80,82,2,high,high,226.0,0.904,Java_high_results.csv
68,178,2,high,high,212.0,0.913793103448276,Java_high_results.csv
69,123,2,high,high,261.0,0.9190140845070424,Java_high_results.csv
80,87,2,high,high,223.0,0.940928270042194,Java_high_results.csv
80,123,2,high,high,171.0,0.9344262295081968,Java_high_results.csv
69,178,2,high,high,259.0,0.9119718309859156,Java_high_results.csv
69,87,2,high,high,268.0,0.943661971830986,Java_high_results.csv
69,82,2,high,high,276.0,0.971830985915493,Java_high_results.csv
80,178,2,high,high,219.0,0.9439655172413792,Java_high_results.csv
80,86,2,high,high,544.0,0.9801801801801802,Java_high_results.csv
82,123,2,high,high,231.0,0.924,Java_high_results.csv
82,87,2,high,high,236.0,0.944,Java_high_results.csv
82,178,2,high,high,237.0,0.948,Java_high_results.csv
69,86,2,high,high,491.0,0.8846846846846846,Java_high_results.csv
87,123,2,high,high,207.0,0.8734177215189873,Java_high_results.csv
123,178,2,high,high,198.0,0.853448275862069,Java_high_results.csv
87,178,2,high,high,214.0,0.9029535864978904,Java_high_results.csv
86,123,2,high,high,510.0,0.918918918918919,Java_high_results.csv
86,87,2,high,high,530.0,0.954954954954955,Java_high_results.csv
82,86,2,high,high,525.0,0.945945945945946,Java_high_results.csv
86,178,2,high,high,505.0,0.90990990990991,Java_high_results.csv
13,27,2,low,low,229.0,0.8980392156862745,Java_low_results.csv
13,35,2,low,low,227.0,0.8901960784313725,Java_low_results.csv
13,29,2,low,low,246.0,0.9647058823529412,Java_low_results.csv
13,34,2,low,low,245.0,0.9607843137254902,Java_low_results.csv
13,37,2,low,low,247.0,0.9686274509803922,Java_low_results.csv
13,31,2,low,low,252.0,0.9032258064516128,Java_low_results.csv
13,21,2,low,low,290.0,0.9148264984227128,Java_low_results.csv
13,56,2,low,low,247.0,0.9686274509803922,Java_low_results.csv
13,41,2,low,low,289.0,0.9088050314465408,Java_low_results.csv
13,65,2,low,low,245.0,0.9607843137254902,Java_low_results.csv
13,43,2,low,low,278.0,0.9586206896551724,Java_low_results.csv
