exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score
48,118,5,high,high,120.0,0.9302325581395349
48,178,5,high,high,150.0,0.9375
48,87,5,high,high,238.0,0.9444444444444444
48,86,5,high,high,277.0,0.9551724137931035
48,82,5,high,high,177.0,0.946524064171123
68,87,5,high,high,200.0,0.7936507936507936
48,69,5,high,high,303.0,0.9588607594936709
48,80,5,high,high,124.0,0.9612403100775194
68,86,5,high,high,252.0,0.8689655172413793
48,68,5,high,high,147.0,0.930379746835443
68,82,5,high,high,179.0,0.9572192513368984
68,80,5,high,high,152.0,0.9620253164556962
68,69,5,high,high,259.0,0.819620253164557
68,118,5,high,high,123.0,0.7784810126582279
68,178,5,high,high,141.0,0.88125
69,80,5,high,high,304.0,0.9620253164556962
80,82,5,high,high,166.0,0.8877005347593583
69,118,5,high,high,256.0,0.810126582278481
80,118,5,high,high,110.0,0.9649122807017544
69,178,5,high,high,273.0,0.8639240506329114
80,178,5,high,high,154.0,0.9625
80,86,5,high,high,275.0,0.9482758620689655
69,82,5,high,high,297.0,0.939873417721519
80,87,5,high,high,241.0,0.9563492063492064
69,87,5,high,high,274.0,0.8670886075949367
82,118,5,high,high,171.0,0.9144385026737968
82,178,5,high,high,179.0,0.9572192513368984
86,118,5,high,high,242.0,0.8344827586206897
69,86,5,high,high,272.0,0.8607594936708861
82,87,5,high,high,240.0,0.9523809523809523
87,118,5,high,high,211.0,0.8373015873015873
82,86,5,high,high,273.0,0.9413793103448276
118,178,5,high,high,128.0,0.8
86,178,5,high,high,258.0,0.8896551724137931
87,178,5,high,high,208.0,0.8253968253968254
86,87,5,high,high,254.0,0.8758620689655172
