exp_a,exp_b,trial_id,expertise_a,expertise_b,distance,score,source_file
48,118,5,high,high,120.0,0.9302325581395348,Java_high_results.csv
48,178,5,high,high,150.0,0.9375,Java_high_results.csv
48,87,5,high,high,238.0,0.9444444444444444,Java_high_results.csv
48,86,5,high,high,277.0,0.9551724137931036,Java_high_results.csv
48,82,5,high,high,177.0,0.946524064171123,Java_high_results.csv
68,87,5,high,high,200.0,0.7936507936507936,Java_high_results.csv
48,69,5,high,high,303.0,0.9588607594936708,Java_high_results.csv
48,80,5,high,high,124.0,0.9612403100775194,Java_high_results.csv
68,86,5,high,high,252.0,0.8689655172413793,Java_high_results.csv
48,68,5,high,high,147.0,0.930379746835443,Java_high_results.csv
68,82,5,high,high,179.0,0.9572192513368984,Java_high_results.csv
68,80,5,high,high,152.0,0.9620253164556962,Java_high_results.csv
68,69,5,high,high,259.0,0.819620253164557,Java_high_results.csv
68,118,5,high,high,123.0,0.7784810126582279,Java_high_results.csv
68,178,5,high,high,141.0,0.88125,Java_high_results.csv
69,80,5,high,high,304.0,0.9620253164556962,Java_high_results.csv
80,82,5,high,high,166.0,0.8877005347593583,Java_high_results.csv
69,118,5,high,high,256.0,0.810126582278481,Java_high_results.csv
80,118,5,high,high,110.0,0.9649122807017544,Java_high_results.csv
69,178,5,high,high,273.0,0.8639240506329114,Java_high_results.csv
80,178,5,high,high,154.0,0.9625,Java_high_results.csv
80,86,5,high,high,275.0,0.9482758620689656,Java_high_results.csv
69,82,5,high,high,297.0,0.939873417721519,Java_high_results.csv
80,87,5,high,high,241.0,0.9563492063492064,Java_high_results.csv
69,87,5,high,high,274.0,0.8670886075949367,Java_high_results.csv
82,118,5,high,high,171.0,0.9144385026737968,Java_high_results.csv
82,178,5,high,high,179.0,0.9572192513368984,Java_high_results.csv
86,118,5,high,high,242.0,0.8344827586206897,Java_high_results.csv
69,86,5,high,high,272.0,0.8607594936708861,Java_high_results.csv
82,87,5,high,high,240.0,0.9523809523809524,Java_high_results.csv
87,118,5,high,high,211.0,0.8373015873015873,Java_high_results.csv
82,86,5,high,high,273.0,0.9413793103448276,Java_high_results.csv
118,178,5,high,high,128.0,0.8,Java_high_results.csv
86,178,5,high,high,258.0,0.8896551724137931,Java_high_results.csv
87,178,5,high,high,208.0,0.8253968253968254,Java_high_results.csv
86,87,5,high,high,254.0,0.8758620689655172,Java_high_results.csv
10,29,5,low,low,159.0,0.940828402366864,Java_low_results.csv
10,99,5,low,low,267.0,0.902027027027027,Java_low_results.csv
10,41,5,low,low,262.0,0.7867867867867868,Java_low_results.csv
10,64,5,low,low,351.0,0.951219512195122,Java_low_results.csv
10,34,5,low,low,228.0,0.9421487603305784,Java_low_results.csv
10,31,5,low,low,214.0,0.8106060606060606,Java_low_results.csv
10,21,5,low,low,308.0,0.8700564971751412,Java_low_results.csv
10,101,5,low,low,798.0,0.9193548387096774,Java_low_results.csv
10,77,5,low,low,336.0,0.9545454545454546,Java_low_results.csv
10,35,5,low,low,212.0,0.8,Java_low_results.csv
10,104,5,low,low,207.0,0.8961038961038961,Java_low_results.csv
10,65,5,low,low,113.0,0.837037037037037,Java_low_results.csv
10,126,5,low,low,279.0,0.9362416107382552,Java_low_results.csv
10,43,5,low,low,148.0,0.9548387096774194,Java_low_results.csv
10,60,5,low,low,238.0,0.9296875,Java_low_results.csv
10,79,5,low,low,243.0,0.9204545454545454,Java_low_results.csv
10,128,5,low,low,420.0,0.8519269776876268,Java_low_results.csv
10,56,5,low,low,140.0,0.9859154929577464,Java_low_results.csv
10,27,5,low,low,125.0,0.925925925925926,Java_low_results.csv
10,74,5,low,low,109.0,0.8074074074074075,Java_low_results.csv
10,63,5,low,low,261.0,0.9288256227758008,Java_low_results.csv
10,124,5,low,low,198.0,0.908256880733945,Java_low_results.csv
10,132,5,low,low,245.0,0.8277027027027027,Java_low_results.csv
10,13,5,low,low,478.0,0.8659420289855072,Java_low_results.csv
10,44,5,low,low,156.0,0.981132075471698,Java_low_results.csv
10,37,5,low,low,209.0,0.810077519379845,Java_low_results.csv
10,139,5,low,low,107.0,0.7925925925925926,Java_low_results.csv
10,114,5,low,low,107.0,0.7925925925925926,Java_low_results.csv
10,94,5,low,low,133.0,0.9779411764705882,Java_low_results.csv
10,78,5,low,low,217.0,0.9313304721030042,Java_low_results.csv
10,140,5,low,low,125.0,0.925925925925926,Java_low_results.csv
10,180,5,low,low,142.0,0.9102564102564102,Java_low_results.csv
10,164,5,low,low,193.0,0.914691943127962,Java_low_results.csv
