exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
48,69,vehicle,high,high,259.0,0.819620253164557
69,118,vehicle,high,high,256.0,0.810126582278481
1,68,vehicle,high,high,134.0,0.8481012658227848
80,118,vehicle,high,high,101.0,0.8859649122807017
118,178,vehicle,high,high,128.0,0.8
26,68,vehicle,high,high,172.0,0.9502762430939227
1,26,vehicle,high,high,160.0,0.8839779005524862
68,86,vehicle,high,high,252.0,0.8689655172413793
86,87,vehicle,high,high,254.0,0.8758620689655172
69,87,vehicle,high,high,274.0,0.8670886075949367
48,87,vehicle,high,high,203.0,0.8055555555555556
1,87,vehicle,high,high,220.0,0.873015873015873
80,87,vehicle,high,high,231.0,0.9166666666666666
68,82,vehicle,high,high,209.0,0.836
1,82,vehicle,high,high,202.0,0.808
69,86,vehicle,high,high,272.0,0.8607594936708861
48,86,vehicle,high,high,255.0,0.8793103448275862
26,118,vehicle,high,high,154.0,0.850828729281768
87,178,vehicle,high,high,208.0,0.8253968253968254
48,118,vehicle,high,high,159.0,0.795
1,80,vehicle,high,high,117.0,0.8796992481203008
68,80,vehicle,high,high,141.0,0.8924050632911392
69,178,vehicle,high,high,273.0,0.8639240506329114
69,82,vehicle,high,high,272.0,0.8607594936708861
48,82,vehicle,high,high,205.0,0.82
68,178,vehicle,high,high,141.0,0.88125
1,178,vehicle,high,high,136.0,0.85
82,118,vehicle,high,high,200.0,0.8
80,86,vehicle,high,high,264.0,0.9103448275862069
48,178,vehicle,high,high,171.0,0.855
82,178,vehicle,high,high,207.0,0.828
68,69,vehicle,high,high,259.0,0.819620253164557
26,178,vehicle,high,high,176.0,0.9723756906077348
1,118,vehicle,high,high,112.0,0.8421052631578947
26,86,vehicle,high,high,250.0,0.8620689655172413
69,80,vehicle,high,high,283.0,0.8955696202531646
48,68,vehicle,high,high,166.0,0.83
26,82,vehicle,high,high,209.0,0.836
82,87,vehicle,high,high,235.0,0.9325396825396826
26,80,vehicle,high,high,157.0,0.8674033149171271
86,118,vehicle,high,high,242.0,0.8344827586206897
1,48,vehicle,high,high,173.0,0.865
87,118,vehicle,high,high,211.0,0.8373015873015873
1,86,vehicle,high,high,238.0,0.8206896551724138
48,80,vehicle,high,high,179.0,0.895
82,86,vehicle,high,high,243.0,0.8379310344827586
26,48,vehicle,high,high,186.0,0.93
86,178,vehicle,high,high,258.0,0.8896551724137931
80,178,vehicle,high,high,148.0,0.925
26,87,vehicle,high,high,223.0,0.8849206349206349
68,87,vehicle,high,high,200.0,0.7936507936507936
80,82,vehicle,high,high,226.0,0.904
68,118,vehicle,high,high,123.0,0.7784810126582279
26,69,vehicle,high,high,271.0,0.8575949367088608
1,69,vehicle,high,high,254.0,0.8037974683544303
