exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
10,200,vehicle,low,low,152.0,0.8587570621468926
21,43,vehicle,low,low,319.0,0.9011299435028248
10,41,vehicle,low,low,262.0,0.7867867867867868
10,94,vehicle,low,low,133.0,0.9779411764705882
10,34,vehicle,low,low,176.0,0.8627450980392157
10,114,vehicle,low,low,107.0,0.7925925925925926
13,41,vehicle,low,low,475.0,0.8605072463768116
10,183,vehicle,low,low,239.0,0.8535714285714285
10,31,vehicle,low,low,214.0,0.8106060606060606
10,182,vehicle,low,low,348.0,0.87
10,180,vehicle,low,low,150.0,0.9493670886075949
13,79,vehicle,low,low,448.0,0.8115942028985508
10,179,vehicle,low,low,325.0,0.8485639686684073
10,27,vehicle,low,low,116.0,0.8592592592592593
21,44,vehicle,low,low,298.0,0.8418079096045198
13,21,vehicle,low,low,458.0,0.8297101449275363
10,164,vehicle,low,low,196.0,0.8340425531914893
10,176,vehicle,low,low,346.0,0.8480392156862745
13,56,vehicle,low,low,484.0,0.8768115942028986
21,170,vehicle,low,low,326.0,0.9209039548022598
21,99,vehicle,low,low,310.0,0.8757062146892656
13,60,vehicle,low,low,452.0,0.8188405797101449
10,170,vehicle,low,low,276.0,0.8544891640866873
13,29,vehicle,low,low,488.0,0.8840579710144928
21,176,vehicle,low,low,348.0,0.8529411764705882
21,179,vehicle,low,low,354.0,0.9242819843342036
13,63,vehicle,low,low,467.0,0.8460144927536232
13,31,vehicle,low,low,450.0,0.8152173913043478
13,64,vehicle,low,low,538.0,0.9087837837837838
21,180,vehicle,low,low,312.0,0.8813559322033898
13,34,vehicle,low,low,470.0,0.8514492753623188
10,56,vehicle,low,low,121.0,0.8287671232876712
13,139,vehicle,low,low,486.0,0.8804347826086957
21,182,vehicle,low,low,385.0,0.9625
13,35,vehicle,low,low,447.0,0.8097826086956522
13,65,vehicle,low,low,504.0,0.9130434782608695
13,140,vehicle,low,low,470.0,0.8514492753623188
21,183,vehicle,low,low,326.0,0.9209039548022598
13,37,vehicle,low,low,481.0,0.8713768115942029
13,164,vehicle,low,low,485.0,0.8786231884057971
10,78,vehicle,low,low,111.0,0.8222222222222222
10,37,vehicle,low,low,209.0,0.810077519379845
13,170,vehicle,low,low,465.0,0.842391304347826
21,200,vehicle,low,low,324.0,0.9152542372881356
21,79,vehicle,low,low,293.0,0.827683615819209
21,104,vehicle,low,low,315.0,0.8898305084745762
13,172,vehicle,low,low,487.0,0.8822463768115942
13,179,vehicle,low,low,484.0,0.8768115942028986
10,126,vehicle,low,low,278.0,0.8714733542319749
10,21,vehicle,low,low,308.0,0.8700564971751412
10,44,vehicle,low,low,256.0,0.8737201365187713
21,114,vehicle,low,low,321.0,0.9067796610169492
10,13,vehicle,low,low,478.0,0.8659420289855072
27,29,vehicle,low,low,165.0,0.9016393442622951
21,124,vehicle,low,low,320.0,0.903954802259887
21,56,vehicle,low,low,316.0,0.8926553672316384
13,99,vehicle,low,low,464.0,0.8405797101449275
27,31,vehicle,low,low,232.0,0.8787878787878788
21,126,vehicle,low,low,310.0,0.8757062146892656
10,64,vehicle,low,low,519.0,0.8766891891891891
21,60,vehicle,low,low,303.0,0.8559322033898306
27,34,vehicle,low,low,187.0,0.9166666666666666
13,132,vehicle,low,low,469.0,0.8496376811594203
13,176,vehicle,low,low,470.0,0.8514492753623188
21,128,vehicle,low,low,447.0,0.9066937119675457
21,63,vehicle,low,low,312.0,0.8813559322033898
13,94,vehicle,low,low,486.0,0.8804347826086957
27,35,vehicle,low,low,240.0,0.9056603773584906
13,43,vehicle,low,low,466.0,0.8442028985507246
21,37,vehicle,low,low,314.0,0.8870056497175142
10,99,vehicle,low,low,267.0,0.902027027027027
21,132,vehicle,low,low,315.0,0.8898305084745762
21,64,vehicle,low,low,514.0,0.8682432432432432
13,128,vehicle,low,low,485.0,0.8786231884057971
13,126,vehicle,low,low,470.0,0.8514492753623188
27,37,vehicle,low,low,228.0,0.8837209302325582
10,132,vehicle,low,low,245.0,0.8277027027027027
21,65,vehicle,low,low,321.0,0.9067796610169492
10,101,vehicle,low,low,798.0,0.9193548387096774
13,124,vehicle,low,low,479.0,0.8677536231884058
27,41,vehicle,low,low,306.0,0.918918918918919
21,139,vehicle,low,low,304.0,0.8587570621468926
10,139,vehicle,low,low,107.0,0.7925925925925926
10,104,vehicle,low,low,207.0,0.8961038961038961
13,182,vehicle,low,low,492.0,0.8913043478260869
13,114,vehicle,low,low,496.0,0.8985507246376812
21,140,vehicle,low,low,318.0,0.8983050847457628
10,140,vehicle,low,low,167.0,0.7522522522522522
13,183,vehicle,low,low,471.0,0.8532608695652174
10,29,vehicle,low,low,168.0,0.9180327868852459
10,65,vehicle,low,low,113.0,0.837037037037037
21,74,vehicle,low,low,318.0,0.8983050847457628
13,104,vehicle,low,low,480.0,0.8695652173913043
21,77,vehicle,low,low,350.0,0.8997429305912596
13,101,vehicle,low,low,729.0,0.8398617511520737
21,164,vehicle,low,low,327.0,0.923728813559322
13,200,vehicle,low,low,487.0,0.8822463768115942
10,74,vehicle,low,low,109.0,0.8074074074074075
21,78,vehicle,low,low,326.0,0.9209039548022598
13,44,vehicle,low,low,463.0,0.8387681159420289
10,124,vehicle,low,low,248.0,0.8701754385964913
13,78,vehicle,low,low,496.0,0.8985507246376812
10,77,vehicle,low,low,324.0,0.8329048843187661
10,79,vehicle,low,low,246.0,0.7935483870967742
21,27,vehicle,low,low,327.0,0.923728813559322
13,77,vehicle,low,low,467.0,0.8460144927536232
10,35,vehicle,low,low,212.0,0.8
10,60,vehicle,low,low,259.0,0.8464052287581699
21,29,vehicle,low,low,309.0,0.8728813559322034
13,74,vehicle,low,low,490.0,0.8876811594202898
13,27,vehicle,low,low,502.0,0.9094202898550725
21,172,vehicle,low,low,304.0,0.8587570621468926
10,63,vehicle,low,low,203.0,0.7807692307692308
13,180,vehicle,low,low,470.0,0.8514492753623188
21,31,vehicle,low,low,324.0,0.9152542372881356
10,43,vehicle,low,low,239.0,0.8241379310344827
21,94,vehicle,low,low,290.0,0.8192090395480226
21,34,vehicle,low,low,295.0,0.8333333333333334
10,128,vehicle,low,low,420.0,0.8519269776876268
21,41,vehicle,low,low,339.0,0.9576271186440678
21,35,vehicle,low,low,288.0,0.8135593220338984
10,172,vehicle,low,low,168.0,0.9655172413793104
21,101,vehicle,low,low,739.0,0.8513824884792627
27,65,vehicle,low,low,81.0,0.8181818181818182
27,74,vehicle,low,low,76.0,0.7835051546391752
27,78,vehicle,low,low,79.0,0.8404255319148937
27,94,vehicle,low,low,129.0,0.9485294117647058
27,63,vehicle,low,low,226.0,0.8692307692307693
27,43,vehicle,low,low,262.0,0.903448275862069
27,139,vehicle,low,low,104.0,0.9285714285714286
27,79,vehicle,low,low,283.0,0.9129032258064517
27,56,vehicle,low,low,130.0,0.8904109589041096
27,114,vehicle,low,low,68.0,0.7727272727272727
27,140,vehicle,low,low,199.0,0.8963963963963963
27,77,vehicle,low,low,341.0,0.8766066838046273
27,132,vehicle,low,low,269.0,0.9087837837837838
27,172,vehicle,low,low,156.0,0.896551724137931
27,164,vehicle,low,low,196.0,0.8340425531914893
27,104,vehicle,low,low,202.0,0.8744588744588745
27,44,vehicle,low,low,257.0,0.8771331058020477
27,128,vehicle,low,low,466.0,0.9452332657200812
27,126,vehicle,low,low,293.0,0.9184952978056427
27,170,vehicle,low,low,286.0,0.8854489164086687
27,180,vehicle,low,low,138.0,0.8734177215189873
27,124,vehicle,low,low,257.0,0.9017543859649123
27,60,vehicle,low,low,274.0,0.8954248366013072
27,200,vehicle,low,low,153.0,0.864406779661017
27,99,vehicle,low,low,263.0,0.8885135135135135
27,176,vehicle,low,low,364.0,0.8921568627450981
27,183,vehicle,low,low,250.0,0.8928571428571429
27,182,vehicle,low,low,361.0,0.9025
27,179,vehicle,low,low,357.0,0.9321148825065274
29,65,vehicle,low,low,163.0,0.8907103825136612
27,64,vehicle,low,low,540.0,0.9121621621621622
29,74,vehicle,low,low,163.0,0.8907103825136612
29,56,vehicle,low,low,163.0,0.8907103825136612
29,34,vehicle,low,low,188.0,0.9215686274509803
27,101,vehicle,low,low,822.0,0.9470046082949308
29,78,vehicle,low,low,166.0,0.907103825136612
29,35,vehicle,low,low,227.0,0.8566037735849057
29,37,vehicle,low,low,226.0,0.875968992248062
29,31,vehicle,low,low,226.0,0.8560606060606061
29,114,vehicle,low,low,163.0,0.8907103825136612
29,94,vehicle,low,low,154.0,0.8415300546448088
29,63,vehicle,low,low,226.0,0.8692307692307693
29,43,vehicle,low,low,257.0,0.8862068965517241
29,44,vehicle,low,low,259.0,0.8839590443686007
29,60,vehicle,low,low,268.0,0.8758169934640523
29,41,vehicle,low,low,291.0,0.8738738738738738
