exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
6,207,vehicle,medium,medium,289.0,0.878419452887538
4,155,vehicle,medium,medium,223.0,0.9291666666666667
6,155,vehicle,medium,medium,181.0,0.8743961352657005
6,206,vehicle,medium,medium,229.0,0.8576779026217228
6,151,vehicle,medium,medium,552.0,0.8706624605678234
6,203,vehicle,medium,medium,189.0,0.9130434782608695
6,50,vehicle,medium,medium,307.0,0.9446153846153846
4,20,vehicle,medium,medium,218.0,0.8790322580645161
6,147,vehicle,medium,medium,171.0,0.8260869565217391
4,51,vehicle,medium,medium,212.0,0.8833333333333333
6,202,vehicle,medium,medium,503.0,0.8642611683848798
6,145,vehicle,medium,medium,217.0,0.857707509881423
6,192,vehicle,medium,medium,168.0,0.8115942028985508
4,33,vehicle,medium,medium,236.0,0.921875
4,81,vehicle,medium,medium,281.0,0.9093851132686084
6,143,vehicle,medium,medium,177.0,0.855072463768116
6,142,vehicle,medium,medium,204.0,0.9147982062780269
4,6,vehicle,medium,medium,213.0,0.8875
4,55,vehicle,medium,medium,292.0,0.7807486631016043
6,42,vehicle,medium,medium,171.0,0.8260869565217391
4,197,vehicle,medium,medium,207.0,0.8181818181818182
4,73,vehicle,medium,medium,288.0,0.8545994065281899
6,40,vehicle,medium,medium,191.0,0.9227053140096618
4,89,vehicle,medium,medium,345.0,0.8253588516746412
6,33,vehicle,medium,medium,226.0,0.8828125
4,202,vehicle,medium,medium,478.0,0.8213058419243986
4,166,vehicle,medium,medium,283.0,0.9278688524590164
6,16,vehicle,medium,medium,310.0,0.8115183246073299
6,133,vehicle,medium,medium,234.0,0.8764044943820225
6,32,vehicle,medium,medium,198.0,0.868421052631579
4,158,vehicle,medium,medium,244.0,0.8531468531468531
6,25,vehicle,medium,medium,252.0,0.863013698630137
6,83,vehicle,medium,medium,279.0,0.8913738019169329
6,24,vehicle,medium,medium,199.0,0.9567307692307693
4,215,vehicle,medium,medium,243.0,0.9418604651162791
6,75,vehicle,medium,medium,238.0,0.85
6,20,vehicle,medium,medium,220.0,0.8870967741935484
4,40,vehicle,medium,medium,212.0,0.8833333333333333
4,214,vehicle,medium,medium,454.0,0.8470149253731343
6,73,vehicle,medium,medium,272.0,0.8071216617210683
6,81,vehicle,medium,medium,264.0,0.8543689320388349
6,19,vehicle,medium,medium,188.0,0.9082125603864735
4,24,vehicle,medium,medium,206.0,0.8583333333333333
6,72,vehicle,medium,medium,261.0,0.7981651376146789
4,17,vehicle,medium,medium,256.0,0.89198606271777
4,210,vehicle,medium,medium,211.0,0.8791666666666667
6,70,vehicle,medium,medium,187.0,0.9033816425120773
4,207,vehicle,medium,medium,287.0,0.8723404255319149
4,203,vehicle,medium,medium,220.0,0.9166666666666666
6,66,vehicle,medium,medium,195.0,0.9420289855072463
4,16,vehicle,medium,medium,318.0,0.8324607329842932
6,84,vehicle,medium,medium,223.0,0.8884462151394422
4,206,vehicle,medium,medium,218.0,0.8164794007490637
6,62,vehicle,medium,medium,184.0,0.8888888888888888
4,133,vehicle,medium,medium,252.0,0.9438202247191011
6,117,vehicle,medium,medium,220.0,0.9053497942386831
6,61,vehicle,medium,medium,179.0,0.8564593301435407
4,91,vehicle,medium,medium,222.0,0.925
6,53,vehicle,medium,medium,172.0,0.8309178743961353
6,115,vehicle,medium,medium,240.0,0.8362369337979094
6,197,vehicle,medium,medium,219.0,0.8656126482213439
6,58,vehicle,medium,medium,175.0,0.8454106280193237
6,57,vehicle,medium,medium,194.0,0.9371980676328503
6,17,vehicle,medium,medium,253.0,0.8815331010452961
6,108,vehicle,medium,medium,181.0,0.8743961352657005
6,55,vehicle,medium,medium,314.0,0.839572192513369
4,32,vehicle,medium,medium,207.0,0.8625
6,105,vehicle,medium,medium,193.0,0.9323671497584541
6,54,vehicle,medium,medium,161.0,0.7777777777777778
4,192,vehicle,medium,medium,194.0,0.8083333333333333
4,54,vehicle,medium,medium,210.0,0.875
4,18,vehicle,medium,medium,252.0,0.8344370860927153
4,151,vehicle,medium,medium,570.0,0.8990536277602523
6,97,vehicle,medium,medium,238.0,0.85
4,70,vehicle,medium,medium,218.0,0.9083333333333333
4,191,vehicle,medium,medium,224.0,0.9068825910931174
4,117,vehicle,medium,medium,224.0,0.9218106995884774
4,53,vehicle,medium,medium,213.0,0.8875
4,147,vehicle,medium,medium,214.0,0.8916666666666667
6,91,vehicle,medium,medium,204.0,0.9107142857142857
4,66,vehicle,medium,medium,233.0,0.9708333333333333
4,25,vehicle,medium,medium,268.0,0.9178082191780822
4,190,vehicle,medium,medium,210.0,0.875
4,115,vehicle,medium,medium,253.0,0.8815331010452961
6,51,vehicle,medium,medium,178.0,0.8599033816425121
4,57,vehicle,medium,medium,217.0,0.9041666666666667
4,145,vehicle,medium,medium,228.0,0.9011857707509882
6,89,vehicle,medium,medium,358.0,0.8564593301435407
4,62,vehicle,medium,medium,217.0,0.9041666666666667
6,191,vehicle,medium,medium,203.0,0.8218623481781376
4,143,vehicle,medium,medium,209.0,0.8708333333333333
6,88,vehicle,medium,medium,181.0,0.8743961352657005
4,42,vehicle,medium,medium,204.0,0.85
4,171,vehicle,medium,medium,242.0,0.8581560283687943
4,108,vehicle,medium,medium,219.0,0.9125
4,72,vehicle,medium,medium,267.0,0.8165137614678899
4,61,vehicle,medium,medium,214.0,0.8916666666666667
6,190,vehicle,medium,medium,171.0,0.8260869565217391
4,97,vehicle,medium,medium,236.0,0.8428571428571429
4,142,vehicle,medium,medium,223.0,0.9291666666666667
6,135,vehicle,medium,medium,244.0,0.8384879725085911
4,169,vehicle,medium,medium,203.0,0.8458333333333333
4,88,vehicle,medium,medium,218.0,0.9083333333333333
4,135,vehicle,medium,medium,244.0,0.8384879725085911
4,105,vehicle,medium,medium,220.0,0.9166666666666666
4,84,vehicle,medium,medium,218.0,0.8685258964143426
4,19,vehicle,medium,medium,216.0,0.9
6,171,vehicle,medium,medium,235.0,0.8333333333333334
4,50,vehicle,medium,medium,294.0,0.9046153846153846
6,215,vehicle,medium,medium,230.0,0.8914728682170543
4,83,vehicle,medium,medium,269.0,0.8594249201277955
6,169,vehicle,medium,medium,170.0,0.821256038647343
4,58,vehicle,medium,medium,201.0,0.8375
6,214,vehicle,medium,medium,469.0,0.875
6,18,vehicle,medium,medium,265.0,0.8774834437086093
6,168,vehicle,medium,medium,232.0,0.9169960474308301
4,168,vehicle,medium,medium,226.0,0.8932806324110671
6,166,vehicle,medium,medium,283.0,0.9278688524590164
6,210,vehicle,medium,medium,185.0,0.893719806763285
6,158,vehicle,medium,medium,233.0,0.8146853146853147
4,75,vehicle,medium,medium,237.0,0.8464285714285714
16,42,vehicle,medium,medium,340.0,0.8900523560209425
16,53,vehicle,medium,medium,315.0,0.824607329842932
16,19,vehicle,medium,medium,309.0,0.8089005235602095
16,40,vehicle,medium,medium,324.0,0.8481675392670157
16,66,vehicle,medium,medium,359.0,0.9397905759162304
16,24,vehicle,medium,medium,330.0,0.8638743455497382
16,62,vehicle,medium,medium,337.0,0.8821989528795812
16,51,vehicle,medium,medium,328.0,0.8586387434554974
16,32,vehicle,medium,medium,271.0,0.7094240837696335
16,33,vehicle,medium,medium,333.0,0.8717277486910995
16,17,vehicle,medium,medium,305.0,0.7984293193717278
16,25,vehicle,medium,medium,337.0,0.8821989528795812
16,57,vehicle,medium,medium,326.0,0.8534031413612565
16,70,vehicle,medium,medium,329.0,0.8612565445026178
16,50,vehicle,medium,medium,363.0,0.9502617801047121
16,54,vehicle,medium,medium,323.0,0.8455497382198953
16,20,vehicle,medium,medium,307.0,0.8036649214659686
16,58,vehicle,medium,medium,304.0,0.7958115183246073
16,88,vehicle,medium,medium,339.0,0.887434554973822
16,108,vehicle,medium,medium,349.0,0.9136125654450262
16,18,vehicle,medium,medium,304.0,0.7958115183246073
16,61,vehicle,medium,medium,305.0,0.7984293193717278
16,105,vehicle,medium,medium,324.0,0.8481675392670157
16,84,vehicle,medium,medium,314.0,0.8219895287958116
16,75,vehicle,medium,medium,343.0,0.8979057591623036
16,55,vehicle,medium,medium,320.0,0.837696335078534
16,72,vehicle,medium,medium,329.0,0.8612565445026178
16,91,vehicle,medium,medium,302.0,0.7905759162303665
16,81,vehicle,medium,medium,306.0,0.8010471204188482
16,73,vehicle,medium,medium,331.0,0.8664921465968587
16,143,vehicle,medium,medium,319.0,0.8350785340314136
16,117,vehicle,medium,medium,309.0,0.8089005235602095
16,83,vehicle,medium,medium,310.0,0.8115183246073299
16,97,vehicle,medium,medium,330.0,0.8638743455497382
16,147,vehicle,medium,medium,310.0,0.8115183246073299
16,190,vehicle,medium,medium,318.0,0.8324607329842932
16,115,vehicle,medium,medium,327.0,0.856020942408377
16,155,vehicle,medium,medium,313.0,0.819371727748691
16,169,vehicle,medium,medium,308.0,0.806282722513089
16,203,vehicle,medium,medium,355.0,0.9293193717277487
16,142,vehicle,medium,medium,320.0,0.837696335078534
16,135,vehicle,medium,medium,330.0,0.8638743455497382
16,145,vehicle,medium,medium,312.0,0.8167539267015707
16,133,vehicle,medium,medium,303.0,0.7931937172774869
16,192,vehicle,medium,medium,322.0,0.8429319371727748
16,168,vehicle,medium,medium,332.0,0.8691099476439791
16,158,vehicle,medium,medium,309.0,0.8089005235602095
16,89,vehicle,medium,medium,388.0,0.9282296650717703
16,171,vehicle,medium,medium,326.0,0.8534031413612565
16,166,vehicle,medium,medium,343.0,0.8979057591623036
16,210,vehicle,medium,medium,316.0,0.8272251308900523
16,191,vehicle,medium,medium,308.0,0.806282722513089
17,19,vehicle,medium,medium,243.0,0.8466898954703833
16,197,vehicle,medium,medium,306.0,0.8010471204188482
17,24,vehicle,medium,medium,252.0,0.8780487804878049
17,42,vehicle,medium,medium,251.0,0.8745644599303136
17,51,vehicle,medium,medium,238.0,0.8292682926829268
16,206,vehicle,medium,medium,307.0,0.8036649214659686
17,32,vehicle,medium,medium,238.0,0.8292682926829268
17,40,vehicle,medium,medium,236.0,0.8222996515679443
17,25,vehicle,medium,medium,262.0,0.8972602739726028
17,20,vehicle,medium,medium,245.0,0.8536585365853658
17,18,vehicle,medium,medium,251.0,0.8311258278145696
17,53,vehicle,medium,medium,243.0,0.8466898954703833
17,66,vehicle,medium,medium,263.0,0.9163763066202091
17,54,vehicle,medium,medium,251.0,0.8745644599303136
16,207,vehicle,medium,medium,298.0,0.7801047120418848
17,62,vehicle,medium,medium,252.0,0.8780487804878049
16,215,vehicle,medium,medium,331.0,0.8664921465968587
17,57,vehicle,medium,medium,242.0,0.8432055749128919
17,58,vehicle,medium,medium,250.0,0.8710801393728222
17,70,vehicle,medium,medium,256.0,0.89198606271777
17,33,vehicle,medium,medium,258.0,0.8989547038327527
17,61,vehicle,medium,medium,236.0,0.8222996515679443
17,88,vehicle,medium,medium,251.0,0.8745644599303136
17,50,vehicle,medium,medium,309.0,0.9507692307692308
17,55,vehicle,medium,medium,324.0,0.8663101604278075
17,108,vehicle,medium,medium,256.0,0.89198606271777
17,105,vehicle,medium,medium,248.0,0.8641114982578397
17,84,vehicle,medium,medium,247.0,0.8606271777003485
16,214,vehicle,medium,medium,469.0,0.875
17,91,vehicle,medium,medium,235.0,0.818815331010453
17,72,vehicle,medium,medium,291.0,0.8899082568807339
17,81,vehicle,medium,medium,276.0,0.8932038834951457
17,75,vehicle,medium,medium,274.0,0.9547038327526133
17,83,vehicle,medium,medium,278.0,0.8881789137380192
17,97,vehicle,medium,medium,261.0,0.9094076655052264
16,151,vehicle,medium,medium,560.0,0.8832807570977917
17,117,vehicle,medium,medium,246.0,0.8571428571428571
17,143,vehicle,medium,medium,240.0,0.8362369337979094
17,73,vehicle,medium,medium,306.0,0.9080118694362018
16,202,vehicle,medium,medium,500.0,0.8591065292096219
17,147,vehicle,medium,medium,236.0,0.8222996515679443
17,190,vehicle,medium,medium,237.0,0.8257839721254355
