exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score
5,96,vehicle,none,none,182.0,0.7398373983739838
93,163,vehicle,none,none,167.0,0.9226519337016574
12,110,vehicle,none,none,308.0,0.8105263157894737
3,5,vehicle,none,none,172.0,0.945054945054945
59,154,vehicle,none,none,378.0,0.8790697674418605
30,141,vehicle,none,none,193.0,0.8539823008849557
12,116,vehicle,none,none,295.0,0.7763157894736842
59,163,vehicle,none,none,231.0,0.8191489361702128
59,141,vehicle,none,none,237.0,0.8404255319148937
36,106,vehicle,none,none,175.0,0.8974358974358975
28,201,vehicle,none,none,98.0,0.8672566371681416
12,141,vehicle,none,none,311.0,0.8184210526315789
12,30,vehicle,none,none,308.0,0.8105263157894737
5,59,vehicle,none,none,255.0,0.9042553191489362
5,163,vehicle,none,none,169.0,0.9337016574585635
5,189,vehicle,none,none,134.0,0.8121212121212121
28,204,vehicle,none,none,104.0,0.9203539823008849
12,36,vehicle,none,none,339.0,0.8921052631578947
3,30,vehicle,none,none,153.0,0.8406593406593407
12,163,vehicle,none,none,315.0,0.8289473684210527
3,59,vehicle,none,none,256.0,0.9078014184397163
3,12,vehicle,none,none,295.0,0.7763157894736842
12,189,vehicle,none,none,312.0,0.8210526315789474
12,181,vehicle,none,none,315.0,0.8289473684210527
93,154,vehicle,none,none,403.0,0.9372093023255814
5,181,vehicle,none,none,133.0,0.806060606060606
12,196,vehicle,none,none,351.0,0.8841309823677582
3,93,vehicle,none,none,166.0,0.9120879120879121
3,28,vehicle,none,none,138.0,0.7582417582417582
12,201,vehicle,none,none,325.0,0.8552631578947368
12,154,vehicle,none,none,378.0,0.8790697674418605
96,189,vehicle,none,none,188.0,0.7642276422764228
30,163,vehicle,none,none,158.0,0.8729281767955801
12,204,vehicle,none,none,365.0,0.9605263157894737
3,96,vehicle,none,none,218.0,0.8861788617886179
96,181,vehicle,none,none,191.0,0.7764227642276422
12,211,vehicle,none,none,318.0,0.8368421052631579
5,154,vehicle,none,none,376.0,0.8744186046511628
3,189,vehicle,none,none,139.0,0.7637362637362637
