exp_a,exp_b,stimulus,expertise_a,expertise_b,distance,score,source_file
48,69,vehicle,high,high,259.0,0.819620253164557,Java_high_results.csv
69,118,vehicle,high,high,256.0,0.810126582278481,Java_high_results.csv
1,68,vehicle,high,high,134.0,0.8481012658227848,Java_high_results.csv
80,118,vehicle,high,high,101.0,0.8859649122807017,Java_high_results.csv
118,178,vehicle,high,high,128.0,0.8,Java_high_results.csv
26,68,vehicle,high,high,172.0,0.9502762430939228,Java_high_results.csv
1,26,vehicle,high,high,160.0,0.8839779005524862,Java_high_results.csv
68,86,vehicle,high,high,252.0,0.8689655172413793,Java_high_results.csv
86,87,vehicle,high,high,254.0,0.8758620689655172,Java_high_results.csv
69,87,vehicle,high,high,274.0,0.8670886075949367,Java_high_results.csv
48,87,vehicle,high,high,203.0,0.8055555555555556,Java_high_results.csv
1,87,vehicle,high,high,220.0,0.873015873015873,Java_high_results.csv
80,87,vehicle,high,high,231.0,0.9166666666666666,Java_high_results.csv
68,82,vehicle,high,high,209.0,0.836,Java_high_results.csv
1,82,vehicle,high,high,202.0,0.808,Java_high_results.csv
69,86,vehicle,high,high,272.0,0.8607594936708861,Java_high_results.csv
48,86,vehicle,high,high,255.0,0.8793103448275862,Java_high_results.csv
26,118,vehicle,high,high,154.0,0.850828729281768,Java_high_results.csv
87,178,vehicle,high,high,208.0,0.8253968253968254,Java_high_results.csv
48,118,vehicle,high,high,159.0,0.795,Java_high_results.csv
1,80,vehicle,high,high,117.0,0.8796992481203008,Java_high_results.csv
68,80,vehicle,high,high,141.0,0.8924050632911392,Java_high_results.csv
69,178,vehicle,high,high,273.0,0.8639240506329114,Java_high_results.csv
69,82,vehicle,high,high,272.0,0.8607594936708861,Java_high_results.csv
48,82,vehicle,high,high,205.0,0.82,Java_high_results.csv
68,178,vehicle,high,high,141.0,0.88125,Java_high_results.csv
1,178,vehicle,high,high,136.0,0.85,Java_high_results.csv
82,118,vehicle,high,high,200.0,0.8,Java_high_results.csv
80,86,vehicle,high,high,264.0,0.9103448275862068,Java_high_results.csv
48,178,vehicle,high,high,171.0,0.855,Java_high_results.csv
82,178,vehicle,high,high,207.0,0.828,Java_high_results.csv
68,69,vehicle,high,high,259.0,0.819620253164557,Java_high_results.csv
26,178,vehicle,high,high,176.0,0.9723756906077348,Java_high_results.csv
1,118,vehicle,high,high,112.0,0.8421052631578947,Java_high_results.csv
26,86,vehicle,high,high,250.0,0.8620689655172413,Java_high_results.csv
69,80,vehicle,high,high,283.0,0.8955696202531646,Java_high_results.csv
48,68,vehicle,high,high,166.0,0.83,Java_high_results.csv
26,82,vehicle,high,high,209.0,0.836,Java_high_results.csv
82,87,vehicle,high,high,235.0,0.9325396825396826,Java_high_results.csv
26,80,vehicle,high,high,157.0,0.8674033149171271,Java_high_results.csv
86,118,vehicle,high,high,242.0,0.8344827586206897,Java_high_results.csv
1,48,vehicle,high,high,173.0,0.865,Java_high_results.csv
87,118,vehicle,high,high,211.0,0.8373015873015873,Java_high_results.csv
1,86,vehicle,high,high,238.0,0.8206896551724138,Java_high_results.csv
48,80,vehicle,high,high,179.0,0.895,Java_high_results.csv
82,86,vehicle,high,high,243.0,0.8379310344827586,Java_high_results.csv
26,48,vehicle,high,high,186.0,0.93,Java_high_results.csv
86,178,vehicle,high,high,258.0,0.8896551724137931,Java_high_results.csv
80,178,vehicle,high,high,148.0,0.925,Java_high_results.csv
26,87,vehicle,high,high,223.0,0.8849206349206349,Java_high_results.csv
68,87,vehicle,high,high,200.0,0.7936507936507936,Java_high_results.csv
80,82,vehicle,high,high,226.0,0.904,Java_high_results.csv
