exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
16,26,Beginner,Beginner,r2,r2,c2,c2,0.5804195804195804
16,29,Beginner,Beginner,r2,r2,c2,c2,0.6796875
16,36,Beginner,Beginner,r2,r2,c2,c2,0.6153846153846154
16,46,Beginner,Beginner,r2,r2,c2,c2,0.6587301587301587
24,25,Beginner,Beginner,r2,r2,c3,c3,0.59375
24,27,Beginner,Beginner,r2,r2,c3,c3,0.6590909090909091
24,28,Beginner,Beginner,r2,r2,c3,c3,0.712
24,33,Beginner,Beginner,r2,r2,c3,c3,0.6496350364963503
24,40,Beginner,Beginner,r2,r2,c3,c3,0.5797101449275363
24,41,Beginner,Beginner,r2,r2,c3,c3,0.808
24,48,Beginner,Beginner,r2,r2,c3,c3,0.6666666666666666
24,52,Beginner,Beginner,r2,r2,c3,c3,0.816
25,27,Beginner,Beginner,r2,r2,c3,c3,0.64375
25,28,Beginner,Beginner,r2,r2,c3,c3,0.69375
25,33,Beginner,Beginner,r2,r2,c3,c3,0.65625
25,40,Beginner,Beginner,r2,r2,c3,c3,0.6
25,41,Beginner,Beginner,r2,r2,c3,c3,0.7375
25,48,Beginner,Beginner,r2,r2,c3,c3,0.65
25,52,Beginner,Beginner,r2,r2,c3,c3,0.74375
26,29,Beginner,Beginner,r2,r2,c2,c2,0.7062937062937062
26,46,Beginner,Beginner,r2,r2,c2,c2,0.5944055944055944
27,28,Beginner,Beginner,r2,r2,c3,c3,0.5909090909090909
27,33,Beginner,Beginner,r2,r2,c3,c3,0.7226277372262774
27,40,Beginner,Beginner,r2,r2,c3,c3,0.7101449275362319
27,41,Beginner,Beginner,r2,r2,c3,c3,0.7121212121212122
27,48,Beginner,Beginner,r2,r2,c3,c3,0.6601307189542484
27,52,Beginner,Beginner,r2,r2,c3,c3,0.6742424242424242
28,33,Beginner,Beginner,r2,r2,c3,c3,0.635036496350365
28,40,Beginner,Beginner,r2,r2,c3,c3,0.6159420289855072
28,41,Beginner,Beginner,r2,r2,c3,c3,0.6991869918699187
28,48,Beginner,Beginner,r2,r2,c3,c3,0.5751633986928104
28,52,Beginner,Beginner,r2,r2,c3,c3,0.660377358490566
29,36,Beginner,Beginner,r2,r2,c2,c2,0.78125
29,46,Beginner,Beginner,r2,r2,c2,c2,0.7421875
30,37,Beginner,Beginner,r2,r2,c1,c1,0.6739130434782609
30,38,Beginner,Beginner,r2,r2,c1,c1,0.7028985507246377
30,39,Beginner,Beginner,r2,r2,c1,c1,0.644927536231884
30,43,Beginner,Beginner,r2,r2,c1,c1,0.7246376811594203
30,50,Beginner,Beginner,r2,r2,c1,c1,0.5942028985507246
30,9,Beginner,Beginner,r2,r2,c1,c1,0.7323943661971831
33,40,Beginner,Beginner,r2,r2,c3,c3,0.6884057971014492
33,52,Beginner,Beginner,r2,r2,c3,c3,0.6715328467153284
36,46,Beginner,Beginner,r2,r2,c2,c2,0.5793650793650794
37,38,Beginner,Beginner,r2,r2,c1,c1,0.6293103448275862
37,39,Beginner,Beginner,r2,r2,c1,c1,0.5327868852459017
37,43,Beginner,Beginner,r2,r2,c1,c1,0.5867768595041323
37,47,Beginner,Beginner,r2,r2,c1,c1,0.6694915254237288
37,50,Beginner,Beginner,r2,r2,c1,c1,0.5555555555555556
37,9,Beginner,Beginner,r2,r2,c1,c1,0.6338028169014085
38,39,Beginner,Beginner,r2,r2,c1,c1,0.6229508196721312
38,43,Beginner,Beginner,r2,r2,c1,c1,0.6033057851239669
38,47,Beginner,Beginner,r2,r2,c1,c1,0.635593220338983
38,50,Beginner,Beginner,r2,r2,c1,c1,0.6592592592592592
38,9,Beginner,Beginner,r2,r2,c1,c1,0.676056338028169
39,43,Beginner,Beginner,r2,r2,c1,c1,0.680327868852459
39,47,Beginner,Beginner,r2,r2,c1,c1,0.6147540983606558
39,50,Beginner,Beginner,r2,r2,c1,c1,0.5925925925925926
39,9,Beginner,Beginner,r2,r2,c1,c1,0.7112676056338029
40,41,Beginner,Beginner,r2,r2,c3,c3,0.8188405797101449
40,48,Beginner,Beginner,r2,r2,c3,c3,0.5947712418300654
40,52,Beginner,Beginner,r2,r2,c3,c3,0.7681159420289855
41,48,Beginner,Beginner,r2,r2,c3,c3,0.738562091503268
41,52,Beginner,Beginner,r2,r2,c3,c3,0.6341463414634146
43,47,Beginner,Beginner,r2,r2,c1,c1,0.628099173553719
43,9,Beginner,Beginner,r2,r2,c1,c1,0.6267605633802817
47,50,Beginner,Beginner,r2,r2,c1,c1,0.6518518518518519
47,9,Beginner,Beginner,r2,r2,c1,c1,0.6830985915492958
50,9,Beginner,Beginner,r2,r2,c1,c1,0.6690140845070423
