exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score,source_file
16,24,Beginner,Beginner,r1,r1,c1,c1,0.7380952380952381,Beginner_r1_result.csv
16,27,Beginner,Beginner,r1,r1,c1,c1,0.7,Beginner_r1_result.csv
16,33,Beginner,Beginner,r1,r1,c1,c1,0.7933333333333333,Beginner_r1_result.csv
16,36,Beginner,Beginner,r1,r1,c1,c1,0.8412698412698413,Beginner_r1_result.csv
16,40,Beginner,Beginner,r1,r1,c1,c1,0.9037037037037036,Beginner_r1_result.csv
24,27,Beginner,Beginner,r1,r1,c1,c1,0.7133333333333334,Beginner_r1_result.csv
24,33,Beginner,Beginner,r1,r1,c1,c1,0.7333333333333333,Beginner_r1_result.csv
24,36,Beginner,Beginner,r1,r1,c1,c1,0.8067226890756303,Beginner_r1_result.csv
24,40,Beginner,Beginner,r1,r1,c1,c1,0.8074074074074075,Beginner_r1_result.csv
25,28,Beginner,Beginner,r1,r1,c2,c2,0.7012987012987013,Beginner_r1_result.csv
25,37,Beginner,Beginner,r1,r1,c2,c2,0.6948051948051948,Beginner_r1_result.csv
25,38,Beginner,Beginner,r1,r1,c2,c2,0.8376623376623377,Beginner_r1_result.csv
25,41,Beginner,Beginner,r1,r1,c2,c2,0.7272727272727273,Beginner_r1_result.csv
25,43,Beginner,Beginner,r1,r1,c2,c2,0.6168831168831169,Beginner_r1_result.csv
25,47,Beginner,Beginner,r1,r1,c2,c2,0.6883116883116883,Beginner_r1_result.csv
25,48,Beginner,Beginner,r1,r1,c2,c2,0.7484276729559748,Beginner_r1_result.csv
25,52,Beginner,Beginner,r1,r1,c2,c2,0.7662337662337663,Beginner_r1_result.csv
26,29,Beginner,Beginner,r1,r1,c3,c3,0.6602564102564102,Beginner_r1_result.csv
26,30,Beginner,Beginner,r1,r1,c3,c3,0.782051282051282,Beginner_r1_result.csv
26,39,Beginner,Beginner,r1,r1,c3,c3,0.6987179487179487,Beginner_r1_result.csv
26,46,Beginner,Beginner,r1,r1,c3,c3,0.7243589743589743,Beginner_r1_result.csv
26,9,Beginner,Beginner,r1,r1,c3,c3,0.7435897435897436,Beginner_r1_result.csv
27,33,Beginner,Beginner,r1,r1,c1,c1,0.82,Beginner_r1_result.csv
27,36,Beginner,Beginner,r1,r1,c1,c1,0.8666666666666667,Beginner_r1_result.csv
27,40,Beginner,Beginner,r1,r1,c1,c1,0.8066666666666666,Beginner_r1_result.csv
28,37,Beginner,Beginner,r1,r1,c2,c2,0.743801652892562,Beginner_r1_result.csv
28,38,Beginner,Beginner,r1,r1,c2,c2,0.7570093457943925,Beginner_r1_result.csv
28,41,Beginner,Beginner,r1,r1,c2,c2,0.8217054263565892,Beginner_r1_result.csv
28,43,Beginner,Beginner,r1,r1,c2,c2,0.7723577235772358,Beginner_r1_result.csv
28,47,Beginner,Beginner,r1,r1,c2,c2,0.5983606557377049,Beginner_r1_result.csv
28,48,Beginner,Beginner,r1,r1,c2,c2,0.710691823899371,Beginner_r1_result.csv
28,50,Beginner,Beginner,r1,r1,c2,c2,0.5700934579439252,Beginner_r1_result.csv
28,52,Beginner,Beginner,r1,r1,c2,c2,0.7410714285714286,Beginner_r1_result.csv
29,30,Beginner,Beginner,r1,r1,c3,c3,0.773109243697479,Beginner_r1_result.csv
29,39,Beginner,Beginner,r1,r1,c3,c3,0.7014925373134329,Beginner_r1_result.csv
29,46,Beginner,Beginner,r1,r1,c3,c3,0.7235772357723578,Beginner_r1_result.csv
29,9,Beginner,Beginner,r1,r1,c3,c3,0.7448275862068966,Beginner_r1_result.csv
30,39,Beginner,Beginner,r1,r1,c3,c3,0.753731343283582,Beginner_r1_result.csv
30,46,Beginner,Beginner,r1,r1,c3,c3,0.7154471544715447,Beginner_r1_result.csv
30,9,Beginner,Beginner,r1,r1,c3,c3,0.7517241379310344,Beginner_r1_result.csv
33,36,Beginner,Beginner,r1,r1,c1,c1,0.8733333333333333,Beginner_r1_result.csv
36,40,Beginner,Beginner,r1,r1,c1,c1,0.8740740740740741,Beginner_r1_result.csv
37,38,Beginner,Beginner,r1,r1,c2,c2,0.8099173553719008,Beginner_r1_result.csv
37,41,Beginner,Beginner,r1,r1,c2,c2,0.7596899224806202,Beginner_r1_result.csv
37,43,Beginner,Beginner,r1,r1,c2,c2,0.7967479674796748,Beginner_r1_result.csv
37,47,Beginner,Beginner,r1,r1,c2,c2,0.7295081967213115,Beginner_r1_result.csv
37,48,Beginner,Beginner,r1,r1,c2,c2,0.6981132075471698,Beginner_r1_result.csv
37,52,Beginner,Beginner,r1,r1,c2,c2,0.8925619834710744,Beginner_r1_result.csv
38,41,Beginner,Beginner,r1,r1,c2,c2,0.8604651162790697,Beginner_r1_result.csv
38,43,Beginner,Beginner,r1,r1,c2,c2,0.8617886178861789,Beginner_r1_result.csv
38,47,Beginner,Beginner,r1,r1,c2,c2,0.7622950819672131,Beginner_r1_result.csv
38,48,Beginner,Beginner,r1,r1,c2,c2,0.8490566037735849,Beginner_r1_result.csv
38,50,Beginner,Beginner,r1,r1,c2,c2,0.7373737373737373,Beginner_r1_result.csv
38,52,Beginner,Beginner,r1,r1,c2,c2,0.8035714285714286,Beginner_r1_result.csv
39,46,Beginner,Beginner,r1,r1,c3,c3,0.7611940298507462,Beginner_r1_result.csv
41,43,Beginner,Beginner,r1,r1,c2,c2,0.7441860465116279,Beginner_r1_result.csv
41,47,Beginner,Beginner,r1,r1,c2,c2,0.7984496124031008,Beginner_r1_result.csv
41,50,Beginner,Beginner,r1,r1,c2,c2,0.7829457364341085,Beginner_r1_result.csv
43,47,Beginner,Beginner,r1,r1,c2,c2,0.7642276422764228,Beginner_r1_result.csv
43,50,Beginner,Beginner,r1,r1,c2,c2,0.7398373983739838,Beginner_r1_result.csv
46,9,Beginner,Beginner,r1,r1,c3,c3,0.7172413793103448,Beginner_r1_result.csv
47,50,Beginner,Beginner,r1,r1,c2,c2,0.5819672131147541,Beginner_r1_result.csv
47,52,Beginner,Beginner,r1,r1,c2,c2,0.7540983606557377,Beginner_r1_result.csv
48,50,Beginner,Beginner,r1,r1,c2,c2,0.660377358490566,Beginner_r1_result.csv
48,52,Beginner,Beginner,r1,r1,c2,c2,0.8238993710691824,Beginner_r1_result.csv
50,52,Beginner,Beginner,r1,r1,c2,c2,0.7857142857142857,Beginner_r1_result.csv
16,26,Beginner,Beginner,r2,r2,c2,c2,0.5804195804195804,Beginner_r2_result.csv
16,29,Beginner,Beginner,r2,r2,c2,c2,0.6796875,Beginner_r2_result.csv
16,36,Beginner,Beginner,r2,r2,c2,c2,0.6153846153846154,Beginner_r2_result.csv
16,46,Beginner,Beginner,r2,r2,c2,c2,0.6587301587301587,Beginner_r2_result.csv
24,25,Beginner,Beginner,r2,r2,c3,c3,0.59375,Beginner_r2_result.csv
24,27,Beginner,Beginner,r2,r2,c3,c3,0.6590909090909091,Beginner_r2_result.csv
24,28,Beginner,Beginner,r2,r2,c3,c3,0.712,Beginner_r2_result.csv
24,33,Beginner,Beginner,r2,r2,c3,c3,0.6496350364963503,Beginner_r2_result.csv
24,40,Beginner,Beginner,r2,r2,c3,c3,0.5797101449275363,Beginner_r2_result.csv
24,41,Beginner,Beginner,r2,r2,c3,c3,0.808,Beginner_r2_result.csv
24,48,Beginner,Beginner,r2,r2,c3,c3,0.6666666666666666,Beginner_r2_result.csv
24,52,Beginner,Beginner,r2,r2,c3,c3,0.816,Beginner_r2_result.csv
25,27,Beginner,Beginner,r2,r2,c3,c3,0.64375,Beginner_r2_result.csv
25,28,Beginner,Beginner,r2,r2,c3,c3,0.69375,Beginner_r2_result.csv
25,33,Beginner,Beginner,r2,r2,c3,c3,0.65625,Beginner_r2_result.csv
25,40,Beginner,Beginner,r2,r2,c3,c3,0.6,Beginner_r2_result.csv
25,41,Beginner,Beginner,r2,r2,c3,c3,0.7375,Beginner_r2_result.csv
25,48,Beginner,Beginner,r2,r2,c3,c3,0.65,Beginner_r2_result.csv
25,52,Beginner,Beginner,r2,r2,c3,c3,0.74375,Beginner_r2_result.csv
26,29,Beginner,Beginner,r2,r2,c2,c2,0.7062937062937062,Beginner_r2_result.csv
26,46,Beginner,Beginner,r2,r2,c2,c2,0.5944055944055944,Beginner_r2_result.csv
27,28,Beginner,Beginner,r2,r2,c3,c3,0.5909090909090909,Beginner_r2_result.csv
27,33,Beginner,Beginner,r2,r2,c3,c3,0.7226277372262774,Beginner_r2_result.csv
27,40,Beginner,Beginner,r2,r2,c3,c3,0.7101449275362319,Beginner_r2_result.csv
27,41,Beginner,Beginner,r2,r2,c3,c3,0.7121212121212122,Beginner_r2_result.csv
27,48,Beginner,Beginner,r2,r2,c3,c3,0.6601307189542484,Beginner_r2_result.csv
27,52,Beginner,Beginner,r2,r2,c3,c3,0.6742424242424242,Beginner_r2_result.csv
28,33,Beginner,Beginner,r2,r2,c3,c3,0.635036496350365,Beginner_r2_result.csv
28,40,Beginner,Beginner,r2,r2,c3,c3,0.6159420289855072,Beginner_r2_result.csv
28,41,Beginner,Beginner,r2,r2,c3,c3,0.6991869918699187,Beginner_r2_result.csv
28,48,Beginner,Beginner,r2,r2,c3,c3,0.5751633986928104,Beginner_r2_result.csv
28,52,Beginner,Beginner,r2,r2,c3,c3,0.660377358490566,Beginner_r2_result.csv
29,36,Beginner,Beginner,r2,r2,c2,c2,0.78125,Beginner_r2_result.csv
29,46,Beginner,Beginner,r2,r2,c2,c2,0.7421875,Beginner_r2_result.csv
30,37,Beginner,Beginner,r2,r2,c1,c1,0.6739130434782609,Beginner_r2_result.csv
30,38,Beginner,Beginner,r2,r2,c1,c1,0.7028985507246377,Beginner_r2_result.csv
30,39,Beginner,Beginner,r2,r2,c1,c1,0.644927536231884,Beginner_r2_result.csv
30,43,Beginner,Beginner,r2,r2,c1,c1,0.7246376811594203,Beginner_r2_result.csv
