exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score,source_file
10,18,Intermediate,Intermediate,r1,r1,c1,c1,0.7375,r1_result.csv
10,31,Intermediate,Intermediate,r1,r1,c1,c1,0.775,r1_result.csv
10,32,Intermediate,Intermediate,r1,r1,c1,c1,0.73125,r1_result.csv
10,35,Intermediate,Intermediate,r1,r1,c1,c1,0.7875,r1_result.csv
10,51,Intermediate,Intermediate,r1,r1,c1,c1,0.74375,r1_result.csv
11,15,Intermediate,Intermediate,r1,r1,c3,c3,0.7883211678832117,r1_result.csv
11,19,Intermediate,Intermediate,r1,r1,c3,c3,0.708029197080292,r1_result.csv
11,20,Intermediate,Intermediate,r1,r1,c3,c3,0.8248175182481752,r1_result.csv
11,21,Intermediate,Intermediate,r1,r1,c3,c3,0.7591240875912408,r1_result.csv
11,22,Intermediate,Intermediate,r1,r1,c3,c3,0.8029197080291971,r1_result.csv
11,23,Intermediate,Intermediate,r1,r1,c3,c3,0.8467153284671532,r1_result.csv
11,44,Intermediate,Intermediate,r1,r1,c3,c3,0.7792207792207793,r1_result.csv
11,45,Intermediate,Intermediate,r1,r1,c3,c3,0.7872340425531915,r1_result.csv
12,13,Intermediate,Intermediate,r1,r1,c2,c2,0.8074074074074075,r1_result.csv
12,14,Intermediate,Intermediate,r1,r1,c2,c2,0.8571428571428571,r1_result.csv
12,17,Intermediate,Intermediate,r1,r1,c2,c2,0.8,r1_result.csv
12,34,Intermediate,Intermediate,r1,r1,c2,c2,0.825,r1_result.csv
12,42,Intermediate,Intermediate,r1,r1,c2,c2,0.7481481481481481,r1_result.csv
13,14,Intermediate,Intermediate,r1,r1,c2,c2,0.7428571428571429,r1_result.csv
13,17,Intermediate,Intermediate,r1,r1,c2,c2,0.6923076923076923,r1_result.csv
13,42,Intermediate,Intermediate,r1,r1,c2,c2,0.7844827586206896,r1_result.csv
14,17,Intermediate,Intermediate,r1,r1,c2,c2,0.8071428571428572,r1_result.csv
14,34,Intermediate,Intermediate,r1,r1,c2,c2,0.75625,r1_result.csv
