exp_a,exp_b,expertise_a,expertise_b,render_a,render_b,code_a,code_b,score
10,18,Intermediate,Intermediate,r1,r1,c1,c1,0.7375
10,31,Intermediate,Intermediate,r1,r1,c1,c1,0.775
10,32,Intermediate,Intermediate,r1,r1,c1,c1,0.73125
10,35,Intermediate,Intermediate,r1,r1,c1,c1,0.7875
10,51,Intermediate,Intermediate,r1,r1,c1,c1,0.74375
11,15,Intermediate,Intermediate,r1,r1,c3,c3,0.7883211678832117
11,19,Intermediate,Intermediate,r1,r1,c3,c3,0.708029197080292
11,20,Intermediate,Intermediate,r1,r1,c3,c3,0.8248175182481752
11,21,Intermediate,Intermediate,r1,r1,c3,c3,0.7591240875912408
11,22,Intermediate,Intermediate,r1,r1,c3,c3,0.8029197080291971
11,23,Intermediate,Intermediate,r1,r1,c3,c3,0.8467153284671532
11,44,Intermediate,Intermediate,r1,r1,c3,c3,0.7792207792207793
11,45,Intermediate,Intermediate,r1,r1,c3,c3,0.7872340425531915
12,13,Intermediate,Intermediate,r1,r1,c2,c2,0.8074074074074075
12,14,Intermediate,Intermediate,r1,r1,c2,c2,0.8571428571428571
12,17,Intermediate,Intermediate,r1,r1,c2,c2,0.8
12,34,Intermediate,Intermediate,r1,r1,c2,c2,0.825
12,42,Intermediate,Intermediate,r1,r1,c2,c2,0.7481481481481481
13,14,Intermediate,Intermediate,r1,r1,c2,c2,0.7428571428571429
13,17,Intermediate,Intermediate,r1,r1,c2,c2,0.6923076923076923
13,42,Intermediate,Intermediate,r1,r1,c2,c2,0.7844827586206896
14,17,Intermediate,Intermediate,r1,r1,c2,c2,0.8071428571428572
14,34,Intermediate,Intermediate,r1,r1,c2,c2,0.75625
14,42,Intermediate,Intermediate,r1,r1,c2,c2,0.6928571428571428
15,19,Intermediate,Intermediate,r1,r1,c3,c3,0.7195121951219512
15,20,Intermediate,Intermediate,r1,r1,c3,c3,0.7443609022556391
15,21,Intermediate,Intermediate,r1,r1,c3,c3,0.7058823529411765
15,22,Intermediate,Intermediate,r1,r1,c3,c3,0.6583333333333333
15,23,Intermediate,Intermediate,r1,r1,c3,c3,0.7664233576642335
15,45,Intermediate,Intermediate,r1,r1,c3,c3,0.8368794326241135
17,42,Intermediate,Intermediate,r1,r1,c2,c2,0.7413793103448276
18,31,Intermediate,Intermediate,r1,r1,c1,c1,0.8666666666666667
18,32,Intermediate,Intermediate,r1,r1,c1,c1,0.9
18,35,Intermediate,Intermediate,r1,r1,c1,c1,0.7835820895522388
18,51,Intermediate,Intermediate,r1,r1,c1,c1,0.7985074626865671
18,53,Intermediate,Intermediate,r1,r1,c1,c1,0.7579617834394905
19,20,Intermediate,Intermediate,r1,r1,c3,c3,0.7969924812030075
19,21,Intermediate,Intermediate,r1,r1,c3,c3,0.6176470588235294
19,22,Intermediate,Intermediate,r1,r1,c3,c3,0.65
19,23,Intermediate,Intermediate,r1,r1,c3,c3,0.8102189781021898
19,44,Intermediate,Intermediate,r1,r1,c3,c3,0.7467532467532467
20,21,Intermediate,Intermediate,r1,r1,c3,c3,0.7368421052631579
20,45,Intermediate,Intermediate,r1,r1,c3,c3,0.8297872340425532
21,22,Intermediate,Intermediate,r1,r1,c3,c3,0.6666666666666666
21,23,Intermediate,Intermediate,r1,r1,c3,c3,0.7956204379562044
21,44,Intermediate,Intermediate,r1,r1,c3,c3,0.7532467532467533
22,44,Intermediate,Intermediate,r1,r1,c3,c3,0.8051948051948052
23,45,Intermediate,Intermediate,r1,r1,c3,c3,0.8085106382978723
31,32,Intermediate,Intermediate,r1,r1,c1,c1,0.7714285714285715
31,51,Intermediate,Intermediate,r1,r1,c1,c1,0.7333333333333333
31,53,Intermediate,Intermediate,r1,r1,c1,c1,0.8280254777070064
32,35,Intermediate,Intermediate,r1,r1,c1,c1,0.8642857142857143
32,51,Intermediate,Intermediate,r1,r1,c1,c1,0.7928571428571428
32,53,Intermediate,Intermediate,r1,r1,c1,c1,0.7643312101910829
34,42,Intermediate,Intermediate,r1,r1,c2,c2,0.71875
35,51,Intermediate,Intermediate,r1,r1,c1,c1,0.7894736842105263
35,53,Intermediate,Intermediate,r1,r1,c1,c1,0.7770700636942676
44,45,Intermediate,Intermediate,r1,r1,c3,c3,0.7662337662337663
51,53,Intermediate,Intermediate,r1,r1,c1,c1,0.8407643312101911
10,16,Intermediate,Beginner,r1,r1,c1,c1,0.84375
10,24,Intermediate,Beginner,r1,r1,c1,c1,0.81875
10,33,Intermediate,Beginner,r1,r1,c1,c1,0.66875
10,36,Intermediate,Beginner,r1,r1,c1,c1,0.875
11,26,Intermediate,Beginner,r1,r1,c3,c3,0.7051282051282052
11,9,Intermediate,Beginner,r1,r1,c3,c3,0.7793103448275862
12,38,Intermediate,Beginner,r1,r1,c2,c2,0.8592592592592593
12,41,Intermediate,Beginner,r1,r1,c2,c2,0.9185185185185185
12,43,Intermediate,Beginner,r1,r1,c2,c2,0.7925925925925926
12,47,Intermediate,Beginner,r1,r1,c2,c2,0.8888888888888888
12,48,Intermediate,Beginner,r1,r1,c2,c2,0.7672955974842768
12,50,Intermediate,Beginner,r1,r1,c2,c2,0.7777777777777778
13,25,Intermediate,Beginner,r1,r1,c2,c2,0.7142857142857143
13,28,Intermediate,Beginner,r1,r1,c2,c2,0.7289719626168224
13,37,Intermediate,Beginner,r1,r1,c2,c2,0.7272727272727273
13,38,Intermediate,Beginner,r1,r1,c2,c2,0.8589743589743589
13,41,Intermediate,Beginner,r1,r1,c2,c2,0.7441860465116279
13,43,Intermediate,Beginner,r1,r1,c2,c2,0.7317073170731707
13,47,Intermediate,Beginner,r1,r1,c2,c2,0.7295081967213115
13,48,Intermediate,Beginner,r1,r1,c2,c2,0.7295597484276729
13,50,Intermediate,Beginner,r1,r1,c2,c2,0.7171717171717171
13,52,Intermediate,Beginner,r1,r1,c2,c2,0.8303571428571429
14,28,Intermediate,Beginner,r1,r1,c2,c2,0.6714285714285714
14,37,Intermediate,Beginner,r1,r1,c2,c2,0.6428571428571429
14,38,Intermediate,Beginner,r1,r1,c2,c2,0.8142857142857143
14,43,Intermediate,Beginner,r1,r1,c2,c2,0.7357142857142858
14,47,Intermediate,Beginner,r1,r1,c2,c2,0.6642857142857143
14,48,Intermediate,Beginner,r1,r1,c2,c2,0.660377358490566
14,50,Intermediate,Beginner,r1,r1,c2,c2,0.6857142857142857
14,52,Intermediate,Beginner,r1,r1,c2,c2,0.8428571428571429
15,26,Intermediate,Beginner,r1,r1,c3,c3,0.717948717948718
15,29,Intermediate,Beginner,r1,r1,c3,c3,0.6638655462184874
15,30,Intermediate,Beginner,r1,r1,c3,c3,0.7125
15,39,Intermediate,Beginner,r1,r1,c3,c3,0.6940298507462687
15,46,Intermediate,Beginner,r1,r1,c3,c3,0.7073170731707317
15,9,Intermediate,Beginner,r1,r1,c3,c3,0.7448275862068966
17,25,Intermediate,Beginner,r1,r1,c2,c2,0.8246753246753247
17,28,Intermediate,Beginner,r1,r1,c2,c2,0.794392523364486
17,37,Intermediate,Beginner,r1,r1,c2,c2,0.7520661157024794
17,38,Intermediate,Beginner,r1,r1,c2,c2,0.828125
17,41,Intermediate,Beginner,r1,r1,c2,c2,0.8294573643410853
17,43,Intermediate,Beginner,r1,r1,c2,c2,0.8130081300813008
17,47,Intermediate,Beginner,r1,r1,c2,c2,0.8114754098360656
17,48,Intermediate,Beginner,r1,r1,c2,c2,0.8301886792452831
17,50,Intermediate,Beginner,r1,r1,c2,c2,0.8181818181818182
17,52,Intermediate,Beginner,r1,r1,c2,c2,0.8035714285714286
18,16,Intermediate,Beginner,r1,r1,c1,c1,0.8208955223880597
18,24,Intermediate,Beginner,r1,r1,c1,c1,0.8656716417910447
18,33,Intermediate,Beginner,r1,r1,c1,c1,0.8533333333333334
18,36,Intermediate,Beginner,r1,r1,c1,c1,0.8582089552238806
19,29,Intermediate,Beginner,r1,r1,c3,c3,0.6470588235294118
19,30,Intermediate,Beginner,r1,r1,c3,c3,0.573170731707317
19,39,Intermediate,Beginner,r1,r1,c3,c3,0.6716417910447762
19,46,Intermediate,Beginner,r1,r1,c3,c3,0.7398373983739838
19,9,Intermediate,Beginner,r1,r1,c3,c3,0.6896551724137931
20,26,Intermediate,Beginner,r1,r1,c3,c3,0.7564102564102564
20,29,Intermediate,Beginner,r1,r1,c3,c3,0.7593984962406015
20,39,Intermediate,Beginner,r1,r1,c3,c3,0.835820895522388
20,9,Intermediate,Beginner,r1,r1,c3,c3,0.7655172413793103
21,26,Intermediate,Beginner,r1,r1,c3,c3,0.6858974358974359
21,29,Intermediate,Beginner,r1,r1,c3,c3,0.7563025210084033
21,39,Intermediate,Beginner,r1,r1,c3,c3,0.7313432835820896
21,46,Intermediate,Beginner,r1,r1,c3,c3,0.7967479674796748
21,9,Intermediate,Beginner,r1,r1,c3,c3,0.7034482758620689
22,26,Intermediate,Beginner,r1,r1,c3,c3,0.6282051282051282
22,29,Intermediate,Beginner,r1,r1,c3,c3,0.7583333333333333
22,39,Intermediate,Beginner,r1,r1,c3,c3,0.6865671641791045
22,46,Intermediate,Beginner,r1,r1,c3,c3,0.7642276422764228
22,9,Intermediate,Beginner,r1,r1,c3,c3,0.7241379310344828
23,26,Intermediate,Beginner,r1,r1,c3,c3,0.8525641025641025
23,39,Intermediate,Beginner,r1,r1,c3,c3,0.8540145985401459
23,9,Intermediate,Beginner,r1,r1,c3,c3,0.8068965517241379
31,16,Intermediate,Beginner,r1,r1,c1,c1,0.6518518518518519
31,24,Intermediate,Beginner,r1,r1,c1,c1,0.725925925925926
31,27,Intermediate,Beginner,r1,r1,c1,c1,0.74
31,36,Intermediate,Beginner,r1,r1,c1,c1,0.837037037037037
31,40,Intermediate,Beginner,r1,r1,c1,c1,0.9037037037037037
32,16,Intermediate,Beginner,r1,r1,c1,c1,0.7642857142857142
32,27,Intermediate,Beginner,r1,r1,c1,c1,0.8266666666666667
34,41,Intermediate,Beginner,r1,r1,c2,c2,0.69375
34,43,Intermediate,Beginner,r1,r1,c2,c2,0.78125
34,47,Intermediate,Beginner,r1,r1,c2,c2,0.76875
34,48,Intermediate,Beginner,r1,r1,c2,c2,0.75
34,50,Intermediate,Beginner,r1,r1,c2,c2,0.725
34,52,Intermediate,Beginner,r1,r1,c2,c2,0.85
35,24,Intermediate,Beginner,r1,r1,c1,c1,0.8421052631578947
35,27,Intermediate,Beginner,r1,r1,c1,c1,0.7066666666666667
35,33,Intermediate,Beginner,r1,r1,c1,c1,0.86
