exp_a,exp_b,stimulus,expertise_a,expertise_b,score
68,101,rectangle,high,low,0.779278358799796
68,99,rectangle,high,low,0.7424248621894257
68,94,rectangle,high,low,0.7742118554402369
68,79,rectangle,high,low,0.7664751004417968
68,78,rectangle,high,low,0.7516701435071163
68,77,rectangle,high,low,0.8288818970986881
68,74,rectangle,high,low,0.7922334864124339
68,71,rectangle,high,low,0.9061618456696415
68,67,rectangle,high,low,0.7753865409533541
68,37,rectangle,high,low,0.7443808444823559
48,37,rectangle,high,low,0.7693653967351914
68,65,rectangle,high,low,0.8854139997557575
68,35,rectangle,high,low,0.7762665937119386
68,64,rectangle,high,low,0.8328034134616805
68,34,rectangle,high,low,0.774100870016328
68,63,rectangle,high,low,0.7981042602533389
68,31,rectangle,high,low,0.7193966393212565
48,101,rectangle,high,low,0.7725561161829649
48,13,rectangle,high,low,0.8499290332343693
68,60,rectangle,high,low,0.7583254009682657
48,99,rectangle,high,low,0.8192793249285754
68,29,rectangle,high,low,0.7252476977296203
48,21,rectangle,high,low,0.8350980537456201
68,56,rectangle,high,low,0.7734488898997309
68,27,rectangle,high,low,0.8179892668411441
48,44,rectangle,high,low,0.8158958314500518
48,27,rectangle,high,low,0.8736400283570401
68,44,rectangle,high,low,0.7688492791177308
48,176,rectangle,high,low,0.8489634830775648
68,21,rectangle,high,low,0.784793456276829
48,29,rectangle,high,low,0.8158299182533586
68,13,rectangle,high,low,0.7694706255610289
48,31,rectangle,high,low,0.8058995976763424
48,34,rectangle,high,low,0.8321144980064725
68,43,rectangle,high,low,0.8087494968545718
48,208,rectangle,high,low,0.7740666479278092
48,35,rectangle,high,low,0.7944265901405746
48,200,rectangle,high,low,0.8602730533980161
48,186,rectangle,high,low,0.8065239813066128
48,164,rectangle,high,low,0.7583834943969038
48,56,rectangle,high,low,0.8517884783724063
48,162,rectangle,high,low,0.8662506953395978
48,94,rectangle,high,low,0.7743011174716506
48,41,rectangle,high,low,0.8176999435267156
48,182,rectangle,high,low,0.7898342138160955
48,60,rectangle,high,low,0.8147716756156786
48,140,rectangle,high,low,0.7451085854121008
48,180,rectangle,high,low,0.7878929988912611
48,63,rectangle,high,low,0.8458883200536637
68,41,rectangle,high,low,0.7663635420195831
48,43,rectangle,high,low,0.7895900173404398
48,64,rectangle,high,low,0.8397702929658625
48,138,rectangle,high,low,0.7694109975995156
48,65,rectangle,high,low,0.7953437673224072
48,132,rectangle,high,low,0.837674271002462
48,67,rectangle,high,low,0.8726060773512152
48,128,rectangle,high,low,0.7945794721040912
48,71,rectangle,high,low,0.8504563601956124
48,126,rectangle,high,low,0.8298231100576947
48,74,rectangle,high,low,0.7542444739031684
48,179,rectangle,high,low,0.8311111976520166
48,104,rectangle,high,low,0.8379541848004354
48,124,rectangle,high,low,0.7421287840186165
48,77,rectangle,high,low,0.8527071294577466
48,78,rectangle,high,low,0.7172752451814474
48,107,rectangle,high,low,0.8362204026636741
48,79,rectangle,high,low,0.779528676766037
68,180,rectangle,high,low,0.7801078534906246
68,138,rectangle,high,low,0.7610851795053997
68,107,rectangle,high,low,0.8095517110881889
68,164,rectangle,high,low,0.8229935692050377
68,162,rectangle,high,low,0.8221835520171299
68,104,rectangle,high,low,0.793369473956417
68,126,rectangle,high,low,0.7993056778266993
68,140,rectangle,high,low,0.7246375308777672
68,186,rectangle,high,low,0.7572774469647154
69,27,rectangle,high,low,0.8920353623540336
69,13,rectangle,high,low,0.7457584519848266
69,29,rectangle,high,low,0.7878847437499487
68,124,rectangle,high,low,0.7709530002616475
68,128,rectangle,high,low,0.7565844895142309
68,176,rectangle,high,low,0.8190008337898275
69,35,rectangle,high,low,0.7177851548576509
68,200,rectangle,high,low,0.7982759635486459
69,43,rectangle,high,low,0.8057771059297724
69,56,rectangle,high,low,0.7776038653431594
69,44,rectangle,high,low,0.7689673121459455
69,37,rectangle,high,low,0.8077907786200853
69,34,rectangle,high,low,0.7469729880830634
69,65,rectangle,high,low,0.9266067924273462
69,31,rectangle,high,low,0.7306240028757114
68,208,rectangle,high,low,0.7905894244740876
68,182,rectangle,high,low,0.7542894076994314
69,74,rectangle,high,low,0.7995398968761878
68,132,rectangle,high,low,0.8307743820183028
69,67,rectangle,high,low,0.8220169861411231
69,94,rectangle,high,low,0.8498163586773977
69,60,rectangle,high,low,0.7158735508344732
69,101,rectangle,high,low,0.842736220928249
69,99,rectangle,high,low,0.7937446999789936
69,71,rectangle,high,low,0.9183629607623108
69,78,rectangle,high,low,0.7693097547015794
69,21,rectangle,high,low,0.7956006129398108
69,79,rectangle,high,low,0.7642688385581751
69,124,rectangle,high,low,0.8177924285184834
69,140,rectangle,high,low,0.8203700502258372
69,77,rectangle,high,low,0.7958733638198179
69,138,rectangle,high,low,0.7696767225731271
69,128,rectangle,high,low,0.7523402175190228
69,180,rectangle,high,low,0.8107382576230987
68,179,rectangle,high,low,0.8493650597429312
69,63,rectangle,high,low,0.8219609111023896
69,162,rectangle,high,low,0.8079844005003829
80,13,rectangle,high,low,0.869249406695686
69,41,rectangle,high,low,0.7706737342824683
69,64,rectangle,high,low,0.8242738470060141
80,34,rectangle,high,low,0.8653666543656501
80,21,rectangle,high,low,0.8508502725433482
80,31,rectangle,high,low,0.8554719923255449
69,186,rectangle,high,low,0.7582797355881561
80,29,rectangle,high,low,0.8416240398148138
69,200,rectangle,high,low,0.8339113524833855
80,27,rectangle,high,low,0.8486318382554944
69,107,rectangle,high,low,0.8241226268167113
69,208,rectangle,high,low,0.8124944203916178
80,43,rectangle,high,low,0.8556372753905048
80,56,rectangle,high,low,0.8516352943316194
69,182,rectangle,high,low,0.780200399025079
80,44,rectangle,high,low,0.827510664570399
80,37,rectangle,high,low,0.8700206660198719
80,65,rectangle,high,low,0.846650081408218
69,132,rectangle,high,low,0.8361564660684063
80,71,rectangle,high,low,0.8367086110402234
80,74,rectangle,high,low,0.8172941795874833
80,41,rectangle,high,low,0.865124406649496
80,67,rectangle,high,low,0.8250166053324987
80,63,rectangle,high,low,0.8660400657683461
80,35,rectangle,high,low,0.8616863053590389
80,78,rectangle,high,low,0.8502698251033323
80,99,rectangle,high,low,0.797269314216274
80,79,rectangle,high,low,0.8570627323961948
80,101,rectangle,high,low,0.8287529406209773
69,164,rectangle,high,low,0.8343265388415326
80,60,rectangle,high,low,0.8481902696728701
80,107,rectangle,high,low,0.8930202162861577
80,77,rectangle,high,low,0.8811571240932425
69,104,rectangle,high,low,0.8194302968420527
80,104,rectangle,high,low,0.8649300233883822
80,126,rectangle,high,low,0.8540915136419693
80,140,rectangle,high,low,0.8201408793638258
80,138,rectangle,high,low,0.8664428803417809
80,94,rectangle,high,low,0.8274097964196488
80,164,rectangle,high,low,0.8387737322636183
80,124,rectangle,high,low,0.8342190707601903
69,176,rectangle,high,low,0.7930599423609233
80,132,rectangle,high,low,0.8944879970903488
69,126,rectangle,high,low,0.763769299987423
80,186,rectangle,high,low,0.85066328425249
80,200,rectangle,high,low,0.8582446136536598
82,27,rectangle,high,low,0.8740516404323335
80,180,rectangle,high,low,0.8374737872553477
80,179,rectangle,high,low,0.9087638409681646
80,176,rectangle,high,low,0.9031288434364749
80,208,rectangle,high,low,0.8645633950349821
80,64,rectangle,high,low,0.9008120967067066
82,29,rectangle,high,low,0.7738724187186269
80,128,rectangle,high,low,0.8286415843192229
82,43,rectangle,high,low,0.7924246207529615
82,21,rectangle,high,low,0.7837879213101018
82,34,rectangle,high,low,0.7689457711995976
82,56,rectangle,high,low,0.7360999373076365
82,31,rectangle,high,low,0.7553761559137581
82,65,rectangle,high,low,0.9030125833102012
80,162,rectangle,high,low,0.8705009041282081
82,71,rectangle,high,low,0.8962633513134947
82,41,rectangle,high,low,0.7800552804792688
82,74,rectangle,high,low,0.791615492704693
82,60,rectangle,high,low,0.7229533564463295
80,182,rectangle,high,low,0.8784897975570605
82,35,rectangle,high,low,0.7330095015435251
82,94,rectangle,high,low,0.815277916622644
82,37,rectangle,high,low,0.8041063442954134
82,78,rectangle,high,low,0.7166725844077362
82,101,rectangle,high,low,0.8257950245712807
82,77,rectangle,high,low,0.7999558286762337
82,107,rectangle,high,low,0.8279554879041165
82,138,rectangle,high,low,0.7783265228231815
82,104,rectangle,high,low,0.8110404961476188
82,79,rectangle,high,low,0.7333136548830664
82,44,rectangle,high,low,0.7428626828849503
82,140,rectangle,high,low,0.7702064852802718
82,99,rectangle,high,low,0.7542639784168534
82,126,rectangle,high,low,0.7685510028941113
82,67,rectangle,high,low,0.8015676493610442
82,13,rectangle,high,low,0.7640011506630575
82,180,rectangle,high,low,0.7573818026757121
82,162,rectangle,high,low,0.8023991457489575
82,164,rectangle,high,low,0.8142862739542384
82,132,rectangle,high,low,0.8403990524366188
82,186,rectangle,high,low,0.7367418438517506
82,128,rectangle,high,low,0.7485472904020829
82,63,rectangle,high,low,0.7966766616970978
69,179,rectangle,high,low,0.8053754630078983
82,124,rectangle,high,low,0.8000838094434058
82,176,rectangle,high,low,0.7926960650027384
82,179,rectangle,high,low,0.7956199011446268
82,200,rectangle,high,low,0.8296453983743824
82,182,rectangle,high,low,0.7826538822652596
86,29,rectangle,high,low,0.8625322392976884
86,35,rectangle,high,low,0.8547499501009214
82,64,rectangle,high,low,0.824328998430918
86,13,rectangle,high,low,0.8205408744144492
86,34,rectangle,high,low,0.8558880675784343
86,37,rectangle,high,low,0.8652106232191488
82,208,rectangle,high,low,0.7870734271038398
86,65,rectangle,high,low,0.9553657772207126
86,71,rectangle,high,low,0.9400406198574579
86,31,rectangle,high,low,0.8377689910138804
86,67,rectangle,high,low,0.8968272936644043
86,27,rectangle,high,low,0.9239147280720292
86,60,rectangle,high,low,0.8347244429910238
86,63,rectangle,high,low,0.8504663761070551
86,101,rectangle,high,low,0.8940564238378528
86,78,rectangle,high,low,0.8458452611507508
86,74,rectangle,high,low,0.9015873214054533
86,79,rectangle,high,low,0.8270232530142547
86,44,rectangle,high,low,0.874232055815795
86,107,rectangle,high,low,0.8596522425400742
86,104,rectangle,high,low,0.8778006686685629
86,124,rectangle,high,low,0.883965677187711
86,77,rectangle,high,low,0.8346996259780918
86,56,rectangle,high,low,0.8547719387908684
86,43,rectangle,high,low,0.9026812834771051
86,128,rectangle,high,low,0.8489455738854185
86,138,rectangle,high,low,0.8638347127614416
86,140,rectangle,high,low,0.8816229694864586
86,99,rectangle,high,low,0.8715151043965277
86,94,rectangle,high,low,0.9070540492592055
86,180,rectangle,high,low,0.8809609507020435
87,13,rectangle,high,low,0.7785333702567424
87,27,rectangle,high,low,0.8632529427864505
87,21,rectangle,high,low,0.7901880778883655
86,132,rectangle,high,low,0.8455150131816513
87,31,rectangle,high,low,0.7564781123222571
86,182,rectangle,high,low,0.8080588350240444
87,34,rectangle,high,low,0.7313142536249422
86,21,rectangle,high,low,0.8330548795181235
86,208,rectangle,high,low,0.8641795444493123
87,35,rectangle,high,low,0.7247559884742801
87,37,rectangle,high,low,0.744695171989298
87,56,rectangle,high,low,0.7886903242834694
87,44,rectangle,high,low,0.7789786549768977
87,29,rectangle,high,low,0.7504851594059998
87,65,rectangle,high,low,0.8873067566423137
87,41,rectangle,high,low,0.7782481156459806
87,43,rectangle,high,low,0.7941324878205117
87,74,rectangle,high,low,0.7628386403743496
86,41,rectangle,high,low,0.8503974000671607
87,60,rectangle,high,low,0.7496635431034833
87,67,rectangle,high,low,0.800020608394923
87,63,rectangle,high,low,0.7974939511656917
86,164,rectangle,high,low,0.8982143270195635
87,94,rectangle,high,low,0.7862443562389057
87,71,rectangle,high,low,0.9033161841760965
86,179,rectangle,high,low,0.7939293345867459
87,64,rectangle,high,low,0.802149970767664
87,101,rectangle,high,low,0.799978631818647
87,78,rectangle,high,low,0.7292230471983616
87,107,rectangle,high,low,0.8213377974143452
87,77,rectangle,high,low,0.8051922338569755
87,104,rectangle,high,low,0.8032594726150944
87,140,rectangle,high,low,0.7705597738202505
87,138,rectangle,high,low,0.7245589464298071
86,64,rectangle,high,low,0.838943151021246
87,126,rectangle,high,low,0.792444833004733
87,164,rectangle,high,low,0.791656669296448
87,162,rectangle,high,low,0.8115069046171866
87,180,rectangle,high,low,0.7924908299692092
87,99,rectangle,high,low,0.7655516515794796
87,128,rectangle,high,low,0.7612265307959214
87,132,rectangle,high,low,0.8265359053241429
86,162,rectangle,high,low,0.8647777536091765
87,182,rectangle,high,low,0.7752539354613696
86,126,rectangle,high,low,0.8053026306943694
87,200,rectangle,high,low,0.8217399418927558
87,124,rectangle,high,low,0.782468217771473
87,79,rectangle,high,low,0.7767704868417004
123,27,rectangle,high,low,0.8198035839807701
86,200,rectangle,high,low,0.8879618938994529
86,186,rectangle,high,low,0.8185309421509969
87,208,rectangle,high,low,0.7958708652866573
123,29,rectangle,high,low,0.8417139993584262
87,179,rectangle,high,low,0.8200198341514151
87,176,rectangle,high,low,0.8068356314302862
123,35,rectangle,high,low,0.8640048625015684
123,65,rectangle,high,low,0.8602248151392841
123,44,rectangle,high,low,0.8668089807982381
123,56,rectangle,high,low,0.9011277818006157
123,21,rectangle,high,low,0.846634728887176
123,71,rectangle,high,low,0.880365318925785
86,176,rectangle,high,low,0.8150332034968977
123,74,rectangle,high,low,0.8407393463845331
123,67,rectangle,high,low,0.8746729588777825
123,41,rectangle,high,low,0.870495627977108
123,31,rectangle,high,low,0.8306098313898086
123,43,rectangle,high,low,0.868086352392476
123,94,rectangle,high,low,0.8315285703596645
123,99,rectangle,high,low,0.8591542372329212
123,78,rectangle,high,low,0.836251225619655
87,186,rectangle,high,low,0.7411697835697084
123,79,rectangle,high,low,0.839334400342586
123,64,rectangle,high,low,0.8660632258286445
123,107,rectangle,high,low,0.8030608782943375
123,13,rectangle,high,low,0.8693336864000669
123,37,rectangle,high,low,0.8255854597245262
123,34,rectangle,high,low,0.8799654618523576
123,124,rectangle,high,low,0.7762003829657287
123,101,rectangle,high,low,0.810410579678584
123,104,rectangle,high,low,0.8160159385597937
123,140,rectangle,high,low,0.8436859892703222
123,138,rectangle,high,low,0.8145079056657075
123,126,rectangle,high,low,0.8438853327751304
123,60,rectangle,high,low,0.8695696188962925
123,164,rectangle,high,low,0.8407209855451503
178,27,rectangle,high,low,0.8152892625164226
123,63,rectangle,high,low,0.8277647579148665
123,132,rectangle,high,low,0.8382795453984332
123,200,rectangle,high,low,0.8451013604788424
123,128,rectangle,high,low,0.8621921417289132
178,29,rectangle,high,low,0.7506969422100274
123,77,rectangle,high,low,0.8729626340141856
178,13,rectangle,high,low,0.7838726440812446
123,180,rectangle,high,low,0.8331735334038499
123,208,rectangle,high,low,0.8230523010464427
178,35,rectangle,high,low,0.7846026572613571
178,21,rectangle,high,low,0.7740176029388847
123,176,rectangle,high,low,0.8789625239792156
123,179,rectangle,high,low,0.8740070100404633
178,34,rectangle,high,low,0.7601226977207044
178,56,rectangle,high,low,0.7763230393490483
178,65,rectangle,high,low,0.8711163814797274
123,162,rectangle,high,low,0.811305762585058
