exp_a,exp_b,stimulus,expertise_a,expertise_b,score
48,54,rectangle,high,medium,0.9102173788162499
48,33,rectangle,high,medium,0.8671412356100473
48,55,rectangle,high,medium,0.8536090400583868
48,57,rectangle,high,medium,0.7839123585818486
48,61,rectangle,high,medium,0.8339998408930929
48,62,rectangle,high,medium,0.8484789983661573
48,66,rectangle,high,medium,0.8566794430580802
48,73,rectangle,high,medium,0.794488592222506
48,40,rectangle,high,medium,0.8300906882388179
48,4,rectangle,high,medium,0.7967887574785405
48,6,rectangle,high,medium,0.8490815399995841
48,14,rectangle,high,medium,0.837519422245287
48,15,rectangle,high,medium,0.8472848534933973
48,16,rectangle,high,medium,0.7908563241673552
48,17,rectangle,high,medium,0.776023738992994
48,20,rectangle,high,medium,0.8003270310388528
48,24,rectangle,high,medium,0.7580698065104854
48,32,rectangle,high,medium,0.7485499763726386
48,25,rectangle,high,medium,0.8600847931546289
48,42,rectangle,high,medium,0.8288793224929897
48,51,rectangle,high,medium,0.7957384171132589
48,53,rectangle,high,medium,0.835506401894934
48,125,rectangle,high,medium,0.8414252568952519
48,81,rectangle,high,medium,0.785762601973479
48,105,rectangle,high,medium,0.8649415259610247
48,108,rectangle,high,medium,0.7556637416945753
48,91,rectangle,high,medium,0.8176258356923213
48,88,rectangle,high,medium,0.8244156920158111
48,121,rectangle,high,medium,0.8304307702460302
48,89,rectangle,high,medium,0.8384360442738309
48,120,rectangle,high,medium,0.8339734834273504
48,143,rectangle,high,medium,0.8564743584699036
48,115,rectangle,high,medium,0.8124659817356512
48,84,rectangle,high,medium,0.8670019211922719
48,75,rectangle,high,medium,0.8617205329308769
48,112,rectangle,high,medium,0.8627676998483066
48,145,rectangle,high,medium,0.7134323720639594
48,155,rectangle,high,medium,0.8124635357193324
48,83,rectangle,high,medium,0.8449932126571517
48,97,rectangle,high,medium,0.7800546880653136
48,135,rectangle,high,medium,0.8510135849714172
48,185,rectangle,high,medium,0.7863840041847022
48,171,rectangle,high,medium,0.8100177490945839
48,147,rectangle,high,medium,0.8456514627071239
48,117,rectangle,high,medium,0.8683628466542099
48,210,rectangle,high,medium,0.7504021029626864
48,158,rectangle,high,medium,0.8108387010668183
48,202,rectangle,high,medium,0.794271538472246
48,169,rectangle,high,medium,0.8688315221743882
48,215,rectangle,high,medium,0.8347540403566188
48,203,rectangle,high,medium,0.8691609947861766
48,207,rectangle,high,medium,0.8281373567350482
48,142,rectangle,high,medium,0.8403490244524618
68,6,rectangle,high,medium,0.7437819251806425
48,168,rectangle,high,medium,0.859359209442133
48,151,rectangle,high,medium,0.8703817667877076
48,214,rectangle,high,medium,0.8713398398162748
48,206,rectangle,high,medium,0.8245471335904851
48,212,rectangle,high,medium,0.8448749032307505
68,42,rectangle,high,medium,0.8631491277515065
48,194,rectangle,high,medium,0.8772706958012829
68,15,rectangle,high,medium,0.8317156957150934
68,32,rectangle,high,medium,0.7575575963639501
48,192,rectangle,high,medium,0.8638964595685207
68,20,rectangle,high,medium,0.8036722831841259
68,17,rectangle,high,medium,0.783692651141077
68,24,rectangle,high,medium,0.7199008270347362
68,51,rectangle,high,medium,0.7721517449847854
68,57,rectangle,high,medium,0.8644971636394998
68,40,rectangle,high,medium,0.8116028201076548
68,53,rectangle,high,medium,0.8183962461417996
68,14,rectangle,high,medium,0.750217559819847
68,62,rectangle,high,medium,0.8064195691082393
68,66,rectangle,high,medium,0.8268190006794379
68,4,rectangle,high,medium,0.7833142221802096
68,88,rectangle,high,medium,0.8449491895207931
68,81,rectangle,high,medium,0.7863976441347009
68,16,rectangle,high,medium,0.7749829099311291
68,33,rectangle,high,medium,0.8230124305400285
68,91,rectangle,high,medium,0.7711541739434596
68,54,rectangle,high,medium,0.8541940335306794
68,105,rectangle,high,medium,0.7759619831405699
68,61,rectangle,high,medium,0.8027657288516469
68,115,rectangle,high,medium,0.757037786730585
68,108,rectangle,high,medium,0.7707538230416144
68,89,rectangle,high,medium,0.7626007334868095
68,84,rectangle,high,medium,0.8529235840680336
68,125,rectangle,high,medium,0.8442893488872133
68,83,rectangle,high,medium,0.8219003008113516
68,143,rectangle,high,medium,0.8105387843368476
68,121,rectangle,high,medium,0.8207345716424712
68,117,rectangle,high,medium,0.8068888495376344
68,155,rectangle,high,medium,0.7690046842884822
68,145,rectangle,high,medium,0.755112192278966
68,73,rectangle,high,medium,0.7574415252562587
