exp_a,exp_b,stimulus,expertise_a,expertise_b,score
48,196,rectangle,high,none,0.9096480471143522
80,3,rectangle,high,none,0.8201103824492254
48,189,rectangle,high,none,0.8135491741528231
82,163,rectangle,high,none,0.8142260809706897
48,181,rectangle,high,none,0.7724698727343878
69,211,rectangle,high,none,0.7795375742076234
48,163,rectangle,high,none,0.7775580621431468
80,201,rectangle,high,none,0.8070485723886636
82,96,rectangle,high,none,0.7711715681104946
69,204,rectangle,high,none,0.9337116362220504
48,154,rectangle,high,none,0.8256255209368919
80,30,rectangle,high,none,0.8340471847366756
80,196,rectangle,high,none,0.9124437904290849
69,201,rectangle,high,none,0.8336262663445442
48,93,rectangle,high,none,0.7631934007219807
68,204,rectangle,high,none,0.8924743276405164
48,204,rectangle,high,none,0.8887351736014906
80,189,rectangle,high,none,0.8595664347741734
68,93,rectangle,high,none,0.8257297454394523
69,196,rectangle,high,none,0.8329937863885708
68,201,rectangle,high,none,0.7963561305081147
48,38,rectangle,high,none,0.7434030378013654
80,181,rectangle,high,none,0.8322350642273139
80,93,rectangle,high,none,0.8701384961141858
69,189,rectangle,high,none,0.7728674172493238
68,196,rectangle,high,none,0.8654866805980999
48,36,rectangle,high,none,0.736210758316477
80,163,rectangle,high,none,0.8526942136166122
48,96,rectangle,high,none,0.8602306270835577
69,181,rectangle,high,none,0.801532881918887
68,189,rectangle,high,none,0.7362609359490045
48,30,rectangle,high,none,0.7360364993827659
48,110,rectangle,high,none,0.8249528977620237
86,93,rectangle,high,none,0.9268225677362534
82,110,rectangle,high,none,0.8002720877388247
80,154,rectangle,high,none,0.8693403308746757
68,181,rectangle,high,none,0.751792652840517
48,28,rectangle,high,none,0.8421290778511601
80,36,rectangle,high,none,0.8384552812459664
69,163,rectangle,high,none,0.8361896269372121
68,163,rectangle,high,none,0.7842774245250353
48,12,rectangle,high,none,0.7778701237061181
86,38,rectangle,high,none,0.9037817230849258
68,154,rectangle,high,none,0.72568831597169
48,5,rectangle,high,none,0.7969096034887935
80,110,rectangle,high,none,0.8381542411199892
86,36,rectangle,high,none,0.930552826269685
82,93,rectangle,high,none,0.8488812206455769
86,30,rectangle,high,none,0.8786030016845973
80,96,rectangle,high,none,0.8846730719418545
86,28,rectangle,high,none,0.8423207520829273
82,38,rectangle,high,none,0.8512500154051875
69,154,rectangle,high,none,0.7742015892208081
68,110,rectangle,high,none,0.766621980959866
80,204,rectangle,high,none,0.8449585223949907
86,12,rectangle,high,none,0.8912879749937548
82,36,rectangle,high,none,0.8373662855831804
68,211,rectangle,high,none,0.7233385244529722
86,5,rectangle,high,none,0.8613487850151941
82,30,rectangle,high,none,0.7721047535232161
86,3,rectangle,high,none,0.8866208942292125
82,28,rectangle,high,none,0.7979112408191479
82,12,rectangle,high,none,0.8015096592312098
82,211,rectangle,high,none,0.742215715028894
82,5,rectangle,high,none,0.7567609317418985
68,96,rectangle,high,none,0.8082058280156789
69,110,rectangle,high,none,0.8213628890642786
82,204,rectangle,high,none,0.9254448110976013
82,3,rectangle,high,none,0.7732274991495179
80,211,rectangle,high,none,0.8663351657795366
82,201,rectangle,high,none,0.789106220914079
48,201,rectangle,high,none,0.7288038509995749
69,96,rectangle,high,none,0.7761000203219143
82,196,rectangle,high,none,0.8305022261346162
48,3,rectangle,high,none,0.7133218243105318
68,38,rectangle,high,none,0.8249755396826222
69,93,rectangle,high,none,0.8844776459540572
82,154,rectangle,high,none,0.7780857749751491
82,189,rectangle,high,none,0.7569724120525654
69,3,rectangle,high,none,0.8104639347974976
68,36,rectangle,high,none,0.791732113557809
68,30,rectangle,high,none,0.7919013852241261
69,38,rectangle,high,none,0.8675999896307603
80,38,rectangle,high,none,0.8903758038678214
68,28,rectangle,high,none,0.7714668659832187
69,36,rectangle,high,none,0.8669046006948943
68,12,rectangle,high,none,0.7612297418960521
69,30,rectangle,high,none,0.7775048692118067
68,5,rectangle,high,none,0.7559876296804077
69,28,rectangle,high,none,0.7931860468983422
48,211,rectangle,high,none,0.8078788261650451
68,3,rectangle,high,none,0.7063643840311584
69,12,rectangle,high,none,0.7900321473639201
82,181,rectangle,high,none,0.7752332092969946
80,28,rectangle,high,none,0.8805095539309423
80,12,rectangle,high,none,0.8518469908344927
69,5,rectangle,high,none,0.7856016608763219
80,5,rectangle,high,none,0.8320340155606739
86,204,rectangle,high,none,0.9651774472945033
87,12,rectangle,high,none,0.7572903719041802
87,30,rectangle,high,none,0.7748306367532366
87,5,rectangle,high,none,0.7576747514250616
87,38,rectangle,high,none,0.8161316454864714
87,93,rectangle,high,none,0.8562214898482648
87,36,rectangle,high,none,0.8173312058988583
87,96,rectangle,high,none,0.7954756531033969
87,3,rectangle,high,none,0.7527153873131834
87,110,rectangle,high,none,0.7729564510365016
