exp_a,exp_b,stimulus,expertise_a,expertise_b,score
13,66,rectangle,low,medium,0.8639671432886992
13,207,rectangle,low,medium,0.7478794546961804
21,33,rectangle,low,medium,0.8355610236152596
13,88,rectangle,low,medium,0.8852657030734736
13,25,rectangle,low,medium,0.7611608013216511
13,117,rectangle,low,medium,0.7924521811853119
13,135,rectangle,low,medium,0.8020185181597086
13,20,rectangle,low,medium,0.7861576409588712
13,62,rectangle,low,medium,0.8526221737442681
21,40,rectangle,low,medium,0.8472339649636926
13,112,rectangle,low,medium,0.8141838646132852
21,25,rectangle,low,medium,0.7526103787747431
13,53,rectangle,low,medium,0.8685010696604684
21,32,rectangle,low,medium,0.7773263180243799
13,61,rectangle,low,medium,0.7728745920745437
13,33,rectangle,low,medium,0.8060734232195129
13,24,rectangle,low,medium,0.7490471535666392
13,120,rectangle,low,medium,0.8237187917848414
13,145,rectangle,low,medium,0.8049810331211869
13,142,rectangle,low,medium,0.7831136980766216
13,121,rectangle,low,medium,0.8429654436349915
13,202,rectangle,low,medium,0.8225678302702658
21,73,rectangle,low,medium,0.7961296760513972
13,84,rectangle,low,medium,0.8331090753457204
13,83,rectangle,low,medium,0.7924693494566014
13,194,rectangle,low,medium,0.794497554962632
13,192,rectangle,low,medium,0.7742258444660697
13,81,rectangle,low,medium,0.8405281002919457
21,66,rectangle,low,medium,0.8361620822311664
13,108,rectangle,low,medium,0.8097924541097709
21,24,rectangle,low,medium,0.768304340018668
21,62,rectangle,low,medium,0.8380152650891036
21,20,rectangle,low,medium,0.8237018154964582
13,17,rectangle,low,medium,0.8098123495707259
13,125,rectangle,low,medium,0.8718165078127632
13,185,rectangle,low,medium,0.7801311247943145
21,61,rectangle,low,medium,0.8123555282252006
13,16,rectangle,low,medium,0.7555038880115841
13,171,rectangle,low,medium,0.7767864377440001
13,73,rectangle,low,medium,0.7486496602904372
13,155,rectangle,low,medium,0.7987722841836232
13,15,rectangle,low,medium,0.8524246133143372
13,151,rectangle,low,medium,0.791157127223042
13,169,rectangle,low,medium,0.7932496543704669
21,17,rectangle,low,medium,0.8051028012010674
13,42,rectangle,low,medium,0.8992065684163977
21,57,rectangle,low,medium,0.8725476131788916
13,57,rectangle,low,medium,0.8788363841820537
13,168,rectangle,low,medium,0.7961029766031233
21,55,rectangle,low,medium,0.8261833338215102
13,206,rectangle,low,medium,0.7893183825788275
21,16,rectangle,low,medium,0.797678279858791
13,51,rectangle,low,medium,0.8010972969714445
13,6,rectangle,low,medium,0.8300318286772603
13,147,rectangle,low,medium,0.7739580480963913
21,54,rectangle,low,medium,0.8445110225677035
21,15,rectangle,low,medium,0.7926482523639464
13,75,rectangle,low,medium,0.8080443989318147
13,89,rectangle,low,medium,0.7794779604985177
13,158,rectangle,low,medium,0.7887851982176843
13,97,rectangle,low,medium,0.7824190639099764
21,53,rectangle,low,medium,0.8098427905984857
21,14,rectangle,low,medium,0.8158122249100599
13,14,rectangle,low,medium,0.7672976190413028
21,51,rectangle,low,medium,0.8075937817493134
13,115,rectangle,low,medium,0.7381016608883121
21,6,rectangle,low,medium,0.8225361277672391
13,40,rectangle,low,medium,0.8292015735586779
13,105,rectangle,low,medium,0.790199915482
21,4,rectangle,low,medium,0.7927224561420139
13,55,rectangle,low,medium,0.7999022702169369
13,4,rectangle,low,medium,0.8090129774795728
13,143,rectangle,low,medium,0.8188395908579096
21,42,rectangle,low,medium,0.8951459664608122
13,215,rectangle,low,medium,0.8238675865933823
13,54,rectangle,low,medium,0.8142421282992895
13,214,rectangle,low,medium,0.787640244945841
13,210,rectangle,low,medium,0.8309721451308383
13,212,rectangle,low,medium,0.7996134646891545
13,91,rectangle,low,medium,0.7607845909883793
13,32,rectangle,low,medium,0.7840926886623902
13,203,rectangle,low,medium,0.9018159696475484
21,125,rectangle,low,medium,0.8651078109342302
21,81,rectangle,low,medium,0.8124778390813195
21,115,rectangle,low,medium,0.7994279669682012
21,91,rectangle,low,medium,0.8030508114755636
21,108,rectangle,low,medium,0.8154163740427594
21,75,rectangle,low,medium,0.798987607161343
21,143,rectangle,low,medium,0.8230883989009067
21,88,rectangle,low,medium,0.8738734892839274
21,105,rectangle,low,medium,0.813964879802591
21,117,rectangle,low,medium,0.8137689142144579
21,155,rectangle,low,medium,0.8212722142126225
21,145,rectangle,low,medium,0.8145973801328116
21,142,rectangle,low,medium,0.7729846316690221
21,158,rectangle,low,medium,0.80578103597009
21,185,rectangle,low,medium,0.7686885274398219
21,147,rectangle,low,medium,0.7955841392692731
21,171,rectangle,low,medium,0.8118116991269703
21,203,rectangle,low,medium,0.8870429594437738
21,202,rectangle,low,medium,0.8337534760107843
21,121,rectangle,low,medium,0.82415781264301
21,210,rectangle,low,medium,0.8180605893076848
21,192,rectangle,low,medium,0.8118181603734519
21,151,rectangle,low,medium,0.7857498882203361
21,212,rectangle,low,medium,0.8017188986687667
21,207,rectangle,low,medium,0.78892037419706
27,4,rectangle,low,medium,0.8582058776864641
27,6,rectangle,low,medium,0.7873224196310303
27,14,rectangle,low,medium,0.8288663911992177
27,15,rectangle,low,medium,0.8146328333053686
21,112,rectangle,low,medium,0.7797163975207672
27,16,rectangle,low,medium,0.8796712292063614
21,89,rectangle,low,medium,0.7714423764156416
27,17,rectangle,low,medium,0.8528292675848758
27,24,rectangle,low,medium,0.8673223032837968
27,20,rectangle,low,medium,0.8981235234405993
21,97,rectangle,low,medium,0.7397833804111137
21,120,rectangle,low,medium,0.8101288608220975
21,206,rectangle,low,medium,0.7971378104945441
27,42,rectangle,low,medium,0.8528155358454691
21,194,rectangle,low,medium,0.8117310317286034
27,33,rectangle,low,medium,0.8543754871933849
27,51,rectangle,low,medium,0.8610120892146657
27,57,rectangle,low,medium,0.880097604469211
21,214,rectangle,low,medium,0.7799427223896461
27,53,rectangle,low,medium,0.8259059884543538
27,66,rectangle,low,medium,0.8544108422011062
27,62,rectangle,low,medium,0.8200158502653724
27,25,rectangle,low,medium,0.862276445429758
21,84,rectangle,low,medium,0.7955991966226704
21,169,rectangle,low,medium,0.8244136103604065
27,81,rectangle,low,medium,0.8225397375016646
27,32,rectangle,low,medium,0.8449774011851442
27,88,rectangle,low,medium,0.8406848815352786
21,135,rectangle,low,medium,0.7508959608425025
27,75,rectangle,low,medium,0.8565439476515765
27,61,rectangle,low,medium,0.8873060225326098
27,73,rectangle,low,medium,0.8595325922244078
27,105,rectangle,low,medium,0.8179286744355837
27,89,rectangle,low,medium,0.8298901617491137
27,84,rectangle,low,medium,0.9084726266913975
27,83,rectangle,low,medium,0.8888596931098541
27,115,rectangle,low,medium,0.8461908496387657
27,112,rectangle,low,medium,0.8546954663150882
27,40,rectangle,low,medium,0.838949351757542
27,143,rectangle,low,medium,0.8603104308846224
27,121,rectangle,low,medium,0.8911334473223095
27,117,rectangle,low,medium,0.8872316177795802
27,120,rectangle,low,medium,0.8337391255583312
27,125,rectangle,low,medium,0.789658789891367
27,145,rectangle,low,medium,0.8280566855366804
27,97,rectangle,low,medium,0.8203284958176035
27,91,rectangle,low,medium,0.8665645312601815
27,155,rectangle,low,medium,0.8475647337468303
27,147,rectangle,low,medium,0.8517650237912555
27,142,rectangle,low,medium,0.8696065848309861
27,158,rectangle,low,medium,0.8674611746206198
27,135,rectangle,low,medium,0.8397286608443857
27,185,rectangle,low,medium,0.8392914029960191
27,108,rectangle,low,medium,0.8040260262767511
21,168,rectangle,low,medium,0.8025310011684886
27,203,rectangle,low,medium,0.8419663900407469
21,83,rectangle,low,medium,0.7779697373380768
27,169,rectangle,low,medium,0.8794658715002239
27,202,rectangle,low,medium,0.8435312198681318
27,54,rectangle,low,medium,0.8752137601820534
27,210,rectangle,low,medium,0.8679074510445194
27,171,rectangle,low,medium,0.8676972319770084
27,212,rectangle,low,medium,0.846218136660232
27,207,rectangle,low,medium,0.8753816931434386
27,168,rectangle,low,medium,0.8986675939851297
29,6,rectangle,low,medium,0.7634145146643044
27,206,rectangle,low,medium,0.8953869524469159
21,215,rectangle,low,medium,0.7278789978837147
29,14,rectangle,low,medium,0.7735854560824268
27,55,rectangle,low,medium,0.9161515534444686
29,4,rectangle,low,medium,0.7752126837498402
29,15,rectangle,low,medium,0.8150800561985738
27,215,rectangle,low,medium,0.8090531900195315
29,17,rectangle,low,medium,0.7670960686660497
27,192,rectangle,low,medium,0.8757000310042428
29,32,rectangle,low,medium,0.767577354072508
29,24,rectangle,low,medium,0.7618093102748551
29,33,rectangle,low,medium,0.8017155429495603
29,42,rectangle,low,medium,0.8793375140544566
29,40,rectangle,low,medium,0.8222085089581516
29,53,rectangle,low,medium,0.8167323279584258
29,66,rectangle,low,medium,0.820626136464864
29,62,rectangle,low,medium,0.821203150259752
29,25,rectangle,low,medium,0.7791445838087746
29,57,rectangle,low,medium,0.8583222610136114
27,214,rectangle,low,medium,0.8542777153601296
29,20,rectangle,low,medium,0.78598728499361
29,54,rectangle,low,medium,0.8483128388634249
29,75,rectangle,low,medium,0.8337860659569344
29,88,rectangle,low,medium,0.8522353518084511
29,73,rectangle,low,medium,0.7969864874738024
29,51,rectangle,low,medium,0.7729013708841892
29,91,rectangle,low,medium,0.7818623303216776
29,16,rectangle,low,medium,0.7702986980396828
29,55,rectangle,low,medium,0.8172582499182943
29,84,rectangle,low,medium,0.8261075825434843
29,115,rectangle,low,medium,0.7863289132397379
29,89,rectangle,low,medium,0.7707910645046555
29,83,rectangle,low,medium,0.8088378477141401
27,151,rectangle,low,medium,0.8953269838427999
29,81,rectangle,low,medium,0.7914646445451221
29,112,rectangle,low,medium,0.7814350756690505
29,125,rectangle,low,medium,0.8453259904214154
29,108,rectangle,low,medium,0.7649705045291587
29,143,rectangle,low,medium,0.7882830982103165
27,194,rectangle,low,medium,0.879217557473423
29,120,rectangle,low,medium,0.8010875144673287
29,117,rectangle,low,medium,0.8163794985097015
