exp_a,exp_b,stimulus,expertise_a,expertise_b,score
29,28,rectangle,low,none,0.7870503270100235
29,12,rectangle,low,none,0.7590906187665323
29,5,rectangle,low,none,0.7474527575745801
27,93,rectangle,low,none,0.8302269611157712
21,196,rectangle,low,none,0.8041333640869199
31,28,rectangle,low,none,0.7551783897399712
21,96,rectangle,low,none,0.8060839836290951
21,189,rectangle,low,none,0.7487206715599135
31,12,rectangle,low,none,0.7735138033261326
31,38,rectangle,low,none,0.8181786749960015
21,181,rectangle,low,none,0.7927863931126393
31,5,rectangle,low,none,0.7520266303535933
21,3,rectangle,low,none,0.7949735909353899
21,163,rectangle,low,none,0.8331878399651098
27,96,rectangle,low,none,0.890508904765509
31,3,rectangle,low,none,0.7769067170735806
34,181,rectangle,low,none,0.7883367375723409
27,211,rectangle,low,none,0.863502592381909
21,154,rectangle,low,none,0.7709121134962202
31,201,rectangle,low,none,0.7859309178122936
27,204,rectangle,low,none,0.8174650788438657
13,154,rectangle,low,none,0.780196120608155
29,211,rectangle,low,none,0.7471206834246005
27,201,rectangle,low,none,0.8743280588133903
31,196,rectangle,low,none,0.8321736722402613
29,154,rectangle,low,none,0.7811464170380574
27,196,rectangle,low,none,0.9025522576000624
29,204,rectangle,low,none,0.875827787710048
21,93,rectangle,low,none,0.8641462791566099
31,189,rectangle,low,none,0.7107829442079762
21,110,rectangle,low,none,0.7813082613385902
27,189,rectangle,low,none,0.8431939146897695
29,201,rectangle,low,none,0.8056840194154272
13,3,rectangle,low,none,0.8168396971724678
31,30,rectangle,low,none,0.7689459975471215
31,181,rectangle,low,none,0.7501983677644124
27,181,rectangle,low,none,0.8045152783330783
21,201,rectangle,low,none,0.8329811996325337
29,196,rectangle,low,none,0.8625945672449242
35,93,rectangle,low,none,0.8530105767468336
31,163,rectangle,low,none,0.8125959753143002
21,38,rectangle,low,none,0.8317196884430509
29,189,rectangle,low,none,0.7556969842413345
31,154,rectangle,low,none,0.7406658142962184
27,163,rectangle,low,none,0.8327597167037677
21,36,rectangle,low,none,0.8594889668593207
34,110,rectangle,low,none,0.811102383680472
29,181,rectangle,low,none,0.7395207205296849
27,154,rectangle,low,none,0.843573410408988
35,38,rectangle,low,none,0.8424240564158026
21,30,rectangle,low,none,0.8293425463308153
13,30,rectangle,low,none,0.7988443540938216
29,163,rectangle,low,none,0.795220300831918
35,36,rectangle,low,none,0.8334306211490521
21,28,rectangle,low,none,0.757554084964091
34,96,rectangle,low,none,0.7986546056266132
13,204,rectangle,low,none,0.9179159593157021
35,30,rectangle,low,none,0.7638889855604655
21,12,rectangle,low,none,0.7764469459725689
34,93,rectangle,low,none,0.8757416579221584
31,110,rectangle,low,none,0.7700017272737429
21,204,rectangle,low,none,0.9089990034841682
13,201,rectangle,low,none,0.8287056920437065
35,28,rectangle,low,none,0.7773267081219563
13,110,rectangle,low,none,0.8157505389075832
13,5,rectangle,low,none,0.7780485079467865
13,196,rectangle,low,none,0.8353605311078428
35,12,rectangle,low,none,0.7652850685171123
34,38,rectangle,low,none,0.8580270814710977
31,96,rectangle,low,none,0.7722072927705832
13,12,rectangle,low,none,0.8155226364639532
13,189,rectangle,low,none,0.7729442315265274
35,5,rectangle,low,none,0.7471068621224093
34,36,rectangle,low,none,0.8545414925029001
31,93,rectangle,low,none,0.8414451016687571
13,28,rectangle,low,none,0.8031611160645398
13,96,rectangle,low,none,0.7781305435365133
13,181,rectangle,low,none,0.7958360689099704
31,211,rectangle,low,none,0.709332561128945
35,3,rectangle,low,none,0.7671962644748838
34,30,rectangle,low,none,0.806258756882075
29,3,rectangle,low,none,0.7358050790569854
13,93,rectangle,low,none,0.8854802754941975
34,28,rectangle,low,none,0.7959461448364293
13,163,rectangle,low,none,0.8281199555244514
13,36,rectangle,low,none,0.8540152152866363
34,211,rectangle,low,none,0.7593324411809993
34,12,rectangle,low,none,0.7792296123116883
34,204,rectangle,low,none,0.9340688755093085
34,5,rectangle,low,none,0.7898546485237018
13,211,rectangle,low,none,0.76770401552738
29,110,rectangle,low,none,0.7468261153968565
34,201,rectangle,low,none,0.8161069693407313
34,3,rectangle,low,none,0.7763300468210081
21,5,rectangle,low,none,0.7860529458817014
27,38,rectangle,low,none,0.8871885442593075
34,196,rectangle,low,none,0.8120986741425105
31,204,rectangle,low,none,0.8958815290212225
27,36,rectangle,low,none,0.8221159248033704
29,96,rectangle,low,none,0.780834694240499
27,30,rectangle,low,none,0.8197309067016532
29,93,rectangle,low,none,0.8302269622753294
34,189,rectangle,low,none,0.7673035058354711
34,154,rectangle,low,none,0.78124911730386
31,36,rectangle,low,none,0.8266149719109938
27,28,rectangle,low,none,0.8645347675322143
13,38,rectangle,low,none,0.8785194231005949
27,110,rectangle,low,none,0.8340490945628105
27,12,rectangle,low,none,0.8402530079324665
29,38,rectangle,low,none,0.8453233418559032
34,163,rectangle,low,none,0.8365538610737285
27,5,rectangle,low,none,0.8540452957189015
29,36,rectangle,low,none,0.8160535667100177
27,3,rectangle,low,none,0.813388111595526
29,30,rectangle,low,none,0.7869532967377352
21,211,rectangle,low,none,0.7491707300748569
35,204,rectangle,low,none,0.898537886137477
37,36,rectangle,low,none,0.802725988416936
35,110,rectangle,low,none,0.7716478389856187
35,163,rectangle,low,none,0.8127330216416365
35,189,rectangle,low,none,0.7230476760279795
37,3,rectangle,low,none,0.737401249472146
35,181,rectangle,low,none,0.7385446121687577
37,5,rectangle,low,none,0.7613871914414249
35,211,rectangle,low,none,0.7521873125290134
37,181,rectangle,low,none,0.7581037064070769
37,204,rectangle,low,none,0.8974812806556828
37,96,rectangle,low,none,0.826764943219961
37,110,rectangle,low,none,0.7421560019799023
37,163,rectangle,low,none,0.8013254749506372
35,201,rectangle,low,none,0.7890819515923305
37,93,rectangle,low,none,0.8301081738633148
37,189,rectangle,low,none,0.7578963940966106
37,201,rectangle,low,none,0.7653150328638245
37,12,rectangle,low,none,0.7577673255238907
35,96,rectangle,low,none,0.7402205028237091
41,93,rectangle,low,none,0.8798337572569652
41,12,rectangle,low,none,0.8177911843871899
41,3,rectangle,low,none,0.7607204594792255
37,154,rectangle,low,none,0.7488940027496329
37,211,rectangle,low,none,0.7283729703305022
37,30,rectangle,low,none,0.791929435309209
41,5,rectangle,low,none,0.7770158929078662
41,204,rectangle,low,none,0.9317519719495126
41,181,rectangle,low,none,0.8053057636639628
41,38,rectangle,low,none,0.8689805409479163
41,28,rectangle,low,none,0.7882463126443572
41,163,rectangle,low,none,0.8283054247559223
43,3,rectangle,low,none,0.7817146188399765
41,189,rectangle,low,none,0.7807299581875766
37,38,rectangle,low,none,0.8067236681407193
41,30,rectangle,low,none,0.7986874056469729
41,36,rectangle,low,none,0.8540016824239943
43,5,rectangle,low,none,0.7818533433760468
35,154,rectangle,low,none,0.7864062950068953
43,12,rectangle,low,none,0.7510217451148085
41,96,rectangle,low,none,0.8077888770580266
