exp_a,exp_b,stimulus,expertise_a,expertise_b,score
15,38,rectangle,medium,none,0.8586171184405441
4,28,rectangle,medium,none,0.7926691337875296
14,163,rectangle,medium,none,0.7969339625388926
15,36,rectangle,medium,none,0.7938502351235541
16,154,rectangle,medium,none,0.7927310259176533
16,30,rectangle,medium,none,0.7712929518006761
15,204,rectangle,medium,none,0.8569069420701313
14,5,rectangle,medium,none,0.7751530070324611
14,93,rectangle,medium,none,0.8331867899002854
15,211,rectangle,medium,none,0.8096853006941046
4,36,rectangle,medium,none,0.824286634593693
16,36,rectangle,medium,none,0.8213240223933544
17,110,rectangle,medium,none,0.7909245526134415
15,201,rectangle,medium,none,0.8183258039589852
14,154,rectangle,medium,none,0.765238799962686
14,12,rectangle,medium,none,0.7880568418379911
17,38,rectangle,medium,none,0.7855763397038535
16,38,rectangle,medium,none,0.8294152610786589
6,93,rectangle,medium,none,0.8258106070024113
14,30,rectangle,medium,none,0.800515439479962
16,93,rectangle,medium,none,0.8537405080443817
4,38,rectangle,medium,none,0.7785385309700797
14,28,rectangle,medium,none,0.8192776391971456
14,38,rectangle,medium,none,0.8809279249322856
4,163,rectangle,medium,none,0.803780331164396
6,38,rectangle,medium,none,0.8798651207215745
16,28,rectangle,medium,none,0.8001507100885832
14,36,rectangle,medium,none,0.7960611850321488
4,12,rectangle,medium,none,0.7550977184874413
16,181,rectangle,medium,none,0.7345401973622603
15,96,rectangle,medium,none,0.8473764468472407
16,96,rectangle,medium,none,0.7948328979599929
16,163,rectangle,medium,none,0.7954999627606897
6,30,rectangle,medium,none,0.7756895359242922
6,154,rectangle,medium,none,0.7842426893348755
6,110,rectangle,medium,none,0.7745506986551036
16,196,rectangle,medium,none,0.8502516427377809
16,110,rectangle,medium,none,0.7731683756197631
17,211,rectangle,medium,none,0.776973683737155
14,201,rectangle,medium,none,0.7913464286435837
4,196,rectangle,medium,none,0.8491514737952789
16,189,rectangle,medium,none,0.7468649689218689
4,189,rectangle,medium,none,0.74899380332249
4,110,rectangle,medium,none,0.7734595197317347
16,201,rectangle,medium,none,0.7858871465643417
4,201,rectangle,medium,none,0.7787971032647917
4,204,rectangle,medium,none,0.9099712413664062
14,204,rectangle,medium,none,0.8767445447401091
14,96,rectangle,medium,none,0.8001537999685165
16,211,rectangle,medium,none,0.7603514534465659
14,211,rectangle,medium,none,0.7801540591153354
16,204,rectangle,medium,none,0.9163875941876203
17,3,rectangle,medium,none,0.7554740888265931
15,196,rectangle,medium,none,0.8676498446122084
6,163,rectangle,medium,none,0.8082510112144075
17,201,rectangle,medium,none,0.7903383358979714
17,189,rectangle,medium,none,0.7620170085951808
4,96,rectangle,medium,none,0.79909537597999
17,5,rectangle,medium,none,0.7875170761929164
17,196,rectangle,medium,none,0.8679897187319447
4,93,rectangle,medium,none,0.8367839074553829
17,36,rectangle,medium,none,0.8166579974322031
15,110,rectangle,medium,none,0.8006935395138971
17,181,rectangle,medium,none,0.7619530762055129
14,110,rectangle,medium,none,0.7740646539476402
6,196,rectangle,medium,none,0.8836876178431399
6,5,rectangle,medium,none,0.8055056601499677
14,3,rectangle,medium,none,0.7574718937066119
15,5,rectangle,medium,none,0.8158385221369662
17,28,rectangle,medium,none,0.7795438121759721
16,3,rectangle,medium,none,0.755356961286798
4,30,rectangle,medium,none,0.8127176608612857
6,189,rectangle,medium,none,0.8125849695202793
6,181,rectangle,medium,none,0.7810034147478585
4,5,rectangle,medium,none,0.7626583367803964
6,3,rectangle,medium,none,0.762068508151412
4,211,rectangle,medium,none,0.7526980300603214
17,204,rectangle,medium,none,0.8907762000051679
4,181,rectangle,medium,none,0.7598964503271118
15,3,rectangle,medium,none,0.8223370741766853
17,12,rectangle,medium,none,0.7548912117421974
6,28,rectangle,medium,none,0.8357732271310271
17,30,rectangle,medium,none,0.7876408810451195
4,154,rectangle,medium,none,0.7859338579664199
6,201,rectangle,medium,none,0.8249006069786228
14,189,rectangle,medium,none,0.7397944713769673
15,28,rectangle,medium,none,0.8176029051551712
17,154,rectangle,medium,none,0.7612751451026687
6,12,rectangle,medium,none,0.8057904211902649
15,163,rectangle,medium,none,0.7902913525503884
14,196,rectangle,medium,none,0.8668451678927648
15,12,rectangle,medium,none,0.7999290697477232
15,93,rectangle,medium,none,0.8121810927253711
17,93,rectangle,medium,none,0.8410740443843358
17,163,rectangle,medium,none,0.7980525531568649
6,204,rectangle,medium,none,0.8503419540288143
6,211,rectangle,medium,none,0.7816138459537992
16,5,rectangle,medium,none,0.7474937616809852
15,154,rectangle,medium,none,0.8015278121763927
14,181,rectangle,medium,none,0.76476237498272
15,30,rectangle,medium,none,0.8288923980865
15,189,rectangle,medium,none,0.7854575776114081
17,96,rectangle,medium,none,0.8187357475801245
6,96,rectangle,medium,none,0.8534072412347056
15,181,rectangle,medium,none,0.8111690848306236
4,3,rectangle,medium,none,0.7736570982041425
6,36,rectangle,medium,none,0.8109347939510003
16,12,rectangle,medium,none,0.7628315470666676
20,36,rectangle,medium,none,0.8659696689327
20,30,rectangle,medium,none,0.8167327126302925
20,12,rectangle,medium,none,0.7824134285084912
20,204,rectangle,medium,none,0.931623107836968
20,5,rectangle,medium,none,0.8031255503227118
20,189,rectangle,medium,none,0.7788707694575665
24,3,rectangle,medium,none,0.7392413665164828
20,28,rectangle,medium,none,0.8050638644737282
24,36,rectangle,medium,none,0.8217768933482393
24,12,rectangle,medium,none,0.764861504371574
20,93,rectangle,medium,none,0.8576498810801064
24,5,rectangle,medium,none,0.7593291656224568
20,96,rectangle,medium,none,0.7825984360309574
24,30,rectangle,medium,none,0.7681121034007804
20,3,rectangle,medium,none,0.783197027674462
20,181,rectangle,medium,none,0.7877153567146822
24,93,rectangle,medium,none,0.8231305612582146
20,201,rectangle,medium,none,0.7773698047842742
24,204,rectangle,medium,none,0.9102777264073775
20,38,rectangle,medium,none,0.8427146428697982
24,110,rectangle,medium,none,0.7637731591525432
24,38,rectangle,medium,none,0.8042177654805572
20,110,rectangle,medium,none,0.8126495997912944
24,163,rectangle,medium,none,0.7757927430090029
24,189,rectangle,medium,none,0.721669888468744
24,96,rectangle,medium,none,0.7489392401509749
20,163,rectangle,medium,none,0.809215988823167
20,196,rectangle,medium,none,0.8703365810783186
24,154,rectangle,medium,none,0.7197802349277506
25,36,rectangle,medium,none,0.8658133234663181
24,181,rectangle,medium,none,0.7327880061634008
25,3,rectangle,medium,none,0.7960242625238287
25,93,rectangle,medium,none,0.879837320877761
25,12,rectangle,medium,none,0.7981029506424736
24,201,rectangle,medium,none,0.7717533764643166
25,110,rectangle,medium,none,0.7690702460618235
25,204,rectangle,medium,none,0.9160800229353505
25,201,rectangle,medium,none,0.8347348972534184
25,38,rectangle,medium,none,0.8638087305933336
25,163,rectangle,medium,none,0.8271770117314933
25,28,rectangle,medium,none,0.7735036457653326
25,189,rectangle,medium,none,0.7646949812716104
32,12,rectangle,medium,none,0.7219081658288153
32,5,rectangle,medium,none,0.751803208012678
32,30,rectangle,medium,none,0.7639390485432013
32,36,rectangle,medium,none,0.805135635951642
25,181,rectangle,medium,none,0.7929914664223305
20,211,rectangle,medium,none,0.7411025842961638
32,93,rectangle,medium,none,0.8389943070110075
32,28,rectangle,medium,none,0.7828230438855615
32,3,rectangle,medium,none,0.7330538767011276
24,28,rectangle,medium,none,0.7726688027067019
20,154,rectangle,medium,none,0.7983089710429978
32,38,rectangle,medium,none,0.8200707416968332
32,181,rectangle,medium,none,0.675932900903227
32,96,rectangle,medium,none,0.771889477332903
32,163,rectangle,medium,none,0.7570900759102158
32,189,rectangle,medium,none,0.7160960959612902
24,211,rectangle,medium,none,0.7059098999741359
32,204,rectangle,medium,none,0.878835136935729
25,154,rectangle,medium,none,0.7416323792209636
33,3,rectangle,medium,none,0.8490918446158394
32,110,rectangle,medium,none,0.728371509952461
33,12,rectangle,medium,none,0.8497557113661394
33,5,rectangle,medium,none,0.8210532181763024
25,211,rectangle,medium,none,0.7395028051333093
33,93,rectangle,medium,none,0.8885483312626288
32,211,rectangle,medium,none,0.7498463271795552
25,30,rectangle,medium,none,0.8117393984441921
25,5,rectangle,medium,none,0.7680882525618533
32,201,rectangle,medium,none,0.7382475621776295
33,36,rectangle,medium,none,0.8825743930705415
33,110,rectangle,medium,none,0.8596538753010227
33,38,rectangle,medium,none,0.8895173639948152
33,28,rectangle,medium,none,0.852861599242495
33,181,rectangle,medium,none,0.828146897620565
33,163,rectangle,medium,none,0.86432958543629
33,30,rectangle,medium,none,0.806279975907718
33,189,rectangle,medium,none,0.8297258098345193
33,204,rectangle,medium,none,0.9026748889746754
40,3,rectangle,medium,none,0.7955518873796698
40,12,rectangle,medium,none,0.805039703664921
33,154,rectangle,medium,none,0.8619260749485195
40,30,rectangle,medium,none,0.7921181971486463
40,5,rectangle,medium,none,0.7878129525209261
33,96,rectangle,medium,none,0.8582029849253796
40,36,rectangle,medium,none,0.8074426389432839
40,28,rectangle,medium,none,0.8463585448169744
33,201,rectangle,medium,none,0.8532255094636316
40,38,rectangle,medium,none,0.8531906523907418
40,181,rectangle,medium,none,0.8072186492351472
25,196,rectangle,medium,none,0.823831139879644
40,110,rectangle,medium,none,0.7995869068648731
40,163,rectangle,medium,none,0.809692690035656
42,3,rectangle,medium,none,0.8116457285080282
42,12,rectangle,medium,none,0.8471884757651709
42,5,rectangle,medium,none,0.8485716224355835
40,96,rectangle,medium,none,0.8361296776817791
40,93,rectangle,medium,none,0.8353979485525114
42,30,rectangle,medium,none,0.836878350948222
42,36,rectangle,medium,none,0.82568447591717
40,201,rectangle,medium,none,0.8397773316790036
42,93,rectangle,medium,none,0.8709828167605553
42,28,rectangle,medium,none,0.9058456319835538
32,154,rectangle,medium,none,0.7843331364934183
40,204,rectangle,medium,none,0.8674683304073073
42,38,rectangle,medium,none,0.9129069344520792
25,96,rectangle,medium,none,0.7983044012926099
42,181,rectangle,medium,none,0.7931448744600242
42,110,rectangle,medium,none,0.8658134301195021
42,204,rectangle,medium,none,0.8269080735396372
42,163,rectangle,medium,none,0.8664544356787468
33,211,rectangle,medium,none,0.8363875007759456
42,189,rectangle,medium,none,0.8612183351364237
40,154,rectangle,medium,none,0.8056442789126809
42,154,rectangle,medium,none,0.9026514020757234
40,211,rectangle,medium,none,0.8271418161867765
