exp_a,exp_b,stimulus,expertise_a,expertise_b,score,source_file
68,101,rectangle,high,low,0.779278358799796,Java_high_Java_low_results.csv
68,99,rectangle,high,low,0.7424248621894257,Java_high_Java_low_results.csv
68,94,rectangle,high,low,0.7742118554402369,Java_high_Java_low_results.csv
68,79,rectangle,high,low,0.7664751004417968,Java_high_Java_low_results.csv
68,78,rectangle,high,low,0.7516701435071163,Java_high_Java_low_results.csv
68,77,rectangle,high,low,0.8288818970986881,Java_high_Java_low_results.csv
68,74,rectangle,high,low,0.7922334864124339,Java_high_Java_low_results.csv
68,71,rectangle,high,low,0.9061618456696416,Java_high_Java_low_results.csv
68,67,rectangle,high,low,0.7753865409533541,Java_high_Java_low_results.csv
68,37,rectangle,high,low,0.7443808444823559,Java_high_Java_low_results.csv
48,37,rectangle,high,low,0.7693653967351914,Java_high_Java_low_results.csv
68,65,rectangle,high,low,0.8854139997557575,Java_high_Java_low_results.csv
68,35,rectangle,high,low,0.7762665937119386,Java_high_Java_low_results.csv
68,64,rectangle,high,low,0.8328034134616805,Java_high_Java_low_results.csv
68,34,rectangle,high,low,0.774100870016328,Java_high_Java_low_results.csv
68,63,rectangle,high,low,0.7981042602533389,Java_high_Java_low_results.csv
68,31,rectangle,high,low,0.7193966393212565,Java_high_Java_low_results.csv
48,101,rectangle,high,low,0.7725561161829649,Java_high_Java_low_results.csv
48,13,rectangle,high,low,0.8499290332343693,Java_high_Java_low_results.csv
68,60,rectangle,high,low,0.7583254009682657,Java_high_Java_low_results.csv
48,99,rectangle,high,low,0.8192793249285754,Java_high_Java_low_results.csv
68,29,rectangle,high,low,0.7252476977296203,Java_high_Java_low_results.csv
48,21,rectangle,high,low,0.8350980537456201,Java_high_Java_low_results.csv
68,56,rectangle,high,low,0.7734488898997309,Java_high_Java_low_results.csv
68,27,rectangle,high,low,0.8179892668411441,Java_high_Java_low_results.csv
48,44,rectangle,high,low,0.8158958314500518,Java_high_Java_low_results.csv
48,27,rectangle,high,low,0.8736400283570401,Java_high_Java_low_results.csv
68,44,rectangle,high,low,0.7688492791177308,Java_high_Java_low_results.csv
48,176,rectangle,high,low,0.8489634830775648,Java_high_Java_low_results.csv
68,21,rectangle,high,low,0.784793456276829,Java_high_Java_low_results.csv
48,29,rectangle,high,low,0.8158299182533586,Java_high_Java_low_results.csv
68,13,rectangle,high,low,0.7694706255610289,Java_high_Java_low_results.csv
48,31,rectangle,high,low,0.8058995976763424,Java_high_Java_low_results.csv
48,34,rectangle,high,low,0.8321144980064725,Java_high_Java_low_results.csv
68,43,rectangle,high,low,0.8087494968545718,Java_high_Java_low_results.csv
48,208,rectangle,high,low,0.7740666479278092,Java_high_Java_low_results.csv
48,35,rectangle,high,low,0.7944265901405746,Java_high_Java_low_results.csv
48,200,rectangle,high,low,0.8602730533980161,Java_high_Java_low_results.csv
48,186,rectangle,high,low,0.8065239813066128,Java_high_Java_low_results.csv
48,164,rectangle,high,low,0.7583834943969038,Java_high_Java_low_results.csv
48,56,rectangle,high,low,0.8517884783724063,Java_high_Java_low_results.csv
48,162,rectangle,high,low,0.8662506953395978,Java_high_Java_low_results.csv
48,94,rectangle,high,low,0.7743011174716506,Java_high_Java_low_results.csv
48,41,rectangle,high,low,0.8176999435267156,Java_high_Java_low_results.csv
48,182,rectangle,high,low,0.7898342138160955,Java_high_Java_low_results.csv
48,60,rectangle,high,low,0.8147716756156786,Java_high_Java_low_results.csv
48,140,rectangle,high,low,0.7451085854121008,Java_high_Java_low_results.csv
48,180,rectangle,high,low,0.7878929988912611,Java_high_Java_low_results.csv
48,63,rectangle,high,low,0.8458883200536637,Java_high_Java_low_results.csv
68,41,rectangle,high,low,0.7663635420195831,Java_high_Java_low_results.csv
48,43,rectangle,high,low,0.7895900173404398,Java_high_Java_low_results.csv
48,64,rectangle,high,low,0.8397702929658625,Java_high_Java_low_results.csv
48,138,rectangle,high,low,0.7694109975995156,Java_high_Java_low_results.csv
48,65,rectangle,high,low,0.7953437673224072,Java_high_Java_low_results.csv
48,132,rectangle,high,low,0.837674271002462,Java_high_Java_low_results.csv
48,67,rectangle,high,low,0.8726060773512152,Java_high_Java_low_results.csv
48,128,rectangle,high,low,0.7945794721040912,Java_high_Java_low_results.csv
48,71,rectangle,high,low,0.8504563601956124,Java_high_Java_low_results.csv
48,126,rectangle,high,low,0.8298231100576947,Java_high_Java_low_results.csv
48,74,rectangle,high,low,0.7542444739031684,Java_high_Java_low_results.csv
48,179,rectangle,high,low,0.8311111976520166,Java_high_Java_low_results.csv
48,104,rectangle,high,low,0.8379541848004354,Java_high_Java_low_results.csv
48,124,rectangle,high,low,0.7421287840186165,Java_high_Java_low_results.csv
48,77,rectangle,high,low,0.8527071294577466,Java_high_Java_low_results.csv
48,78,rectangle,high,low,0.7172752451814474,Java_high_Java_low_results.csv
48,107,rectangle,high,low,0.8362204026636741,Java_high_Java_low_results.csv
48,79,rectangle,high,low,0.779528676766037,Java_high_Java_low_results.csv
68,180,rectangle,high,low,0.7801078534906246,Java_high_Java_low_results.csv
68,138,rectangle,high,low,0.7610851795053997,Java_high_Java_low_results.csv
68,107,rectangle,high,low,0.8095517110881889,Java_high_Java_low_results.csv
68,164,rectangle,high,low,0.8229935692050377,Java_high_Java_low_results.csv
68,162,rectangle,high,low,0.8221835520171299,Java_high_Java_low_results.csv
68,104,rectangle,high,low,0.793369473956417,Java_high_Java_low_results.csv
68,126,rectangle,high,low,0.7993056778266993,Java_high_Java_low_results.csv
68,140,rectangle,high,low,0.7246375308777672,Java_high_Java_low_results.csv
68,186,rectangle,high,low,0.7572774469647154,Java_high_Java_low_results.csv
69,27,rectangle,high,low,0.8920353623540336,Java_high_Java_low_results.csv
69,13,rectangle,high,low,0.7457584519848266,Java_high_Java_low_results.csv
69,29,rectangle,high,low,0.7878847437499487,Java_high_Java_low_results.csv
68,124,rectangle,high,low,0.7709530002616475,Java_high_Java_low_results.csv
68,128,rectangle,high,low,0.7565844895142309,Java_high_Java_low_results.csv
68,176,rectangle,high,low,0.8190008337898275,Java_high_Java_low_results.csv
69,35,rectangle,high,low,0.7177851548576509,Java_high_Java_low_results.csv
68,200,rectangle,high,low,0.7982759635486459,Java_high_Java_low_results.csv
69,43,rectangle,high,low,0.8057771059297724,Java_high_Java_low_results.csv
69,56,rectangle,high,low,0.7776038653431594,Java_high_Java_low_results.csv
69,44,rectangle,high,low,0.7689673121459455,Java_high_Java_low_results.csv
69,37,rectangle,high,low,0.8077907786200853,Java_high_Java_low_results.csv
69,34,rectangle,high,low,0.7469729880830634,Java_high_Java_low_results.csv
69,65,rectangle,high,low,0.9266067924273462,Java_high_Java_low_results.csv
69,31,rectangle,high,low,0.7306240028757114,Java_high_Java_low_results.csv
68,208,rectangle,high,low,0.7905894244740876,Java_high_Java_low_results.csv
68,182,rectangle,high,low,0.7542894076994314,Java_high_Java_low_results.csv
69,74,rectangle,high,low,0.7995398968761878,Java_high_Java_low_results.csv
68,132,rectangle,high,low,0.8307743820183028,Java_high_Java_low_results.csv
69,67,rectangle,high,low,0.8220169861411231,Java_high_Java_low_results.csv
69,94,rectangle,high,low,0.8498163586773977,Java_high_Java_low_results.csv
69,60,rectangle,high,low,0.7158735508344732,Java_high_Java_low_results.csv
69,101,rectangle,high,low,0.842736220928249,Java_high_Java_low_results.csv
69,99,rectangle,high,low,0.7937446999789936,Java_high_Java_low_results.csv
69,71,rectangle,high,low,0.9183629607623108,Java_high_Java_low_results.csv
69,78,rectangle,high,low,0.7693097547015794,Java_high_Java_low_results.csv
69,21,rectangle,high,low,0.7956006129398108,Java_high_Java_low_results.csv
69,79,rectangle,high,low,0.7642688385581751,Java_high_Java_low_results.csv
69,124,rectangle,high,low,0.8177924285184834,Java_high_Java_low_results.csv
69,140,rectangle,high,low,0.8203700502258372,Java_high_Java_low_results.csv
69,77,rectangle,high,low,0.7958733638198179,Java_high_Java_low_results.csv
69,138,rectangle,high,low,0.7696767225731271,Java_high_Java_low_results.csv
69,128,rectangle,high,low,0.7523402175190228,Java_high_Java_low_results.csv
69,180,rectangle,high,low,0.8107382576230987,Java_high_Java_low_results.csv
68,179,rectangle,high,low,0.8493650597429312,Java_high_Java_low_results.csv
69,63,rectangle,high,low,0.8219609111023896,Java_high_Java_low_results.csv
69,162,rectangle,high,low,0.8079844005003829,Java_high_Java_low_results.csv
80,13,rectangle,high,low,0.869249406695686,Java_high_Java_low_results.csv
69,41,rectangle,high,low,0.7706737342824683,Java_high_Java_low_results.csv
69,64,rectangle,high,low,0.8242738470060141,Java_high_Java_low_results.csv
80,34,rectangle,high,low,0.8653666543656501,Java_high_Java_low_results.csv
80,21,rectangle,high,low,0.8508502725433482,Java_high_Java_low_results.csv
80,31,rectangle,high,low,0.8554719923255449,Java_high_Java_low_results.csv
69,186,rectangle,high,low,0.7582797355881561,Java_high_Java_low_results.csv
80,29,rectangle,high,low,0.8416240398148138,Java_high_Java_low_results.csv
69,200,rectangle,high,low,0.8339113524833855,Java_high_Java_low_results.csv
80,27,rectangle,high,low,0.8486318382554944,Java_high_Java_low_results.csv
69,107,rectangle,high,low,0.8241226268167113,Java_high_Java_low_results.csv
69,208,rectangle,high,low,0.8124944203916178,Java_high_Java_low_results.csv
80,43,rectangle,high,low,0.8556372753905048,Java_high_Java_low_results.csv
80,56,rectangle,high,low,0.8516352943316194,Java_high_Java_low_results.csv
69,182,rectangle,high,low,0.780200399025079,Java_high_Java_low_results.csv
80,44,rectangle,high,low,0.827510664570399,Java_high_Java_low_results.csv
80,37,rectangle,high,low,0.8700206660198719,Java_high_Java_low_results.csv
80,65,rectangle,high,low,0.846650081408218,Java_high_Java_low_results.csv
69,132,rectangle,high,low,0.8361564660684063,Java_high_Java_low_results.csv
80,71,rectangle,high,low,0.8367086110402234,Java_high_Java_low_results.csv
80,74,rectangle,high,low,0.8172941795874833,Java_high_Java_low_results.csv
80,41,rectangle,high,low,0.865124406649496,Java_high_Java_low_results.csv
80,67,rectangle,high,low,0.8250166053324987,Java_high_Java_low_results.csv
80,63,rectangle,high,low,0.8660400657683461,Java_high_Java_low_results.csv
80,35,rectangle,high,low,0.8616863053590389,Java_high_Java_low_results.csv
80,78,rectangle,high,low,0.8502698251033323,Java_high_Java_low_results.csv
80,99,rectangle,high,low,0.797269314216274,Java_high_Java_low_results.csv
80,79,rectangle,high,low,0.8570627323961948,Java_high_Java_low_results.csv
80,101,rectangle,high,low,0.8287529406209773,Java_high_Java_low_results.csv
69,164,rectangle,high,low,0.8343265388415326,Java_high_Java_low_results.csv
80,60,rectangle,high,low,0.8481902696728701,Java_high_Java_low_results.csv
80,107,rectangle,high,low,0.8930202162861577,Java_high_Java_low_results.csv
80,77,rectangle,high,low,0.8811571240932425,Java_high_Java_low_results.csv
69,104,rectangle,high,low,0.8194302968420527,Java_high_Java_low_results.csv
80,104,rectangle,high,low,0.8649300233883822,Java_high_Java_low_results.csv
80,126,rectangle,high,low,0.8540915136419693,Java_high_Java_low_results.csv
80,140,rectangle,high,low,0.8201408793638258,Java_high_Java_low_results.csv
80,138,rectangle,high,low,0.8664428803417809,Java_high_Java_low_results.csv
80,94,rectangle,high,low,0.8274097964196488,Java_high_Java_low_results.csv
80,164,rectangle,high,low,0.8387737322636183,Java_high_Java_low_results.csv
80,124,rectangle,high,low,0.8342190707601903,Java_high_Java_low_results.csv
69,176,rectangle,high,low,0.7930599423609233,Java_high_Java_low_results.csv
80,132,rectangle,high,low,0.8944879970903488,Java_high_Java_low_results.csv
69,126,rectangle,high,low,0.763769299987423,Java_high_Java_low_results.csv
80,186,rectangle,high,low,0.85066328425249,Java_high_Java_low_results.csv
80,200,rectangle,high,low,0.8582446136536598,Java_high_Java_low_results.csv
82,27,rectangle,high,low,0.8740516404323335,Java_high_Java_low_results.csv
80,180,rectangle,high,low,0.8374737872553477,Java_high_Java_low_results.csv
80,179,rectangle,high,low,0.9087638409681646,Java_high_Java_low_results.csv
80,176,rectangle,high,low,0.9031288434364748,Java_high_Java_low_results.csv
80,208,rectangle,high,low,0.8645633950349821,Java_high_Java_low_results.csv
80,64,rectangle,high,low,0.9008120967067066,Java_high_Java_low_results.csv
82,29,rectangle,high,low,0.7738724187186269,Java_high_Java_low_results.csv
80,128,rectangle,high,low,0.8286415843192229,Java_high_Java_low_results.csv
82,43,rectangle,high,low,0.7924246207529615,Java_high_Java_low_results.csv
82,21,rectangle,high,low,0.7837879213101018,Java_high_Java_low_results.csv
82,34,rectangle,high,low,0.7689457711995976,Java_high_Java_low_results.csv
82,56,rectangle,high,low,0.7360999373076365,Java_high_Java_low_results.csv
82,31,rectangle,high,low,0.7553761559137581,Java_high_Java_low_results.csv
82,65,rectangle,high,low,0.9030125833102012,Java_high_Java_low_results.csv
80,162,rectangle,high,low,0.8705009041282081,Java_high_Java_low_results.csv
82,71,rectangle,high,low,0.8962633513134947,Java_high_Java_low_results.csv
82,41,rectangle,high,low,0.7800552804792688,Java_high_Java_low_results.csv
82,74,rectangle,high,low,0.791615492704693,Java_high_Java_low_results.csv
82,60,rectangle,high,low,0.7229533564463295,Java_high_Java_low_results.csv
80,182,rectangle,high,low,0.8784897975570605,Java_high_Java_low_results.csv
82,35,rectangle,high,low,0.7330095015435251,Java_high_Java_low_results.csv
82,94,rectangle,high,low,0.815277916622644,Java_high_Java_low_results.csv
82,37,rectangle,high,low,0.8041063442954134,Java_high_Java_low_results.csv
82,78,rectangle,high,low,0.7166725844077362,Java_high_Java_low_results.csv
82,101,rectangle,high,low,0.8257950245712807,Java_high_Java_low_results.csv
82,77,rectangle,high,low,0.7999558286762337,Java_high_Java_low_results.csv
82,107,rectangle,high,low,0.8279554879041165,Java_high_Java_low_results.csv
82,138,rectangle,high,low,0.7783265228231815,Java_high_Java_low_results.csv
82,104,rectangle,high,low,0.8110404961476188,Java_high_Java_low_results.csv
82,79,rectangle,high,low,0.7333136548830664,Java_high_Java_low_results.csv
82,44,rectangle,high,low,0.7428626828849503,Java_high_Java_low_results.csv
82,140,rectangle,high,low,0.7702064852802718,Java_high_Java_low_results.csv
82,99,rectangle,high,low,0.7542639784168534,Java_high_Java_low_results.csv
82,126,rectangle,high,low,0.7685510028941113,Java_high_Java_low_results.csv
82,67,rectangle,high,low,0.8015676493610442,Java_high_Java_low_results.csv
82,13,rectangle,high,low,0.7640011506630575,Java_high_Java_low_results.csv
82,180,rectangle,high,low,0.7573818026757121,Java_high_Java_low_results.csv
82,162,rectangle,high,low,0.8023991457489575,Java_high_Java_low_results.csv
82,164,rectangle,high,low,0.8142862739542384,Java_high_Java_low_results.csv
82,132,rectangle,high,low,0.8403990524366188,Java_high_Java_low_results.csv
82,186,rectangle,high,low,0.7367418438517506,Java_high_Java_low_results.csv
82,128,rectangle,high,low,0.7485472904020829,Java_high_Java_low_results.csv
82,63,rectangle,high,low,0.7966766616970978,Java_high_Java_low_results.csv
69,179,rectangle,high,low,0.8053754630078983,Java_high_Java_low_results.csv
82,124,rectangle,high,low,0.8000838094434058,Java_high_Java_low_results.csv
82,176,rectangle,high,low,0.7926960650027384,Java_high_Java_low_results.csv
82,179,rectangle,high,low,0.7956199011446268,Java_high_Java_low_results.csv
82,200,rectangle,high,low,0.8296453983743824,Java_high_Java_low_results.csv
82,182,rectangle,high,low,0.7826538822652596,Java_high_Java_low_results.csv
86,29,rectangle,high,low,0.8625322392976884,Java_high_Java_low_results.csv
86,35,rectangle,high,low,0.8547499501009214,Java_high_Java_low_results.csv
82,64,rectangle,high,low,0.824328998430918,Java_high_Java_low_results.csv
86,13,rectangle,high,low,0.8205408744144492,Java_high_Java_low_results.csv
86,34,rectangle,high,low,0.8558880675784343,Java_high_Java_low_results.csv
86,37,rectangle,high,low,0.8652106232191488,Java_high_Java_low_results.csv
82,208,rectangle,high,low,0.7870734271038398,Java_high_Java_low_results.csv
86,65,rectangle,high,low,0.9553657772207126,Java_high_Java_low_results.csv
86,71,rectangle,high,low,0.940040619857458,Java_high_Java_low_results.csv
86,31,rectangle,high,low,0.8377689910138804,Java_high_Java_low_results.csv
86,67,rectangle,high,low,0.8968272936644043,Java_high_Java_low_results.csv
86,27,rectangle,high,low,0.9239147280720292,Java_high_Java_low_results.csv
86,60,rectangle,high,low,0.8347244429910238,Java_high_Java_low_results.csv
86,63,rectangle,high,low,0.8504663761070551,Java_high_Java_low_results.csv
86,101,rectangle,high,low,0.8940564238378528,Java_high_Java_low_results.csv
86,78,rectangle,high,low,0.8458452611507508,Java_high_Java_low_results.csv
86,74,rectangle,high,low,0.9015873214054532,Java_high_Java_low_results.csv
86,79,rectangle,high,low,0.8270232530142547,Java_high_Java_low_results.csv
86,44,rectangle,high,low,0.874232055815795,Java_high_Java_low_results.csv
86,107,rectangle,high,low,0.8596522425400742,Java_high_Java_low_results.csv
86,104,rectangle,high,low,0.8778006686685629,Java_high_Java_low_results.csv
86,124,rectangle,high,low,0.883965677187711,Java_high_Java_low_results.csv
86,77,rectangle,high,low,0.8346996259780918,Java_high_Java_low_results.csv
86,56,rectangle,high,low,0.8547719387908684,Java_high_Java_low_results.csv
86,43,rectangle,high,low,0.9026812834771052,Java_high_Java_low_results.csv
86,128,rectangle,high,low,0.8489455738854185,Java_high_Java_low_results.csv
86,138,rectangle,high,low,0.8638347127614416,Java_high_Java_low_results.csv
86,140,rectangle,high,low,0.8816229694864586,Java_high_Java_low_results.csv
86,99,rectangle,high,low,0.8715151043965277,Java_high_Java_low_results.csv
86,94,rectangle,high,low,0.9070540492592056,Java_high_Java_low_results.csv
86,180,rectangle,high,low,0.8809609507020435,Java_high_Java_low_results.csv
87,13,rectangle,high,low,0.7785333702567424,Java_high_Java_low_results.csv
87,27,rectangle,high,low,0.8632529427864505,Java_high_Java_low_results.csv
87,21,rectangle,high,low,0.7901880778883655,Java_high_Java_low_results.csv
86,132,rectangle,high,low,0.8455150131816513,Java_high_Java_low_results.csv
87,31,rectangle,high,low,0.7564781123222571,Java_high_Java_low_results.csv
86,182,rectangle,high,low,0.8080588350240444,Java_high_Java_low_results.csv
87,34,rectangle,high,low,0.7313142536249422,Java_high_Java_low_results.csv
86,21,rectangle,high,low,0.8330548795181235,Java_high_Java_low_results.csv
86,208,rectangle,high,low,0.8641795444493123,Java_high_Java_low_results.csv
87,35,rectangle,high,low,0.7247559884742801,Java_high_Java_low_results.csv
87,37,rectangle,high,low,0.744695171989298,Java_high_Java_low_results.csv
87,56,rectangle,high,low,0.7886903242834694,Java_high_Java_low_results.csv
87,44,rectangle,high,low,0.7789786549768977,Java_high_Java_low_results.csv
87,29,rectangle,high,low,0.7504851594059998,Java_high_Java_low_results.csv
87,65,rectangle,high,low,0.8873067566423137,Java_high_Java_low_results.csv
87,41,rectangle,high,low,0.7782481156459806,Java_high_Java_low_results.csv
87,43,rectangle,high,low,0.7941324878205117,Java_high_Java_low_results.csv
87,74,rectangle,high,low,0.7628386403743496,Java_high_Java_low_results.csv
86,41,rectangle,high,low,0.8503974000671607,Java_high_Java_low_results.csv
87,60,rectangle,high,low,0.7496635431034833,Java_high_Java_low_results.csv
87,67,rectangle,high,low,0.800020608394923,Java_high_Java_low_results.csv
87,63,rectangle,high,low,0.7974939511656917,Java_high_Java_low_results.csv
86,164,rectangle,high,low,0.8982143270195635,Java_high_Java_low_results.csv
87,94,rectangle,high,low,0.7862443562389057,Java_high_Java_low_results.csv
87,71,rectangle,high,low,0.9033161841760964,Java_high_Java_low_results.csv
86,179,rectangle,high,low,0.7939293345867459,Java_high_Java_low_results.csv
87,64,rectangle,high,low,0.802149970767664,Java_high_Java_low_results.csv
87,101,rectangle,high,low,0.799978631818647,Java_high_Java_low_results.csv
87,78,rectangle,high,low,0.7292230471983616,Java_high_Java_low_results.csv
87,107,rectangle,high,low,0.8213377974143452,Java_high_Java_low_results.csv
87,77,rectangle,high,low,0.8051922338569755,Java_high_Java_low_results.csv
87,104,rectangle,high,low,0.8032594726150944,Java_high_Java_low_results.csv
87,140,rectangle,high,low,0.7705597738202505,Java_high_Java_low_results.csv
87,138,rectangle,high,low,0.7245589464298071,Java_high_Java_low_results.csv
86,64,rectangle,high,low,0.838943151021246,Java_high_Java_low_results.csv
87,126,rectangle,high,low,0.792444833004733,Java_high_Java_low_results.csv
87,164,rectangle,high,low,0.791656669296448,Java_high_Java_low_results.csv
87,162,rectangle,high,low,0.8115069046171866,Java_high_Java_low_results.csv
87,180,rectangle,high,low,0.7924908299692092,Java_high_Java_low_results.csv
87,99,rectangle,high,low,0.7655516515794796,Java_high_Java_low_results.csv
87,128,rectangle,high,low,0.7612265307959214,Java_high_Java_low_results.csv
87,132,rectangle,high,low,0.8265359053241429,Java_high_Java_low_results.csv
