exp_a,exp_b,trial_id,expertise_a,expertise_b,score
1,169,2,high,medium,0.7551927020005563
26,191,2,high,medium,0.7866830655825554
48,15,2,high,medium,0.8326083252444484
26,115,2,high,medium,0.8351377871477517
48,51,2,high,medium,0.7503420375649982
26,192,2,high,medium,0.8754888671816516
1,105,2,high,medium,0.8914452536935479
48,16,2,high,medium,0.8466248243451134
26,117,2,high,medium,0.780551508932509
48,53,2,high,medium,0.8629704830106377
1,32,2,high,medium,0.865165592167506
1,81,2,high,medium,0.8247719306117707
26,194,2,high,medium,0.862963120934825
48,17,2,high,medium,0.8220966860916528
26,120,2,high,medium,0.8536259030470389
48,54,2,high,medium,0.7998130833717274
26,91,2,high,medium,0.7393509049915642
1,83,2,high,medium,0.8377848973436738
1,112,2,high,medium,0.8442947691684911
26,61,2,high,medium,0.7860284978516172
48,18,2,high,medium,0.8118046355077383
26,197,2,high,medium,0.8426858425692907
48,55,2,high,medium,0.8777663721251244
1,17,2,high,medium,0.8879547951010126
1,84,2,high,medium,0.807368458354804
1,97,2,high,medium,0.8196101359979914
48,57,2,high,medium,0.8612231874871573
26,125,2,high,medium,0.874693629813551
26,62,2,high,medium,0.8215433001886115
26,202,2,high,medium,0.8761387395125632
1,115,2,high,medium,0.8670515614821104
1,88,2,high,medium,0.8590888597821263
48,58,2,high,medium,0.773176607994822
26,66,2,high,medium,0.8721070223277325
1,117,2,high,medium,0.8327721878038036
48,20,2,high,medium,0.8136151756423653
1,143,2,high,medium,0.8174627562624074
26,97,2,high,medium,0.757556748709936
26,135,2,high,medium,0.8808710003826951
48,61,2,high,medium,0.7369496578809263
1,91,2,high,medium,0.8583590903131972
1,120,2,high,medium,0.8534239786856611
1,16,2,high,medium,0.846857841604957
48,24,2,high,medium,0.7898562988623906
26,151,2,high,medium,0.8575642672637082
26,142,2,high,medium,0.7517916413456497
1,145,2,high,medium,0.8690325194589001
26,72,2,high,medium,0.8222775861948369
48,66,2,high,medium,0.816378034127749
1,147,2,high,medium,0.8604655919785539
26,73,2,high,medium,0.8250738175458905
26,143,2,high,medium,0.7571363841444951
1,125,2,high,medium,0.8647976582845371
1,24,2,high,medium,0.8863779228627711
1,151,2,high,medium,0.9097683270875723
1,185,2,high,medium,0.8689870759078455
