exp_a,exp_b,trial_id,expertise_a,expertise_b,score
80,116,2,high,none,0.9079153820800818
69,28,2,high,none,0.7931860468983422
69,204,2,high,none,0.9691838608658796
1,216,2,high,none,0.8339661562037188
82,5,2,high,none,0.8409450256975429
80,110,2,high,none,0.9216284385699555
69,12,2,high,none,0.839108561876551
1,36,2,high,none,0.8761054256514529
69,201,2,high,none,0.8336262663445442
48,36,2,high,none,0.8569444086581476
82,3,2,high,none,0.7867823436415261
80,106,2,high,none,0.8450820652227126
26,38,2,high,none,0.8806649278235893
69,5,2,high,none,0.7856016608763219
48,110,2,high,none,0.8709260824861709
69,196,2,high,none,0.8575284609676895
80,96,2,high,none,0.8973246517196141
48,30,2,high,none,0.753102559872672
80,216,2,high,none,0.8477714878763902
69,189,2,high,none,0.8223936995097845
48,201,2,high,none,0.8229203802620091
48,116,2,high,none,0.7564718571047542
48,96,2,high,none,0.7194860704042981
48,28,2,high,none,0.8781619593065733
69,181,2,high,none,0.801532881918887
1,38,2,high,none,0.883103064662431
48,141,2,high,none,0.772343433582743
48,12,2,high,none,0.806109917947417
82,163,2,high,none,0.8085273269878828
80,59,2,high,none,0.9000399409227124
69,163,2,high,none,0.8556650581242566
69,3,2,high,none,0.8839292042142799
48,154,2,high,none,0.8168434339962352
80,211,2,high,none,0.9319667335817049
48,5,2,high,none,0.8550562675162411
82,154,2,high,none,0.8141784672469278
80,93,2,high,none,0.8029573274330869
68,216,2,high,none,0.8818724788060107
80,38,2,high,none,0.9007880636534056
69,110,2,high,none,0.8213628890642786
48,163,2,high,none,0.8038429939955328
69,154,2,high,none,0.8693693233335742
48,181,2,high,none,0.8726035108014778
1,201,2,high,none,0.8606594910720268
26,216,2,high,none,0.8615868993674123
26,154,2,high,none,0.8217513415875716
48,189,2,high,none,0.738052911764147
26,204,2,high,none,0.9494129469658822
1,196,2,high,none,0.8326858433602214
69,141,2,high,none,0.8419392664957221
48,196,2,high,none,0.8143725671267811
1,163,2,high,none,0.8065417826628571
86,38,2,high,none,0.9037817230849258
48,3,2,high,none,0.7484784487071942
26,28,2,high,none,0.8522935194336483
26,196,2,high,none,0.8182975356571929
26,110,2,high,none,0.854015924902371
86,36,2,high,none,0.930552826269685
80,204,2,high,none,0.9107449652088013
48,211,2,high,none,0.8528097482899674
1,189,2,high,none,0.8146055611198575
26,189,2,high,none,0.7934557913455725
26,12,2,high,none,0.8316664635192196
26,106,2,high,none,0.829943896336352
26,211,2,high,none,0.8324831086938718
86,30,2,high,none,0.9187994576219718
48,59,2,high,none,0.8113058328125703
26,181,2,high,none,0.8614006043576421
26,5,2,high,none,0.8395193146334635
80,28,2,high,none,0.9325174002867634
26,96,2,high,none,0.7500690091685452
86,28,2,high,none,0.8423207520829273
26,3,2,high,none,0.8188882938964837
26,93,2,high,none,0.8821476798078295
