exp_a,exp_b,trial_id,expertise_a,expertise_b,score
13,62,2,low,medium,0.8526221737442681
13,6,2,low,medium,0.8300318286772603
13,66,2,low,medium,0.9309723316342923
13,97,2,low,medium,0.8311266306475396
13,89,2,low,medium,0.8532273284468295
13,147,2,low,medium,0.7739580480963913
13,143,2,low,medium,0.8511678648053097
13,142,2,low,medium,0.8509893712933199
13,55,2,low,medium,0.7999022702169369
13,135,2,low,medium,0.8020185181597086
21,73,2,low,medium,0.8485894730049184
13,15,2,low,medium,0.8524246133143372
21,25,2,low,medium,0.7526103787747431
13,61,2,low,medium,0.8421982362410345
21,72,2,low,medium,0.8336596329744336
13,206,2,low,medium,0.825431353712267
21,33,2,low,medium,0.8644091304907111
13,125,2,low,medium,0.8718165078127632
13,88,2,low,medium,0.8852657030734736
13,73,2,low,medium,0.8455906795926085
21,66,2,low,medium,0.8970067855984832
13,53,2,low,medium,0.8685010696604684
13,120,2,low,medium,0.8237187917848414
13,202,2,low,medium,0.8562474266564322
13,117,2,low,medium,0.8594356393987903
21,62,2,low,medium,0.8380152650891036
13,50,2,low,medium,0.9032634547121434
13,197,2,low,medium,0.8436697283822084
21,32,2,low,medium,0.7773263180243799
13,207,2,low,medium,0.8404554481345621
13,115,2,low,medium,0.7381016608883121
21,61,2,low,medium,0.8455416929505483
21,24,2,low,medium,0.8614653543638943
13,14,2,low,medium,0.7672976190413028
13,51,2,low,medium,0.8857077471671727
13,20,2,low,medium,0.7861576409588712
13,194,2,low,medium,0.794497554962632
13,24,2,low,medium,0.873164237303975
13,112,2,low,medium,0.8141838646132852
21,58,2,low,medium,0.8435586714233848
21,20,2,low,medium,0.8237018154964582
13,192,2,low,medium,0.7742258444660697
13,108,2,low,medium,0.9090007930325424
21,57,2,low,medium,0.8725476131788916
13,191,2,low,medium,0.8411156688123016
13,105,2,low,medium,0.790199915482
21,55,2,low,medium,0.8261833338215102
21,18,2,low,medium,0.8704247276379692
13,190,2,low,medium,0.8653430304757267
13,75,2,low,medium,0.8667136016445431
21,54,2,low,medium,0.8806796553734688
21,17,2,low,medium,0.8051028012010674
13,185,2,low,medium,0.7801311247943145
13,145,2,low,medium,0.8049810331211869
21,53,2,low,medium,0.8098427905984857
21,16,2,low,medium,0.797678279858791
13,42,2,low,medium,0.9087579854386472
13,4,2,low,medium,0.8090129774795728
13,171,2,low,medium,0.837656720969714
13,155,2,low,medium,0.857223282953746
13,18,2,low,medium,0.8851167888875365
21,51,2,low,medium,0.8630041300294308
21,15,2,low,medium,0.7926482523639464
13,72,2,low,medium,0.8441584409007676
13,169,2,low,medium,0.8627958854226079
13,40,2,low,medium,0.8292015735586779
21,50,2,low,medium,0.83632544775822
21,14,2,low,medium,0.8158122249100599
13,168,2,low,medium,0.7961029766031233
13,84,2,low,medium,0.8566703693676508
21,42,2,low,medium,0.8825275078112175
21,6,2,low,medium,0.8225361277672391
13,33,2,low,medium,0.8356588849215787
13,91,2,low,medium,0.8354496843282911
21,4,2,low,medium,0.7927224561420139
21,40,2,low,medium,0.8472339649636926
13,215,2,low,medium,0.8797311584393163
13,214,2,low,medium,0.787640244945841
13,212,2,low,medium,0.7996134646891545
13,81,2,low,medium,0.8858846587191491
13,58,2,low,medium,0.8171641268095738
13,210,2,low,medium,0.8678957572808527
13,158,2,low,medium,0.7887851982176843
13,203,2,low,medium,0.9018159696475484
13,16,2,low,medium,0.7555038880115841
13,151,2,low,medium,0.791157127223042
13,83,2,low,medium,0.8510965224311006
13,32,2,low,medium,0.7840926886623902
13,54,2,low,medium,0.8697526457573189
13,17,2,low,medium,0.8098123495707259
13,25,2,low,medium,0.7611608013216511
13,57,2,low,medium,0.8788363841820537
21,88,2,low,medium,0.8738734892839274
21,108,2,low,medium,0.8954476561147032
21,125,2,low,medium,0.8651078109342302
21,143,2,low,medium,0.8636078035628112
21,115,2,low,medium,0.7994279669682012
21,105,2,low,medium,0.813964879802591
21,120,2,low,medium,0.8101288608220975
21,142,2,low,medium,0.8414125577051481
21,112,2,low,medium,0.7797163975207672
21,117,2,low,medium,0.8556988629533224
21,91,2,low,medium,0.8694014176609459
21,97,2,low,medium,0.784191427638618
21,75,2,low,medium,0.8320981569529214
21,84,2,low,medium,0.8304998419472385
21,81,2,low,medium,0.8590594402019661
21,135,2,low,medium,0.7508959608425025
21,145,2,low,medium,0.8145973801328116
21,83,2,low,medium,0.8479935134408813
21,89,2,low,medium,0.8381613394501707
21,147,2,low,medium,0.7955841392692731
21,158,2,low,medium,0.80578103597009
21,190,2,low,medium,0.8723346806324712
21,185,2,low,medium,0.7686885274398219
21,203,2,low,medium,0.8870429594437738
21,169,2,low,medium,0.8238537263049034
21,155,2,low,medium,0.8538020855045421
21,210,2,low,medium,0.8530544321865756
21,191,2,low,medium,0.8372980539585289
27,4,2,low,medium,0.8949030459420398
27,6,2,low,medium,0.8290920538713358
21,206,2,low,medium,0.8130127805585622
21,168,2,low,medium,0.8025310011684886
21,171,2,low,medium,0.8389732682606301
27,14,2,low,medium,0.8486635011382516
21,192,2,low,medium,0.8118181603734519
27,15,2,low,medium,0.8863093425630363
27,16,2,low,medium,0.8928339780901776
27,17,2,low,medium,0.8799438338607216
21,212,2,low,medium,0.8017188986687667
21,207,2,low,medium,0.8315872934223191
21,197,2,low,medium,0.8538703233295728
21,214,2,low,medium,0.7799427223896461
27,18,2,low,medium,0.8908578014077033
21,215,2,low,medium,0.8487259939912368
27,24,2,low,medium,0.9012983792388389
27,32,2,low,medium,0.868741607058902
27,33,2,low,medium,0.8844356817720191
27,25,2,low,medium,0.8990418802845105
27,20,2,low,medium,0.9024333487756915
