exp_a,exp_b,trial_id,expertise_a,expertise_b,score
31,201,2,low,none,0.7859309178122936
31,30,2,low,none,0.8408932735506488
31,12,2,low,none,0.8429337312520335
27,5,2,low,none,0.8630741857225704
31,189,2,low,none,0.8262926730265495
29,59,2,low,none,0.8495458081845748
27,3,2,low,none,0.8307410123951994
27,201,2,low,none,0.8596420533514414
31,204,2,low,none,0.9613985417270512
27,93,2,low,none,0.862842505090197
21,216,2,low,none,0.8778935859663809
21,189,2,low,none,0.8327647706522976
29,116,2,low,none,0.8336603026304736
21,201,2,low,none,0.8329811996325337
21,211,2,low,none,0.7491707300748569
34,110,2,low,none,0.8788432902098766
21,106,2,low,none,0.8655658451056233
21,204,2,low,none,0.963599929432357
13,36,2,low,none,0.8540152152866363
21,196,2,low,none,0.8122400529218778
27,204,2,low,none,0.8690259055042769
29,141,2,low,none,0.7858291484250007
13,59,2,low,none,0.877914055392585
31,5,2,low,none,0.7520266303535933
21,181,2,low,none,0.7927863931126393
35,30,2,low,none,0.8326371626295174
21,163,2,low,none,0.8479588161929423
35,28,2,low,none,0.7773267081219563
21,154,2,low,none,0.8383498323872366
13,116,2,low,none,0.8017680346352494
35,12,2,low,none,0.834041191901113
21,141,2,low,none,0.8198783052159903
13,141,2,low,none,0.8643690912876006
21,59,2,low,none,0.8545598874222999
27,189,2,low,none,0.8125767022012139
27,12,2,low,none,0.8950689991239001
21,116,2,low,none,0.8168555644597613
35,5,2,low,none,0.7471068621224093
21,38,2,low,none,0.8317196884430509
31,28,2,low,none,0.7551783897399712
29,106,2,low,none,0.7991953194324286
27,181,2,low,none,0.8285622136689426
21,110,2,low,none,0.7813082613385902
21,36,2,low,none,0.8594889668593207
35,3,2,low,none,0.8654313565195342
27,163,2,low,none,0.8220090298092856
21,30,2,low,none,0.8539409452195657
34,216,2,low,none,0.8618001532481407
13,30,2,low,none,0.8581472273480849
27,154,2,low,none,0.9033515887407536
13,28,2,low,none,0.8031611160645398
13,12,2,low,none,0.8588298352567728
13,38,2,low,none,0.8785194231005949
34,116,2,low,none,0.7818182511773587
21,28,2,low,none,0.757554084964091
34,211,2,low,none,0.8458208759367488
34,106,2,low,none,0.8552605378594613
27,141,2,low,none,0.8925319447100554
13,216,2,low,none,0.9038334366676214
27,59,2,low,none,0.8935310478912524
21,12,2,low,none,0.7986856669880997
34,204,2,low,none,0.946603224885409
34,96,2,low,none,0.827175039207478
27,116,2,low,none,0.8476135456643813
21,5,2,low,none,0.7860529458817014
13,211,2,low,none,0.76770401552738
34,201,2,low,none,0.825717598057836
27,110,2,low,none,0.8582474402037553
34,93,2,low,none,0.9037814786765157
31,181,2,low,none,0.7501983677644124
34,196,2,low,none,0.8205560500905307
29,93,2,low,none,0.8560832993904649
27,196,2,low,none,0.9097990266679541
13,204,2,low,none,0.9709230322744418
31,3,2,low,none,0.8633133605510427
27,106,2,low,none,0.848755335559922
34,59,2,low,none,0.8281817987244569
34,189,2,low,none,0.7867340673526569
31,163,2,low,none,0.8443682623884348
13,201,2,low,none,0.8287056920437065
31,196,2,low,none,0.8589314364185674
29,216,2,low,none,0.8554592139814413
34,38,2,low,none,0.9018543515675606
27,96,2,low,none,0.8834969048236208
34,181,2,low,none,0.8695570521310108
13,196,2,low,none,0.8689201361854876
31,154,2,low,none,0.8671694936715121
29,211,2,low,none,0.8813728240104444
34,36,2,low,none,0.8845283727295432
34,163,2,low,none,0.8152629358467036
29,38,2,low,none,0.8095506745924661
13,189,2,low,none,0.8491986293091643
31,141,2,low,none,0.8545539875019292
29,204,2,low,none,0.9408812944083678
34,30,2,low,none,0.8238625720758754
29,96,2,low,none,0.8106210594234102
21,96,2,low,none,0.8559479797464448
34,154,2,low,none,0.8353077134928367
29,36,2,low,none,0.863175587208004
13,181,2,low,none,0.7958360689099704
13,3,2,low,none,0.8881649550631657
31,116,2,low,none,0.7808170274818865
29,201,2,low,none,0.8553805442619167
34,28,2,low,none,0.8780385578473664
13,5,2,low,none,0.7780485079467865
29,30,2,low,none,0.8182943821980968
13,163,2,low,none,0.8473672390525155
34,141,2,low,none,0.7993235652999763
29,110,2,low,none,0.8904159543546558
31,110,2,low,none,0.7700017272737429
29,196,2,low,none,0.7915968179255803
34,12,2,low,none,0.8149772591487138
21,3,2,low,none,0.8574596412420452
13,110,2,low,none,0.8157505389075832
29,28,2,low,none,0.8579589909774231
31,106,2,low,none,0.855014872836525
29,189,2,low,none,0.7834575118967326
34,5,2,low,none,0.8585163896943848
13,106,2,low,none,0.8981417973958965
13,154,2,low,none,0.8895712013430046
29,12,2,low,none,0.8038413182091919
31,96,2,low,none,0.8187949215759616
29,181,2,low,none,0.888918851983931
34,3,2,low,none,0.8307850410910169
13,96,2,low,none,0.8600772855066748
29,5,2,low,none,0.869722125068232
27,36,2,low,none,0.837562268634173
29,163,2,low,none,0.8406994482498162
31,93,2,low,none,0.9156261347563313
31,216,2,low,none,0.8660211590491399
13,93,2,low,none,0.9390416486850691
21,93,2,low,none,0.9165516877357338
29,3,2,low,none,0.7929260369126212
31,59,2,low,none,0.8661436072834683
31,211,2,low,none,0.709332561128945
29,154,2,low,none,0.7981822355123096
27,38,2,low,none,0.8996915488403096
27,216,2,low,none,0.8664139280336667
31,38,2,low,none,0.8181786749960015
27,30,2,low,none,0.7841326362822301
27,28,2,low,none,0.9110847912305734
31,36,2,low,none,0.8266149719109938
27,211,2,low,none,0.9047964523312532
35,204,2,low,none,0.9679747852213201
35,93,2,low,none,0.9124863048655073
35,181,2,low,none,0.7385446121687577
35,189,2,low,none,0.7960599208987994
35,216,2,low,none,0.8710032983220419
35,201,2,low,none,0.7890819515923305
35,36,2,low,none,0.8334306211490521
35,163,2,low,none,0.8185767826078709
35,141,2,low,none,0.833873665718402
35,106,2,low,none,0.8716996691967106
35,96,2,low,none,0.8164572939889585
35,110,2,low,none,0.7716478389856187
35,59,2,low,none,0.8414255081048723
35,116,2,low,none,0.7907110087143735
35,38,2,low,none,0.8424240564158026
35,211,2,low,none,0.7521873125290134
35,154,2,low,none,0.870057718530431
35,196,2,low,none,0.874328148346323
37,36,2,low,none,0.802725988416936
37,3,2,low,none,0.8479063440758757
37,30,2,low,none,0.8167794133941444
37,93,2,low,none,0.8992054139000176
37,5,2,low,none,0.7613871914414249
37,106,2,low,none,0.8245981239367146
37,110,2,low,none,0.7421560019799023
37,38,2,low,none,0.8067236681407193
37,181,2,low,none,0.7581037064070769
37,59,2,low,none,0.8706351068169885
37,12,2,low,none,0.8429584904359487
37,116,2,low,none,0.7920830367098682
37,163,2,low,none,0.8353960450194647
37,141,2,low,none,0.827104295708316
37,28,2,low,none,0.7884998348825326
37,204,2,low,none,0.9505967436008389
37,189,2,low,none,0.7917050447593891
37,201,2,low,none,0.7653150328638245
37,96,2,low,none,0.853400005734224
