exp_a,exp_b,trial_id,expertise_a,expertise_b,score
17,211,2,medium,none,0.776973683737155
14,5,2,medium,none,0.7751530070324611
15,12,2,medium,none,0.8679362876961726
15,5,2,medium,none,0.8158385221369662
17,204,2,medium,none,0.9541277294227521
17,93,2,medium,none,0.9036905049616408
6,204,2,medium,none,0.9353556333430986
16,110,2,medium,none,0.7731683756197631
6,96,2,medium,none,0.8490695701731815
14,181,2,medium,none,0.76476237498272
4,30,2,medium,none,0.8504413994371215
17,12,2,medium,none,0.8501001321316259
17,216,2,medium,none,0.8588374633162112
17,59,2,medium,none,0.8461895222755296
14,28,2,medium,none,0.8192776391971456
15,30,2,medium,none,0.8451422283915282
17,96,2,medium,none,0.8270593740054759
16,116,2,medium,none,0.8181632335660055
6,181,2,medium,none,0.7810034147478585
14,189,2,medium,none,0.8131981915497162
14,12,2,medium,none,0.8834304703043881
6,59,2,medium,none,0.8857023252343507
15,28,2,medium,none,0.8176029051551712
17,106,2,medium,none,0.8542851696294259
14,36,2,medium,none,0.7960611850321488
16,93,2,medium,none,0.914148630375525
18,5,2,medium,none,0.8609349933649445
15,96,2,medium,none,0.8661933925694455
6,93,2,medium,none,0.9137719194561935
14,30,2,medium,none,0.8418597511949003
6,141,2,medium,none,0.8634197920405786
15,110,2,medium,none,0.8006935395138971
18,3,2,medium,none,0.8322289649164551
16,154,2,medium,none,0.8590819151378092
17,116,2,medium,none,0.8270053711422768
16,38,2,medium,none,0.8294152610786589
6,38,2,medium,none,0.8798651207215745
15,106,2,medium,none,0.8483479783968001
18,28,2,medium,none,0.8777311405578734
17,28,2,medium,none,0.7795438121759721
17,110,2,medium,none,0.7909245526134415
4,5,2,medium,none,0.7626583367803964
15,59,2,medium,none,0.86709511661661
16,59,2,medium,none,0.8358733217028982
16,141,2,medium,none,0.841340660675721
15,141,2,medium,none,0.8342703356677358
15,36,2,medium,none,0.7938502351235541
18,12,2,medium,none,0.8201824280323904
6,154,2,medium,none,0.8928333753247943
16,96,2,medium,none,0.8412050086638466
16,181,2,medium,none,0.7345401973622603
15,116,2,medium,none,0.8374571815010438
4,141,2,medium,none,0.8482553599567196
17,141,2,medium,none,0.8514009546944414
14,93,2,medium,none,0.9248503480679027
4,96,2,medium,none,0.8221436372280707
16,36,2,medium,none,0.8213240223933544
16,163,2,medium,none,0.8178186031790237
18,30,2,medium,none,0.8207523419299521
4,12,2,medium,none,0.8233442493085695
15,154,2,medium,none,0.8755103407048299
18,141,2,medium,none,0.7741149050373506
16,189,2,medium,none,0.8172161825917974
6,189,2,medium,none,0.8032129219605554
4,116,2,medium,none,0.7945968658108942
17,163,2,medium,none,0.8234131085485861
16,28,2,medium,none,0.8001507100885832
6,163,2,medium,none,0.8396111469217119
14,201,2,medium,none,0.7913464286435837
18,38,2,medium,none,0.8716145278074825
18,110,2,medium,none,0.8714888636085316
14,196,2,medium,none,0.8883492496422439
15,181,2,medium,none,0.8111690848306236
4,110,2,medium,none,0.7734595197317347
17,154,2,medium,none,0.8672195679558107
4,211,2,medium,none,0.7526980300603214
18,36,2,medium,none,0.88415132918367
16,30,2,medium,none,0.8318288193557334
6,196,2,medium,none,0.8827210093966441
6,30,2,medium,none,0.7974920048439543
6,12,2,medium,none,0.8724840608585998
4,201,2,medium,none,0.7787971032647917
16,201,2,medium,none,0.7858871465643417
17,181,2,medium,none,0.7619530762055129
16,5,2,medium,none,0.7474937616809852
15,163,2,medium,none,0.8394885158277188
6,106,2,medium,none,0.8561147636686057
6,211,2,medium,none,0.7816138459537992
17,5,2,medium,none,0.7875170761929164
16,12,2,medium,none,0.8541742648464051
16,196,2,medium,none,0.8692172140029442
15,196,2,medium,none,0.8577454161488708
18,59,2,medium,none,0.764387105153463
16,211,2,medium,none,0.7603514534465659
4,3,2,medium,none,0.8679404745255945
15,189,2,medium,none,0.8450334067030798
18,216,2,medium,none,0.8683138682343972
16,3,2,medium,none,0.8857335007718636
16,204,2,medium,none,0.9618331281178975
15,201,2,medium,none,0.8183258039589852
15,93,2,medium,none,0.9255018046107899
18,93,2,medium,none,0.9004598612011737
4,181,2,medium,none,0.7598964503271118
14,59,2,medium,none,0.88844767273557
16,106,2,medium,none,0.8529894846026638
16,216,2,medium,none,0.8598180524262509
18,116,2,medium,none,0.8032210593046107
4,154,2,medium,none,0.8685680348236107
18,204,2,medium,none,0.9437600739817551
4,59,2,medium,none,0.8542279271859022
18,96,2,medium,none,0.8010139246783061
4,38,2,medium,none,0.7785385309700797
4,196,2,medium,none,0.8645056630739602
4,216,2,medium,none,0.856335395531865
18,211,2,medium,none,0.8510493621014259
4,189,2,medium,none,0.7864595309620266
17,3,2,medium,none,0.8686703274526028
4,28,2,medium,none,0.7926691337875296
18,106,2,medium,none,0.8232666695239261
15,216,2,medium,none,0.8662311695537633
18,201,2,medium,none,0.860427990772181
6,36,2,medium,none,0.8109347939510003
6,5,2,medium,none,0.8055056601499677
6,28,2,medium,none,0.8357732271310271
6,3,2,medium,none,0.8383642618546692
14,216,2,medium,none,0.8842320377469897
17,196,2,medium,none,0.8608328283753836
18,189,2,medium,none,0.8245544625840437
6,201,2,medium,none,0.8249006069786228
15,204,2,medium,none,0.9479026623640668
14,110,2,medium,none,0.7740646539476402
15,38,2,medium,none,0.8586171184405441
18,196,2,medium,none,0.8459989341328198
14,106,2,medium,none,0.8863361635136519
17,201,2,medium,none,0.7903383358979714
14,96,2,medium,none,0.8669336743496664
14,204,2,medium,none,0.9507168431974381
6,116,2,medium,none,0.8135845677149879
18,163,2,medium,none,0.761682277769318
4,163,2,medium,none,0.8289402358008882
14,38,2,medium,none,0.8809279249322856
18,181,2,medium,none,0.8913053311575108
14,116,2,medium,none,0.806309654101543
4,106,2,medium,none,0.8761152249474753
15,211,2,medium,none,0.8096853006941046
17,189,2,medium,none,0.799961184788354
4,204,2,medium,none,0.9644464541357607
14,211,2,medium,none,0.7801540591153354
6,110,2,medium,none,0.7745506986551036
14,154,2,medium,none,0.9011701216974519
17,30,2,medium,none,0.8370573612313957
4,36,2,medium,none,0.824286634593693
14,141,2,medium,none,0.877258394199417
4,93,2,medium,none,0.9035345821733146
17,36,2,medium,none,0.8166579974322031
6,216,2,medium,none,0.868539468042064
15,3,2,medium,none,0.8615559669619441
14,163,2,medium,none,0.8428791268297487
17,38,2,medium,none,0.7855763397038535
14,3,2,medium,none,0.8841438267082803
18,154,2,medium,none,0.8076456089249232
20,93,2,medium,none,0.9209103222952347
20,36,2,medium,none,0.8659696689327
20,189,2,medium,none,0.8268127242720914
20,181,2,medium,none,0.7877153567146822
20,30,2,medium,none,0.8369520634020625
20,110,2,medium,none,0.8126495997912944
20,5,2,medium,none,0.8031255503227118
20,163,2,medium,none,0.8263564066773752
20,141,2,medium,none,0.8495354335686761
20,38,2,medium,none,0.8427146428697982
20,106,2,medium,none,0.8702016426680683
20,96,2,medium,none,0.8252328880722382
20,59,2,medium,none,0.854510332053396
20,3,2,medium,none,0.8753435365875833
20,116,2,medium,none,0.7815628267814579
20,12,2,medium,none,0.8333275150296836
20,154,2,medium,none,0.8665814042600133
20,28,2,medium,none,0.8050638644737282
20,216,2,medium,none,0.8698926383591745
20,204,2,medium,none,0.9580852178248856
20,201,2,medium,none,0.7773698047842742
24,5,2,medium,none,0.8521127528386906
24,36,2,medium,none,0.873621444919647
24,30,2,medium,none,0.8090115577256712
24,93,2,medium,none,0.8880247341943108
20,196,2,medium,none,0.8625722487748114
24,3,2,medium,none,0.8041610313488736
