exp_a,exp_b,trial_id,expertise_a,expertise_b,score
3,86,2,none,high,96.91131820444231
5,80,2,none,high,23.501934485652125
5,123,2,none,high,31.323451588037944
12,69,2,none,high,71.78405925141519
3,87,2,none,high,39.89703204209038
5,69,2,none,high,43.795721390533195
3,48,2,none,high,27.948185274726633
3,123,2,none,high,29.70038149322917
12,87,2,none,high,62.822866635347665
12,82,2,none,high,64.2237309943943
5,26,2,none,high,36.482151336711794
3,1,2,none,high,26.210981946097213
3,178,2,none,high,31.82036479816425
12,68,2,none,high,60.26932330446072
3,80,2,none,high,20.463701321148697
12,48,2,none,high,55.125020628916175
12,80,2,none,high,50.17397390606763
5,86,2,none,high,92.42617002727039
5,48,2,none,high,32.99149102584665
3,69,2,none,high,48.177677346495116
5,178,2,none,high,28.47372431257832
3,82,2,none,high,41.416222569289936
5,87,2,none,high,36.13805494396974
5,82,2,none,high,45.3134817646864
3,68,2,none,high,34.4302201420959
5,1,2,none,high,27.725229154074785
12,26,2,none,high,60.92455845156396
3,26,2,none,high,34.56691266195837
12,1,2,none,high,53.41025972082797
5,68,2,none,high,30.99851676741544
28,1,2,none,high,45.45377669226953
28,26,2,none,high,52.855834901197134
12,86,2,none,high,116.02378373624397
28,68,2,none,high,45.95165240542444
28,48,2,none,high,50.18168700261482
12,123,2,none,high,57.511510843832426
28,69,2,none,high,58.940068772922004
12,178,2,none,high,57.76583721971173
28,80,2,none,high,41.48583410395753
30,1,2,none,high,22.769064834645523
30,26,2,none,high,30.759889588076376
28,123,2,none,high,46.72859608932914
28,178,2,none,high,44.894953462714724
28,87,2,none,high,51.266706074715245
28,82,2,none,high,61.56530052153264
30,48,2,none,high,25.960951443930746
30,80,2,none,high,18.46706394963163
30,68,2,none,high,29.731220626888177
30,69,2,none,high,43.925332521611416
28,86,2,none,high,106.01785914016557
30,82,2,none,high,38.86577683557162
30,87,2,none,high,36.32735200819244
30,123,2,none,high,27.20376932228946
36,1,2,none,high,20.188973428712078
30,178,2,none,high,27.573028332073154
36,26,2,none,high,29.622019545816983
36,48,2,none,high,24.7279878562395
30,86,2,none,high,94.81275363092652
36,80,2,none,high,13.938703652822802
36,68,2,none,high,24.762213583634033
36,69,2,none,high,39.89494972397903
36,82,2,none,high,38.99294479698209
36,123,2,none,high,21.483312136416586
36,87,2,none,high,31.032431225567855
36,178,2,none,high,22.239983686448202
38,1,2,none,high,31.31836708518846
36,86,2,none,high,90.7996225760908
38,26,2,none,high,40.64092508920301
38,48,2,none,high,34.737230756710176
38,80,2,none,high,25.78055438176047
38,68,2,none,high,36.04813118197186
38,69,2,none,high,50.70254339402164
38,82,2,none,high,49.39861620186266
38,123,2,none,high,31.525290429547294
38,87,2,none,high,41.123241352772325
38,178,2,none,high,34.378409846647266
59,1,2,none,high,41.13094366715105
59,26,2,none,high,51.68483591139973
38,86,2,none,high,99.41237441244951
59,80,2,none,high,38.80972225258736
59,48,2,none,high,45.251394130953926
59,68,2,none,high,51.206143314941635
59,69,2,none,high,64.13145989522744
93,1,2,none,high,18.032558349101635
59,82,2,none,high,56.73828156349395
93,26,2,none,high,27.657094057335073
59,87,2,none,high,55.709978466846536
59,123,2,none,high,47.62887440373729
93,48,2,none,high,22.94650756291378
59,178,2,none,high,47.91281180716382
93,68,2,none,high,26.234969301576328
93,80,2,none,high,11.100082094434992
93,69,2,none,high,40.74324569051285
59,86,2,none,high,111.05718165376778
93,82,2,none,high,38.08102121512574
93,87,2,none,high,32.5882269282725
93,123,2,none,high,22.02119460178804
93,86,2,none,high,91.69014141148854
93,178,2,none,high,23.49119205243924
96,1,2,none,high,44.48130943483201
96,26,2,none,high,46.975321906207654
96,80,2,none,high,40.46934179255459
96,48,2,none,high,41.554637482270635
96,68,2,none,high,50.290503834367264
96,123,2,none,high,47.5263399024601
96,69,2,none,high,62.66265166877625
96,82,2,none,high,53.17301566598726
96,87,2,none,high,55.80371933563793
106,1,2,none,high,23.59362022164753
96,178,2,none,high,49.55011011265258
106,26,2,none,high,33.2209942825515
106,48,2,none,high,27.55383616830599
106,80,2,none,high,19.014346467511032
96,86,2,none,high,111.21515059392824
106,68,2,none,high,32.8267338664747
106,69,2,none,high,45.46051786377421
106,82,2,none,high,42.279534862049275
110,26,2,none,high,33.73021296994405
110,1,2,none,high,24.49396147714287
106,87,2,none,high,38.933274550688424
106,123,2,none,high,27.872059934538136
110,48,2,none,high,30.154944680001176
106,178,2,none,high,29.438526572031172
106,86,2,none,high,96.77321940175463
110,80,2,none,high,20.246333538504782
110,68,2,none,high,28.398744662677274
110,69,2,none,high,42.53674129886085
