exp_a,exp_b,trial_id,expertise_a,expertise_b,score
48,124,5,high,low,0.7421287840186165
48,114,5,high,low,0.7918007692380793
48,126,5,high,low,0.8298231100576947
48,128,5,high,low,0.8957721068683371
48,37,5,high,low,0.8355971439738149
48,132,5,high,low,0.8334722176564218
48,35,5,high,low,0.8781465319819886
48,179,5,high,low,0.8311111976520166
48,34,5,high,low,0.8321144980064725
68,43,5,high,low,0.8329283470512862
48,176,5,high,low,0.8654415589004532
48,101,5,high,low,0.9072971397213424
48,139,5,high,low,0.7750453860745941
48,31,5,high,low,0.8367125803922552
48,140,5,high,low,0.7451085854121008
48,29,5,high,low,0.8158299182533586
68,37,5,high,low,0.763238516189943
48,27,5,high,low,0.8736400283570401
48,21,5,high,low,0.8582528776005067
48,164,5,high,low,0.7583834943969038
48,13,5,high,low,0.8914137392581882
48,170,5,high,low,0.8462137026240566
48,10,5,high,low,0.8434564077701828
68,41,5,high,low,0.7582102465101745
68,101,5,high,low,0.8799401957449374
48,99,5,high,low,0.846048837480652
68,99,5,high,low,0.7845826684658709
68,35,5,high,low,0.8050599258315871
68,94,5,high,low,0.7842995635376705
68,34,5,high,low,0.842774027987058
68,79,5,high,low,0.8220940611326503
68,31,5,high,low,0.7506357302568607
68,78,5,high,low,0.7958254002466071
68,77,5,high,low,0.8549919250885383
68,29,5,high,low,0.8485578873099875
48,79,5,high,low,0.779528676766037
68,74,5,high,low,0.7533725473843653
68,27,5,high,low,0.8666817214012933
48,78,5,high,low,0.7172752451814474
68,21,5,high,low,0.8118591425668142
48,77,5,high,low,0.8527071294577466
48,94,5,high,low,0.824516784977639
68,13,5,high,low,0.8374264816510274
48,180,5,high,low,0.7878929988912611
48,74,5,high,low,0.8120530173670643
68,65,5,high,low,0.8392421626717049
68,10,5,high,low,0.7761707373975775
48,43,5,high,low,0.7895900173404398
68,64,5,high,low,0.863440673180594
48,208,5,high,low,0.7740666479278092
68,63,5,high,low,0.8466053187349747
48,65,5,high,low,0.834833599540076
48,104,5,high,low,0.8330328199647863
68,60,5,high,low,0.8475349450044627
48,64,5,high,low,0.8397702929658625
68,56,5,high,low,0.8530394801213723
48,63,5,high,low,0.8458883200536637
68,44,5,high,low,0.8410526498553272
48,60,5,high,low,0.8147716756156786
48,200,5,high,low,0.8602730533980161
48,56,5,high,low,0.8517884783724063
48,44,5,high,low,0.8158958314500518
48,182,5,high,low,0.7898342138160955
48,41,5,high,low,0.8409058752564111
68,140,5,high,low,0.7998507057702934
68,139,5,high,low,0.7250550433104928
68,180,5,high,low,0.8218736619270122
68,124,5,high,low,0.8262247533404563
68,104,5,high,low,0.8391632128702797
68,164,5,high,low,0.8424729947019952
68,132,5,high,low,0.8065107107276657
68,126,5,high,low,0.8520629378059713
69,10,5,high,low,0.8393399626572595
68,200,5,high,low,0.8420816004470544
68,114,5,high,low,0.7389293729381672
68,176,5,high,low,0.8057655147187158
68,128,5,high,low,0.8226282214148308
69,27,5,high,low,0.9181567615640299
68,179,5,high,low,0.8921484048287768
69,29,5,high,low,0.885401126430969
68,170,5,high,low,0.7596849812017803
68,182,5,high,low,0.839875457056109
69,43,5,high,low,0.8650768263855271
68,208,5,high,low,0.8462080919624596
69,31,5,high,low,0.766087046844386
69,56,5,high,low,0.832395122939427
69,44,5,high,low,0.8820754765416088
69,21,5,high,low,0.7470380629825715
69,65,5,high,low,0.898015870735768
69,74,5,high,low,0.8192277161258864
69,60,5,high,low,0.8471780804101566
69,34,5,high,low,0.8132949594326995
69,63,5,high,low,0.84722211465436
69,78,5,high,low,0.8089679886776959
69,114,5,high,low,0.8343465009892794
69,64,5,high,low,0.8228394942249411
69,79,5,high,low,0.7919076646428167
69,41,5,high,low,0.7502906503646732
69,104,5,high,low,0.8386975918088415
69,139,5,high,low,0.7664733855445384
69,140,5,high,low,0.8838869729280417
69,164,5,high,low,0.8592135199413488
69,35,5,high,low,0.7370246626015502
69,77,5,high,low,0.8369198750643495
69,37,5,high,low,0.7916239813750526
69,180,5,high,low,0.8569313762987065
69,124,5,high,low,0.8670606843824803
69,170,5,high,low,0.735151025052049
69,94,5,high,low,0.7969712973209485
80,10,5,high,low,0.8794765309879362
