exp_a,exp_b,trial_id,expertise_a,expertise_b,score
10,87,5,low,high,45.61320677175498
13,69,5,low,high,91.84196421468648
13,80,5,low,high,78.4112626203743
10,82,5,low,high,37.64910303467846
10,86,5,low,high,46.458478856586346
13,82,5,low,high,86.484190480492
10,48,5,low,high,23.48520021795297
21,48,5,low,high,41.024487549304226
10,69,5,low,high,49.37333396335063
10,118,5,low,high,24.820445886040538
13,86,5,low,high,91.84112895309593
10,80,5,low,high,21.452191543857737
21,68,5,low,high,43.53188722443258
13,48,5,low,high,78.36239899070883
13,118,5,low,high,80.40747323572677
10,178,5,low,high,23.489111443442408
10,68,5,low,high,26.12901170375205
13,178,5,low,high,77.19279763294297
21,80,5,low,high,39.45871450536689
13,87,5,low,high,91.67686698857705
21,82,5,low,high,52.572228637565686
13,68,5,low,high,78.4903092721875
21,69,5,low,high,58.85165860176698
27,80,5,low,high,15.265189506539832
27,48,5,low,high,18.730842207974938
27,68,5,low,high,23.625743725399253
27,69,5,low,high,48.12977744118644
21,118,5,low,high,45.02272654136975
21,178,5,low,high,40.45331208035844
27,82,5,low,high,32.794417549021155
27,87,5,low,high,44.50005812577601
27,86,5,low,high,47.149606723310484
21,87,5,low,high,60.31307986755169
27,118,5,low,high,24.148406308040126
21,86,5,low,high,61.343525927272566
27,178,5,low,high,20.298022471626414
29,48,5,low,high,25.091664965800298
29,80,5,low,high,22.979702783103676
29,68,5,low,high,31.036853286250103
29,82,5,low,high,36.24508860310561
29,118,5,low,high,31.356902131861194
29,69,5,low,high,54.661123941342304
29,178,5,low,high,28.93179340070211
29,86,5,low,high,53.47001920572541
29,87,5,low,high,49.17869115279143
31,48,5,low,high,33.234223693180375
31,68,5,low,high,34.18395115589744
31,80,5,low,high,31.776008861411505
31,118,5,low,high,37.31180213933574
31,82,5,low,high,46.23378408335193
31,69,5,low,high,54.16235421189809
34,48,5,low,high,36.45327192866755
31,87,5,low,high,49.5901424049593
31,178,5,low,high,31.695610443776438
31,86,5,low,high,52.16014519780339
34,68,5,low,high,41.825189460941715
34,80,5,low,high,34.92273670358018
34,82,5,low,high,46.050624345601506
34,118,5,low,high,43.54523690171348
34,178,5,low,high,40.00731691262077
34,69,5,low,high,60.82470342605272
35,48,5,low,high,53.59503913992473
34,86,5,low,high,59.73936899005236
34,87,5,low,high,56.471676149313375
35,68,5,low,high,53.81986616169327
35,80,5,low,high,52.117932066850145
35,118,5,low,high,54.1554266643441
35,82,5,low,high,61.65834657706592
37,48,5,low,high,38.81515853187165
35,178,5,low,high,52.178035494081946
35,86,5,low,high,68.61053933920178
35,69,5,low,high,67.81511325529384
35,87,5,low,high,68.63114584766761
37,68,5,low,high,39.8960037182807
37,80,5,low,high,39.38659697186193
37,118,5,low,high,43.294358125331605
37,69,5,low,high,61.29702812583307
37,178,5,low,high,38.30804465242221
37,82,5,low,high,53.197110939986494
41,48,5,low,high,39.52257613705133
37,87,5,low,high,55.99486552437785
37,86,5,low,high,60.87525147565366
41,68,5,low,high,40.048665220667424
41,80,5,low,high,38.74824281150912
41,82,5,low,high,51.428733881493514
41,118,5,low,high,43.555225102404094
43,48,5,low,high,23.296063871612333
41,69,5,low,high,58.507664915437225
41,178,5,low,high,37.90534445317609
43,68,5,low,high,29.42236093123963
41,86,5,low,high,54.90841404599712
41,87,5,low,high,53.77978443346755
43,80,5,low,high,22.291062298473427
43,82,5,low,high,36.121883912403
43,118,5,low,high,30.257314219923188
43,69,5,low,high,52.32330676710222
43,178,5,low,high,27.207837552928936
43,86,5,low,high,51.617439431517475
43,87,5,low,high,47.113796379917915
44,48,5,low,high,22.65579544770504
44,68,5,low,high,28.249276403340733
44,80,5,low,high,20.121749319693823
44,82,5,low,high,32.5730429191393
44,69,5,low,high,51.82017009586643
44,118,5,low,high,28.61295186297265
44,178,5,low,high,25.35159513890361
44,87,5,low,high,46.7855722187702
44,86,5,low,high,49.86751369537961
56,48,5,low,high,28.57579987243749
56,68,5,low,high,33.58245825341819
56,80,5,low,high,25.630815818204418
56,82,5,low,high,36.531167688703384
56,118,5,low,high,32.98175969695058
56,69,5,low,high,53.71279249303534
56,178,5,low,high,31.259432833702075
60,48,5,low,high,32.98195742892268
56,86,5,low,high,52.18965203135586
56,87,5,low,high,51.38886115655134
60,68,5,low,high,39.240867953706626
60,80,5,low,high,31.40678930544704
60,118,5,low,high,40.18497860067163
60,82,5,low,high,40.890241840604396
60,178,5,low,high,36.461601918618264
60,69,5,low,high,60.5393456261098
60,87,5,low,high,56.36621083120764
63,48,5,low,high,38.31874089843097
60,86,5,low,high,59.19561437746618
63,68,5,low,high,43.27846389373191
63,80,5,low,high,36.24204467227376
63,118,5,low,high,44.962623339443034
63,82,5,low,high,48.90001349496787
63,69,5,low,high,64.62610290583459
63,178,5,low,high,41.10512336562298
64,48,5,low,high,44.081222218364054
63,87,5,low,high,58.909070161566724
63,86,5,low,high,62.889787082848144
64,68,5,low,high,50.3489525345068
64,80,5,low,high,44.1758252224969
64,118,5,low,high,51.900225384037604
65,48,5,low,high,16.2525405158462
64,178,5,low,high,47.46744889866554
64,82,5,low,high,56.52588808040491
65,68,5,low,high,21.222755809642074
64,87,5,low,high,66.41782623339358
64,69,5,low,high,68.68405826194429
64,86,5,low,high,68.7338605483761
65,80,5,low,high,14.07378893034922
65,69,5,low,high,45.30310464687802
65,82,5,low,high,31.91657138348327
65,87,5,low,high,41.99484943714493
65,86,5,low,high,44.51895724133248
65,118,5,low,high,20.370240566816733
65,178,5,low,high,17.687376225246112
74,80,5,low,high,16.777025981644393
74,48,5,low,high,18.91433888051366
74,68,5,low,high,21.932181599453646
74,69,5,low,high,44.461126609584106
74,82,5,low,high,32.56993276976495
74,118,5,low,high,22.440706808196033
74,86,5,low,high,42.90805807752556
74,87,5,low,high,40.60078578787218
74,178,5,low,high,19.49244552586378
77,48,5,low,high,44.84557335244182
77,80,5,low,high,43.30006107794195
77,68,5,low,high,49.941788328271706
77,118,5,low,high,50.3621422233669
77,82,5,low,high,54.93456666685433
77,87,5,low,high,67.38514469389693
77,69,5,low,high,69.94306779887782
78,48,5,low,high,27.01258573353331
78,68,5,low,high,34.60248840272248
77,86,5,low,high,68.61722497803235
77,178,5,low,high,48.581743260167066
78,80,5,low,high,29.086030177134795
78,69,5,low,high,55.52756274283705
78,82,5,low,high,38.51398468607175
78,118,5,low,high,35.6461550326412
78,178,5,low,high,32.83985294440069
79,48,5,low,high,30.5793509321781
78,87,5,low,high,50.62877607664557
78,86,5,low,high,53.762235511039556
79,68,5,low,high,37.03369326590363
79,80,5,low,high,30.662276314206267
79,118,5,low,high,38.30889738361729
79,82,5,low,high,40.55811162427264
94,48,5,low,high,22.89518208525908
79,69,5,low,high,55.59825331924287
79,178,5,low,high,34.610539231730414
79,87,5,low,high,54.876618713297646
94,68,5,low,high,26.343053740103276
79,86,5,low,high,55.66478978704412
94,80,5,low,high,21.276931664513317
94,82,5,low,high,37.92545935910904
94,69,5,low,high,46.820469775011084
94,86,5,low,high,48.22704115398687
94,118,5,low,high,27.331329866042964
94,178,5,low,high,23.06892711887628
94,87,5,low,high,45.6510154051917
99,48,5,low,high,33.68966470847956
99,68,5,low,high,35.808352988782346
99,80,5,low,high,31.58268626347404
99,118,5,low,high,38.733422896936034
99,82,5,low,high,45.241862399964276
99,69,5,low,high,54.138548166527535
99,86,5,low,high,51.43070774830076
99,178,5,low,high,33.02944311866999
99,87,5,low,high,53.97889030108177
101,80,5,low,high,90.59637791596738
101,48,5,low,high,91.31764251867367
101,68,5,low,high,93.685472760572
101,118,5,low,high,95.49887090210066
104,48,5,low,high,24.894352791827675
104,68,5,low,high,29.961483352320467
101,82,5,low,high,100.20070009830226
104,80,5,low,high,23.22026194480391
101,178,5,low,high,91.46949472215091
104,69,5,low,high,51.046490227853326
104,82,5,low,high,39.61395082143695
101,87,5,low,high,106.57232983408407
101,86,5,low,high,103.50827529829348
101,69,5,low,high,105.18449992205629
104,118,5,low,high,28.964751090489173
104,86,5,low,high,51.504561165688784
104,87,5,low,high,49.50856101114107
114,80,5,low,high,15.002357797042697
114,48,5,low,high,16.703829027846524
104,178,5,low,high,26.381765235148844
114,68,5,low,high,19.88902300200371
114,69,5,low,high,43.44942838551771
114,82,5,low,high,30.805311934065852
114,86,5,low,high,42.335819382779306
114,87,5,low,high,39.254714141723056
114,118,5,low,high,20.921374411657265
114,178,5,low,high,17.85142645387344
124,80,5,low,high,21.22920691270532
124,48,5,low,high,21.447521858138014
124,68,5,low,high,28.686523435980643
124,82,5,low,high,35.9877697487644
124,69,5,low,high,51.919593780822915
124,118,5,low,high,30.451646314222867
124,86,5,low,high,51.38654459448338
124,87,5,low,high,47.12950617173899
124,178,5,low,high,25.54126795822696
126,48,5,low,high,35.44008538434402
126,68,5,low,high,41.34891024584818
126,80,5,low,high,33.52821645952915
126,82,5,low,high,45.18157635813902
126,118,5,low,high,42.23904195627049
126,178,5,low,high,38.698661524710836
126,69,5,low,high,59.96769582261979
126,86,5,low,high,60.511539439766906
126,87,5,low,high,59.48764524615433
128,48,5,low,high,64.95422701323686
128,68,5,low,high,64.43811383986653
128,80,5,low,high,63.27389711356915
128,82,5,low,high,74.06526225344602
128,118,5,low,high,66.22728427786993
132,48,5,low,high,30.658442054273817
132,68,5,low,high,34.36058231984147
128,178,5,low,high,64.57274319617247
128,86,5,low,high,76.3363636618644
128,87,5,low,high,81.26986321076807
128,69,5,low,high,76.97817285689528
132,80,5,low,high,28.352215968490093
132,82,5,low,high,43.6625610624676
132,118,5,low,high,36.4297475308724
139,48,5,low,high,20.560404001786832
132,69,5,low,high,54.84462285508472
139,68,5,low,high,23.45408054100782
132,86,5,low,high,54.14798814195432
132,178,5,low,high,31.499341117590753
132,87,5,low,high,52.73747827155027
139,80,5,low,high,19.841348925011552
139,69,5,low,high,44.07835145589531
139,82,5,low,high,33.83361053592775
139,118,5,low,high,25.211586080774975
139,86,5,low,high,42.662189699318134
139,178,5,low,high,21.599318778169405
140,48,5,low,high,17.378912646151843
139,87,5,low,high,42.07420316297057
140,68,5,low,high,23.310848968969434
140,80,5,low,high,16.29783955471795
140,118,5,low,high,24.684912162980996
140,82,5,low,high,30.349216345983834
140,69,5,low,high,47.99859817788438
140,87,5,low,high,42.60913942317769
140,178,5,low,high,20.717677125018504
140,86,5,low,high,46.08355806928235
164,48,5,low,high,22.71813595815365
164,68,5,low,high,30.140313858458576
164,80,5,low,high,22.230858999914936
164,118,5,low,high,30.702266793367084
164,82,5,low,high,37.48648290775732
164,87,5,low,high,46.83469329376168
164,69,5,low,high,52.35703505114602
164,86,5,low,high,50.93434927922548
164,178,5,low,high,26.302993376527123
170,48,5,low,high,45.50598807231127
170,68,5,low,high,45.2741861397013
170,80,5,low,high,44.7527405408811
170,118,5,low,high,48.58820566600431
170,82,5,low,high,53.891936036445486
170,178,5,low,high,45.54194498792795
170,69,5,low,high,62.30846027931146
170,86,5,low,high,62.365093449651
170,87,5,low,high,59.659321856237575
176,48,5,low,high,51.84341114437275
176,68,5,low,high,52.95813268937288
