exp_a,exp_b,trial_id,expertise_a,expertise_b,score
6,178,5,medium,high,24.4311255729739
6,69,5,medium,high,50.4163527002881
4,178,5,medium,high,33.03224917569521
6,118,5,medium,high,26.49242188804692
6,87,5,medium,high,47.45089331389871
4,80,5,medium,high,30.198241913087184
6,82,5,medium,high,38.11888975104691
6,80,5,medium,high,22.392724243006874
6,48,5,medium,high,25.432470492270564
6,86,5,medium,high,47.826555497430604
4,86,5,medium,high,48.60237248962304
6,68,5,medium,high,28.00523630319212
4,48,5,medium,high,32.163776949126344
4,87,5,medium,high,50.43589316637403
4,82,5,medium,high,42.71544060292346
4,68,5,medium,high,35.18602857689738
4,69,5,medium,high,52.44498970376698
4,118,5,medium,high,35.40903603558324
16,80,5,medium,high,49.67932989306915
16,118,5,medium,high,53.5550322346313
16,68,5,medium,high,50.558324474816466
16,48,5,medium,high,49.89539181424275
16,82,5,medium,high,60.46710786324622
16,87,5,medium,high,62.064559367739996
16,86,5,medium,high,63.65354817839937
16,69,5,medium,high,67.83069176702664
17,80,5,medium,high,36.97394099072293
17,48,5,medium,high,38.036341720349455
16,178,5,medium,high,48.0516859940304
17,68,5,medium,high,39.74221151791189
17,118,5,medium,high,42.37338456902069
17,69,5,medium,high,57.3785723335849
17,82,5,medium,high,50.252119450567115
19,48,5,medium,high,21.972308073072238
19,68,5,medium,high,26.67714463996573
17,86,5,medium,high,54.93791279258556
17,178,5,medium,high,37.27106346266057
17,87,5,medium,high,55.67676311280685
19,80,5,medium,high,19.573916604818773
19,82,5,medium,high,36.049609963845164
19,69,5,medium,high,49.61723138134922
19,118,5,medium,high,25.07350350693588
19,86,5,medium,high,48.20039508627941
19,178,5,medium,high,23.48370435771061
19,87,5,medium,high,45.50597463208662
20,48,5,medium,high,36.580712260473575
20,68,5,medium,high,36.10663732536551
20,80,5,medium,high,35.03238909722987
20,118,5,medium,high,39.28728034385887
20,82,5,medium,high,49.0613416979879
20,69,5,medium,high,58.82448556896116
20,178,5,medium,high,34.59123415623807
24,48,5,medium,high,30.119629552274606
20,87,5,medium,high,52.90085536230959
20,86,5,medium,high,56.35059954264485
24,68,5,medium,high,36.8206410854925
24,80,5,medium,high,31.23045483596074
24,82,5,medium,high,37.61983408385886
24,118,5,medium,high,38.09203068935932
24,178,5,medium,high,35.2174806039152
24,87,5,medium,high,53.59332807120964
24,69,5,medium,high,58.281141090981876
24,86,5,medium,high,56.19603241501315
25,48,5,medium,high,33.29497467797123
25,80,5,medium,high,32.05633873305507
25,68,5,medium,high,35.22086667717437
25,118,5,medium,high,37.947933875431936
25,82,5,medium,high,46.14754171009026
25,87,5,medium,high,52.0981423337771
25,178,5,medium,high,31.81732938246198
25,69,5,medium,high,54.73408069044821
25,86,5,medium,high,54.003014616822526
32,48,5,medium,high,32.70419026097282
32,68,5,medium,high,33.34701735217301
32,80,5,medium,high,31.306694711048934
32,82,5,medium,high,43.86538158188571
32,118,5,medium,high,35.72047510621804
33,48,5,medium,high,25.98995711370434
32,178,5,medium,high,31.0974630273062
32,69,5,medium,high,52.22631145889436
33,68,5,medium,high,31.31615147928116
32,86,5,medium,high,50.06585218656079
32,87,5,medium,high,47.519135291412276
33,80,5,medium,high,22.395813925610934
33,82,5,medium,high,35.18698507946477
33,86,5,medium,high,50.637693413512245
33,118,5,medium,high,30.280256215613434
33,69,5,medium,high,51.77931876016389
33,178,5,medium,high,28.33080001662262
33,87,5,medium,high,50.272919229037534
40,48,5,medium,high,27.982413713558117
40,68,5,medium,high,31.559357907257247
40,80,5,medium,high,25.446714571906337
40,118,5,medium,high,29.724469308991154
40,82,5,medium,high,40.82879684993877
40,69,5,medium,high,52.408326949626314
42,48,5,medium,high,12.446451906554735
40,86,5,medium,high,50.87443037448983
40,87,5,medium,high,49.55835649725476
40,178,5,medium,high,28.784499420456672
42,68,5,medium,high,18.2087064959694
42,80,5,medium,high,9.604111357943918
42,69,5,medium,high,43.41607770405612
42,82,5,medium,high,26.936136432073813
42,86,5,medium,high,41.62287520507835
42,118,5,medium,high,18.36430686132365
42,87,5,medium,high,39.20895950926193
42,178,5,medium,high,14.672060201094975
51,80,5,medium,high,18.237328608624786
51,48,5,medium,high,20.91837150907335
51,68,5,medium,high,26.151376570085056
51,82,5,medium,high,31.565151426908198
51,118,5,medium,high,26.819582194713202
51,69,5,medium,high,48.95750447275818
51,86,5,medium,high,47.18599586762427
51,87,5,medium,high,44.56603251024884
51,178,5,medium,high,23.029830582989945
53,48,5,medium,high,21.258422790274718
53,68,5,medium,high,24.47550601539405
53,80,5,medium,high,20.280829622645626
53,82,5,medium,high,36.33066141452209
53,69,5,medium,high,47.58511393546343
53,118,5,medium,high,23.85520910194277
53,87,5,medium,high,43.78932049322319
53,86,5,medium,high,46.735428507912644
53,178,5,medium,high,22.020896107837675
54,48,5,medium,high,58.727225281224435
54,68,5,medium,high,63.55542113685021
54,80,5,medium,high,55.38599463448137
54,82,5,medium,high,67.79804284065257
54,118,5,medium,high,63.22589508279365
54,69,5,medium,high,82.1447458111054
54,178,5,medium,high,61.43323497583356
54,86,5,medium,high,82.30023695262844
54,87,5,medium,high,81.1156605440869
55,48,5,medium,high,71.75089315611352
55,68,5,medium,high,71.89622100418678
55,80,5,medium,high,70.36244458040753
57,48,5,medium,high,23.52897000106371
55,118,5,medium,high,72.4233875965146
57,68,5,medium,high,26.944235879077745
55,82,5,medium,high,79.07423818086448
55,178,5,medium,high,70.47979377346003
55,69,5,medium,high,84.13155392333717
55,86,5,medium,high,80.06631959553133
55,87,5,medium,high,82.31277644872739
57,80,5,medium,high,22.33488549771096
57,82,5,medium,high,38.30921055294415
57,118,5,medium,high,28.17581207543932
57,69,5,medium,high,46.845086729536625
57,87,5,medium,high,46.30211372484134
57,86,5,medium,high,46.16566874412881
57,178,5,medium,high,24.276367779622365
61,48,5,medium,high,38.710936614893804
61,68,5,medium,high,44.469780337467725
61,80,5,medium,high,37.51977957442084
61,118,5,medium,high,45.51429549978275
61,82,5,medium,high,47.79150444285456
62,48,5,medium,high,18.6345556691962
62,68,5,medium,high,22.266516022886446
61,86,5,medium,high,60.6004308577085
61,178,5,medium,high,42.17429143520309
61,87,5,medium,high,62.09725048191426
61,69,5,medium,high,62.70071046475983
62,80,5,medium,high,16.459729497811033
62,69,5,medium,high,46.43172178246363
62,82,5,medium,high,32.973472208843425
62,86,5,medium,high,46.11835836052904
62,118,5,medium,high,21.826385311351206
62,87,5,medium,high,41.97766785878112
62,178,5,medium,high,18.908639476935566
66,48,5,medium,high,18.25755229045381
66,68,5,medium,high,23.791633649608457
66,80,5,medium,high,14.803781113010247
66,69,5,medium,high,46.81298104570231
66,82,5,medium,high,31.779491190119604
66,118,5,medium,high,23.350203137723387
66,178,5,medium,high,20.23025475467756
66,86,5,medium,high,45.57135982350067
66,87,5,medium,high,43.73464786586499
70,48,5,medium,high,16.2933806772033
70,68,5,medium,high,21.46818676394885
70,80,5,medium,high,15.868278708435268
70,69,5,medium,high,44.989823423882434
70,118,5,medium,high,23.386848186161398
70,82,5,medium,high,32.826555124696675
70,178,5,medium,high,18.107703091087835
70,86,5,medium,high,43.26775634532283
70,87,5,medium,high,39.81597192587621
73,48,5,medium,high,32.583566144229415
73,80,5,medium,high,32.24734551688015
73,68,5,medium,high,38.297986328106276
73,118,5,medium,high,39.88307042487875
73,82,5,medium,high,42.903474825654044
73,69,5,medium,high,59.50061950953869
73,87,5,medium,high,55.21285688832846
73,86,5,medium,high,58.78452752183665
75,48,5,medium,high,33.75186983383659
75,68,5,medium,high,39.368878206006
73,178,5,medium,high,36.46952571804752
75,80,5,medium,high,30.168741717861643
75,118,5,medium,high,39.04163356488572
81,48,5,medium,high,19.15689223611342
75,69,5,medium,high,58.958555553835694
75,82,5,medium,high,43.99189224578315
75,178,5,medium,high,36.520126670761606
81,68,5,medium,high,24.601611757576336
75,86,5,medium,high,58.473666745848504
75,87,5,medium,high,57.01679915574037
81,80,5,medium,high,17.09546226556165
81,82,5,medium,high,32.84147595962393
81,118,5,medium,high,25.951769752395535
81,69,5,medium,high,48.893604410191514
81,87,5,medium,high,44.34132466711082
81,86,5,medium,high,46.77217625664347
81,178,5,medium,high,21.798155619160376
83,48,5,medium,high,39.39696354692705
83,68,5,medium,high,45.86710060888741
83,80,5,medium,high,37.7921635406686
83,118,5,medium,high,45.85428200878188
83,82,5,medium,high,49.714788734793146
83,69,5,medium,high,63.82131902677466
84,48,5,medium,high,33.31368181989186
83,178,5,medium,high,42.87976919282721
83,86,5,medium,high,62.80094195372282
83,87,5,medium,high,62.8991705926562
84,68,5,medium,high,38.57148070698706
84,80,5,medium,high,29.89872843864414
88,48,5,medium,high,15.398359920259834
84,118,5,medium,high,37.67941379799924
84,82,5,medium,high,43.0508233443072
84,69,5,medium,high,58.443468193239944
88,68,5,medium,high,20.822712526809593
84,178,5,medium,high,35.60704228854766
84,87,5,medium,high,55.26209949010779
84,86,5,medium,high,56.22994775580735
88,80,5,medium,high,13.977107941281677
88,82,5,medium,high,31.86976615230527
88,69,5,medium,high,43.40325837745944
88,118,5,medium,high,21.702111503913105
88,87,5,medium,high,39.41930925107536
88,86,5,medium,high,43.27744559467043
88,178,5,medium,high,16.434683321377438
89,48,5,medium,high,35.84146402061773
89,68,5,medium,high,40.490931498584025
89,80,5,medium,high,34.11823289706799
89,82,5,medium,high,44.57647153504746
89,118,5,medium,high,41.22359827569723
89,69,5,medium,high,62.614097699711074
89,178,5,medium,high,38.922252803381554
89,87,5,medium,high,57.86114967403656
89,86,5,medium,high,59.77605763858977
91,48,5,medium,high,31.48513568083991
91,68,5,medium,high,36.254502146939885
91,80,5,medium,high,29.970520089865595
91,118,5,medium,high,37.12140802204824
91,69,5,medium,high,58.60487057061571
91,82,5,medium,high,38.9761689927131
91,178,5,medium,high,34.82855156551727
91,87,5,medium,high,51.38306110626951
91,86,5,medium,high,55.486898043138794
97,48,5,medium,high,25.45474458094732
97,68,5,medium,high,31.084053011608052
97,80,5,medium,high,23.5670860570984
97,118,5,medium,high,32.192124198718815
97,82,5,medium,high,36.422518705541975
105,48,5,medium,high,20.397586097450162
