exp_a,exp_b,trial_id,expertise_a,expertise_b,score
4,78,5,medium,low,41.245607782115464
4,31,5,medium,low,42.74190193091909
4,104,5,medium,low,38.30905870401484
4,65,5,medium,low,31.459307686042827
4,21,5,medium,low,49.090146039260986
4,56,5,medium,low,40.233303215427206
4,41,5,medium,low,46.97154726694498
4,79,5,medium,low,44.54289531216468
4,64,5,medium,low,56.94006981171417
4,13,5,medium,low,82.31689591312183
4,43,5,medium,low,38.99540489978589
4,74,5,medium,low,30.988872951197504
4,126,5,medium,low,48.34976510284803
4,37,5,medium,low,51.77709163716452
4,94,5,medium,low,35.754438568658976
4,63,5,medium,low,48.9148760429398
4,35,5,medium,low,58.59101492248912
4,27,5,medium,low,33.52278690113851
4,124,5,medium,low,38.015298120559244
4,77,5,medium,low,55.94340398747357
4,99,5,medium,low,42.10876402264121
4,34,5,medium,low,46.981765408150615
4,44,5,medium,low,36.58071836857446
4,60,5,medium,low,45.86936105831294
4,29,5,medium,low,40.09293916116377
4,132,5,medium,low,40.40971180941421
4,114,5,medium,low,29.552980350823464
4,10,5,medium,low,34.748742676011815
4,128,5,medium,low,66.54259805817874
4,101,5,medium,low,92.60012046569308
4,139,5,medium,low,32.16938448933763
4,180,5,medium,low,36.551657401877115
4,140,5,medium,low,32.99136336406224
4,164,5,medium,low,37.90203050369835
4,170,5,medium,low,51.802737093895026
4,182,5,medium,low,47.064234838815196
6,10,5,medium,low,25.56088996142445
4,176,5,medium,low,55.89692823832491
4,179,5,medium,low,76.5744204939759
4,200,5,medium,low,43.63694785003681
4,208,5,medium,low,42.125919571654514
6,27,5,medium,low,25.78570555451237
6,29,5,medium,low,33.2571305960354
6,13,5,medium,low,82.39251415490897
6,31,5,medium,low,38.16511236453857
6,21,5,medium,low,45.33605360726732
6,34,5,medium,low,42.951669338230865
6,35,5,medium,low,58.50179509969696
6,37,5,medium,low,44.99899961451518
6,41,5,medium,low,43.77165124416274
6,43,5,medium,low,31.95564007136695
6,44,5,medium,low,29.32030542786477
6,56,5,medium,low,34.78240765408947
6,60,5,medium,low,40.532486489927614
6,65,5,medium,low,21.48810178187797
6,63,5,medium,low,45.34081878510251
6,74,5,medium,low,24.343675116967216
6,64,5,medium,low,52.26018371161148
6,78,5,medium,low,37.485657391184695
6,94,5,medium,low,29.08119490268985
6,79,5,medium,low,39.06865441469269
6,77,5,medium,low,52.62529241692637
6,99,5,medium,low,38.20992242836002
6,114,5,medium,low,22.84837337820501
6,104,5,medium,low,29.841223252187262
6,124,5,medium,low,31.099231677057553
6,139,5,medium,low,25.927385385850176
6,126,5,medium,low,42.60472585324369
6,140,5,medium,low,25.142694717763895
6,132,5,medium,low,36.08001891828102
6,164,5,medium,low,30.974877798317266
6,101,5,medium,low,94.75649489190104
6,128,5,medium,low,67.41641509303234
6,180,5,medium,low,30.09017960411757
6,170,5,medium,low,50.62754660508765
6,182,5,medium,low,40.572399836787135
6,176,5,medium,low,55.63336043842317
6,200,5,medium,low,36.59597449280204
6,179,5,medium,low,73.55753654969175
6,208,5,medium,low,36.72328338307006
16,27,5,medium,low,52.45837356115103
16,10,5,medium,low,51.78495748210718
16,29,5,medium,low,58.57652122616561
16,31,5,medium,low,55.897071508021114
16,34,5,medium,low,64.55490120233176
16,35,5,medium,low,74.30499581570463
16,21,5,medium,low,66.27920380524691
16,43,5,medium,low,56.262313285177186
16,37,5,medium,low,62.9913439048257
16,44,5,medium,low,55.02539966253573
16,56,5,medium,low,59.71238759671036
16,41,5,medium,low,59.15898170702217
16,13,5,medium,low,93.54593568323645
16,65,5,medium,low,49.749317706707004
16,60,5,medium,low,64.74344988111608
16,74,5,medium,low,48.31013365234584
16,63,5,medium,low,68.38863494587768
16,78,5,medium,low,58.923833636299975
16,64,5,medium,low,74.57984500053684
16,94,5,medium,low,53.93780045507152
16,79,5,medium,low,61.41903808166849
16,77,5,medium,low,74.53196499962623
16,114,5,medium,low,46.95754351972436
16,104,5,medium,low,55.88777022725001
16,99,5,medium,low,58.10285373664703
16,124,5,medium,low,56.15697670808114
16,139,5,medium,low,49.31090699940116
16,140,5,medium,low,51.33757591269328
16,126,5,medium,low,67.56970129789549
16,132,5,medium,low,59.50101732651071
16,164,5,medium,low,55.773131859322135
16,128,5,medium,low,81.42482602158695
16,180,5,medium,low,54.45110701685982
16,170,5,medium,low,66.00915743029611
16,182,5,medium,low,63.7913187447307
16,101,5,medium,low,109.66026919807021
17,10,5,medium,low,41.2025958327473
16,200,5,medium,low,61.96107050076492
16,176,5,medium,low,72.1905948309195
16,208,5,medium,low,59.548265559253
16,179,5,medium,low,92.48742647919383
17,27,5,medium,low,39.83894148090347
17,29,5,medium,low,46.34959929339543
17,34,5,medium,low,55.64689100840224
17,21,5,medium,low,57.08350460482845
17,31,5,medium,low,47.404472098767215
17,13,5,medium,low,86.74884025959139
17,37,5,medium,low,53.98069989260917
17,35,5,medium,low,64.26621369822713
17,43,5,medium,low,43.91265508502393
17,44,5,medium,low,43.36154478851146
17,41,5,medium,low,50.444401589974994
17,56,5,medium,low,48.511713151149664
17,60,5,medium,low,53.410577230610734
17,65,5,medium,low,37.29892061639055
17,74,5,medium,low,36.779922756816276
17,63,5,medium,low,58.111042258111084
17,79,5,medium,low,49.43073288880623
17,94,5,medium,low,41.54892786916175
17,78,5,medium,low,48.791056020175546
17,64,5,medium,low,63.31545173078141
17,77,5,medium,low,63.7009302596757
17,114,5,medium,low,35.25395637850906
17,99,5,medium,low,47.86345845642123
17,104,5,medium,low,44.095464068397
17,124,5,medium,low,44.342739044834445
17,126,5,medium,low,55.149518117869476
17,139,5,medium,low,38.90295221745231
17,140,5,medium,low,39.612367991679925
17,164,5,medium,low,43.264337815347304
17,132,5,medium,low,48.54852063176163
17,128,5,medium,low,72.24448430938227
17,170,5,medium,low,58.2011740248178
17,101,5,medium,low,103.05369507364642
17,180,5,medium,low,40.72578834065232
17,200,5,medium,low,49.65242837991221
17,176,5,medium,low,62.535646674288
17,182,5,medium,low,51.612074855539085
17,208,5,medium,low,49.52329241910713
19,10,5,medium,low,24.161053963498684
17,179,5,medium,low,81.24318509052469
19,21,5,medium,low,44.45474761664331
19,27,5,medium,low,22.070932840611203
19,29,5,medium,low,29.36754633698916
19,13,5,medium,low,81.50610983922287
19,31,5,medium,low,36.317959164959525
19,34,5,medium,low,41.10287973507014
19,35,5,medium,low,56.81669909569059
19,43,5,medium,low,27.960755642146218
19,37,5,medium,low,42.24264776441511
19,41,5,medium,low,43.006022535275456
19,44,5,medium,low,26.63422810505698
19,56,5,medium,low,32.003513022935394
19,60,5,medium,low,36.95552484165117
19,63,5,medium,low,42.01696333706212
19,65,5,medium,low,18.884022832388766
19,74,5,medium,low,22.15166815341274
19,64,5,medium,low,49.517752642582735
19,78,5,medium,low,34.47487122289196
19,77,5,medium,low,48.83307714167667
19,79,5,medium,low,35.20416422915237
19,94,5,medium,low,25.920753959340384
19,114,5,medium,low,20.546017824304077
19,104,5,medium,low,26.08821676993905
19,99,5,medium,low,37.053596086493464
19,124,5,medium,low,28.149838100450935
19,126,5,medium,low,39.0455682054391
19,139,5,medium,low,25.352024075450085
19,140,5,medium,low,22.9268445936962
19,132,5,medium,low,34.876281097833505
19,164,5,medium,low,28.900690948807203
19,128,5,medium,low,66.97976313719704
19,101,5,medium,low,95.61697948963605
19,170,5,medium,low,49.27909896225624
19,180,5,medium,low,26.704871996391603
19,176,5,medium,low,54.49766652185126
19,182,5,medium,low,37.35986424608077
19,200,5,medium,low,33.763970131747186
19,208,5,medium,low,32.88495778870079
20,10,5,medium,low,39.67545517582174
19,179,5,medium,low,67.27018175273338
20,27,5,medium,low,36.80584742410921
20,29,5,medium,low,43.597810568028414
20,21,5,medium,low,55.908947369577284
20,31,5,medium,low,45.31453356590631
20,34,5,medium,low,54.14606789126378
20,37,5,medium,low,52.460828668904995
20,35,5,medium,low,63.80228649697983
20,13,5,medium,low,87.56217641783617
20,43,5,medium,low,42.67611111037433
20,41,5,medium,low,49.0189013942039
20,56,5,medium,low,45.91197272261062
20,44,5,medium,low,40.48372937275975
20,65,5,medium,low,35.41462327729934
20,60,5,medium,low,51.64214605234286
20,74,5,medium,low,34.70872401819987
20,64,5,medium,low,61.89499434720907
20,63,5,medium,low,54.43203466047902
20,94,5,medium,low,39.16097993766345
20,79,5,medium,low,50.05722449193377
20,78,5,medium,low,47.501509130745525
20,114,5,medium,low,33.11869693036208
20,77,5,medium,low,62.150001216565926
20,99,5,medium,low,46.80683447078202
20,104,5,medium,low,43.16662342823012
20,139,5,medium,low,36.73957232259503
20,124,5,medium,low,42.336863741218316
20,140,5,medium,low,37.206195665999545
20,126,5,medium,low,54.194563205532724
20,132,5,medium,low,47.6136041697018
20,164,5,medium,low,42.634649998746326
20,128,5,medium,low,75.1572520559102
20,101,5,medium,low,103.93409003273695
20,180,5,medium,low,41.29755467778774
20,170,5,medium,low,54.97893880581509
20,176,5,medium,low,63.53793128656381
20,200,5,medium,low,46.79825554426396
20,182,5,medium,low,50.76419230813969
24,10,5,medium,low,37.57028940638727
20,208,5,medium,low,47.85660475641765
20,179,5,medium,low,82.46545835648672
24,27,5,medium,low,33.39884725485245
24,29,5,medium,low,36.43276845458467
24,21,5,medium,low,54.904220961885194
24,13,5,medium,low,87.8897549315969
24,31,5,medium,low,46.399839287244646
24,34,5,medium,low,45.85460006665148
24,35,5,medium,low,63.544147161567096
24,37,5,medium,low,54.22932654941709
24,44,5,medium,low,32.712314406785076
24,43,5,medium,low,36.12479745789206
24,41,5,medium,low,51.778920831627346
24,56,5,medium,low,37.22927612128063
24,65,5,medium,low,33.15196983252372
24,60,5,medium,low,42.01470155219737
24,63,5,medium,low,49.28883976687274
24,74,5,medium,low,33.10949544971623
24,64,5,medium,low,54.14000267653287
24,94,5,medium,low,38.682464758019435
24,78,5,medium,low,37.47551868902663
24,79,5,medium,low,41.92308015554907
24,77,5,medium,low,56.073591583441434
24,114,5,medium,low,30.982656983164787
24,104,5,medium,low,41.597650223638134
