exp_a,exp_b,trial_id,expertise_a,expertise_b,score
3,21,5,none,low,42.474932427663894
3,35,5,none,low,55.14997005895272
3,101,5,none,low,91.94337612002161
3,60,5,none,low,33.016445693710686
3,65,5,none,low,17.84321877044244
3,132,5,none,low,31.37875509601245
3,63,5,none,low,37.62408208354684
3,99,5,none,low,33.516811450309476
3,64,5,none,low,44.411970211374936
3,31,5,none,low,35.26284993145513
3,126,5,none,low,35.7330670579201
3,139,5,none,low,21.679335463714157
3,37,5,none,low,41.18765552668714
3,41,5,none,low,41.03326450462981
3,29,5,none,low,23.5840243939345
3,43,5,none,low,24.076810260271273
3,104,5,none,low,26.661251689240284
3,74,5,none,low,19.736711721259386
3,78,5,none,low,28.106278781237783
3,44,5,none,low,22.053933300749396
3,56,5,none,low,27.119503951989735
3,124,5,none,low,21.871391209674567
3,128,5,none,low,66.63806506967876
3,13,5,none,low,80.26918022417651
3,94,5,none,low,24.856217332412402
3,79,5,none,low,31.66399621017616
3,77,5,none,low,45.04740579828214
3,114,5,none,low,17.273512921602105
3,27,5,none,low,18.493192105235877
3,10,5,none,low,24.88553668710235
3,34,5,none,low,35.01559043181475
3,140,5,none,low,16.113924441376106
3,180,5,none,low,21.37584353409722
3,164,5,none,low,24.115635252719148
3,200,5,none,low,28.763075272592012
3,182,5,none,low,31.05866741377874
3,170,5,none,low,45.8167043424844
3,176,5,none,low,52.82389784112096
3,179,5,none,low,65.15690239078167
5,10,5,none,low,26.574831661477997
3,208,5,none,low,28.76634982649123
5,27,5,none,low,22.560999930944092
5,29,5,none,low,29.335334330786907
5,31,5,none,low,33.3905637085329
5,34,5,none,low,42.328392067865614
5,21,5,none,low,42.267816670227894
5,13,5,none,low,77.7487419284787
5,37,5,none,low,39.42301245778693
5,35,5,none,low,52.46935690325612
5,43,5,none,low,28.64638737833763
5,41,5,none,low,39.08737061856612
5,44,5,none,low,27.7808809114849
5,56,5,none,low,32.66761202795342
5,60,5,none,low,38.220880595097654
5,65,5,none,low,19.85785179146593
5,74,5,none,low,20.960519473730933
5,63,5,none,low,42.423625073248544
5,64,5,none,low,49.2182819256358
5,78,5,none,low,35.06463574542814
5,94,5,none,low,25.727326401661838
5,77,5,none,low,49.635969143008005
5,79,5,none,low,36.17010812339513
5,99,5,none,low,35.05209239504351
5,104,5,none,low,27.96300300405189
5,114,5,none,low,18.684291815667937
5,124,5,none,low,26.754969509816426
5,139,5,none,low,23.560279138709348
5,126,5,none,low,41.11635136993968
5,140,5,none,low,22.89899758901284
