exp_a,exp_b,trial_id,expertise_a,expertise_b,score
3,62,5,none,medium,19.03866330635233
3,25,5,none,medium,35.00470336306749
3,57,5,none,medium,25.5998190208576
3,24,5,none,medium,30.329594785438257
3,32,5,none,medium,34.41705578862529
3,75,5,none,medium,33.915407616775504
3,89,5,none,medium,34.85039309864392
3,54,5,none,medium,57.82187412235307
3,70,5,none,medium,18.857408692212232
3,4,5,none,medium,33.300052559218784
3,53,5,none,medium,23.327430026799963
3,84,5,none,medium,33.64421388583537
3,83,5,none,medium,38.721673977729004
3,66,5,none,medium,17.65409001894898
3,19,5,none,medium,23.0408252322818
3,40,5,none,medium,29.144514653812752
3,42,5,none,medium,13.239565123422956
3,55,5,none,medium,72.01773681919565
3,20,5,none,medium,37.18887498042115
3,6,5,none,medium,26.123596129068712
3,81,5,none,medium,19.058460377281087
3,33,5,none,medium,26.54940379744807
3,88,5,none,medium,17.75060099229958
3,51,5,none,medium,19.492708299614424
3,61,5,none,medium,39.13908954025497
3,17,5,none,medium,39.54198440593186
3,16,5,none,medium,51.54486275331132
3,91,5,none,medium,30.94408807985607
3,73,5,none,medium,32.91156386854012
3,108,5,none,medium,18.76784765844145
3,97,5,none,medium,25.30938532191278
3,105,5,none,medium,22.866662943191173
3,135,5,none,medium,30.556022078795237
3,121,5,none,medium,28.148257889032653
3,115,5,none,medium,39.651836554377674
3,117,5,none,medium,40.341379975306914
3,133,5,none,medium,26.447248307563108
3,143,5,none,medium,22.337535585352914
3,147,5,none,medium,20.887776385481907
3,142,5,none,medium,43.02083611325407
3,145,5,none,medium,27.65986349289992
3,155,5,none,medium,22.029911662749107
3,158,5,none,medium,46.14654468087504
3,166,5,none,medium,35.42042772369203
3,168,5,none,medium,30.742697929529317
3,151,5,none,medium,75.846360723418
3,171,5,none,medium,30.17791531737191
3,192,5,none,medium,31.842407839128274
3,203,5,none,medium,14.866299358652816
3,169,5,none,medium,45.08956031590042
3,202,5,none,medium,26.21198462346008
3,210,5,none,medium,18.034220531747103
3,206,5,none,medium,41.924312663704406
3,215,5,none,medium,23.64249744031526
3,207,5,none,medium,38.96580434662014
5,4,5,none,medium,35.60374808250498
5,6,5,none,medium,27.47548268839432
3,214,5,none,medium,58.672887168469785
5,16,5,none,medium,49.25504268989478
5,19,5,none,medium,25.527829458951807
5,17,5,none,medium,39.13042449932942
5,24,5,none,medium,36.85523705809357
5,20,5,none,medium,35.461573712146325
5,32,5,none,medium,33.26709798504842
5,42,5,none,medium,17.362273736634442
5,25,5,none,medium,32.55432720483777
5,33,5,none,medium,30.036111082195855
5,40,5,none,medium,29.645727710659067
5,51,5,none,medium,25.84501881386471
5,53,5,none,medium,24.7477294913369
5,54,5,none,medium,62.374663780991945
5,62,5,none,medium,21.167459063194865
5,57,5,none,medium,26.176356550084588
5,66,5,none,medium,23.32966729398841
5,70,5,none,medium,20.173512707179537
5,55,5,none,medium,73.35047234833347
5,61,5,none,medium,43.63884350759806
5,73,5,none,medium,38.15318276600529
5,81,5,none,medium,24.095734335885044
5,88,5,none,medium,19.085192492050727
5,75,5,none,medium,38.2121883030395
5,84,5,none,medium,38.30867899382211
5,91,5,none,medium,35.90199911473256
5,89,5,none,medium,40.42873351026904
5,83,5,none,medium,44.66500867738143
5,105,5,none,medium,24.19827182071711
5,97,5,none,medium,30.143405521687335
5,108,5,none,medium,23.073518462520276
5,121,5,none,medium,32.481105112682215
5,115,5,none,medium,41.583730848555575
5,117,5,none,medium,45.997119734683686
5,143,5,none,medium,27.966640745371606
5,133,5,none,medium,26.522855325289225
5,135,5,none,medium,31.94666356509446
5,145,5,none,medium,26.713251794081074
5,142,5,none,medium,48.30978349206046
5,147,5,none,medium,21.346131452685373
5,155,5,none,medium,27.453543248892007
5,158,5,none,medium,44.045160916465804
5,168,5,none,medium,32.005707615364734
5,166,5,none,medium,35.79216945735704
5,171,5,none,medium,35.82952891500784
5,192,5,none,medium,32.14951491544087
5,151,5,none,medium,75.65200384542985
5,169,5,none,medium,50.063658627437704
5,202,5,none,medium,31.798863185696458
5,203,5,none,medium,18.48201298991141
5,210,5,none,medium,22.293765522644637
5,207,5,none,medium,46.778759967175475
5,206,5,none,medium,47.93181052818426
5,215,5,none,medium,29.708466974092268
12,6,5,none,medium,30.728991647256493
12,4,5,none,medium,38.02280702132935
5,214,5,none,medium,57.60976267105518
12,16,5,none,medium,55.67956928783935
12,17,5,none,medium,43.787719357548575
12,19,5,none,medium,26.313919591905066
12,24,5,none,medium,34.77366343474924
12,20,5,none,medium,41.862037931520995
12,32,5,none,medium,39.31405340112495
12,25,5,none,medium,39.351251274134135
12,42,5,none,medium,17.577466495175766
12,33,5,none,medium,30.33967791861664
12,40,5,none,medium,33.005220087110004
12,51,5,none,medium,24.1016641518258
12,53,5,none,medium,27.91317526917312
12,62,5,none,medium,23.625006532455792
12,54,5,none,medium,60.807714056076186
12,66,5,none,medium,21.64947786914606
12,57,5,none,medium,29.9757850905093
12,70,5,none,medium,23.870378422369114
12,55,5,none,medium,76.54197276966582
12,61,5,none,medium,44.49043813986388
12,73,5,none,medium,37.31093081365462
12,81,5,none,medium,23.699025737055365
12,88,5,none,medium,22.302612341434646
12,75,5,none,medium,36.46878265230002
12,84,5,none,medium,36.79556509431718
12,89,5,none,medium,36.6200348162075
12,91,5,none,medium,35.79943243893354
12,83,5,none,medium,42.418347010523874
12,105,5,none,medium,26.79827364360399
12,108,5,none,medium,23.885227224214365
12,97,5,none,medium,29.48517578371338
12,115,5,none,medium,43.732110032474196
12,121,5,none,medium,32.15977005444206
12,117,5,none,medium,43.907697542010744
12,133,5,none,medium,31.13563462779154
12,135,5,none,medium,35.06758185041386
12,143,5,none,medium,25.78736986324696
12,145,5,none,medium,31.407320778253894
12,147,5,none,medium,25.224035333913555
12,142,5,none,medium,48.239263535837175
12,155,5,none,medium,26.226525239775864
12,158,5,none,medium,50.632073749291074
