exp_a,exp_b,stimulus,expertise_a,expertise_b,score
26,74,vehicle,high,low,0.7797799927656193
26,43,vehicle,high,low,0.8100387350152317
26,41,vehicle,high,low,0.7671187774091881
48,44,vehicle,high,low,0.7682504687570699
48,94,vehicle,high,low,0.7920229961075795
26,44,vehicle,high,low,0.7998022503058553
1,114,vehicle,high,low,0.8337176661699959
1,139,vehicle,high,low,0.7825166603317891
1,79,vehicle,high,low,0.8208726292310363
26,56,vehicle,high,low,0.7965483397565943
1,170,vehicle,high,low,0.8541409969344724
1,78,vehicle,high,low,0.7999641489051954
1,21,vehicle,high,low,0.8453560221863643
1,31,vehicle,high,low,0.8300756679065222
26,60,vehicle,high,low,0.7630612587460297
26,200,vehicle,high,low,0.8062067583486351
48,176,vehicle,high,low,0.7748680432093138
26,63,vehicle,high,low,0.8140587983205438
1,176,vehicle,high,low,0.8331065471944369
48,101,vehicle,high,low,0.8654496841406962
48,37,vehicle,high,low,0.7612602188613034
26,64,vehicle,high,low,0.8313253731056558
1,179,vehicle,high,low,0.8462594933921723
48,10,vehicle,high,low,0.8100101529419872
68,41,vehicle,high,low,0.7582102465101745
26,65,vehicle,high,low,0.8717090627848184
1,180,vehicle,high,low,0.8117019145752629
48,99,vehicle,high,low,0.792872884753663
68,43,vehicle,high,low,0.7887320062831299
48,13,vehicle,high,low,0.8407001733771167
26,182,vehicle,high,low,0.8223529344408939
1,182,vehicle,high,low,0.8849589052010294
48,21,vehicle,high,low,0.798983096850221
26,35,vehicle,high,low,0.7913701373201731
1,77,vehicle,high,low,0.8630144667427823
48,27,vehicle,high,low,0.8692478406334299
1,74,vehicle,high,low,0.8343744948846923
48,29,vehicle,high,low,0.8187889080853068
48,41,vehicle,high,low,0.7222708113260132
1,183,vehicle,high,low,0.8303369918783212
26,31,vehicle,high,low,0.7624755957613784
1,41,vehicle,high,low,0.8301675048006828
48,31,vehicle,high,low,0.7234860365618043
1,64,vehicle,high,low,0.8686458447055612
26,179,vehicle,high,low,0.798386774623452
26,29,vehicle,high,low,0.8062227514249377
1,60,vehicle,high,low,0.8225934712713244
1,37,vehicle,high,low,0.8623019186731178
48,34,vehicle,high,low,0.8072566417141543
26,176,vehicle,high,low,0.7845535617653676
26,27,vehicle,high,low,0.8685676652147725
1,56,vehicle,high,low,0.8343796222093504
48,35,vehicle,high,low,0.785262035742036
68,35,vehicle,high,low,0.8050599258315871
26,172,vehicle,high,low,0.7574016346073982
48,172,vehicle,high,low,0.7788648900611473
26,21,vehicle,high,low,0.8112202402702487
1,43,vehicle,high,low,0.8015221070135974
68,34,vehicle,high,low,0.8202156086168136
26,170,vehicle,high,low,0.7864764573793225
1,29,vehicle,high,low,0.8546395778156586
26,13,vehicle,high,low,0.8216061800855659
1,10,vehicle,high,low,0.7963679437903848
1,200,vehicle,high,low,0.8593361215422541
26,164,vehicle,high,low,0.7955625479591731
1,13,vehicle,high,low,0.8805601489663519
68,31,vehicle,high,low,0.7506357302568607
26,10,vehicle,high,low,0.836708205523119
