exp_a,exp_b,stimulus,expertise_a,expertise_b,score
1,214,vehicle,high,medium,0.856674398322635
1,215,vehicle,high,medium,0.8468491664086847
48,32,vehicle,high,medium,0.7104370203302381
26,97,vehicle,high,medium,0.757556748709936
1,57,vehicle,high,medium,0.8184074200221728
26,4,vehicle,high,medium,0.8300428064318859
1,135,vehicle,high,medium,0.8206070854048033
26,6,vehicle,high,medium,0.8658586962499059
1,83,vehicle,high,medium,0.8377848973436738
26,16,vehicle,high,medium,0.774256335607678
26,24,vehicle,high,medium,0.8018549631280113
1,81,vehicle,high,medium,0.8247719306117707
1,18,vehicle,high,medium,0.8193821184342618
26,58,vehicle,high,medium,0.7762578821590423
26,17,vehicle,high,medium,0.7643636418380104
1,105,vehicle,high,medium,0.8605749601663721
1,50,vehicle,high,medium,0.8809981109648336
26,108,vehicle,high,medium,0.8481343897732306
48,73,vehicle,high,medium,0.8360180783468483
1,62,vehicle,high,medium,0.8363639320148366
26,62,vehicle,high,medium,0.8335018988434137
1,145,vehicle,high,medium,0.8389599555624538
48,33,vehicle,high,medium,0.7728804430491434
1,53,vehicle,high,medium,0.8201701340584958
1,66,vehicle,high,medium,0.8774827808630457
26,66,vehicle,high,medium,0.8721070223277325
1,84,vehicle,high,medium,0.807368458354804
48,72,vehicle,high,medium,0.7875161827442216
1,147,vehicle,high,medium,0.796389029928932
1,6,vehicle,high,medium,0.7871866564185337
26,115,vehicle,high,medium,0.8076993972530251
1,54,vehicle,high,medium,0.7980155625507633
1,70,vehicle,high,medium,0.8703999319777587
26,70,vehicle,high,medium,0.831100381760592
1,88,vehicle,high,medium,0.8513272179512082
1,151,vehicle,high,medium,0.8847966547541657
48,70,vehicle,high,medium,0.7448417980590916
1,133,vehicle,high,medium,0.8296344709424429
26,151,vehicle,high,medium,0.8437000825105823
26,25,vehicle,high,medium,0.7748518110110556
26,117,vehicle,high,medium,0.780551508932509
1,55,vehicle,high,medium,0.8791616862279388
1,72,vehicle,high,medium,0.8280427203735691
26,72,vehicle,high,medium,0.8222775861948369
1,89,vehicle,high,medium,0.8764961184232772
1,115,vehicle,high,medium,0.8370139296985109
1,155,vehicle,high,medium,0.8070423194553313
26,32,vehicle,high,medium,0.7682339345655563
1,58,vehicle,high,medium,0.8355653793031831
48,66,vehicle,high,medium,0.816378034127749
26,73,vehicle,high,medium,0.8250738175458905
1,91,vehicle,high,medium,0.8583590903131972
1,117,vehicle,high,medium,0.8327721878038036
1,158,vehicle,high,medium,0.8364252435865498
26,33,vehicle,high,medium,0.7765616873089825
48,62,vehicle,high,medium,0.8212875762724808
26,20,vehicle,high,medium,0.7469793746268876
26,75,vehicle,high,medium,0.8411838325534462
1,166,vehicle,high,medium,0.845964621009688
26,40,vehicle,high,medium,0.7801583360298301
48,61,vehicle,high,medium,0.7369496578809263
1,51,vehicle,high,medium,0.8150868179869953
26,81,vehicle,high,medium,0.808361596896193
1,169,vehicle,high,medium,0.7551927020005563
1,32,vehicle,high,medium,0.8090104042447349
26,42,vehicle,high,medium,0.8375739229472196
1,16,vehicle,high,medium,0.8318158163849951
48,58,vehicle,high,medium,0.773176607994822
1,171,vehicle,high,medium,0.8420942842572627
26,133,vehicle,high,medium,0.7675424311279184
1,168,vehicle,high,medium,0.8385862748931951
1,33,vehicle,high,medium,0.8206241007064189
26,83,vehicle,high,medium,0.8181776394304732
26,207,vehicle,high,medium,0.7917076642702018
26,145,vehicle,high,medium,0.8015284189138134
26,50,vehicle,high,medium,0.8380320563739017
48,57,vehicle,high,medium,0.7597585088468704
1,4,vehicle,high,medium,0.8224231975914881
26,135,vehicle,high,medium,0.8291184833575149
26,84,vehicle,high,medium,0.8138875750014664
1,40,vehicle,high,medium,0.795784685670631
26,51,vehicle,high,medium,0.8003511020981738
48,55,vehicle,high,medium,0.8447883242585202
48,24,vehicle,high,medium,0.7898562988623906
26,142,vehicle,high,medium,0.7517916413456497
26,88,vehicle,high,medium,0.8403324931339463
26,53,vehicle,high,medium,0.8497401030884068
48,54,vehicle,high,medium,0.7998130833717274
48,20,vehicle,high,medium,0.7576674696532937
26,143,vehicle,high,medium,0.7571363841444951
26,89,vehicle,high,medium,0.7884242936107023
26,54,vehicle,high,medium,0.7963417176621355
48,53,vehicle,high,medium,0.7827833766232559
1,73,vehicle,high,medium,0.8119354273412849
1,108,vehicle,high,medium,0.8263170435994306
48,19,vehicle,high,medium,0.8317285752780529
26,55,vehicle,high,medium,0.8557854458545656
26,206,vehicle,high,medium,0.8356904042782168
48,51,vehicle,high,medium,0.7503420375649982
1,24,vehicle,high,medium,0.8863779228627711
48,18,vehicle,high,medium,0.8118046355077383
26,202,vehicle,high,medium,0.8761387395125632
26,105,vehicle,high,medium,0.8090453257251927
48,50,vehicle,high,medium,0.7971134681445824
1,61,vehicle,high,medium,0.8082851589881046
48,17,vehicle,high,medium,0.755599932520425
26,197,vehicle,high,medium,0.8426858425692907
1,20,vehicle,high,medium,0.8474421480641487
48,42,vehicle,high,medium,0.835946401145595
1,190,vehicle,high,medium,0.8022572056763921
48,16,vehicle,high,medium,0.7685884536885471
1,143,vehicle,high,medium,0.8174627562624074
48,40,vehicle,high,medium,0.772151277050445
1,191,vehicle,high,medium,0.7949165610083956
26,192,vehicle,high,medium,0.8218934592304651
26,18,vehicle,high,medium,0.8403152704644393
26,91,vehicle,high,medium,0.7393509049915642
1,192,vehicle,high,medium,0.7682126824028126
26,191,vehicle,high,medium,0.7866830655825554
26,203,vehicle,high,medium,0.9042977864526257
26,57,vehicle,high,medium,0.7966857607193448
1,19,vehicle,high,medium,0.7825787224690708
48,6,vehicle,high,medium,0.8108645524587391
26,190,vehicle,high,medium,0.7720081958255272
1,197,vehicle,high,medium,0.8240709275200785
1,17,vehicle,high,medium,0.8297991979179443
48,4,vehicle,high,medium,0.7974572661807243
1,202,vehicle,high,medium,0.8606625379767006
26,215,vehicle,high,medium,0.8212349864159462
26,171,vehicle,high,medium,0.7883550533657414
1,203,vehicle,high,medium,0.8706995758165296
26,61,vehicle,high,medium,0.7860284978516172
1,42,vehicle,high,medium,0.8169901631699995
26,214,vehicle,high,medium,0.8307433430104935
26,169,vehicle,high,medium,0.8105828555468517
26,19,vehicle,high,medium,0.8507043490909358
1,207,vehicle,high,medium,0.8174190379389288
1,97,vehicle,high,medium,0.8196101359979914
1,210,vehicle,high,medium,0.818403389500819
26,168,vehicle,high,medium,0.82022151224935
1,75,vehicle,high,medium,0.8172641726700616
26,210,vehicle,high,medium,0.7580631808104901
26,155,vehicle,high,medium,0.7889137271361523
26,166,vehicle,high,medium,0.8434170464972295
26,147,vehicle,high,medium,0.7941139778285156
1,206,vehicle,high,medium,0.808342338736175
1,142,vehicle,high,medium,0.8214027618798343
48,25,vehicle,high,medium,0.7333408350089026
26,158,vehicle,high,medium,0.7789467369972449
1,25,vehicle,high,medium,0.8346678183153488
48,108,vehicle,high,medium,0.8433952044877319
48,88,vehicle,high,medium,0.7657010545134023
48,143,vehicle,high,medium,0.7169827303671896
48,75,vehicle,high,medium,0.8518223662649684
48,84,vehicle,high,medium,0.7419187514451779
48,133,vehicle,high,medium,0.7208375059280306
48,81,vehicle,high,medium,0.8108823777019255
48,91,vehicle,high,medium,0.7227548659659611
48,135,vehicle,high,medium,0.8183088404617817
48,155,vehicle,high,medium,0.7442079485854087
48,190,vehicle,high,medium,0.7200554629939045
48,166,vehicle,high,medium,0.8465153955660049
48,169,vehicle,high,medium,0.7772400522564519
48,158,vehicle,high,medium,0.7812395376239059
48,105,vehicle,high,medium,0.7588332749416219
48,203,vehicle,high,medium,0.8776204199980263
48,168,vehicle,high,medium,0.8088297752136332
48,192,vehicle,high,medium,0.8236269602229275
48,191,vehicle,high,medium,0.7534679486084508
48,147,vehicle,high,medium,0.7441565823346826
48,83,vehicle,high,medium,0.7863056835788663
48,171,vehicle,high,medium,0.8271849600684226
48,197,vehicle,high,medium,0.8383790136905097
68,4,vehicle,high,medium,0.8003372890750926
48,206,vehicle,high,medium,0.7961059944153794
48,210,vehicle,high,medium,0.7274027232985738
48,142,vehicle,high,medium,0.749929758595665
68,17,vehicle,high,medium,0.7800543989540687
48,117,vehicle,high,medium,0.7277355384486961
