exp_a,exp_b,stimulus,expertise_a,expertise_b,score
1,12,vehicle,high,none,0.8535808304166075
69,28,vehicle,high,none,0.7602705106579581
1,3,vehicle,high,none,0.8313556821269099
69,196,vehicle,high,none,0.7987766545709533
48,154,vehicle,high,none,0.8168434339962352
69,12,vehicle,high,none,0.7416745602409772
1,106,vehicle,high,none,0.8040355855250657
26,116,vehicle,high,none,0.7615139372740577
69,189,vehicle,high,none,0.7841864238871072
48,141,vehicle,high,none,0.772343433582743
82,154,vehicle,high,none,0.8141784672469278
26,211,vehicle,high,none,0.7467168255108768
69,181,vehicle,high,none,0.8296436334148972
48,116,vehicle,high,none,0.7564718571047542
80,204,vehicle,high,none,0.9107449652088013
68,211,vehicle,high,none,0.7563409662563604
86,93,vehicle,high,none,0.9090241818501117
69,116,vehicle,high,none,0.7655889297352476
48,110,vehicle,high,none,0.7030119869642675
69,163,vehicle,high,none,0.8121923524482025
86,59,vehicle,high,none,0.8113876719979347
48,106,vehicle,high,none,0.7837591355190007
80,211,vehicle,high,none,0.8675181629529474
1,93,vehicle,high,none,0.8724868564496631
1,36,vehicle,high,none,0.8492607824370318
48,211,vehicle,high,none,0.7281861376540437
26,141,vehicle,high,none,0.777862094734509
1,5,vehicle,high,none,0.820006774849523
86,36,vehicle,high,none,0.8704249572078592
48,93,vehicle,high,none,0.8665599532822426
86,30,vehicle,high,none,0.8131704884910609
48,59,vehicle,high,none,0.8113058328125703
86,28,vehicle,high,none,0.784386686106231
86,12,vehicle,high,none,0.7575403400597055
48,36,vehicle,high,none,0.7902325978329912
68,59,vehicle,high,none,0.8316794923584955
1,59,vehicle,high,none,0.823211585684714
86,5,vehicle,high,none,0.805911402199322
48,30,vehicle,high,none,0.753102559872672
86,3,vehicle,high,none,0.8342399153264958
1,204,vehicle,high,none,0.9248263200153434
69,141,vehicle,high,none,0.7450191653911639
48,28,vehicle,high,none,0.7129481504365716
68,36,vehicle,high,none,0.8087011758625197
82,216,vehicle,high,none,0.870805582147564
68,96,vehicle,high,none,0.723819704786772
48,12,vehicle,high,none,0.806109917947417
82,141,vehicle,high,none,0.7552642058096791
68,30,vehicle,high,none,0.6818965728252788
1,163,vehicle,high,none,0.8065417826628571
82,211,vehicle,high,none,0.7375415503773933
48,5,vehicle,high,none,0.7183799325282739
48,204,vehicle,high,none,0.9441463683533338
68,28,vehicle,high,none,0.7189852923024297
82,116,vehicle,high,none,0.7084919809172319
82,204,vehicle,high,none,0.9538345003530881
69,5,vehicle,high,none,0.7922904927985019
68,12,vehicle,high,none,0.7810127787752296
82,201,vehicle,high,none,0.8070466084405357
82,110,vehicle,high,none,0.7395761180093865
69,3,vehicle,high,none,0.8182829911743791
68,5,vehicle,high,none,0.7007798163199752
1,141,vehicle,high,none,0.8168726742386387
80,216,vehicle,high,none,0.8477714878763902
26,30,vehicle,high,none,0.7818190724907578
82,196,vehicle,high,none,0.8125460752081423
82,106,vehicle,high,none,0.8379486059546788
68,3,vehicle,high,none,0.7234403538088123
80,59,vehicle,high,none,0.9000399409227124
1,96,vehicle,high,none,0.8563320005165567
82,189,vehicle,high,none,0.758230922143645
82,181,vehicle,high,none,0.7841040365806123
82,96,vehicle,high,none,0.7278391325282969
69,154,vehicle,high,none,0.7831909470738843
26,216,vehicle,high,none,0.8615868993674123
80,36,vehicle,high,none,0.8401627845641261
48,216,vehicle,high,none,0.7947265038234427
82,93,vehicle,high,none,0.9114653234831436
48,3,vehicle,high,none,0.7484784487071942
1,110,vehicle,high,none,0.8102470127819023
80,201,vehicle,high,none,0.8720412584976761
26,204,vehicle,high,none,0.9494129469658822
82,59,vehicle,high,none,0.7982762333768634
26,201,vehicle,high,none,0.8247938244422406
80,196,vehicle,high,none,0.873969547013373
26,196,vehicle,high,none,0.8182975356571929
1,211,vehicle,high,none,0.8162386656430015
1,116,vehicle,high,none,0.8206900678166352
82,36,vehicle,high,none,0.8289529191206211
80,189,vehicle,high,none,0.8461243855023628
68,204,vehicle,high,none,0.9187864757855347
1,154,vehicle,high,none,0.8401737904954653
26,189,vehicle,high,none,0.7934557913455725
1,201,vehicle,high,none,0.819558542255581
82,30,vehicle,high,none,0.78087633278895
80,181,vehicle,high,none,0.8745734852760751
68,201,vehicle,high,none,0.7685197718855312
