exp_a,exp_b,stimulus,expertise_a,expertise_b,score
13,91,vehicle,low,medium,0.7811956412078629
13,155,vehicle,low,medium,0.8415616492291569
13,51,vehicle,low,medium,0.872112737586763
10,203,vehicle,low,medium,0.837291935039938
13,89,vehicle,low,medium,0.7817135704755205
10,171,vehicle,low,medium,0.8531042193550349
13,151,vehicle,low,medium,0.8006264586143859
10,169,vehicle,low,medium,0.7766425514007318
13,19,vehicle,low,medium,0.8896881395365549
13,50,vehicle,low,medium,0.8611935199163123
10,17,vehicle,low,medium,0.8190068345540928
13,147,vehicle,low,medium,0.8662824447164016
13,133,vehicle,low,medium,0.8283708110774712
13,42,vehicle,low,medium,0.8977075195245704
13,24,vehicle,low,medium,0.8075052125820341
13,215,vehicle,low,medium,0.8430823619405402
13,145,vehicle,low,medium,0.8287814288391141
10,16,vehicle,low,medium,0.8128996214069318
13,40,vehicle,low,medium,0.8621932759407597
13,18,vehicle,low,medium,0.8253753282233924
10,115,vehicle,low,medium,0.8439256968216345
13,214,vehicle,low,medium,0.8146146599197422
13,143,vehicle,low,medium,0.8172122104511302
13,33,vehicle,low,medium,0.8435445937149604
13,142,vehicle,low,medium,0.827802505831016
13,32,vehicle,low,medium,0.7968249601477199
10,73,vehicle,low,medium,0.8333325103340373
13,210,vehicle,low,medium,0.8590599285189641
13,25,vehicle,low,medium,0.8185879780046957
10,197,vehicle,low,medium,0.775002187585973
10,72,vehicle,low,medium,0.8403735542630953
13,207,vehicle,low,medium,0.7962782307408938
10,191,vehicle,low,medium,0.8009247193052469
10,70,vehicle,low,medium,0.8456391245515876
10,145,vehicle,low,medium,0.8083699148191968
13,20,vehicle,low,medium,0.8090229915167063
13,206,vehicle,low,medium,0.8144965242973446
10,66,vehicle,low,medium,0.8906679376146137
13,17,vehicle,low,medium,0.7859678202768037
10,210,vehicle,low,medium,0.8117057522321506
13,55,vehicle,low,medium,0.7576493282744914
13,203,vehicle,low,medium,0.9503135833535404
10,40,vehicle,low,medium,0.7696110703530763
