exp_a,exp_b,stimulus,expertise_a,expertise_b,score
27,201,vehicle,low,none,0.8714828399987159
10,106,vehicle,low,none,0.8082734640641842
34,204,vehicle,low,none,0.946603224885409
27,3,vehicle,low,none,0.8307410123951994
27,196,vehicle,low,none,0.9097990266679541
34,106,vehicle,low,none,0.8552605378594613
13,211,vehicle,low,none,0.7791864869627729
27,204,vehicle,low,none,0.8690259055042769
34,201,vehicle,low,none,0.7980043573066427
21,216,vehicle,low,none,0.869770382112045
34,110,vehicle,low,none,0.811081424247476
34,196,vehicle,low,none,0.8205560500905307
21,211,vehicle,low,none,0.7429549847902451
34,96,vehicle,low,none,0.827175039207478
13,110,vehicle,low,none,0.8449251826759682
10,211,vehicle,low,none,0.7841546802781398
34,189,vehicle,low,none,0.7867340673526569
21,204,vehicle,low,none,0.9614923929471435
13,204,vehicle,low,none,0.9767637391111155
34,93,vehicle,low,none,0.9037814786765157
31,201,vehicle,low,none,0.7772038300932561
34,181,vehicle,low,none,0.8061637709655651
21,201,vehicle,low,none,0.8274661075646802
10,110,vehicle,low,none,0.7540764621822948
10,12,vehicle,low,none,0.8357322628395962
34,59,vehicle,low,none,0.8281817987244569
21,196,vehicle,low,none,0.7593843902738404
34,163,vehicle,low,none,0.8152629358467036
10,93,vehicle,low,none,0.8743564216746504
10,3,vehicle,low,none,0.8169427638861826
27,189,vehicle,low,none,0.8125767022012139
10,163,vehicle,low,none,0.7296993798549454
21,189,vehicle,low,none,0.8222253483289411
27,59,vehicle,low,none,0.8935310478912524
27,181,vehicle,low,none,0.8479536039927142
34,36,vehicle,low,none,0.8708657651501167
10,5,vehicle,low,none,0.8103071003011953
29,106,vehicle,low,none,0.7991953194324286
13,116,vehicle,low,none,0.7838898808810532
31,181,vehicle,low,none,0.7435649211532506
27,163,vehicle,low,none,0.8220090298092856
34,30,vehicle,low,none,0.8238625720758754
27,154,vehicle,low,none,0.9033515887407536
34,28,vehicle,low,none,0.813927092369606
31,163,vehicle,low,none,0.8081179038174694
31,189,vehicle,low,none,0.7583098977991753
31,12,vehicle,low,none,0.766441126041678
27,141,vehicle,low,none,0.8925319447100554
34,12,vehicle,low,none,0.8149772591487138
