exp_a,exp_b,stimulus,expertise_a,expertise_b,score
18,30,vehicle,medium,none,0.8207523419299521
16,216,vehicle,medium,none,0.8764381498910385
18,59,vehicle,medium,none,0.764387105153463
17,189,vehicle,medium,none,0.7849664487433952
4,12,vehicle,medium,none,0.7793087020482989
18,196,vehicle,medium,none,0.8459989341328198
17,181,vehicle,medium,none,0.7825566785882628
6,216,vehicle,medium,none,0.8552320651302858
6,204,vehicle,medium,none,0.9268301700830557
16,3,vehicle,medium,none,0.8085737725149126
17,5,vehicle,medium,none,0.7813583166799006
6,116,vehicle,medium,none,0.8100328307485802
17,196,vehicle,medium,none,0.7957744648665721
18,93,vehicle,medium,none,0.9004598612011737
16,116,vehicle,medium,none,0.6977818566093834
17,201,vehicle,medium,none,0.7870269342131994
17,28,vehicle,medium,none,0.7421938579240523
4,154,vehicle,medium,none,0.824934512984891
17,12,vehicle,medium,none,0.7665999994440457
18,106,vehicle,medium,none,0.8232666695239261
4,106,vehicle,medium,none,0.8575690758311287
6,30,vehicle,medium,none,0.791462676487824
18,96,vehicle,medium,none,0.8010139246783061
18,110,vehicle,medium,none,0.8178318223390586
6,59,vehicle,medium,none,0.8154309464085654
6,211,vehicle,medium,none,0.7985706424482503
18,116,vehicle,medium,none,0.8032210593046107
4,59,vehicle,medium,none,0.7992992304098697
16,141,vehicle,medium,none,0.7406742215613278
6,93,vehicle,medium,none,0.8698584726078625
17,36,vehicle,medium,none,0.8187793745657598
18,141,vehicle,medium,none,0.7741149050373506
6,36,vehicle,medium,none,0.844697270636758
4,141,vehicle,medium,none,0.8066704511540632
4,30,vehicle,medium,none,0.7949306875267589
19,93,vehicle,medium,none,0.8626980894665076
16,12,vehicle,medium,none,0.7426351973767847
4,116,vehicle,medium,none,0.7338123085108318
18,189,vehicle,medium,none,0.8245544625840437
17,216,vehicle,medium,none,0.8596229136837465
6,106,vehicle,medium,none,0.8412922595145964
4,216,vehicle,medium,none,0.8550518633699101
16,5,vehicle,medium,none,0.7759632410658325
19,59,vehicle,medium,none,0.8200459938901288
4,93,vehicle,medium,none,0.9101307383208598
16,30,vehicle,medium,none,0.7936224646369799
6,96,vehicle,medium,none,0.8391873822756962
17,59,vehicle,medium,none,0.7965016400877347
16,28,vehicle,medium,none,0.7484504778052087
6,141,vehicle,medium,none,0.8358172667806698
6,110,vehicle,medium,none,0.7959559287515731
4,110,vehicle,medium,none,0.7677183343232842
17,30,vehicle,medium,none,0.7942403081766201
4,204,vehicle,medium,none,0.9600791071112711
16,36,vehicle,medium,none,0.8385029575671572
19,36,vehicle,medium,none,0.7715694420047667
4,5,vehicle,medium,none,0.8261497141847266
18,163,vehicle,medium,none,0.761682277769318
4,163,vehicle,medium,none,0.7759874535875136
4,36,vehicle,medium,none,0.8457532985424974
16,163,vehicle,medium,none,0.7866162110698219
