exp_a,exp_b,stimulus,expertise_a,expertise_b,score,source_file
26,74,vehicle,high,low,0.7797799927656193,Java_high_Java_low_results.csv
26,43,vehicle,high,low,0.8100387350152317,Java_high_Java_low_results.csv
26,41,vehicle,high,low,0.7671187774091881,Java_high_Java_low_results.csv
48,44,vehicle,high,low,0.7682504687570699,Java_high_Java_low_results.csv
48,94,vehicle,high,low,0.7920229961075795,Java_high_Java_low_results.csv
26,44,vehicle,high,low,0.7998022503058553,Java_high_Java_low_results.csv
1,114,vehicle,high,low,0.8337176661699959,Java_high_Java_low_results.csv
1,139,vehicle,high,low,0.7825166603317891,Java_high_Java_low_results.csv
1,79,vehicle,high,low,0.8208726292310363,Java_high_Java_low_results.csv
26,56,vehicle,high,low,0.7965483397565943,Java_high_Java_low_results.csv
1,170,vehicle,high,low,0.8541409969344724,Java_high_Java_low_results.csv
1,78,vehicle,high,low,0.7999641489051954,Java_high_Java_low_results.csv
1,21,vehicle,high,low,0.8453560221863643,Java_high_Java_low_results.csv
1,31,vehicle,high,low,0.8300756679065222,Java_high_Java_low_results.csv
26,60,vehicle,high,low,0.7630612587460297,Java_high_Java_low_results.csv
26,200,vehicle,high,low,0.8062067583486351,Java_high_Java_low_results.csv
48,176,vehicle,high,low,0.7748680432093138,Java_high_Java_low_results.csv
26,63,vehicle,high,low,0.8140587983205438,Java_high_Java_low_results.csv
1,176,vehicle,high,low,0.8331065471944369,Java_high_Java_low_results.csv
48,101,vehicle,high,low,0.8654496841406962,Java_high_Java_low_results.csv
48,37,vehicle,high,low,0.7612602188613034,Java_high_Java_low_results.csv
26,64,vehicle,high,low,0.8313253731056558,Java_high_Java_low_results.csv
1,179,vehicle,high,low,0.8462594933921723,Java_high_Java_low_results.csv
48,10,vehicle,high,low,0.8100101529419872,Java_high_Java_low_results.csv
68,41,vehicle,high,low,0.7582102465101745,Java_high_Java_low_results.csv
26,65,vehicle,high,low,0.8717090627848184,Java_high_Java_low_results.csv
1,180,vehicle,high,low,0.8117019145752629,Java_high_Java_low_results.csv
48,99,vehicle,high,low,0.792872884753663,Java_high_Java_low_results.csv
68,43,vehicle,high,low,0.7887320062831299,Java_high_Java_low_results.csv
48,13,vehicle,high,low,0.8407001733771167,Java_high_Java_low_results.csv
26,182,vehicle,high,low,0.8223529344408939,Java_high_Java_low_results.csv
1,182,vehicle,high,low,0.8849589052010294,Java_high_Java_low_results.csv
48,21,vehicle,high,low,0.798983096850221,Java_high_Java_low_results.csv
26,35,vehicle,high,low,0.7913701373201731,Java_high_Java_low_results.csv
1,77,vehicle,high,low,0.8630144667427823,Java_high_Java_low_results.csv
48,27,vehicle,high,low,0.8692478406334299,Java_high_Java_low_results.csv
1,74,vehicle,high,low,0.8343744948846923,Java_high_Java_low_results.csv
48,29,vehicle,high,low,0.8187889080853068,Java_high_Java_low_results.csv
48,41,vehicle,high,low,0.7222708113260132,Java_high_Java_low_results.csv
1,183,vehicle,high,low,0.8303369918783212,Java_high_Java_low_results.csv
26,31,vehicle,high,low,0.7624755957613784,Java_high_Java_low_results.csv
1,41,vehicle,high,low,0.8301675048006828,Java_high_Java_low_results.csv
48,31,vehicle,high,low,0.7234860365618043,Java_high_Java_low_results.csv
1,64,vehicle,high,low,0.8686458447055612,Java_high_Java_low_results.csv
26,179,vehicle,high,low,0.798386774623452,Java_high_Java_low_results.csv
26,29,vehicle,high,low,0.8062227514249377,Java_high_Java_low_results.csv
1,60,vehicle,high,low,0.8225934712713244,Java_high_Java_low_results.csv
1,37,vehicle,high,low,0.8623019186731178,Java_high_Java_low_results.csv
48,34,vehicle,high,low,0.8072566417141543,Java_high_Java_low_results.csv
26,176,vehicle,high,low,0.7845535617653676,Java_high_Java_low_results.csv
26,27,vehicle,high,low,0.8685676652147725,Java_high_Java_low_results.csv
1,56,vehicle,high,low,0.8343796222093504,Java_high_Java_low_results.csv
48,35,vehicle,high,low,0.785262035742036,Java_high_Java_low_results.csv
68,35,vehicle,high,low,0.8050599258315871,Java_high_Java_low_results.csv
26,172,vehicle,high,low,0.7574016346073982,Java_high_Java_low_results.csv
48,172,vehicle,high,low,0.7788648900611473,Java_high_Java_low_results.csv
26,21,vehicle,high,low,0.8112202402702487,Java_high_Java_low_results.csv
1,43,vehicle,high,low,0.8015221070135974,Java_high_Java_low_results.csv
68,34,vehicle,high,low,0.8202156086168136,Java_high_Java_low_results.csv
26,170,vehicle,high,low,0.7864764573793225,Java_high_Java_low_results.csv
1,29,vehicle,high,low,0.8546395778156586,Java_high_Java_low_results.csv
26,13,vehicle,high,low,0.8216061800855659,Java_high_Java_low_results.csv
1,10,vehicle,high,low,0.7963679437903848,Java_high_Java_low_results.csv
1,200,vehicle,high,low,0.8593361215422541,Java_high_Java_low_results.csv
26,164,vehicle,high,low,0.7955625479591731,Java_high_Java_low_results.csv
1,13,vehicle,high,low,0.8805601489663519,Java_high_Java_low_results.csv
68,31,vehicle,high,low,0.7506357302568607,Java_high_Java_low_results.csv
26,10,vehicle,high,low,0.836708205523119,Java_high_Java_low_results.csv
1,172,vehicle,high,low,0.8220756466039659,Java_high_Java_low_results.csv
68,29,vehicle,high,low,0.8035697251514754,Java_high_Java_low_results.csv
68,37,vehicle,high,low,0.763238516189943,Java_high_Java_low_results.csv
26,140,vehicle,high,low,0.7744810282119309,Java_high_Java_low_results.csv
26,37,vehicle,high,low,0.80128255170712,Java_high_Java_low_results.csv
68,27,vehicle,high,low,0.8299529596891503,Java_high_Java_low_results.csv
