exp_a,exp_b,stimulus,expertise_a,expertise_b,score
86,123,rectangle,high,high,0.9048114275869187
68,82,rectangle,high,high,0.7737863205068775
48,68,rectangle,high,high,0.7792913815942129
82,123,rectangle,high,high,0.8653492984302218
86,87,rectangle,high,high,0.8638567444924239
80,178,rectangle,high,high,0.8188846586051575
86,178,rectangle,high,high,0.8673697604743205
68,80,rectangle,high,high,0.8406595376406623
80,123,rectangle,high,high,0.8813221002756055
69,123,rectangle,high,high,0.8710211988710062
68,69,rectangle,high,high,0.787642505127567
48,123,rectangle,high,high,0.8134280257636652
69,178,rectangle,high,high,0.7989679145311781
48,69,rectangle,high,high,0.839278046152394
87,123,rectangle,high,high,0.856895843535107
82,178,rectangle,high,high,0.7798952955582252
80,82,rectangle,high,high,0.8425756779469254
48,87,rectangle,high,high,0.7839799260294757
80,87,rectangle,high,high,0.8688392427756862
68,123,rectangle,high,high,0.8199654883796288
87,178,rectangle,high,high,0.7506995408488033
69,87,rectangle,high,high,0.7791050009408003
48,86,rectangle,high,high,0.896696461910748
48,178,rectangle,high,high,0.7923488426749704
82,86,rectangle,high,high,0.8279013923028
69,86,rectangle,high,high,0.811626223260982
68,178,rectangle,high,high,0.724794739493835
48,82,rectangle,high,high,0.7987784438866876
68,87,rectangle,high,high,0.751921909603406
69,82,rectangle,high,high,0.7297962204386385
48,80,rectangle,high,high,0.8517001608492469
82,87,rectangle,high,high,0.768569763379533
68,86,rectangle,high,high,0.8604074928807234
69,80,rectangle,high,high,0.8748276678906979
80,86,rectangle,high,high,0.9349252349319527
123,178,rectangle,high,high,0.8280643579279955
