exp_a,exp_b,stimulus,expertise_a,expertise_b,score
13,126,rectangle,low,low,0.7922462214837822
21,101,rectangle,low,low,0.7568938661100361
27,64,rectangle,low,low,0.8796561254544859
21,37,rectangle,low,low,0.7802400752028078
21,179,rectangle,low,low,0.7679292029482024
13,56,rectangle,low,low,0.7961954560372533
13,128,rectangle,low,low,0.7722618769025265
27,94,rectangle,low,low,0.8444310448192006
21,104,rectangle,low,low,0.8307582330279413
27,65,rectangle,low,low,0.8786806498489094
21,41,rectangle,low,low,0.7746178682044131
21,180,rectangle,low,low,0.8000309998177602
13,60,rectangle,low,low,0.7418198600701273
27,79,rectangle,low,low,0.8692808222588282
27,99,rectangle,low,low,0.8255550000608344
21,107,rectangle,low,low,0.7818303363404373
21,43,rectangle,low,low,0.8268988219717358
27,67,rectangle,low,low,0.8348857207997086
13,63,rectangle,low,low,0.812324723423434
21,182,rectangle,low,low,0.7996999208853197
27,101,rectangle,low,low,0.8041061046197109
13,41,rectangle,low,low,0.7735311911890482
21,44,rectangle,low,low,0.7730411381772782
13,64,rectangle,low,low,0.8190220053477217
27,104,rectangle,low,low,0.8626498215879648
21,126,rectangle,low,low,0.7156160985137207
21,56,rectangle,low,low,0.7956491201267738
13,65,rectangle,low,low,0.9167349964521969
27,107,rectangle,low,low,0.8263099621822718
21,60,rectangle,low,low,0.7458114621850084
13,67,rectangle,low,low,0.8122049576280251
13,138,rectangle,low,low,0.7783659353873292
13,71,rectangle,low,low,0.9022463282757743
27,124,rectangle,low,low,0.8354549775688125
13,74,rectangle,low,low,0.8201643220711711
27,78,rectangle,low,low,0.8520512543881684
27,126,rectangle,low,low,0.8570466523742604
21,208,rectangle,low,low,0.812664192202156
27,128,rectangle,low,low,0.8538539106979144
21,64,rectangle,low,low,0.7654079562553078
13,132,rectangle,low,low,0.8272257599655104
21,128,rectangle,low,low,0.7695519088820456
21,67,rectangle,low,low,0.8232720745497435
27,132,rectangle,low,low,0.8743474897669128
21,132,rectangle,low,low,0.7493439967904872
21,65,rectangle,low,low,0.8948835238340297
27,138,rectangle,low,low,0.8609443726695568
13,140,rectangle,low,low,0.8089607863392908
13,162,rectangle,low,low,0.783915948844328
21,186,rectangle,low,low,0.746270796393427
21,71,rectangle,low,low,0.8784691039659627
13,164,rectangle,low,low,0.8513294477018858
27,140,rectangle,low,low,0.8273684511123478
13,29,rectangle,low,low,0.791521935072891
13,27,rectangle,low,low,0.8786065071358085
13,176,rectangle,low,low,0.8105070731062232
13,79,rectangle,low,low,0.7773369323403218
13,179,rectangle,low,low,0.8235443659807314
27,77,rectangle,low,low,0.8790113819845565
13,21,rectangle,low,low,0.797407080273557
13,180,rectangle,low,low,0.808695797281951
27,29,rectangle,low,low,0.8464127917955656
13,182,rectangle,low,low,0.7897188159525868
27,31,rectangle,low,low,0.8419999938595958
27,34,rectangle,low,low,0.8879348564088138
13,31,rectangle,low,low,0.7390769858768519
27,35,rectangle,low,low,0.8686137999181671
21,138,rectangle,low,low,0.7850029550267659
13,34,rectangle,low,low,0.7776802462143427
13,94,rectangle,low,low,0.8286264488923822
27,37,rectangle,low,low,0.8402149895094849
13,77,rectangle,low,low,0.7957122032965963
13,35,rectangle,low,low,0.7595559673647418
13,78,rectangle,low,low,0.7776833750953623
21,74,rectangle,low,low,0.811008920561082
13,99,rectangle,low,low,0.7886195652161202
21,200,rectangle,low,low,0.822718549264035
21,63,rectangle,low,low,0.7920376234696369
27,41,rectangle,low,low,0.8725505209698728
13,208,rectangle,low,low,0.8098243590796222
21,140,rectangle,low,low,0.7702522385737479
13,44,rectangle,low,low,0.7760539905489914
13,37,rectangle,low,low,0.8020725514075367
21,77,rectangle,low,low,0.8070048777637068
13,101,rectangle,low,low,0.8374931124900917
13,200,rectangle,low,low,0.8099708312840607
27,43,rectangle,low,low,0.871431813356952
21,162,rectangle,low,low,0.8239466150098295
21,27,rectangle,low,low,0.8376147856613945
27,71,rectangle,low,low,0.8696977865718797
21,78,rectangle,low,low,0.792378828128911
13,104,rectangle,low,low,0.7909178011883855
21,124,rectangle,low,low,0.7795096011566278
27,44,rectangle,low,low,0.8254418739956546
21,164,rectangle,low,low,0.8143791720903155
21,29,rectangle,low,low,0.786869027080112
13,186,rectangle,low,low,0.742285645062821
21,79,rectangle,low,low,0.7209938004163129
13,107,rectangle,low,low,0.8038825333177156
13,43,rectangle,low,low,0.8307961350677037
27,56,rectangle,low,low,0.8744172982020578
21,31,rectangle,low,low,0.7506544360990559
21,94,rectangle,low,low,0.7953378789114482
27,60,rectangle,low,low,0.8317568487401545
27,74,rectangle,low,low,0.8535723790529239
21,34,rectangle,low,low,0.8129640635369866
21,99,rectangle,low,low,0.7784645960100175
13,124,rectangle,low,low,0.8216808212762337
27,63,rectangle,low,low,0.8624205627545147
21,176,rectangle,low,low,0.7496212858371017
21,35,rectangle,low,low,0.8040670901234418
27,162,rectangle,low,low,0.8362130679001653
27,200,rectangle,low,low,0.8405368272012337
27,208,rectangle,low,low,0.8763986967776244
29,65,rectangle,low,low,0.8696727770675098
29,41,rectangle,low,low,0.7856823150844986
29,63,rectangle,low,low,0.8178759211217643
29,37,rectangle,low,low,0.7903090522345767
29,34,rectangle,low,low,0.8101429174770112
29,67,rectangle,low,low,0.7445772797277408
29,71,rectangle,low,low,0.8598627349832192
29,74,rectangle,low,low,0.7596688532392047
29,44,rectangle,low,low,0.7696760393294826
27,180,rectangle,low,low,0.8410643366198597
29,64,rectangle,low,low,0.8531717765922402
29,94,rectangle,low,low,0.7933538647096966
29,79,rectangle,low,low,0.7852369847166695
29,99,rectangle,low,low,0.7277055588637684
27,164,rectangle,low,low,0.8738215536511509
29,31,rectangle,low,low,0.7719769099604369
29,78,rectangle,low,low,0.771330306765571
29,56,rectangle,low,low,0.7684736801851514
29,60,rectangle,low,low,0.760610764835937
29,107,rectangle,low,low,0.8162464704157252
29,43,rectangle,low,low,0.771281657056069
29,77,rectangle,low,low,0.807126068187643
29,124,rectangle,low,low,0.7745548096725242
27,186,rectangle,low,low,0.8398932255207371
27,182,rectangle,low,low,0.8745218373583229
29,101,rectangle,low,low,0.7721581665673758
29,35,rectangle,low,low,0.771182843197022
29,162,rectangle,low,low,0.8106070456588053
29,128,rectangle,low,low,0.7629363499491854
29,180,rectangle,low,low,0.7660813264751495
29,126,rectangle,low,low,0.8013492372279393
27,176,rectangle,low,low,0.8945629027846614
29,182,rectangle,low,low,0.7691900248948815
29,138,rectangle,low,low,0.7427368503775542
31,35,rectangle,low,low,0.7356732139979439
29,208,rectangle,low,low,0.818430112419772
31,43,rectangle,low,low,0.7804024464821046
29,164,rectangle,low,low,0.8056683970315136
31,37,rectangle,low,low,0.7553904939847084
31,56,rectangle,low,low,0.789870459543345
29,140,rectangle,low,low,0.7557700511636068
31,65,rectangle,low,low,0.8970037962705942
31,71,rectangle,low,low,0.9106175299884128
31,74,rectangle,low,low,0.7883172211253432
29,176,rectangle,low,low,0.8231333249862517
31,41,rectangle,low,low,0.7556253396203294
27,179,rectangle,low,low,0.9183324889452257
31,94,rectangle,low,low,0.8149105285481156
31,63,rectangle,low,low,0.7956855380192706
31,78,rectangle,low,low,0.7322910812092654
31,64,rectangle,low,low,0.8205574142801029
31,101,rectangle,low,low,0.7999351941223316
31,79,rectangle,low,low,0.7389172101639774
29,104,rectangle,low,low,0.797769723867019
31,67,rectangle,low,low,0.7944350594312365
29,186,rectangle,low,low,0.7527083174229886
29,200,rectangle,low,low,0.798308589164037
31,107,rectangle,low,low,0.814557694267392
31,124,rectangle,low,low,0.7661599754378536
31,128,rectangle,low,low,0.7230284380376895
31,138,rectangle,low,low,0.7524518423176536
31,60,rectangle,low,low,0.7216273333206056
31,126,rectangle,low,low,0.7520592871479465
31,99,rectangle,low,low,0.7542709425787502
31,180,rectangle,low,low,0.7389514822519992
31,44,rectangle,low,low,0.7511627096343222
31,132,rectangle,low,low,0.7887135853382506
29,132,rectangle,low,low,0.8282481893095759
31,182,rectangle,low,low,0.7596520900357205
31,208,rectangle,low,low,0.7953430865807601
31,186,rectangle,low,low,0.7211944866493728
31,179,rectangle,low,low,0.8057327734315609
34,37,rectangle,low,low,0.7769027037186587
34,43,rectangle,low,low,0.8050929674088442
34,56,rectangle,low,low,0.7530406570661783
34,65,rectangle,low,low,0.9153242639807505
31,200,rectangle,low,low,0.7987117257974942
31,34,rectangle,low,low,0.7726139899743433
34,35,rectangle,low,low,0.761419245683988
31,140,rectangle,low,low,0.7758709910078823
34,67,rectangle,low,low,0.8125062126835395
34,71,rectangle,low,low,0.9073973801019348
34,74,rectangle,low,low,0.822287903795072
34,60,rectangle,low,low,0.7371755535959644
29,179,rectangle,low,low,0.8532453583646816
31,162,rectangle,low,low,0.7934320099942626
34,64,rectangle,low,low,0.8202340469757069
34,99,rectangle,low,low,0.7746605197455232
34,44,rectangle,low,low,0.8010209840026101
34,101,rectangle,low,low,0.819167133186894
34,107,rectangle,low,low,0.8434413412250018
34,77,rectangle,low,low,0.8066866805082326
34,104,rectangle,low,low,0.8242685264903183
34,79,rectangle,low,low,0.7920041187194363
34,128,rectangle,low,low,0.7523680672848835
31,164,rectangle,low,low,0.8032700956439799
34,162,rectangle,low,low,0.8163696726800799
34,164,rectangle,low,low,0.8148708139718159
34,63,rectangle,low,low,0.8030917960152486
34,180,rectangle,low,low,0.7986312744285671
34,94,rectangle,low,low,0.8046453961924034
34,132,rectangle,low,low,0.8367299144969794
31,104,rectangle,low,low,0.7910699350992597
34,140,rectangle,low,low,0.7972603212120146
35,43,rectangle,low,low,0.7672048931962601
34,186,rectangle,low,low,0.7829619696992608
35,37,rectangle,low,low,0.7712945422816166
34,208,rectangle,low,low,0.785570086950721
31,77,rectangle,low,low,0.7685878155003265
34,179,rectangle,low,low,0.8192385072979997
34,176,rectangle,low,low,0.8026624427111023
35,65,rectangle,low,low,0.887456742795167
35,71,rectangle,low,low,0.9060012001307634
35,74,rectangle,low,low,0.7511448609866825
35,60,rectangle,low,low,0.7346810134751051
35,63,rectangle,low,low,0.8039143462582176
35,56,rectangle,low,low,0.7510840460592119
35,94,rectangle,low,low,0.7906233609512341
35,64,rectangle,low,low,0.8181603429021869
35,78,rectangle,low,low,0.7206863879630334
35,77,rectangle,low,low,0.7728659602366512
34,126,rectangle,low,low,0.7999031281692076
35,99,rectangle,low,low,0.7745571516531172
34,138,rectangle,low,low,0.7627432982133603
34,78,rectangle,low,low,0.7575870493265405
35,79,rectangle,low,low,0.749752089643313
34,200,rectangle,low,low,0.8316678337389851
34,41,rectangle,low,low,0.7784859882154743
34,124,rectangle,low,low,0.8192259753188165
35,107,rectangle,low,low,0.8014538321625886
35,104,rectangle,low,low,0.8056416880830136
35,140,rectangle,low,low,0.7751206315226694
35,124,rectangle,low,low,0.7787291902981746
35,101,rectangle,low,low,0.8225055995380836
35,126,rectangle,low,low,0.7693397306949836
35,44,rectangle,low,low,0.7539152439764174
35,180,rectangle,low,low,0.7544131025975657
35,132,rectangle,low,low,0.8439685529984076
35,186,rectangle,low,low,0.7255642188065794
34,182,rectangle,low,low,0.818523323426195
35,67,rectangle,low,low,0.8158911172912235
35,200,rectangle,low,low,0.8240866488070692
37,65,rectangle,low,low,0.8631121676322681
37,44,rectangle,low,low,0.7823913701644774
37,56,rectangle,low,low,0.784354538362301
35,179,rectangle,low,low,0.8132414878973749
37,41,rectangle,low,low,0.7803174727617828
35,164,rectangle,low,low,0.7791737005844334
37,71,rectangle,low,low,0.8859959226729061
37,74,rectangle,low,low,0.785805327176736
37,67,rectangle,low,low,0.7906709249689016
37,60,rectangle,low,low,0.7808080036340179
35,138,rectangle,low,low,0.704263165875233
37,94,rectangle,low,low,0.7465601150473062
35,208,rectangle,low,low,0.8112575038378373
37,101,rectangle,low,low,0.7460840443444513
37,99,rectangle,low,low,0.7623523431571281
37,78,rectangle,low,low,0.7502396292096657
35,41,rectangle,low,low,0.7642617000439623
37,77,rectangle,low,low,0.8149281737872975
37,104,rectangle,low,low,0.7850346069969264
37,124,rectangle,low,low,0.7629954748923298
35,128,rectangle,low,low,0.7291442016250597
37,138,rectangle,low,low,0.7407247575440244
37,128,rectangle,low,low,0.7637371426799726
37,43,rectangle,low,low,0.7947493596736178
37,63,rectangle,low,low,0.793271435321544
37,79,rectangle,low,low,0.7564987913814738
35,162,rectangle,low,low,0.79618180942937
37,180,rectangle,low,low,0.7656318007278039
37,164,rectangle,low,low,0.794421002466779
37,162,rectangle,low,low,0.8207665719609808
37,132,rectangle,low,low,0.7903052637922517
31,176,rectangle,low,low,0.7672407466643029
35,182,rectangle,low,low,0.7849692474592368
37,208,rectangle,low,low,0.7710118856373722
41,56,rectangle,low,low,0.770075503713769
41,44,rectangle,low,low,0.7657573011219516
37,176,rectangle,low,low,0.7977590265038618
41,71,rectangle,low,low,0.9136648487591329
41,74,rectangle,low,low,0.814345135462932
37,140,rectangle,low,low,0.7317558816918505
41,67,rectangle,low,low,0.7750822202061173
37,126,rectangle,low,low,0.7873941202250035
41,60,rectangle,low,low,0.7496282689996467
41,63,rectangle,low,low,0.8204769143964998
37,200,rectangle,low,low,0.812734797583171
41,65,rectangle,low,low,0.9056220404814908
37,107,rectangle,low,low,0.7891648453240725
37,182,rectangle,low,low,0.7677836588593586
41,99,rectangle,low,low,0.7666766493940165
41,78,rectangle,low,low,0.7448737983965097
41,79,rectangle,low,low,0.7647643934545172
37,186,rectangle,low,low,0.7659542844157518
41,104,rectangle,low,low,0.8255013681402763
41,107,rectangle,low,low,0.8460258293019154
41,140,rectangle,low,low,0.7683300168670032
35,176,rectangle,low,low,0.8055855960517783
41,77,rectangle,low,low,0.7931779673895869
41,101,rectangle,low,low,0.8310320102461787
41,162,rectangle,low,low,0.8348595453110965
37,64,rectangle,low,low,0.8153261709601854
41,43,rectangle,low,low,0.825452025879884
41,164,rectangle,low,low,0.7989406489387084
41,180,rectangle,low,low,0.8119127785492457
41,138,rectangle,low,low,0.7980260558347034
41,132,rectangle,low,low,0.8169214682818798
43,65,rectangle,low,low,0.869067520368613
43,60,rectangle,low,low,0.7890075385126591
43,63,rectangle,low,low,0.7985929881146828
41,94,rectangle,low,low,0.8156966231859868
43,71,rectangle,low,low,0.8870232552743288
43,74,rectangle,low,low,0.7471141435419069
43,67,rectangle,low,low,0.8356410603896605
41,208,rectangle,low,low,0.7855975298273903
41,179,rectangle,low,low,0.8329135226237454
41,176,rectangle,low,low,0.798831399349565
43,94,rectangle,low,low,0.7542345169047281
43,78,rectangle,low,low,0.7706154978466461
43,56,rectangle,low,low,0.7995971327102853
43,99,rectangle,low,low,0.8123556263186749
43,79,rectangle,low,low,0.7774051933448093
43,101,rectangle,low,low,0.8083901270756741
43,44,rectangle,low,low,0.7877574238694958
43,107,rectangle,low,low,0.8361623470541851
43,124,rectangle,low,low,0.791863335192942
43,64,rectangle,low,low,0.8320956550904157
43,104,rectangle,low,low,0.8394579176825578
41,124,rectangle,low,low,0.7743293015950297
43,138,rectangle,low,low,0.7741356964608254
41,200,rectangle,low,low,0.8019550313863001
43,128,rectangle,low,low,0.761313273408741
41,186,rectangle,low,low,0.7577973912612742
43,162,rectangle,low,low,0.850615290462973
43,132,rectangle,low,low,0.8386896849449063
43,200,rectangle,low,low,0.8290664576964758
43,182,rectangle,low,low,0.8089738088276172
44,56,rectangle,low,low,0.7907675093894013
43,164,rectangle,low,low,0.7458502132578633
43,179,rectangle,low,low,0.8279243591426009
44,65,rectangle,low,low,0.890277439335851
37,179,rectangle,low,low,0.8036190579861969
44,71,rectangle,low,low,0.8912381971638176
44,60,rectangle,low,low,0.7397789960895902
44,74,rectangle,low,low,0.7873497510595062
43,140,rectangle,low,low,0.7739752004346704
44,63,rectangle,low,low,0.8173226855653714
43,208,rectangle,low,low,0.7820241370932325
43,176,rectangle,low,low,0.8277857708454263
41,128,rectangle,low,low,0.738472543690417
44,64,rectangle,low,low,0.8361579826063531
44,94,rectangle,low,low,0.7970548183617383
43,186,rectangle,low,low,0.8156346980723114
44,78,rectangle,low,low,0.7355758698063488
43,180,rectangle,low,low,0.7688918195331018
44,101,rectangle,low,low,0.7825400051413589
44,79,rectangle,low,low,0.7786275931251123
44,104,rectangle,low,low,0.811904743750359
44,124,rectangle,low,low,0.7831352679160531
44,140,rectangle,low,low,0.7539167414804127
44,138,rectangle,low,low,0.7611002709806021
44,128,rectangle,low,low,0.7399599278559923
41,64,rectangle,low,low,0.8300129178301718
44,67,rectangle,low,low,0.7783468923044548
43,77,rectangle,low,low,0.8207553220715554
44,164,rectangle,low,low,0.8099191722565524
44,180,rectangle,low,low,0.7927037557107308
44,107,rectangle,low,low,0.8215592452285227
44,186,rectangle,low,low,0.7687566351668849
41,126,rectangle,low,low,0.7770659988010573
44,182,rectangle,low,low,0.798127969300971
43,126,rectangle,low,low,0.8050745069973623
56,65,rectangle,low,low,0.9156990954228191
56,63,rectangle,low,low,0.812914011416715
56,67,rectangle,low,low,0.7862318640901266
56,74,rectangle,low,low,0.8122647557957422
44,176,rectangle,low,low,0.8339273716175079
44,99,rectangle,low,low,0.7550624996614265
