exp_a,exp_b,stimulus,expertise_a,expertise_b,score
14,24,rectangle,medium,medium,0.7584889224163073
6,210,rectangle,medium,medium,0.8035498045461948
14,66,rectangle,medium,medium,0.8216960570890787
4,142,rectangle,medium,medium,0.8082329847698491
14,20,rectangle,medium,medium,0.7914716628915819
4,62,rectangle,medium,medium,0.8501256965822404
14,62,rectangle,medium,medium,0.824916289857107
6,112,rectangle,medium,medium,0.803946539685154
4,53,rectangle,medium,medium,0.858959568300585
6,32,rectangle,medium,medium,0.795408508274279
14,61,rectangle,medium,medium,0.833173727910869
4,33,rectangle,medium,medium,0.8622841915053341
6,61,rectangle,medium,medium,0.8538768947706197
14,53,rectangle,medium,medium,0.8406667845217534
6,105,rectangle,medium,medium,0.7951580508148353
4,20,rectangle,medium,medium,0.7529488997949048
14,17,rectangle,medium,medium,0.7825966337157563
6,97,rectangle,medium,medium,0.7986677109362755
6,17,rectangle,medium,medium,0.8095288547373175
6,158,rectangle,medium,medium,0.8197769494655364
14,57,rectangle,medium,medium,0.8847879771599235
4,42,rectangle,medium,medium,0.8813203828644505
14,16,rectangle,medium,medium,0.7681950457539011
14,55,rectangle,medium,medium,0.8230483153655087
6,91,rectangle,medium,medium,0.825257951700833
6,16,rectangle,medium,medium,0.8209216172946162
4,108,rectangle,medium,medium,0.8276260529792894
4,171,rectangle,medium,medium,0.7562717728750609
14,15,rectangle,medium,medium,0.8281275619665296
6,89,rectangle,medium,medium,0.8254946747476102
6,15,rectangle,medium,medium,0.7884295381609712
4,25,rectangle,medium,medium,0.8033934197316329
6,88,rectangle,medium,medium,0.8214759751190175
6,14,rectangle,medium,medium,0.7872992074820693
6,84,rectangle,medium,medium,0.8661198544984448
4,215,rectangle,medium,medium,0.8233399055132675
6,83,rectangle,medium,medium,0.8372627000320836
4,214,rectangle,medium,medium,0.8022100121009172
4,105,rectangle,medium,medium,0.8273764052399747
4,212,rectangle,medium,medium,0.7970769702650682
4,84,rectangle,medium,medium,0.8146342841365309
4,40,rectangle,medium,medium,0.8190191366887707
6,75,rectangle,medium,medium,0.839723620765764
4,57,rectangle,medium,medium,0.8489445813155456
6,215,rectangle,medium,medium,0.7753405741946009
4,32,rectangle,medium,medium,0.7222535673869128
4,112,rectangle,medium,medium,0.8316183234142511
4,16,rectangle,medium,medium,0.7693291154423612
6,73,rectangle,medium,medium,0.8105533043877677
6,168,rectangle,medium,medium,0.8737968929109532
4,169,rectangle,medium,medium,0.8220387183548916
6,214,rectangle,medium,medium,0.8173144032079573
4,206,rectangle,medium,medium,0.793560881117272
6,151,rectangle,medium,medium,0.8397611221463526
4,55,rectangle,medium,medium,0.8007416145955213
4,203,rectangle,medium,medium,0.8715222638967873
6,20,rectangle,medium,medium,0.8483050894184662
6,212,rectangle,medium,medium,0.7957098063883576
6,147,rectangle,medium,medium,0.7963344707336565
4,14,rectangle,medium,medium,0.7975182020094276
4,202,rectangle,medium,medium,0.7817261801198092
6,145,rectangle,medium,medium,0.8073781007233436
14,51,rectangle,medium,medium,0.7636693559605879
4,210,rectangle,medium,medium,0.7628680012960566
6,143,rectangle,medium,medium,0.8204665449175004
4,194,rectangle,medium,medium,0.8332282546096543
14,54,rectangle,medium,medium,0.8525410265697776
6,142,rectangle,medium,medium,0.8104000389538498
4,83,rectangle,medium,medium,0.7950157940524761
4,192,rectangle,medium,medium,0.846520413297279
6,207,rectangle,medium,medium,0.8209394586077584
6,135,rectangle,medium,medium,0.8200052103562409
4,73,rectangle,medium,medium,0.7818594602294495
4,185,rectangle,medium,medium,0.7710202482666295
4,168,rectangle,medium,medium,0.8444750659254158
6,206,rectangle,medium,medium,0.8176207272331405
4,17,rectangle,medium,medium,0.7518173393886752
6,125,rectangle,medium,medium,0.7981665002494073
6,203,rectangle,medium,medium,0.8373355594350447
6,57,rectangle,medium,medium,0.9002369086202359
4,158,rectangle,medium,medium,0.7843334253120524
4,24,rectangle,medium,medium,0.7609480509777863
6,202,rectangle,medium,medium,0.8085004600715558
6,121,rectangle,medium,medium,0.8705634634343296
4,66,rectangle,medium,medium,0.8357436171038742
6,55,rectangle,medium,medium,0.8841937191586025
4,155,rectangle,medium,medium,0.794456698569865
4,61,rectangle,medium,medium,0.8345686981001982
6,81,rectangle,medium,medium,0.77626440802171
6,62,rectangle,medium,medium,0.7648123163346237
4,51,rectangle,medium,medium,0.7745558453154315
4,115,rectangle,medium,medium,0.8192476617574525
6,120,rectangle,medium,medium,0.798450083947167
14,89,rectangle,medium,medium,0.7722165379604952
6,54,rectangle,medium,medium,0.8639844552791919
4,54,rectangle,medium,medium,0.8646349187464737
4,151,rectangle,medium,medium,0.8272859549650157
6,117,rectangle,medium,medium,0.8482890280778079
6,53,rectangle,medium,medium,0.8008984414519056
14,88,rectangle,medium,medium,0.838185131165659
6,194,rectangle,medium,medium,0.8557511436154229
4,147,rectangle,medium,medium,0.7938272563129456
6,51,rectangle,medium,medium,0.7685039448183907
6,192,rectangle,medium,medium,0.856825528512699
14,84,rectangle,medium,medium,0.8321101457064928
4,145,rectangle,medium,medium,0.7793807784574767
14,42,rectangle,medium,medium,0.8261084215255404
4,81,rectangle,medium,medium,0.7969977161421322
4,143,rectangle,medium,medium,0.8134873204818142
6,155,rectangle,medium,medium,0.7862695273305232
14,83,rectangle,medium,medium,0.8235769642209514
6,42,rectangle,medium,medium,0.8316780972518616
4,97,rectangle,medium,medium,0.7455007388789752
6,115,rectangle,medium,medium,0.7972370715817138
14,81,rectangle,medium,medium,0.7816505773266775
14,40,rectangle,medium,medium,0.8070619731918827
6,40,rectangle,medium,medium,0.8042165414101667
4,207,rectangle,medium,medium,0.7842249440667529
4,6,rectangle,medium,medium,0.8430122798841417
6,185,rectangle,medium,medium,0.7585666138700471
4,125,rectangle,medium,medium,0.8572753201238452
4,91,rectangle,medium,medium,0.7876150844585095
14,75,rectangle,medium,medium,0.7950664165018023
14,33,rectangle,medium,medium,0.8174177262495533
6,33,rectangle,medium,medium,0.8306254412725589
6,171,rectangle,medium,medium,0.8289695442603244
4,121,rectangle,medium,medium,0.8037087018478338
6,24,rectangle,medium,medium,0.7839219707521469
4,89,rectangle,medium,medium,0.7849245524283781
4,135,rectangle,medium,medium,0.8168958009052907
14,73,rectangle,medium,medium,0.7835573667859529
6,25,rectangle,medium,medium,0.8125676924048836
6,66,rectangle,medium,medium,0.8157433835399902
6,108,rectangle,medium,medium,0.774045079269928
14,32,rectangle,medium,medium,0.7524499393192944
4,15,rectangle,medium,medium,0.8373859375730197
6,169,rectangle,medium,medium,0.8588061803394867
4,120,rectangle,medium,medium,0.8248468537690931
4,88,rectangle,medium,medium,0.8866252464035204
14,25,rectangle,medium,medium,0.7770913014851085
4,117,rectangle,medium,medium,0.8030585288940112
4,75,rectangle,medium,medium,0.832734824481031
14,143,rectangle,medium,medium,0.7679870076033336
14,105,rectangle,medium,medium,0.747475194916752
14,115,rectangle,medium,medium,0.7455713708054991
14,155,rectangle,medium,medium,0.7376858929305887
14,145,rectangle,medium,medium,0.7958562731254513
14,112,rectangle,medium,medium,0.7807869696001739
14,171,rectangle,medium,medium,0.773099422803883
14,185,rectangle,medium,medium,0.7521650954065183
14,142,rectangle,medium,medium,0.8003992262785857
14,125,rectangle,medium,medium,0.821018399433759
14,135,rectangle,medium,medium,0.8145067888590767
14,108,rectangle,medium,medium,0.793373818112557
14,91,rectangle,medium,medium,0.7681308648795209
14,169,rectangle,medium,medium,0.8242708676006559
14,203,rectangle,medium,medium,0.8698549033724722
14,120,rectangle,medium,medium,0.8097633178605929
14,210,rectangle,medium,medium,0.8007989718695133
14,202,rectangle,medium,medium,0.781310312989394
14,192,rectangle,medium,medium,0.8237104513885941
14,121,rectangle,medium,medium,0.8271119047099592
14,168,rectangle,medium,medium,0.8264809549454998
14,207,rectangle,medium,medium,0.7755047788042797
14,117,rectangle,medium,medium,0.8183315857658073
14,215,rectangle,medium,medium,0.7837018255528192
15,16,rectangle,medium,medium,0.856124328719944
14,194,rectangle,medium,medium,0.820572466509935
14,158,rectangle,medium,medium,0.7843808243927434
15,42,rectangle,medium,medium,0.871255525358242
14,97,rectangle,medium,medium,0.7721451665720842
15,24,rectangle,medium,medium,0.8225413889337093
15,33,rectangle,medium,medium,0.8784464282608427
14,147,rectangle,medium,medium,0.7605894683164448
15,57,rectangle,medium,medium,0.8795980145482917
15,51,rectangle,medium,medium,0.8273289914471289
15,40,rectangle,medium,medium,0.8289814311778155
15,20,rectangle,medium,medium,0.8481772642404733
15,53,rectangle,medium,medium,0.7802854830626821
15,62,rectangle,medium,medium,0.7614591940039042
15,25,rectangle,medium,medium,0.8344402317261314
15,81,rectangle,medium,medium,0.7826750837282442
15,88,rectangle,medium,medium,0.8829462043451953
14,212,rectangle,medium,medium,0.7580305184682192
15,17,rectangle,medium,medium,0.8312865191796972
15,54,rectangle,medium,medium,0.8672709011204671
15,75,rectangle,medium,medium,0.8407286859251702
15,91,rectangle,medium,medium,0.8406472933173322
15,61,rectangle,medium,medium,0.8545064751804866
15,89,rectangle,medium,medium,0.8112359891794549
15,32,rectangle,medium,medium,0.7989253072926994
15,83,rectangle,medium,medium,0.8338516088841375
15,115,rectangle,medium,medium,0.8584416336445218
15,97,rectangle,medium,medium,0.7771843247662569
15,105,rectangle,medium,medium,0.8370800098318769
15,66,rectangle,medium,medium,0.8730733984475694
14,151,rectangle,medium,medium,0.8146893242877495
15,125,rectangle,medium,medium,0.8091406033768304
15,121,rectangle,medium,medium,0.8664321999104961
15,143,rectangle,medium,medium,0.8579131844807802
15,120,rectangle,medium,medium,0.7690508601634428
15,117,rectangle,medium,medium,0.863198326344331
14,206,rectangle,medium,medium,0.8024585914570886
14,214,rectangle,medium,medium,0.7735192557626562
15,145,rectangle,medium,medium,0.8037889221229261
15,155,rectangle,medium,medium,0.8127227964419785
15,84,rectangle,medium,medium,0.8408171862220305
15,73,rectangle,medium,medium,0.8338483702467394
15,185,rectangle,medium,medium,0.8047694730456175
15,158,rectangle,medium,medium,0.830522933123597
15,171,rectangle,medium,medium,0.8531588168588832
15,112,rectangle,medium,medium,0.8435550875194854
15,108,rectangle,medium,medium,0.8345323454608014
15,203,rectangle,medium,medium,0.8576066107841386
15,135,rectangle,medium,medium,0.8353678446223799
15,169,rectangle,medium,medium,0.8508994126384894
15,202,rectangle,medium,medium,0.8333369403798778
15,210,rectangle,medium,medium,0.8462561746740317
15,212,rectangle,medium,medium,0.8579875466693934
15,168,rectangle,medium,medium,0.8753219228692652
16,32,rectangle,medium,medium,0.7164237725841123
15,214,rectangle,medium,medium,0.8516506571690321
16,33,rectangle,medium,medium,0.8021635276598952
16,42,rectangle,medium,medium,0.8692942473552899
16,20,rectangle,medium,medium,0.7492351313104088
15,206,rectangle,medium,medium,0.8637695021838142
16,40,rectangle,medium,medium,0.8259266237319302
15,215,rectangle,medium,medium,0.7788156036557701
16,57,rectangle,medium,medium,0.8488082822186508
15,55,rectangle,medium,medium,0.8710440397347459
16,51,rectangle,medium,medium,0.7781903542535098
15,207,rectangle,medium,medium,0.8546780314033174
16,53,rectangle,medium,medium,0.8595907994691666
16,25,rectangle,medium,medium,0.7674431415049885
15,147,rectangle,medium,medium,0.8402038471785869
16,24,rectangle,medium,medium,0.736303271145315
16,62,rectangle,medium,medium,0.8511703775255846
16,88,rectangle,medium,medium,0.8479273076776552
15,142,rectangle,medium,medium,0.838201153623518
16,54,rectangle,medium,medium,0.8335186616159773
16,66,rectangle,medium,medium,0.8014912607295402
16,61,rectangle,medium,medium,0.7762848502399653
16,81,rectangle,medium,medium,0.8178286225792598
16,55,rectangle,medium,medium,0.8169178632170336
16,73,rectangle,medium,medium,0.7706628514314176
15,194,rectangle,medium,medium,0.8234845984158093
16,105,rectangle,medium,medium,0.7952254731448986
15,192,rectangle,medium,medium,0.8364559589039819
16,97,rectangle,medium,medium,0.7744926540530455
16,17,rectangle,medium,medium,0.7617081188173923
16,84,rectangle,medium,medium,0.8077385814343232
16,115,rectangle,medium,medium,0.7367903862519373
16,108,rectangle,medium,medium,0.7883421441063039
16,125,rectangle,medium,medium,0.8571877658998858
16,91,rectangle,medium,medium,0.7620884020159674
16,121,rectangle,medium,medium,0.7784590277810489
16,145,rectangle,medium,medium,0.7968095178007987
16,155,rectangle,medium,medium,0.763652228901184
16,158,rectangle,medium,medium,0.7855261309925061
16,171,rectangle,medium,medium,0.7587616524471393
16,185,rectangle,medium,medium,0.7592858156094277
16,142,rectangle,medium,medium,0.8001805392271091
16,135,rectangle,medium,medium,0.8046835169089557
16,169,rectangle,medium,medium,0.7974304541190673
16,143,rectangle,medium,medium,0.7888810957845972
15,151,rectangle,medium,medium,0.8497628180849142
16,75,rectangle,medium,medium,0.801412758852518
16,203,rectangle,medium,medium,0.8962501534698571
16,202,rectangle,medium,medium,0.8065001977958901
16,112,rectangle,medium,medium,0.7961223149763589
16,151,rectangle,medium,medium,0.7988398817181365
16,210,rectangle,medium,medium,0.7882711702303025
16,89,rectangle,medium,medium,0.7644515283284339
16,192,rectangle,medium,medium,0.8046587292837875
17,42,rectangle,medium,medium,0.8654990725450555
16,207,rectangle,medium,medium,0.7543243695029274
16,147,rectangle,medium,medium,0.7538685805260953
17,32,rectangle,medium,medium,0.7609498372550633
17,33,rectangle,medium,medium,0.8436868274240578
16,117,rectangle,medium,medium,0.781539947068103
17,20,rectangle,medium,medium,0.7802470154436696
16,120,rectangle,medium,medium,0.8272292515060011
16,206,rectangle,medium,medium,0.7794328508522589
17,40,rectangle,medium,medium,0.8225944461661004
17,51,rectangle,medium,medium,0.8043391695621201
16,194,rectangle,medium,medium,0.8199808130750967
17,24,rectangle,medium,medium,0.7717095861929815
16,83,rectangle,medium,medium,0.784522098114924
17,53,rectangle,medium,medium,0.836558963413958
17,57,rectangle,medium,medium,0.8189357834839246
17,81,rectangle,medium,medium,0.8171755299143564
16,168,rectangle,medium,medium,0.8023017154204
17,75,rectangle,medium,medium,0.8395520253919084
17,66,rectangle,medium,medium,0.8467000921117381
16,212,rectangle,medium,medium,0.7922650954056798
17,73,rectangle,medium,medium,0.7783341979320616
17,61,rectangle,medium,medium,0.8222124609294696
16,215,rectangle,medium,medium,0.7871409471979539
17,105,rectangle,medium,medium,0.8172385234370733
17,55,rectangle,medium,medium,0.8177789246418793
17,62,rectangle,medium,medium,0.847315570526727
17,108,rectangle,medium,medium,0.7960385398099015
17,84,rectangle,medium,medium,0.849303760424947
17,97,rectangle,medium,medium,0.7736015498592413
17,88,rectangle,medium,medium,0.8696557911509865
17,83,rectangle,medium,medium,0.8116429171138887
17,125,rectangle,medium,medium,0.8607467715681515
17,143,rectangle,medium,medium,0.8211889298629919
17,91,rectangle,medium,medium,0.8008994763763747
17,120,rectangle,medium,medium,0.8013346426541214
17,145,rectangle,medium,medium,0.7477766954147063
17,117,rectangle,medium,medium,0.8312871645798277
17,155,rectangle,medium,medium,0.8079839768130828
16,214,rectangle,medium,medium,0.7852362268738563
17,158,rectangle,medium,medium,0.7811956914847704
17,147,rectangle,medium,medium,0.8128040543507733
17,185,rectangle,medium,medium,0.7722014825621064
17,142,rectangle,medium,medium,0.8148062192048252
17,171,rectangle,medium,medium,0.8024160045967894
17,203,rectangle,medium,medium,0.8954656851554886
17,115,rectangle,medium,medium,0.8022028108900762
17,210,rectangle,medium,medium,0.7652684269842838
